jd flux fluxerr zpdiff mag mag_error limitingmag filter
2458202.7723611 2536.972471647325 37.3194672661935 26.2573 17.746510613061684 0.015970904715649915 20.58003640020128 g
2458208.7614699 1667.820917147699 148.446563899112 25.8146 17.759226459290588 0.096634136655928 18.63824961563538 g
2458208.7809028 1629.9902053156925 173.756048823978 25.8781 17.84763751320809 0.11573501582585048 18.530825158520404 g
2458214.6973495 3447.497517254238 573.013170893081 26.275 17.43124009478251 0.1804556483434704 17.6321634779568 r
2458214.7188194 705.4597847184136 46.3122397145403 24.6632 17.542019346243546 0.07127436566514744 18.751535527921973 r
2458217.7021644 3196.877047362997 36.2149580690744 26.275 17.513185166185508 0.012299059173397594 20.630355022420154 r
2458221.7048727 2108.5526217081388 43.3248246456409 25.7939 17.48393889030752 0.022308080734388804 19.954632955131572 r
2458221.7251505 2409.224889238956 51.1647568111738 25.868 17.413306647163793 0.02305703245803625 19.848147703552254 r
2458224.6804051 3338.301088006436 37.4929552119406 26.275 17.466186240020605 0.012193657911759165 20.59270080650718 r
2458229.6656019 2556.3053888897275 36.9066585147444 26.2799 17.760868161116754 0.015674793521779216 20.61471317299419 g
2458229.6895833 3376.284785954273 34.6648788572775 26.275 17.45390232058386 0.011147062929026244 20.677850772118937 r
2458235.6699537 2574.348818256791 69.4666129240558 26.2799 17.753231518889507 0.029296690921130738 19.928034679366224 g
2458235.7080093 2314.2500446216877 70.4884303382861 26.2461 17.835074298062317 0.033068720899943865 19.878380390035304 g
2458238.6482523 2379.8908808951865 77.7848759116455 26.2696 17.82820738772794 0.03548525709947996 19.794937081088968 g
2458242.7045949 2427.2836735242945 25.3349830653105 26.229 17.76619866315966 0.011332087556980926 20.97227344333278 g
2458245.6522569 3252.554711764683 38.9889562373555 26.275 17.49443847341275 0.013014480474005753 20.550220966746828 r
2458245.7284838 907.8955769891618 30.3938112398571 25.3005 17.905410249141422 0.03634620731664473 19.846112084249857 g
2458248.6610069 3314.891405169721 26.7875362075455 26.275 17.47382673595198 0.008773508542444425 20.957743061491925 r
2458248.671956 2503.8351457782637 18.7195146668077 26.2797 17.783185671916506 0.008117058788004157 21.351538527227873 g
2458257.6887153 2192.0961864582346 24.2997969922383 25.4471 17.094950983667673 0.012035187943599746 20.235668375690814 i
2458257.729456 3367.9633621414114 35.5281035399358 26.275 17.4565816038769 0.01145287459088717 20.65114492456855 r
2458262.6863194 5843.938504661522 112.299449012572 26.945 17.5282359069071 0.020863243460843228 20.071630925563 r
2458263.7087153 8430.612602863064 108.864770284904 27.3243 17.509652166529293 0.014019678837832145 20.484656587893227 r
2458266.7318287 2773.3083667705896 65.2925170443012 26.0774 17.46990459531144 0.025560837952378252 19.792816461415832 r
2458269.7348958 2114.2726568417684 69.5071409007617 26.1203 17.80739751687824 0.03569260692643233 19.767801427523317 g
2458272.6654398 3268.539224446043 44.5651619089784 26.275 17.48911574717635 0.014803064293278633 20.405086267433546 r
2458279.6896181 2037.3780893355884 24.8509656806543 26.1303 17.8576209217618 0.013242850495307467 20.894516815175624 g
2458290.6938773 1725.4791723056528 55.5479987219384 25.952 17.859725696418515 0.03495171844457676 19.84290394706474 g
2458426.9617014 2092.648268855171 33.7850907330678 25.974 17.672259403749642 0.01752825525187688 20.404762265155924 g
2458427.0387847 3245.4793669644127 44.7515476773156 26.1509 17.37270286884484 0.014970594423684811 20.276454840527606 r
2458429.983044 2343.643203769396 30.7166434728734 26.1103 17.685571261528917 0.014229580579868867 20.644440596898306 g
2458430.0221759 3166.583057097673 40.9836540417393 26.1506 17.39912279067216 0.014051724647923513 20.371648297053518 r
2458432.9821991 2345.6143296162118 28.0820678967674 26.1366 17.710958484695134 0.01299817311420881 20.768102276536872 g
2458433.0383449 2989.4347959814754 35.6330978173544 26.1473 17.458327286872553 0.012941193550134018 20.520241039057 r
2458438.998588 2386.801150382016 21.9156143533082 26.1787 17.73415940377041 0.009968900215913852 21.07939086516756 g
2458439.9992708 2078.969937843677 18.7713296972034 26.0451 17.750479476434435 0.00980294725829083 21.113937395019455 g
2458440.0033912 2248.9113282352523 21.9521514268231 26.0982 17.718269169789437 0.010597772577722857 20.997082264615486 g
2458440.056331 2434.5831456080978 35.3739360566529 25.9053 17.439238472222023 0.015774972584522404 20.286166523071024 r
2458442.0188079 2153.72777205761 23.0952857161107 26.0761 17.74312297934155 0.011642396048051087 20.919866640774256 g
2458442.9162153 2260.925384266836 54.7191093596669 25.7974 17.411684425335068 0.026276204179579828 19.704627439315562 r
2458442.9577546 2524.0751859886473 50.3750514515123 25.9334 17.428144281678257 0.021668210861747642 19.930436232349248 r
2458447.9808333 3092.7069825825315 49.067604483794 26.1487 17.422853062807867 0.017225265273456445 20.174287849346484 r
2458449.9565046 2706.384120623687 56.2155888902522 26.0444 17.463426408455284 0.022551589921419462 19.922333077896273 r
2458449.9652199 3507.647051024166 66.7636307814351 26.2931 17.430560282495506 0.020664928051481058 19.98432512235248 r
2458461.9604977 1398.148784023423 22.2784408846035 25.5809 17.71701652669368 0.017299806390282432 20.463763003483162 g
2458462.0411458 2645.179811205907 28.8767822040234 25.9836 17.427462001548115 0.011852321836909608 20.58480299587155 r
2458464.9981829 2655.6934595706766 24.2249733584353 26.2385 17.678055139995756 0.009903648133962372 21.030416718897413 g
2458465.0422106 3126.916863644135 23.1854778911817 26.1625 17.424709163330604 0.008050253474638199 21.002034859524517 r
2458467.9989352 119.40950900917035 22.1592420481826 22.6294 17.43680271849035 0.20147716284357414 17.518087735742963 g
2458472.0232407 3131.897269461447 29.1670914253108 26.1661 17.426581229592173 0.010111031249088596 20.756442181775434 r
2458474.9764236 3264.6168922654974 51.9583996986941 26.1876 17.4030194412841 0.017279587900963574 20.151035572953923 r
2458476.9587037 3202.4424893986766 49.3920419268478 26.1609 17.397196651820074 0.016745012626299446 20.179332537178254 r
2458476.966713 3860.412958399853 44.186775996283 26.3601 17.39351558808652 0.012427059803221046 20.499444201032844 r
2458480.9991435 2715.7135170697725 59.9589830499489 26.2287 17.643990115174354 0.02397066829330696 20.036639343476725 g
2458481.973912 3185.5963145861724 37.4993990875487 26.1571 17.399123149378283 0.012780369377919909 20.4746142181775 r
2458481.974375 3599.419940761405 42.8103420030897 26.3336 17.443018704209578 0.012912966277261469 20.507303245814462 r
2458483.0062269 2823.562355301552 39.0220463347093 26.3023 17.67530654225059 0.015004533413631392 20.57659988849668 g
2458483.0066898 2663.2581432579223 31.608429512849 26.2481 17.684566840982075 0.012885447101316427 20.75116769379127 g
2458486.9347222 2695.503987916121 28.245187341944 26.2511 17.6745000532735 0.011376647942137219 20.876313840089225 g
2458486.9996528 3174.1394847324973 24.1413541498193 26.1821 17.428034981194102 0.008257440583984829 20.977770921349432 r
2458491.955081 1515.2843945110928 23.4345640178241 25.6745 17.72326462355499 0.016790845498254336 20.50243279362483 g
2458492.9439815 1062.4606530060787 32.1730873240289 24.9918 17.426017861426494 0.03287681365786854 19.475643144842884 r
2458493.9695949 3621.834449519945 24.8161920362882 26.3215 17.424178511851647 0.0074390312614562625 21.08723713615086 r
2458493.9700463 3259.8982488273496 21.8870690506058 26.1904 17.40738988837498 0.007289427170553765 21.092505969019594 r
2458494.9564005 3120.7736893955507 20.9402340627591 26.1621 17.42644431032187 0.007284992243811491 21.112221159747904 r
2458494.9633102 2690.516538983811 22.4154959321297 26.2648 17.690210834849957 0.009045290590447343 21.1410041094953 g
2458502.9397801 2727.3117653824916 67.8575935530786 26.27 17.680663035008283 0.027013042753564764 19.943578853876822 g
2458503.0037963 3064.534302028213 71.5346783552494 26.0705 17.354588782819818 0.025343230858565626 19.686783417272046 r
2458509.0251968 2668.1635848516107 69.3245033464466 26.2453 17.67976886846623 0.028208770148335175 19.89565807192216 g
2458511.8947222 3251.4697571597826 26.2315200727115 26.1735 17.393300702832892 0.008758980851730354 20.87901634426406 r
2458511.9170023 3585.795610655872 28.2649031014618 26.3163 17.429836171830058 0.008557990646779819 20.940756236814714 r
2458511.9231829 2712.659967356835 28.3457713443884 26.237 17.65351160438675 0.011344954516576982 20.858354290415278 g
2458511.9998727 1677.3197789717613 59.6936718847673 25.747 17.68546032946639 0.03863867843078894 19.559754253932546 g
2458512.0003241 1716.3994729203578 41.5352164898653 25.6722 17.5856540687611 0.026272895823208627 19.87873379306756 g
2458513.9158912 3164.6136012473103 23.5738809349633 26.1698 17.418998274219668 0.008087610607816985 20.99129727490542 r
2458513.9312847 541.4981548363558 20.8372102118374 23.9873 17.153307547253874 0.0417784602310024 18.94277605656291 r
2458514.9031597 439.35540174695365 39.433498470647 23.9944 17.3873600742637 0.09744491388827749 18.257311717596767 r
2458514.9558681 160.3638793621577 25.9856578733959 23.0287 17.5159336156946 0.17592882427988635 17.7444406985613 g
2458522.9305556 2641.3140343127197 26.0417535706001 26.2126 17.658049902642198 0.010704343173248393 20.925999426862546 g
2458538.7343056 130.91585841003482 58.7137517086109 22.834 17.541519355685494 0.4869197743056063 16.664725409307174 r
2458538.7943519 1034.0559286983053 42.9292708357758 25.1402 17.603839927601875 0.045073296378730185 19.310891209301232 g
2458540.7555208 3774.8994862250443 30.4028979050093 26.324 17.381736519463793 0.008744186799123893 20.869287536373882 r
2458540.9153125 2718.2423429959426 35.6285768770616 26.2011 17.615379566641206 0.014230499357460536 20.57417880030337 g
2458543.7549884 1797.915614947789 32.8453904887029 25.4628 17.325876739269145 0.01983421254985891 19.924188915591383 r
2458543.7781134 738.0313186747122 26.4117242644877 24.8775 17.707313020784504 0.038853647952835614 19.57558310256557 g
2458558.7078935 3503.3090417019203 60.8987434754769 26.2845 17.423303875100142 0.018872946977924913 20.075554159355125 r
2458558.7638773 2463.557184755395 38.3046444245586 25.4996 17.02069338077786 0.01688101770443476 19.794046401126824 i
2458560.7233681 3040.3687634159146 86.1511728956367 26.3277 17.620384345086727 0.03076413938278497 19.742122002963463 g
2458567.7319792 3146.9320275801597 20.5412117800744 26.1124 17.367681593913062 0.007086773223626198 21.083409838684958 r
2458572.7530093 1664.7739183452618 26.0398373726848 25.7273 17.67391184185331 0.016982156630387935 20.440779320176684 g
2458574.7205093 39.09261300787969 52.4364132873128 21.9537 17.973463249285455 1.456290831583972 15.907192544715567 r
2458575.7538079 2047.8744014448332 21.9573397617116 25.8783 17.600041706682067 0.011640891532445125 20.776925683958112 g
2458580.694919 2709.5514232634323 25.7442628298965 26.2377 17.65545650577215 0.010315562168129844 20.963573837651776 g
2458582.7666898 2753.707037896767 34.8947392069933 25.9904 17.39060566364054 0.013757897203897439 20.386075096947522 r
2458583.7596296 2947.9039625275896 26.9343875244993 26.0828 17.40901667281241 0.009919815878355708 20.759607228312873 r
2458585.7027546 2739.13822864068 37.0702343804871 26.2535 17.659465127085863 0.014693363425790976 20.583511659382076 g
2458586.6693519 2568.1901988926675 36.6231358183956 26.1493 17.625232039445333 0.015482396348672411 20.49248617021794 g
2458586.7130324 3066.896209706354 31.168327238421 26.1018 17.38505230304552 0.011033778311654606 20.620091251884386 r
2458591.6844097 2799.543985026751 70.6825331082055 26.2041 17.586381761747425 0.027411616536843028 19.833394725952502 g
2458591.8578472 2067.108836825014 132.777664529415 25.7831 17.494691641053745 0.06973832621266528 18.727862425590637 r
2458592.705463 2917.182299285006 93.4565331552342 26.2724 17.609991075721805 0.03478211083054589 19.598450822944177 g
2458593.824537 3361.5995113289537 64.734444113316 26.2394 17.423035070177257 0.020907364407023687 19.96413643169399 r
2458594.6555093 3041.4988798517306 26.3347367181192 26.1142 17.406480847866447 0.009400504417169414 20.8154525370341 r
2458598.6856481 3088.6587295812833 20.8915800134043 26.1201 17.395675187199963 0.007343636965560114 21.072746772747465 r
2458598.7278125 2618.113400448158 21.2381934744134 26.1756 17.630628866080535 0.008807222273574401 21.110381057178316 g
2458601.7571065 3058.8668904385895 24.530284330488 26.1152 17.40129855337501 0.008706665131738432 20.89351853380437 r
2458605.663588 3042.2722238752804 22.7360185290461 26.0844 17.3764048192009 0.008113835153628023 20.945188952864733 r
2458605.7109144 2646.4601670731745 19.5689231640816 26.1694 17.61273659590718 0.008028074687683726 21.193057669108498 g
2458609.6497569 3162.9686213126683 30.0125674396653 26.0874 17.337162791360196 0.010301918346480978 20.646717116793653 r
2458612.6742014 2732.1919510441544 22.8224199357147 26.1525 17.561221981042472 0.009069019222729206 21.009170758695163 g
2458612.6934491 3160.8743805499366 23.6121650428383 26.0586 17.30908190886518 0.008110327871539577 20.87833546374934 r
2458618.7939352 311.4102395614162 148.161109497354 23.9753 17.741967778457095 0.5165485785176078 16.80103943530143 r
2458634.6702431 3209.0684545966287 27.2222677654024 26.0573 17.291352546512968 0.009209905158166031 20.722564235395737 r
2458634.6939236 2520.543187475435 23.1838784908667 26.0535 17.54976464219066 0.009986235110990055 20.89310975928436 g
2458637.6781366 3099.9643886068807 24.5603258713091 26.0172 17.288808237930734 0.008601758748094384 20.794189677126738 r
2458637.7176968 2232.1336091183393 25.5539246825883 25.9689 17.597099533334617 0.01242931691658214 20.70283096310105 g
2458640.6724537 2398.9672278077533 39.4448967004494 26.0422 17.592139212176576 0.017851567062386657 20.304797931525798 g
2458640.7210532 2820.7438781646238 33.3300516676867 25.9599 17.333990864325834 0.012828685856850259 20.405385021917283 r
2458645.7004282 2136.832084754332 64.2995681017922 25.9429 17.618474009903125 0.03266987686406897 19.674954849681374 g
2458648.6704051 2454.1864455054965 86.9710629039385 26.0714 17.59663111708449 0.03847486125910745 19.475538044728317 g
2458648.6988773 2926.765685986152 98.1122149098625 25.9853 17.319330113420637 0.0363952714895065 19.25856728881125 r
2458764.0173148 2325.9444719712073 50.3839501243932 25.8458 17.429301643843036 0.02351812578040378 19.842644455710037 r
2458764.0221759 2433.2631265843484 52.1018783132345 25.8653 17.399827312707135 0.023247386880055048 19.825741538570988 r
2458764.027037 2445.1092040632802 56.8755653875487 25.8823 17.411554348852974 0.025254414501669646 19.74756067187738 r
2458764.0318981 2506.548981590503 88.5730435203969 25.927 17.42930951056506 0.03836500066680335 19.311321069082133 r
2458766.0196991 2514.064597857395 65.82421442252 25.891 17.390058918720833 0.028426218506651 19.597610777329596 r
2458766.0246181 2603.4300222019947 57.4988778245309 25.9379 17.399035228166387 0.0239785710089079 19.791326566973687 r
2458766.0295486 2537.2642024709853 66.1676771006973 25.9427 17.431785769567778 0.028313270237394036 19.643660268013292 r
2458766.0344792 2468.2077485802365 103.695455482258 25.9746 17.49364572153941 0.0456129173412761 19.187775680208226 r
2458768.0200116 2482.5653769232085 55.8262989247616 25.8856 17.398348264470037 0.0244145081962482 19.77107789740567 r
2458768.025 2474.389363578596 71.6295438002807 25.9115 17.427829899652764 0.031429247493810826 19.526344526161196 r
2458768.0300116 2478.635989147577 84.3924472168975 25.9338 17.448268121878687 0.03696584748408182 19.370616037252194 r
2458768.0350116 2469.784672204616 131.612662250973 25.9654 17.48375227246803 0.05785600219080278 18.919730803936513 r
2458770.0230556 2612.8233338360174 71.6715201844446 25.9268 17.38402488530088 0.02978148903393679 19.541008448799758 r
2458770.0279282 2603.90123427574 69.1931866978211 25.946 17.406938731348813 0.028850189019830247 19.598416657830818 r
2458770.0328009 2575.070992503191 73.0616885127919 25.9327 17.405726983326502 0.03080422848506763 19.52605072696698 r
2458770.0376736 2710.9612586930707 110.963462760149 26.0051 17.422291721777334 0.04443923022963918 19.144724986648292 r
2458772.0235532 2812.031584785029 105.737839358965 25.9448 17.32224951405513 0.04082442487956777 19.136798909632812 r
2458772.0284375 2616.2290124944725 119.381213307756 25.9651 17.420910606422346 0.04954160460312705 19.02533501804587 r
2458772.0382176 2690.313544454643 144.45869622076 25.9863 17.411792754742006 0.05829759390319397 18.839515761871226 r
2458774.0292245 1205.5639795667412 100.412108923889 24.7639 17.060924341409034 0.09042856995266668 18.012009767851435 r
2458774.0342361 2613.1470757775874 68.723641403656 25.992 17.449090365462517 0.028553026411552766 19.651809581557163 r
2458774.0392361 2707.4208137185815 85.5736675234801 25.9889 17.407510591759355 0.034315807265526715 19.410624625615455 r
2458777.0188889 2632.046051250248 50.563532015399 25.9802 17.4294662910372 0.020857092026578396 19.973181481372592 r
2458786.0179861 2794.0668052361048 39.6257944551336 26.0287 17.413108035641784 0.01539752913542206 20.28633003301834 r
2458790.0059491 2215.9227219715112 27.1713602191181 26.0297 17.665813473133554 0.013312714156227597 20.696996538968133 g
