jd flux fluxerr zpdiff mag mag_error limitingmag filter
2458202.8307986 8655.298510713112 28.968990106163 26.3364 16.493194873105242 0.003633801020188022 20.934141600560764 g
2458205.786875 8915.163254808795 60.7353835478811 26.3395 16.464176748996824 0.007396432800304199 20.13347054308361 g
2458205.811088 9095.801700142796 59.8001594084189 26.324 16.426897540950463 0.007137912106054504 20.134819134953794 g
2458206.7804282 9335.714334056325 66.1866203998798 26.3616 16.436231114622093 0.0076971950079932645 20.062249474540188 g
2458206.7809954 8377.119250150894 64.2462069788711 26.2982 16.49046325558826 0.008326502802941947 20.031156257858708 g
2458208.7728819 1265.9207886623888 184.252020769203 24.4859 16.729883670478884 0.1580212764816784 17.074944340042524 g
2458208.8156019 3806.4431415318963 166.702458672357 25.4148 16.463501632661288 0.047548026504275955 18.112519976093193 g
2458214.8812731 2304.213319976203 58.4796567268225 24.168 15.761693292939752 0.027554464145258438 18.00306295249356 i
2458215.7349421 7195.853415939931 44.0648470100407 25.5857 15.942994230220336 0.006648440655117502 19.728044322605577 r
2458215.7695602 4595.661940014708 47.5529197080936 25.5844 16.428529814507918 0.0112341172177064 19.644032020666927 g
2458215.7704745 4037.0605997565426 47.6420934130601 25.5009 16.485736828516362 0.012812545053616155 19.558497898392254 g
2458216.7561227 8440.415908702493 32.8082930357279 26.2637 16.44779038153891 0.0042201668891889334 20.726315900885236 g
2458217.7328241 13097.514749958978 24.7708065419621 26.275 15.982027759481547 0.0020533410479795402 21.0427246203517 r
2458217.7699537 13594.419029825533 37.1021997711911 26.275 15.941598369148952 0.0029631173059478035 20.604075840447933 r
2458218.7483565 13945.729451311156 26.3989342189244 26.275 15.913896911025509 0.0020552042818234605 20.973609004578492 r
2458218.7492708 13704.501678472283 27.1834448603112 26.275 15.932841879009553 0.0021535307723884976 20.941813758001047 r
2458218.7694213 14015.062272735735 31.0180356782575 26.275 15.908512420527089 0.0024028634821977556 20.798539261196595 r
2458218.7954051 13794.358305782827 27.4223468093187 26.275 15.92574624371398 0.0021583056834471384 20.932313441552473 r
2458218.7968287 13974.561945898451 31.6881500112546 26.275 15.911654492138872 0.002461889295736864 20.775332775797335 r
2458219.7278472 14153.570287744162 38.9807546966705 26.275 15.897834985034205 0.0029901575725258564 20.55044938133456 r
2458219.7311227 14378.860298409054 37.891757051973 26.275 15.880688839425176 0.0028610807656208274 20.581213128896465 r
2458219.7536458 14261.941518670465 37.1007624690555 26.275 15.889553371790763 0.002824320781285085 20.604117901598027 r
2458221.7510301 11674.936894407205 52.6802144883275 26.0602 15.892063645530918 0.0048989480103636355 20.008656152834437 r
2458221.7519444 11057.401028906907 51.9718465515828 26.027 15.917867347913521 0.00510299243498013 19.990154620379876 r
2458224.7007755 14852.443789312641 100.833151193152 26.275 15.845505206457052 0.0073708107435612475 19.518566639708066 r
2458224.7016898 7997.40787416073 33.8484752980681 25.6626 15.905226885134985 0.0045951501048043155 20.091327212408302 r
2458224.7142824 14180.328884378305 71.1298922411777 26.275 15.895784241109757 0.0054459755225650655 19.89744461225918 r
2458224.7279861 11234.973477411446 34.2126159685582 26.0375 15.911069871224605 0.0033061615349377588 20.454609282850015 r
2458224.7436111 11257.41924724524 32.4907806755122 26.0259 15.897302899187407 0.0031335104258496606 20.49907462284783 r
2458224.7469907 11137.725333371018 32.5822799240146 26.0297 15.912708741046554 0.003176104658238681 20.49982131288012 r
2458224.7483102 9931.309599279431 27.5482983786716 25.9545 15.961983697935896 0.003011605594482104 20.606838043583945 r
2458226.7626273 13545.763601273513 26.6057532602512 26.275 15.945491269771562 0.0021324649657948414 20.965136091284403 r
2458227.756956 13968.568427338114 28.6436488048127 26.2815 15.918620250993214 0.0022263132882337426 20.891504138479995 r
2458227.7587847 13861.885692778169 28.9555656658357 26.2793 15.924744216831597 0.0022678774259245298 20.877544855215326 r
2458230.7977546 1546.3458010363336 39.6816819851093 24.6026 16.629333451515212 0.027860781270502438 18.85869980844288 g
2458230.8065972 4410.761477053527 33.6739137208809 25.5955 16.484216067864303 0.00828876562855605 20.02984100212462 g
2458231.6815046 13330.607392114845 27.8587368921664 26.275 15.962875155153615 0.0022689311712620042 20.91517143481929 r
2458231.779537 14229.34959571431 38.9726950800514 26.2814 15.898437376185598 0.0029736183487371636 20.55707389013093 r
2458232.664456 5178.62266735805 62.5181278087163 25.6765 16.390964330127737 0.013106946715728023 19.439060079168513 g
2458232.7190972 14135.887706152193 123.694932454207 26.275 15.899192283681103 0.009500329300655431 19.296695219720448 r
2458232.8076157 10127.645468430746 32.8438955486444 25.7505 15.736728775277488 0.003520918806677821 20.211938333408003 i
2458233.6952315 13750.505375518096 42.5938934604479 26.275 15.929203349536039 0.0033630902186579372 20.4542066384999 r
2458233.6961458 13649.970387831974 44.2253452524112 26.275 15.937170726945446 0.0035176235534800414 20.41339690919471 r
2458233.7365625 9123.294806905906 48.6180327238485 26.3274 16.427020728179812 0.00578569466902756 20.362981535144975 g
2458233.7384606 9008.28716958764 48.2180435631764 26.3176 16.43099444417049 0.005811352248325027 20.362151026677374 g
2458234.7025463 6650.788017383765 80.0771706350268 26.0011 16.443917235867808 0.013072102723948839 19.494903189598404 g
2458234.7231713 8944.985429872366 51.7240606009878 26.3196 16.440650906252195 0.00627802169548014 20.287943459496628 g
2458235.6831829 9433.299102656756 58.0632677066208 26.3411 16.40444098779963 0.006682634469983473 20.183921305227074 g
2458235.7153241 9407.696171712385 58.8197524915217 26.3533 16.419591792232197 0.006788123693031769 20.18206700740763 g
2458236.6789468 8555.840380803944 73.918813628586 26.2713 16.440643315739436 0.009379985177915958 19.85198751918087 g
2458236.7271181 8861.60109967401 75.6101548130656 26.2807 16.41191950850687 0.00926355679489626 19.83682467093896 g
2458236.7280324 8830.614972242462 82.2685623313553 26.2765 16.41152262674368 0.010114695115109365 19.740990219305633 g
2458237.683831 9166.538114358858 65.6418762486966 26.334 16.42848662857333 0.007774732854879381 20.043622524050924 g
2458237.7216667 8856.53261089542 86.8858510609596 26.3169 16.448740684756057 0.01065111738885661 19.7221023405138 g
2458237.7492014 7935.522628238692 75.0845048821904 26.2306 16.481661164054245 0.010272700459640365 19.794299185880153 g
2458237.7496644 8154.026345891239 72.7482442688741 26.257 16.478569724159406 0.00968635192631129 19.855018698229557 g
2458238.682037 8926.76565611528 87.467282486639 26.319 16.442264665247453 0.010638033107846783 19.716960904965838 g
2458242.762963 13108.719997980652 24.2689063029193 26.275 15.981099282398223 0.0020100171166321664 21.064949476771574 r
2458242.7639005 13442.67354471968 26.9236011570179 26.275 15.953785870198038 0.002174489596800209 20.952242118294308 r
2458243.7119907 8368.238771916305 26.3119619992618 26.311 16.504414841314414 0.0034137287332752326 21.013191906033928 g
2458243.8472106 9909.590005288164 32.013332942866 25.7611 15.770960783596186 0.0035073979405325474 20.25034776073938 i
2458244.6803588 13376.174152520853 25.0001572948025 26.275 15.959170213812724 0.0020291804267404674 21.032718136274873 r
2458244.7136227 7611.021112360288 21.3077800583228 26.1844 16.480792683397453 0.0030395207775408364 21.115629475930454 g
2458245.6790856 13858.217783854116 43.8776916490182 26.275 15.920731544874306 0.0034375278673164592 20.42196555963706 r
2458245.68 13878.825514564078 48.7755414910032 26.275 15.919118210445983 0.003815568207930271 20.307069740418505 r
2458245.7352546 587.1415393599076 33.2343768399597 23.3633 16.441442982173655 0.06145462467956345 17.81190613925307 g
2458245.7361921 510.07669589422665 33.2491036766295 23.3208 16.551711294562235 0.07077083143042144 17.768925133749413 g
2458247.6646528 10173.873647343407 27.5671641585409 25.7897 15.770984150790134 0.0029418165749230695 20.441294758121316 i
2458247.6983333 9149.804857634335 23.521891307252 26.3262 16.422670420614295 0.0027910668904567466 21.1500943921548 g
2458247.7376736 14380.057099415848 31.6683605540896 26.2967 15.902298473702036 0.002390973750373479 20.797711036977557 r
2458248.6985301 9001.336961172505 20.073225998392 26.338 16.45223245091919 0.0024211404995125745 21.33403205361723 g
2458248.7017593 9074.42781696359 19.1506128704516 26.342 16.44745187406835 0.002291254149884955 21.389118296401456 g
2458248.7413542 14389.846207314733 32.1282372637379 26.3031 15.907959618993004 0.0024240444751597837 20.788457743257535 r
2458248.7441782 14325.698037404707 34.7435643137508 26.2901 15.899810518269295 0.0026331064410926907 20.69048906338218 r
2458249.7015162 8240.031094920636 24.3289011187115 26.255 16.46517787357063 0.003205556828646832 21.04226875596747 g
2458249.7381713 11365.534741321975 54.4340149871041 26.0518 15.912825315434409 0.005199844214688033 19.96469906782453 r
2458250.699838 8866.641753157752 35.0976849003283 26.3248 16.45540209592111 0.004297631229175982 20.714178812537543 g
2458254.6983449 13501.648491881826 25.3020049256676 26.275 15.949033007055084 0.0020345950173650657 21.01968764929798 r
2458255.6777199 8780.367382982384 21.2541165807247 26.3287 16.469918280546818 0.0026280898469483896 21.262667343176833 g
2458256.7471412 13850.647679983738 32.8687148157048 26.2728 15.919124794429118 0.002576454509559267 20.73341818099114 r
2458256.7812963 13391.71496283411 34.0947512165547 26.2474 15.930309507581352 0.0027641471983644687 20.66825617460689 r
2458257.6755324 9698.612221467489 34.4058646925546 25.7321 15.765326011673908 0.0038515249856081435 20.143093796501045 i
2458257.6764583 9596.40534079312 31.1652805469178 25.7228 15.767528540580887 0.0035259187047837 20.241197387350944 i
2458257.7377662 13825.520244051111 29.2988905206656 26.275 15.923296293843036 0.0023008035051681956 20.8604470517453 r
2458257.7414583 13939.56868320537 31.0835603787391 26.275 15.9143766598206 0.0024209803237209564 20.796248094124046 r
2458258.6761921 8468.024305788349 23.6203694036293 26.2985 16.479044760236132 0.0030284082963709553 21.117858275790166 g
2458258.7029861 13629.20775393741 29.8684882618385 26.253 15.916823470848602 0.0023793178804916017 20.817541883784223 r
2458259.6656366 2485.220493619733 51.5611314706483 24.9348 16.4463876844149 0.022525132309748456 18.90656889152232 g
2458259.6670023 1647.9163254770265 51.9905877358541 24.5776 16.5352621094889 0.03425306262954655 18.54036317162931 g
2458259.6807986 2264.112283598571 45.2916120200104 24.7648 16.377555097708893 0.02171849140448536 18.877330543218942 g
2458260.7013542 14199.799983328423 36.2221408703678 26.2852 15.904494432484004 0.0027695022739144424 20.640339701057055 r
2458261.6808796 9865.4194988748 58.5288253093821 25.7438 15.758511107207132 0.0064411600181465915 19.577950469698557 i
2458261.7011806 9617.783004042121 50.0569462675716 25.7027 15.745012564207258 0.005650660504594649 19.706614109479 i
2458262.6991782 28510.731001010667 76.2645835003697 27.1 15.96247911863136 0.0029041857363606783 20.646767732124637 r
2458262.7159144 15546.33324398658 64.4042009416898 27.0255 16.546430067989338 0.004497757758372993 20.755789498311234 g
2458262.7495139 26241.565344097842 96.8355007842924 27.0451 15.99762565570784 0.004006403650960277 20.332588482040226 r
2458263.7304282 40912.950932216365 100.597887810735 27.4963 15.966647987433557 0.002669548988951365 20.742402833626898 r
2458263.7533333 23071.18174499975 105.37079246361 27.4571 16.54942539902583 0.0049586133316528395 20.652874373490036 g
2458263.8271991 9596.5533734609 42.198104230383 25.7104 15.755111792310933 0.004774055849011998 19.899742637868172 i
2458266.7552431 13788.3012496971 51.998204736233 26.275 15.926223091508806 0.004094373183452774 20.23760411500597 r
2458266.756169 14078.100946580078 55.7109866343988 26.275 15.903639812566702 0.004296418843598377 20.162722864592713 r
2458267.6809259 8409.669334417875 77.2331822223484 26.2471 16.43515270047576 0.009970911174310516 19.78016516578492 g
2458267.7378356 9576.211700431977 39.6944249816368 25.7163 15.763315653968307 0.004500342990602331 19.972051201454338 i
2458267.783588 12225.532431864009 118.033469039796 26.1083 15.890130544787894 0.01048207413875126 19.18086206076108 r
2458268.6774421 8564.156795022891 88.6099400697653 26.2867 16.454988475294222 0.01123330810450056 19.670568882091633 g
2458269.6766319 14292.350326574491 44.1351720030166 26.284 15.896240867852992 0.0033526715444820564 20.42461293052634 r
2458269.6775579 14423.959684321277 44.6667776117272 26.2954 15.897688750396139 0.003362094841804472 20.42301343325039 r
2458269.7439005 8321.218949368476 69.4997503371629 26.2586 16.458132626518164 0.009067887697725386 19.9062168779504 g
2458269.7457292 8552.899285835534 71.0657920995442 26.2772 16.446916604874993 0.009021049810589198 19.900623486541313 g
2458272.7025116 8364.08723918521 24.0781225231718 26.2737 16.467653615120387 0.00312545970359274 21.072218439009323 g
2458272.7034375 8191.792200515111 22.2330957704526 26.2657 16.48225268221524 0.0029466655753868525 21.150775142307097 g
2458274.7389352 8290.081165785316 20.6565874413255 26.2751 16.47870304344334 0.00270526386130052 21.240028549760456 g
2458276.7219097 8401.612807666363 20.7337820514918 26.2912 16.48029334251299 0.0026793268969457816 21.252078666598052 g
2458276.7266204 8155.663456221572 21.5763423205053 26.2694 16.49075175925825 0.0028722905234033957 21.187030429610815 g
2458277.6853819 9306.601915806526 28.4488379462612 25.6893 15.767322155925399 0.0033188164313546955 20.306713660648004 i
2458277.7221528 7988.228183649106 22.7514960918886 26.2237 16.467573845017775 0.0030922125331276713 21.08375008853556 g
2458277.7619907 13752.237218991084 29.2724294490927 26.275 15.929066612252065 0.0023109750178677856 20.86142806926011 r
2458278.7165394 8179.474448616055 19.5857919073967 26.2439 16.462086499806553 0.0025997140045419982 21.26662214926392 g
2458278.7470023 13714.581966520229 32.0664543059284 26.275 15.932043563914647 0.0025385060605518325 20.762447636150608 r
2458279.68 13775.900456726255 28.0909560231224 26.275 15.927200010118524 0.0022138916472362277 20.906158689527192 r
2458279.684213 13474.81119899624 27.7076184569621 26.275 15.951193277933491 0.002232473681038635 20.92107699259038 r
2458279.6973032 8493.555559773471 22.4742758842593 26.2977 16.47497616993264 0.002872804110813528 21.171060719741515 g
2458279.7028704 8389.576957534993 23.3974764398641 26.2795 16.470149844543336 0.003027880940760117 21.109152442572956 g
2458280.6763657 13662.900596550957 35.5953152569855 26.275 15.93614272832911 0.0028285233798937878 20.649092879896287 r
2458280.7246991 8345.173159439542 22.2117277039794 26.2802 16.47661161857961 0.002889727068267329 21.16631913723697 g
2458281.7038194 13835.141274140879 28.7965153355376 26.2739 15.921441004522867 0.0022597800832167216 20.878125146681153 r
2458282.7022338 13977.656578634776 28.3929369799301 26.275 15.91141408511622 0.002205391977238073 20.894549192927652 r
2458282.7040625 13374.145620441379 25.1002099014863 26.275 15.959334881057387 0.002037610376276456 21.028381605907946 r
2458282.7472801 8233.137362817786 22.9224003235352 26.2474 16.458486596745058 0.0030227662839266245 21.099324756894063 g
2458283.6775116 9722.204423618332 33.9821724366004 25.7321 15.762688128716322 0.0037948641076491563 20.156547140888776 i
2458283.7033449 13657.474306571956 26.2231556605425 26.275 15.936574019596968 0.0020846079927787997 20.980862606825912 r
2458283.7444792 8852.102426595804 23.330222658139 26.325 16.457383923868274 0.0028614244977373544 21.157777780116025 g
2458284.6969329 13621.292070693204 27.648630990358 26.275 15.939454236829459 0.002203764408724262 20.923390908471582 r
2458284.7389005 8845.775198810032 31.0941871308324 26.325 16.458160254309796 0.0038163934996320193 20.845876969403026 g
2458288.6821296 9591.236110754255 34.0695915916509 25.7291 15.774413544251491 0.003856578564423073 20.150757670396956 i
2458288.70125 8369.694656173077 39.166452432572 26.2533 16.44652596420383 0.005080593636074947 20.523589398223102 g
2458288.7471412 13576.555531724334 33.8222388748439 26.2502 15.918225999165138 0.002704721728616108 20.679769107941794 r
2458291.7494676 13069.70641731785 44.8647280633496 26.2462 15.955535419489891 0.0037269112023692115 20.369012389848766 r
2458292.682338 9707.478888058067 34.1828200490157 25.7495 15.781733863224387 0.0038230613895922135 20.1675552673347 i
2458294.6841435 8532.889365504303 49.6049013541131 26.292 16.46425971310769 0.0063115832273512255 20.30576351336395 g
2458294.7349074 13820.179522273125 44.7852741738949 26.2489 15.897615788745684 0.0035182880289097856 20.373636895924022 r
2458297.7550347 13095.27436935145 69.3572836613504 26.2093 15.916513494748829 0.005750257745447868 19.85914479939914 r
2458300.6832523 13526.461816207866 32.0325050603995 26.2356 15.907639472779632 0.002571085566692979 20.724197730592266 r
2458303.7016088 7815.595391551462 25.2286931960099 26.1813 16.448894829647493 0.0035046328309826496 20.92913810072376 g
2458306.6747917 11740.977637109669 43.9525695528254 26.062 15.887739347856304 0.004064338272196031 20.2071143145267 r
2458314.6743866 12066.858121112034 40.4861963707457 26.1246 15.920614483888299 0.003642693314079325 20.35890754605287 r
2458321.6777546 7130.400644218422 57.107727937022 26.0526 16.41981516811758 0.008695424466996544 19.91343778451246 g
2458324.6660417 13051.754747773559 77.8478449939752 26.1649 15.875727738813481 0.0064757120359143034 19.689358502139775 r
2458336.6800694 6889.229478616392 35.1852516099894 26.0503 16.454873371899225 0.005544978257951362 20.436973336616184 g
2458422.9866319 7674.254207478254 70.1041841504641 26.1282 16.41560954754697 0.00991785138652179 19.76641514041917 g
2458423.039213 13540.808812134566 48.4325904577193 26.2292 15.900088484593208 0.0038833177684942624 20.268930743479068 r
2458423.9652083 6183.066294025281 51.2362043178432 25.9512 16.47319024256932 0.008996692641260386 19.929832617044017 g
2458423.9661227 6541.510278211376 58.3157130268842 26.0067 16.467504929735558 0.009678708270806195 19.84481101386528 g
2458424.0339815 13777.90839520907 49.7601631980349 26.2601 15.912141767639362 0.003921103815938582 20.270470499066302 r
2458424.0395718 13655.234589659018 50.9811951409727 26.2665 15.928252086280542 0.0040534114006705035 20.250549958352842 r
2458425.0075579 7661.530801533704 35.5430480978522 26.1969 16.486111120227246 0.005036733300362544 20.572588316016155 g
2458425.0247917 12964.481596613407 37.8408590705883 26.2209 15.939012111087598 0.0031689520623539376 20.52857252095997 r
2458425.9764931 12956.46608476791 49.7083067207691 26.2234 15.94218359361167 0.0041653571470530925 20.234902565538533 r
2458426.0275 8065.425277148442 31.9241897296767 26.2426 16.47603182002127 0.00429736704494821 20.734875281126016 g
2458426.9626968 6946.95557523603 31.112665173889 26.0942 16.489713695916006 0.0048624206983133925 20.614431951042945 g
2458426.9692824 7154.670555634632 31.6618104511036 26.1225 16.486025897480275 0.004804585667426868 20.62373562768588 g
2458427.0300116 13169.532278959488 34.2281363332923 26.2447 15.945774122252722 0.0028217773289053775 20.661316856287627 r
2458427.0346759 12926.177074080144 33.5982018995111 26.2433 15.96462474756726 0.0028219919619888877 20.680084900299633 r
2458427.9759144 12412.437047260673 52.8963074276261 26.1596 15.924957352806693 0.004626772386076101 20.10361159923167 r
2458428.0304282 7573.13297448916 34.0291892845405 26.2322 16.534011043637705 0.004878494928146664 20.655145982820997 g
2458429.9903819 6895.045709555429 25.7240999457574 26.1571 16.560757125989404 0.0040505395449959335 20.883824518467776 g
2458429.9936458 6955.239062821342 24.1647392819479 26.1528 16.54701984502821 0.003772071269074184 20.9474197046277 g
2458430.0276852 14987.04175923024 32.4145749119162 26.516 16.07671020647671 0.0023481954976333477 20.99172416267603 r
2458430.0286343 12895.040525432336 28.9263668017702 26.2851 16.009043221650707 0.00243546008054356 20.884440266691456 r
2458430.9853935 13480.691333092993 33.2283002676389 26.246 15.921719588038723 0.0026761213285860716 20.694804673374026 r
2458431.0340394 8361.960902968794 21.7426798617096 26.2813 16.475529668400455 0.0028230253405606255 21.19059231073349 g
2458431.9872569 7519.66998520606 41.9859527368978 26.1362 16.445703047041146 0.006061987956403756 20.33101495776556 g
2458432.0376273 13359.29247877189 52.4462179081135 26.2219 15.907441354782506 0.004262266049891392 20.17518955148996 r
2458432.9703009 7377.99776698301 29.3267218759512 26.165 16.495153701380758 0.004315536944617449 20.7494161878926 g
2458432.9712384 7436.456041352879 31.235319164606 26.1523 16.47388496233573 0.004560261746782713 20.66826011927212 g
2458433.0275579 14284.391076451851 33.0310122483686 26.3042 15.917045670627562 0.0025105564392711665 20.75947028160833 r
2458433.0446065 14406.31244862485 37.0938930905203 26.3008 15.904417925855466 0.0027954995334161393 20.630118949313523 r
2458434.9873264 13415.034984251639 68.8820661894563 26.2158 15.896820476051179 0.005574734568317238 19.873109574767028 r
2458435.0269097 8229.357726680591 40.8611491417279 26.2736 16.485185146672606 0.005390815552876483 20.497898548733758 g
2458438.0152662 8347.778197757209 34.0914674945822 26.2771 16.47317274687518 0.004433887123260196 20.698060748695383 g
2458438.969919 7650.875082239956 24.4070452239788 26.2063 16.49702222203323 0.0034634899557026513 20.990086974516444 g
2458439.0257523 14283.922576100702 29.0809844388964 26.316 15.928881281255434 0.002210402964388571 20.909552229123676 r
2458439.9900116 5364.649863961625 16.6227728484924 25.8529 16.529046544968104 0.0033641234636477848 21.053716313530902 g
2458440.0177778 6348.901174833469 19.3080141783122 26.0593 16.552553582439543 0.0033017856816685144 21.097530966512334 g
2458440.967963 6476.409195275816 24.4762979525342 25.9772 16.448864298176805 0.004103186794690272 20.757910660987637 g
2458440.9707755 2226.5375551364905 25.6554847377413 24.9865 16.617424938002685 0.012510078581656004 19.716124427460294 g
2458441.0264931 14459.711436926611 30.3600146015493 26.3211 15.920700934720063 0.00227956608931527 20.867920048919963 r
2458441.0274074 13549.64953420155 25.8146931514695 26.2666 15.93677984450729 0.002068467696068864 20.98950757132025 r
2458442.0122917 6691.022325268859 33.3292929912219 26.0423 16.478568802627347 0.005408084391515702 20.487809736306833 g
2458442.0359259 6354.151945441494 37.3536097159977 25.4747 15.967056010490074 0.006382411754845266 19.79644354714224 r
2458442.9074769 1859.111244421784 93.7906373198725 23.6689 15.495636555972304 0.05477267443985366 16.991076271764033 r
2458443.0130208 4014.9904751950635 22.8835338175679 25.5529 16.543688701663832 0.006187973002483008 20.40666725977495 g
2458443.0287153 13034.195541777604 25.2044662865781 26.2092 15.921489419783075 0.0020994382783063475 20.958081225326406 r
2458443.9289468 12805.54670051314 62.4817380281213 26.2096 15.941104689231006 0.005297424980255859 19.97279223510127 r
2458443.9298843 12902.717911511447 55.5101489610004 26.2167 15.939996993701062 0.004670904931835274 20.108344007262758 r
2458447.9854398 13840.535695320163 56.588319423667 26.2815 15.92861775067013 0.004438985581970574 20.152257998351743 r
2458447.9863426 14140.941569477794 58.6861925887469 26.2899 15.913704180588535 0.0045057536643195 20.12113515290094 r
2458448.9715278 11868.14863524198 55.3985518438946 26.103 15.917042558175407 0.00506786775136222 19.996828958856284 r
2458448.9738194 11213.827927739343 49.4281469552067 26.0579 15.93351528070765 0.004785532602700314 20.075539166134327 r
2458449.0053472 14235.233215358621 50.4325766766418 26.2768 15.893388533566245 0.0038464173835068846 20.272597095439693 r
2458449.0509606 14172.27661536117 44.3802065458662 26.3066 15.928000949174736 0.0033998482780544445 20.441201691382506 r
2458449.9527894 11441.591425708868 42.6111749320579 26.0491 15.902883911904862 0.004043401909963677 20.22786621588163 r
2458449.9609606 11267.493188841776 35.9558513574905 26.0408 15.911231739465812 0.0034645920937841027 20.40395104822615 r
2458450.0069329 14165.560534937817 45.383424131014 26.2846 15.906515589143027 0.003478350430081177 20.394931839556946 r
2458451.0116088 8749.048612984838 41.0735094907812 26.3159 16.46099792589996 0.005096955249277963 20.534570458263723 g
2458451.0126389 8848.337053116278 41.4473938012952 26.3111 16.44394585616973 0.005085637581382362 20.51993192053897 g
2458455.9676042 13899.80967666059 39.148573903792 26.2564 15.89887786572123 0.003057855299897776 20.527185123430115 r
2458456.026794 11887.181171965454 38.5916670826821 26.0792 15.891502795454509 0.0035247189678981133 20.365541140090123 r
2458456.043912 1487.6499221282181 39.1573120922939 24.0513 16.12004814034803 0.02857735083115835 18.321842807861135 r
2458461.9708333 5287.463421865985 24.071801258786 25.7173 16.409181560028877 0.004942777385198594 20.51610351633048 g
2458461.9717708 5413.859220505529 23.7788143622525 25.747 16.413232604029467 0.004768623952265767 20.559099498100895 g
2458463.0069213 1543.8193137792482 25.8758236458544 24.4016 16.43010882544843 0.01819732495996045 19.121939532692537 g
2458465.009375 8536.025531239127 22.0877975577722 26.2961 16.467960736518805 0.002809354508220658 21.18829395618042 g
2458465.0103009 8872.413803796468 22.6497995730826 26.3205 16.450395527912995 0.002771611868009746 21.185414080869435 g
2458466.0097685 14801.41346577218 27.7643681816651 26.3264 15.900642023831207 0.002036547023332627 20.970255501854275 r
2458467.0147569 1017.5806674798052 36.1360289609657 23.8655 16.34657788141731 0.03855506290237091 18.22322392512063 g
2458467.9652315 837.3739427229859 27.977339390398 23.7082 16.400901393863023 0.03627411342342612 18.343758961001456 g
2458467.9727662 2013.572545453297 25.8147277148603 24.6722 16.412281797283796 0.013919066359595382 19.39510611762489 g
2458468.0321644 1213.9884935205569 38.0382541691263 24.0644 16.353863573976057 0.034018553529824795 18.36642354907709 r
2458468.0331019 328.0659877662979 39.8802214702745 22.9668 16.676896981876208 0.13197941287690235 17.217481085531627 r
