jd flux fluxerr zpdiff mag mag_error limitingmag filter
2458206.7148032 3407.9183008529562 60.0067549669611 26.2644 17.433177063162724 0.01911704686445202 20.071474634877923 g
2458206.752963 3400.1056587914027 74.3988989448157 26.2734 17.444668967455325 0.023756580733170083 19.84705871836411 g
2458210.6961111 1872.0260127486144 60.0429780136002 25.5814 17.40062030203606 0.0348225189102218 19.387819428516362 g
2458210.7117824 1264.736132088131 61.5537508264892 25.1672 17.412200184899536 0.05284019771142466 18.94663868378143 g
2458227.6740162 3456.9374047982083 28.6225979816595 26.2436 17.396871210528456 0.008989331014659114 20.854402362325608 g
2458233.7268171 3621.00782074357 58.8789394711827 26.2181 17.32102634295463 0.01765388746681474 20.045775041965815 g
2458236.6544097 3499.8005761689556 56.9100946235305 26.2325 17.372391754222086 0.017654517275496395 20.097101719900916 g
2458236.7063889 3402.2419826143646 73.4419032274662 26.1756 17.34618700166404 0.023436273710545744 19.763315181746286 g
2458249.6857639 3373.9046177865944 29.2626144643699 26.1555 17.335167998316912 0.009416514135129572 20.742292175397225 g
2458378.9933796 2886.169603038062 29.5577770703458 26.0855 17.434695378966246 0.011118847115392903 20.66139556593416 g
2458383.9930208 2875.355134795982 25.0152933126644 26.0661 17.419371269994848 0.009445478097955644 20.823160990417318 g
2458388.0308102 3408.0769544378763 95.9209172854453 26.199 17.36772651854386 0.03055721490126531 19.49679168105916 g
2458390.9960417 3166.5086729371997 49.8970454601134 26.1402 17.38874829530071 0.01710818691862131 20.147587912594346 g
2458424.998287 3643.176698374294 26.7134972154475 26.2452 17.341499411129416 0.007960866663358213 20.93094811991635 g
2458427.9145486 2186.149526498011 31.3619402256281 25.765 17.41580034211386 0.015575173651323165 20.27656768231625 g
2458427.915463 2238.9417746781924 35.3218346987977 25.7241 17.34899300105105 0.017128143467686485 20.106566854750767 g
2458428.0073611 3686.4279051900558 27.5297747243935 26.2548 17.338285637742974 0.008107869511348297 20.907868345198338 g
2458429.0521991 3658.901132861838 39.8100292978914 26.3103 17.401923313556402 0.011812767614990042 20.56289374616003 g
2458430.8834606 3420.781095039942 22.6496888775797 26.1522 17.31688679148708 0.007188640994901532 21.01711938715961 g
2458430.8839236 3334.340369411294 22.1952450425714 26.2076 17.400075173678463 0.007227029898862536 21.09452512881696 g
2458431.0064931 3819.259156060245 18.9530538198736 26.255 17.30005217887144 0.005387780637924373 21.31337699953862 g
2458435.0199306 3725.0180699240004 46.8041798424065 26.2734 17.34557904041053 0.01364162457765943 20.350263390586118 g
2458437.9700579 3630.376145690954 27.88358672814 26.2627 17.362820937730056 0.008338863218532918 20.90190339593487 g
2458439.9486921 2908.563460938101 18.6374947472636 26.1258 17.466603640103642 0.00695694913274396 21.202406154007967 g
2458439.9491435 3044.545912295528 19.0249724759893 26.0668 17.35799368080452 0.006784398466045076 21.12106489632013 g
2458440.9421875 519.0664723261307 22.4113416042096 24.292 17.50394255568769 0.04687645008287593 19.168405350737828 g
