jd flux fluxerr zpdiff mag mag_error limitingmag filter
2458205.6535069 2544.5581206406814 80.0849307962843 26.3861 17.872069062227002 0.03417025874167638 19.87979797759177 g
2458208.7351852 852.1299756538764 133.171967062888 25.3727 18.046435392766206 0.16967459046283556 18.314242952434448 g
2458214.6783681 2037.824990043195 1323.67129954691 26.275 18.002082790669597 0.7052175417122638 16.723124608190858 r
2458217.6583449 3019.247529347206 46.5799129470446 26.275 17.575253201027195 0.01674980636567433 20.357078307788107 r
2458217.6815972 3034.793862311072 136.963765558707 26.275 17.569677007354187 0.04899889976508922 19.18606077016124 r
2458223.6635764 2980.764528416494 28.0559888541093 26.275 17.589180826480423 0.010218984696214262 20.907511038310076 r
2458223.6822222 3008.36756223622 28.6412113834148 26.275 17.579172756887537 0.01033642417546177 20.88509653275837 r
2458227.6601042 2921.143951753479 39.1748890867466 26.275 17.61111760199289 0.01456010993773516 20.545055550276608 r
2458227.6735648 2399.7994861278617 30.6271134781733 26.3002 17.849762609998233 0.013856098101306573 20.83750981999478 g
2458233.7272685 2383.797944820041 55.04216523187 26.2315 17.78832639746434 0.02506893628383955 20.132336214892305 g
2458236.6548727 2386.632661124412 52.7881014008536 26.2769 17.83243605085274 0.024013767440819896 20.223134883502155 g
2458236.7068403 2348.3614409748443 78.4010804157152 26.203 17.776087647883493 0.036246572406676565 19.71976987022468 g
2458244.6587037 2778.180883201978 38.0105801792539 26.275 17.665598703534272 0.014854355650540885 20.57781374275509 r
2458244.7075463 2004.3857307121214 34.5280154993102 26.1554 17.90044674418811 0.018702521103202335 20.562545944275755 g
2458247.6736574 2263.862783829702 29.7117522936646 26.2832 17.89607474983965 0.014249118672582169 20.853454324895836 g
2458247.7198032 2811.984059019969 42.1844402408401 26.275 17.65246786409078 0.016287306687450483 20.46469426244576 r
2458263.6762384 6362.306456346526 112.763057428279 27.4464 17.937363539621927 0.01924252663556615 20.568557882392216 r
2458370.0216088 3166.290506458995 95.3317067936028 26.2737 17.522323103055527 0.03268860954314805 19.578181567697406 r
2458373.0165162 3225.048835234201 55.1180176656782 26.2999 17.528559261709646 0.01855526376092261 20.19924101500331 r
2458376.0156481 3257.3059492089515 43.3636613012776 26.2981 17.51595361877599 0.014453639851126243 20.4578601300682 r
2458378.994294 2276.1546805953685 33.3932899606077 26.1845 17.79149556983301 0.01592822105602622 20.627926967778077 g
2458379.0084259 3239.5526148621652 45.1757698980924 26.3187 17.542487405280013 0.01514015643806599 20.434011082500106 r
2458383.022963 3222.634634982509 40.9715454859305 26.3068 17.536272324185 0.01380324236921018 20.52816912349529 r
2458384.9577546 1680.376630657953 69.8894203511146 25.8813 17.817783417285945 0.04515591462700517 19.522846392817154 g
2458385.9934838 2299.4324261809284 76.5536154318546 26.2245 17.82044837147399 0.0361455545847055 19.767160723813763 g
2458386.0253125 3114.550673361567 63.9858623930332 26.3062 17.57271149703458 0.022304806723576934 20.043564919940216 r
2458388.9763194 2357.0796906527075 49.2170564394597 26.204 17.773064335346305 0.022669983704082793 20.226285899221626 g
2458425.9990741 3165.9503309040956 43.8750963685186 26.3506 17.599339757151846 0.015046095847529464 20.497629780730527 r
2458426.0067014 2624.0342381312366 37.1424633362134 26.3537 17.806276256573206 0.015367776783600825 20.681598230833096 g
2458427.892338 571.7811524791049 46.1974947999991 24.6265 17.73342541078552 0.08771996048993928 18.717528926029154 g
2458427.9094444 2091.513024367355 28.0456272784571 26.1401 17.838948566540246 0.01455842597271475 20.7730120940631 g
2458428.9955093 3165.160426352403 30.5971234432033 26.3372 17.586210682115066 0.010495296429751094 20.87557349252025 r
2458429.8891319 3082.409638674798 43.6738412709164 26.738 18.015774114892313 0.01538299415914736 20.890021510765102 r
2458430.8729051 1974.2717322989915 21.5318520380057 26.0964 17.85788268170363 0.011840888655403422 21.016271522207667 g
2458430.8825463 2293.6226149225395 19.9523962887369 26.2448 17.843495094835166 0.009444586267045172 21.24738733403047 g
2458431.9755324 2349.216472796008 33.8736874165145 26.2781 17.8507924063221 0.015654863165648875 20.70601880021462 g
2458432.8861806 2288.9064557353176 33.8791289624651 26.0707 17.67162988986029 0.01606993165770589 20.498444399096645 r
