jd flux fluxerr zpdiff mag mag_error limitingmag filter
2458202.7764005 2452.5102319135995 40.2343119627363 26.3326 17.858572930151027 0.017811298778500555 20.573683541756708 g
2458205.752581 2539.775048322673 68.8902593697322 26.3493 17.837311869472337 0.02944912568028971 20.006480439508085 g
2458205.7715162 2572.8246665651277 65.2451039182752 26.3567 17.8306745229485 0.027532622119424265 20.07290517120526 g
2458206.77 2299.051527774192 65.4922322885538 26.3009 17.89702823735832 0.030927935166604338 20.013000505373846 g
2458208.7653125 281.21412730422344 172.541137430631 24.5035 18.38090716382333 0.6661397658225782 17.163843347460382 g
2458208.7824306 1599.8780513172578 124.685077031968 25.8474 17.837182799076448 0.08461306661601517 18.860438794326715 g
2458214.7052546 4067.7495603567913 76.7797692202066 26.275 17.25161448297155 0.020492853408376165 19.814457983139068 r
2458214.7062384 2461.144151767285 43.3965888904698 25.6692 17.191357371184225 0.019143810217109994 19.828136004334148 r
2458214.8605787 1226.8853135649254 54.8634862500242 24.8266 17.104590080578134 0.04855000411454445 18.730966486683066 i
2458215.6916204 4500.674643971034 178.295191719438 26.275 17.141805953232144 0.0430102384559393 18.899725911057132 r
2458215.7550463 1068.5578029187802 51.7075418669319 25.5845 18.01250494998826 0.05253705326149307 19.55319025848931 g
2458216.7599074 1978.6433793150654 33.9655002459071 26.2497 18.00878118445876 0.0186371854587291 20.674679950937954 g
2458217.7060417 3963.1505139249252 24.9450997938839 26.275 17.27989858390982 0.0068336780929872075 21.03511187493152 r
2458217.7071296 4036.3668337777362 24.8984140197143 26.275 17.260023427541093 0.006697163368549359 21.0371457784912 r
2458217.7281366 4041.63400282352 31.7531596922617 26.275 17.258607543325255 0.00852981874504332 20.77310762031538 r
2458217.7290509 4102.3803234115585 30.3535909909075 26.275 17.24241019883774 0.008033115201621003 20.82204979467783 r
2458218.7289352 4033.0112419902252 28.4351724382504 26.275 17.260926418494765 0.007654842712755148 20.892935323483968 r
2458218.734213 3950.712726022426 26.1296220425432 26.275 17.28331137165764 0.0071807120939798045 20.984742169589538 r
2458218.7632639 3636.4381416334068 32.5575296873796 26.1204 17.218709489209616 0.009720421083723051 20.591346376061743 r
2458219.7100694 4096.376946571769 32.1489131938916 26.275 17.24400021657727 0.008520718554433596 20.759659249109944 r
2458219.7470718 3703.8590885821895 37.7795586327844 26.1639 17.24226386046614 0.011074197432093763 20.47333278945071 r
2458219.7579282 4124.328186979596 38.5432502738445 26.275 17.236616959269476 0.010146235926234258 20.56270415157647 r
2458221.7098611 4133.457197359491 58.5767365159906 26.275 17.23421638801228 0.015385852519783557 20.10826205870048 r
2458221.7107755 4123.130052811005 64.1148633706877 26.275 17.236932415890493 0.016882685307027443 20.010178186361628 r
2458221.7346065 3419.066135416652 48.2686947527828 26.0987 17.26393124627649 0.015327378827292005 20.14211110141135 r
2458221.7355671 3545.6120767786306 49.2691743553134 26.1038 17.22957195506559 0.015086687838158416 20.124936777908232 r
2458222.7555208 4037.408854702301 36.0197582850609 26.275 17.25974317208346 0.009686076634161976 20.636223003890677 r
2458223.6899421 3939.212838413964 22.4978388153509 26.275 17.28647638330875 0.00620070674111151 21.147222986731258 r
2458224.6847569 3996.7723241573303 41.5108459168045 26.275 17.270726476471566 0.01127618031667009 20.48217103012602 r
2458224.6856713 4089.0511094755993 36.7345996691534 26.275 17.24594365279947 0.009753547655195392 20.614886710914284 r
2458224.7073032 1230.9009765275139 40.9018206651043 25.0562 17.330642209421264 0.036076912394188136 19.279418388627565 r
2458224.7082176 4344.004080911655 147.941459507425 26.275 17.180274438568404 0.036975113189466155 19.102350241928235 r
2458226.756169 4135.757102717308 29.2268526242622 26.275 17.233612439320595 0.007672499401213125 20.86311986502494 r
2458227.7533796 4225.528401442355 33.1201128445658 26.2677 17.20299743721074 0.008509824831155059 20.72004546962598 r
2458227.7544097 4192.503811955712 32.2354574542485 26.2596 17.203416334618893 0.00834776489845379 20.74134039497097 r
2458229.659294 2471.6540980265254 35.5878753054297 26.3782 17.8957307694653 0.01563234768568752 20.75251983866932 g
2458229.6929398 4340.589647002826 32.273816969571 26.3192 17.225328174464575 0.008072562931181047 20.799649159877614 r
2458231.6777662 4126.034383779737 28.446368735781 26.275 17.23616789302569 0.007485207262898599 20.89250790096713 r
2458231.6786806 4132.473493876416 32.4798899428271 26.275 17.2344748083962 0.008533246870955481 20.748538616716775 r
2458232.7979398 2756.7646523673284 39.3993124171165 25.7079 17.106900771116564 0.015516679472268447 19.97175338231542 i
2458233.7225463 2277.2563795014084 47.1251884328591 26.3472 17.953670181548674 0.022467306510634142 20.416642239736085 g
2458234.6749421 2116.3988263401047 69.4164416995236 26.2417 17.9277062199504 0.03561022138889694 19.890619119446818 g
