jd flux fluxerr zpdiff mag mag_error limitingmag filter
2458202.7747106 1279.1253185844253 53.7872016626841 26.3343 18.56701726174407 0.045653669735661484 20.260177613585846 g
2458207.7592361 1178.6766029517462 96.8041870737572 26.3306 18.652113343113726 0.08916805987560687 19.61843963349999 g
2458207.7894676 1106.105767672126 149.350718168362 25.7308 18.12130835771361 0.14659545176827563 18.547856700922292 g
2458210.7309722 1026.948539136581 83.48682244298 26.0583 18.529428296384047 0.08826308200657397 19.506830159490747 g
2458210.755706 1083.419189351329 63.3002636377953 26.1015 18.514508691311793 0.06343352315247605 19.85056119214969 g
2458214.6834491 2388.034957438506 661.015636199725 26.275 17.82989830010507 0.3005251970816353 17.477045657257722 r
2458214.6940741 1400.117071761491 223.149981698299 26.275 18.40958912242176 0.17303834087605102 18.656082850265502 r
2458217.6983449 1963.298339713889 36.4627646250975 26.275 18.04253425170483 0.02016383488575529 20.62295100417812 r
2458217.7199074 1841.947155234886 36.9079680931885 26.275 18.111807084260924 0.02175468543974862 20.60977464792686 r
2458221.7062384 1196.8242015197106 61.7279680566293 25.8418 18.146724093317612 0.05599657396130848 19.618170036103816 r
2458224.676088 1942.144989922221 86.7325367705296 26.275 18.054295877917795 0.04848531683287721 19.682119866890734 r
2458227.6638079 1956.40258605699 31.6695322646784 26.275 18.046354429453174 0.017574916034567 20.775970866124016 r
2458234.7079861 1528.2865511855111 67.9322842960036 26.2978 18.337288021581674 0.048259327416680556 19.97018444302357 g
2458234.730544 1695.7446763587802 82.0431403133217 26.2949 18.221498844225287 0.052528094989771526 19.76236930108668 g
2458237.7058912 1627.9972292041375 81.1095940196623 26.2962 18.26706584650153 0.054091422667959146 19.776094420112805 g
2458245.6546181 2284.5797999199117 34.5734566901362 26.275 17.877984168807743 0.016430330833616207 20.680717981842662 r
2458245.7112153 1350.444383409534 36.662224024629 26.0325 18.20630824264118 0.029474872947410188 20.374527972051155 g
2458248.6628356 2331.7756423910682 30.5045552104612 26.275 17.8557830965739 0.014203251372004549 20.816663246936347 r
2458248.6733449 1996.9068103418188 23.4794571618425 26.3334 18.08250550469687 0.012765566479413676 21.159254859333192 g
2458425.998125 2772.8425977296138 53.2473740040154 26.3299 17.7225869568502 0.020848884103084157 20.266729502718086 r
2458426.0401968 2244.3081917164873 37.5750599865687 26.3691 17.99139376340215 0.018177201677554232 20.684425782691566 g
2458429.001412 2835.8003500249224 30.2196790229051 26.3266 17.69491087054775 0.01156975155704446 20.878450371194248 r
2458429.0410532 2210.769221821593 25.8688944356672 26.3313 17.96994147566587 0.012704111497292404 21.051930317711548 g
2458429.0512847 2029.3322646168817 61.8568787969244 26.3118 18.043417099178896 0.033093650793799216 20.085904983190844 g
2458430.9146528 1844.2530222354374 20.8234975936664 26.1288 17.96424874044243 0.01225866031659807 21.08499079653408 g
2458431.048125 2312.212061854836 30.928546104757 26.3307 17.920630844021993 0.014522509876969417 20.857376226455756 g
2458431.9822222 2159.5747502988083 33.1210781446492 26.2447 17.908779397331962 0.016651220124086985 20.697013825833547 g
2458432.0255324 2853.904629191186 45.324728839084 26.3099 17.67130136020835 0.0172427128773885 20.421636952775657 r
2458434.997662 2943.829589858286 62.4518105931629 26.3108 17.638518334279137 0.023032559695230527 20.07451240443337 r
2458435.039213 2396.191940993251 41.0394176203299 26.3345 17.8856959920262 0.018594710610671264 20.554072016190492 g
2458438.0045486 2388.132008242679 31.8167706960595 26.3254 17.880254176198786 0.014464639234968763 20.821334744162336 g
2458438.0366204 2990.476051983333 31.8939573067671 26.3459 17.65654917777367 0.011579182994958834 20.83920396779557 r
2458439.8747801 1984.8528590042715 31.825404524973 25.9337 17.689379207001608 0.017408263557681092 20.429340157729303 r
2458439.8878356 2340.795966124603 31.453135635204 26.0962 17.672791099086016 0.014588486076245747 20.604615119779535 r
2458439.9756366 1596.8202844711052 18.0737576087076 25.8797 17.87155989790429 0.012288595546162675 20.989653855256954 g
2458439.9839931 1816.7032866148056 19.6209920115148 25.9922 17.84398999530785 0.011725916490521756 21.01297258676984 g
2458440.9610648 2156.4912709821765 22.4423005888944 26.1408 17.80643073861532 0.011298726814815861 21.01570655178955 g
2458441.0399769 3025.1253693037606 30.2695852787217 26.3343 17.63244155577788 0.010863579100085959 20.884358812255513 r
2458442.8843634 1632.6203393549 79.0133308968231 25.7305 17.698286993292072 0.05254422677876054 19.238824063259642 r
2458442.8866667 1059.4953420786946 85.4620189424607 25.6976 18.134852370658017 0.08757576393284214 19.12074211837788 r
2458443.9631597 3004.777535776593 37.6077578764712 26.3261 17.63156919065152 0.013588607555910778 20.64048138379475 r
2458447.9411921 3026.0174472519084 58.8464893559799 26.3302 17.62802143068345 0.021113438573134812 20.158473591763723 r
2458448.0172338 2934.911316706083 62.0634985108792 26.3439 17.674912542895324 0.02295890167096642 20.11438435651392 r
2458448.9527894 2588.2105909873826 57.9113563183945 26.1818 17.64930097497079 0.024292598049718523 20.027465647941327 r
2458448.9632523 3006.2436062699862 72.0722940045232 26.3282 17.633139574864998 0.026028792023876802 19.936354125330535 r
2458449.9371991 3085.5350114213006 57.2178754591865 26.3304 17.607073803256213 0.02013312023882159 20.189145668903546 r
2458455.9620949 2972.2435307899227 35.4724797614774 26.321 17.638289023832133 0.012957374077217924 20.698846115169108 r
2458456.0174537 1971.0235589087201 43.4488811169007 25.9332 17.696470461824337 0.023932971280534395 20.090828496404946 r
2458461.9768866 2257.396550799602 28.2492535066485 26.1577 17.77368035718322 0.013586542657427403 20.782757549233857 g
2458462.0225463 2285.8030335165886 33.868574999227 25.9822 17.58460298815706 0.01608673684367735 20.41028267831244 r
2458464.9676505 2452.4866237637034 24.5704674657642 26.2228 17.74878338162483 0.010877187369381728 20.999341441074257 g
2458467.9531019 210.19276884965092 24.8151076972455 23.6548 17.84825557213378 0.1281764476216147 18.420584578235328 g
2458472.0259954 3165.5809510731738 38.1327093955411 26.3372 17.586066440267928 0.013078383788196476 20.636530829783187 r
2458472.9111111 3429.839476170395 39.183272920827 26.3411 17.502915513482566 0.012403285840549472 20.610923216286196 r
2458472.9115625 2889.1594306295965 35.1705752450475 26.2013 17.549371230252575 0.01321654081762701 20.58842631007169 r
2458473.8962037 696.043308338316 128.536588437174 24.8167 17.710109343548318 0.20049352158761025 17.796708066984777 g
2458476.0269213 3028.6183032710737 78.4024159404076 26.3644 17.661288643366944 0.028105721640315204 19.881151375388217 g
2458480.9538542 3279.3905959800873 50.0269807559376 26.3279 17.538417132635686 0.01656231284961923 20.33246425666676 r
2458480.9849653 2829.6651443785786 50.8684127956264 26.3128 17.683462386942765 0.019517445688556956 20.299254521868228 g
2458481.9196991 3402.1244715766798 39.8578115341939 26.3413 17.511924502874166 0.012719589287284248 20.592591365937928 r
2458481.9201505 2945.6437007929762 35.3013833021161 26.1738 17.500849464284716 0.013011319678883698 20.556895679748106 r
2458483.01125 2916.509092404381 36.5851374875797 26.3171 17.654941663227298 0.013619187361257142 20.661413260513314 g
2458483.0130787 2731.8284022032876 32.2421110411616 26.2563 17.665166460057478 0.012813857535545255 20.737816315794372 g
2458486.9360995 3029.74327877357 36.5571334229086 26.3507 17.64718542324546 0.013100146152752018 20.695844654671603 g
2458486.9577431 3519.2403175726477 37.411696646297 26.3464 17.48027768895626 0.011541661092613401 20.66645647866069 r
2458486.9751157 3533.309023596753 30.9320293649693 26.3503 17.479845943651927 0.009504660944533307 20.876853954663154 r
2458491.9597685 2015.2194572276094 33.3889613847552 25.8965 17.635694130788316 0.017988311518835447 20.340067714501348 g
2458492.9407523 1633.670554998368 36.4842726531928 25.5074 17.474488796332224 0.02424661122671149 19.85471075760077 r
2458492.974537 1472.5969560866238 34.3995091043156 25.3916 17.471390253903607 0.02536168968718045 19.802794376539858 r
2458493.9373495 3565.481528235642 28.2798756036459 26.328 17.447704522921928 0.008611308374403999 20.95188125222907 r
2458493.9581481 3043.9560625751474 24.2292454405686 26.1852 17.476604051500438 0.00864194201034921 20.976925265836407 r
2458494.967419 2882.5548938131033 29.6912357060796 26.293 17.643556033714447 0.011183056626355683 20.864004307466576 g
2458502.9215394 2848.6199609338614 82.8043985885587 26.1707 17.53411371708959 0.03155939956206938 19.628141471110766 r
2458503.005625 3026.962763472129 92.5262533639945 26.2284 17.525882303834244 0.0331869801933273 19.565312547220334 r
2458503.8035417 2557.3186250428716 182.607294532707 26.0532 17.533737895932283 0.07752523980887847 18.65197968387473 r
2458503.819919 2077.8526125951475 212.919121817178 25.9022 17.608163153264183 0.11125249652245234 18.334238323507215 r
2458503.8364815 2662.601053770559 164.745916872226 26.0165 17.45323475112518 0.06717665858911992 18.72703833997565 r
2458503.8533565 2896.076372060405 136.865085203536 26.2164 17.561874973998805 0.051308875842857 19.128243308879476 r
2458503.8710532 3044.6020237774483 145.311496492005 26.1587 17.44987367069208 0.051817837112789755 19.00552505070455 r
2458503.8885532 2428.4107903004683 129.910024519703 25.934 17.470694615171478 0.05808050029442927 18.902468327304682 r
2458503.9059722 3410.5766281822343 82.1671482568193 26.2697 17.43763047094501 0.02615653673495534 19.735529453295168 r
2458503.9226157 3561.2125311402388 67.8217931000029 26.3292 17.45020526776105 0.02067669933338598 20.003351820042308 r
2458503.9390509 3351.0829914067454 78.7706625203275 26.3189 17.50593704122674 0.02552049845307434 19.830563743592784 r
2458503.9554167 3209.273025831014 111.315053968362 26.2106 17.444583335363518 0.03765798457180386 19.34679023615587 r
2458507.9681481 2825.32555123654 104.079218514947 26.3199 17.69222875725767 0.03999496889561013 19.52906493256092 g
2458510.7750231 2723.622357457196 42.3501485784492 26.0481 17.460232773691615 0.016881766367400994 20.23353764336165 r
2458511.9096759 3537.8929669821237 31.0210132755427 26.3285 17.45663827519673 0.009519653202506532 20.851935040218592 r
2458511.9115046 3075.8362699858635 31.089015415341 26.184 17.464091965523544 0.010973712861702765 20.705057568617374 r
2458513.8806134 390.4988921119636 26.2265658944474 24.2919 17.81285048481461 0.07291744782578652 18.997621419635106 g
2458513.9195718 3253.1014605865475 27.4462641625817 26.1981 17.417355978372594 0.009159999883908379 20.854466891692933 r
2458513.9344907 2020.5842648839723 24.8044930183375 25.764 17.500307583405924 0.013327946049087656 20.530249101980054 r
2458513.9367708 680.2787316612753 22.5219956048911 24.5358 17.45408276669139 0.0359442820864279 19.406857815697226 r
2458522.8986806 3072.959745871755 32.8022678073136 26.2996 17.58070782182918 0.011589290164390798 20.76241531416766 g
2458522.9099769 2954.5234757285075 35.9256506767371 26.2813 17.605081387252888 0.01320161415543195 20.645363382373432 g
2458523.7529861 3519.372770901563 29.5458046820109 26.3242 17.45803682597009 0.009114658273338233 20.90053543286828 r
