jd flux fluxerr zpdiff mag mag_error limitingmag filter
2458214.8817361 2196.1158884387955 63.4572076927006 24.2694 15.915261865038563 0.03137151857725614 18.015772594344476 i
2458215.7488426 9084.961390833745 144.149710603217 26.275 16.379192285029514 0.017226637964561572 19.130540552084938 r
2458215.7498264 9763.304350540568 102.658354538424 26.275 16.301007930645426 0.011415825167449167 19.499089241954017 r
2458216.7341782 9730.783350431351 35.7648125953519 26.275 16.304630491550157 0.003990414300309367 20.643935104861477 r
2458217.7343056 9351.529128551458 26.3096406470203 26.275 16.347793422606383 0.003054514022017973 20.977287698485977 r
2458217.7694907 9761.208048892464 33.6701056636215 26.275 16.301241076606527 0.003744990736381403 20.709463790923934 r
2458218.7479051 9834.825224057282 32.6853822202236 26.275 16.293083383947767 0.003608251155261209 20.74169106931926 r
2458218.7488194 9294.575611775655 26.1631763001682 26.2066 16.28602608806849 0.003056122376701608 20.91494881989391 r
2458218.7689699 8859.29281354693 30.4952562338528 26.1639 16.295402359907662 0.0037371718476746562 20.70589427207922 r
2458218.7963542 8533.393561680541 33.2896631246725 26.1651 16.337295560410194 0.004235429550179932 20.611901488339182 r
2458218.7972801 8596.600914838007 30.862299336261 26.1472 16.31138308576768 0.0038977264062059784 20.676204291140714 r
2458219.7200926 9137.29714678608 34.9624095941705 26.2139 16.311855628781334 0.004154257816792395 20.607471598204995 r
2458219.7315741 8676.702674871856 44.0994895406032 26.1318 16.285913210725344 0.005518088793441341 20.27329108300636 r
2458219.7541088 8865.337423238985 39.1095933011843 26.1539 16.284661825210684 0.004789584808784685 20.425766739740496 r
2458221.7154745 6401.568450529423 45.6952096326984 25.813 16.297284015838535 0.007749864659202028 19.915898304036226 r
2458221.7514815 9765.939419003278 61.0796238548995 26.275 16.3007149352501 0.006790350090665674 20.062834104440174 r
2458221.7523958 7448.9483473152195 49.3563674426153 25.9581 16.2778625930276 0.007193795101527479 19.977317017273677 r
2458222.7530671 9800.517432061379 34.0736858267805 26.275 16.296877486289993 0.0037746783227091867 20.69652720237473 r
2458226.7593519 9427.503235218574 27.759705270295 26.275 16.339008274715738 0.003196892248137269 20.9190378620952 r
2458232.8085764 8632.30045741212 33.041838473071 25.7309 15.890583629824324 0.004155731627646302 20.185814479668586 i
2458243.68125 9231.325642882055 24.6391735854049 26.275 16.361839821636394 0.002897823324248197 21.048509646147057 r
2458243.847662 8477.805258046645 30.7631445106476 25.7047 15.883991409360256 0.0039396453419956986 20.237198175167393 i
2458244.6808102 9477.87552132005 25.5801434082389 26.275 16.33322249862911 0.002930230686808696 21.007817551896384 r
2458245.6786343 9574.452636346557 44.5985895167175 26.275 16.322215112278034 0.005057280084553918 20.404272179531663 r
2458245.6795486 9652.444722399223 43.3719942668355 26.275 16.313406692033865 0.004878450540745372 20.434551509925356 r
2458246.7169213 9593.909341493209 39.8510452334521 26.2404 16.285410974388476 0.004509765338602306 20.49187569721561 r
2458247.6642014 8805.550430261079 24.4531776243651 25.7286 15.866708728329353 0.003015009130551994 20.510336732856643 i
2458247.7367361 9840.446756182324 31.7473941620454 26.2615 16.27896296039006 0.0035027013199454443 20.75980477906543 r
2458248.7422917 9805.922633913115 36.054129815958 26.2384 16.259678843856857 0.003991870036360358 20.598587443875246 r
2458248.7432292 9789.335799897346 30.5545478092234 26.2424 16.26551693449244 0.003388694926250432 20.782285337209853 r
2458249.7372338 10054.41236935674 94.4282619523433 26.275 16.269108266721638 0.010196594314563427 19.589819998833494 r
2458250.7187963 9439.981576618091 61.141118253555 26.275 16.337572133211633 0.007031890004139805 20.061741545198718 r
2458254.6978819 9696.133506441001 32.5187568502646 26.275 16.308503533297333 0.003641205464928806 20.747240152343025 r
2458254.6992824 9581.433360760218 34.0745648908044 26.275 16.32142379147272 0.003861087763074634 20.69649919192319 r
2458259.6660995 823.1280565757318 53.7247182369626 24.6512 17.362531487491967 0.07086251783534456 18.57833962295568 g
2458259.6665509 673.7811890955991 50.1842081065986 24.4063 17.33500279500056 0.08086452341370357 18.407457300437585 g
2458277.6858333 8106.881126160186 28.7584210663984 25.6677 15.895565487843875 0.003851421683122359 20.273362393799246 i
2458277.7407523 9561.436712552477 29.3892484187671 26.275 16.32369211307202 0.00333714565786604 20.857103789524167 r
2458278.7390509 9707.208913677963 34.5858824463611 26.275 16.307264059018607 0.003868248113945966 20.680327836600718 r
2458279.6738773 9415.42280631806 30.9922901220265 26.275 16.340400432260104 0.0035737459780250157 20.79944081698612 r
2458279.6851505 9341.167194063473 26.9785956115622 26.275 16.348997136440182 0.0031356532483529436 20.95002664305741 r
2458283.6991319 9415.461311931545 30.8129096138976 26.275 16.34039599200776 0.003553046936257418 20.805743214189 r
2458284.7016319 9455.992088170578 27.7979830597778 26.275 16.335732249592247 0.003191655611234722 20.917541774345526 r
2458292.737581 9048.439582051047 42.4760284132388 26.1786 16.287165772797742 0.0050965941287525315 20.36081523256223 r
2458295.7394907 8793.263150310026 46.0216376250345 26.1945 16.334124824492033 0.005682269609745309 20.289669818014293 r
2458298.7575926 8410.886725280227 67.650301060856 26.1241 16.311995539757387 0.008732483774987981 19.801000655015887 r
2458304.682037 8676.661009834128 31.7608345365713 26.1469 16.30101842438199 0.0039741944530589275 20.64474522597301 r
2458423.0396644 9003.979344639045 48.3746469817081 26.1892 16.303113774882807 0.005833015849743261 20.23023046732021 r
2458424.0316898 8812.485026460467 45.4330231501644 26.1896 16.326854019804514 0.005597357962711403 20.298745898953044 r
2458424.0400231 8994.916207169857 42.2599311628813 26.2041 16.319107195007653 0.005100837651713526 20.391853025921343 r
2458425.976956 8492.179566994513 45.3623984414726 26.1529 16.33035207814853 0.005799448256996404 20.26373496691039 r
2458427.0351273 8873.59333529598 30.0196735306703 26.1966 16.32635119572091 0.003672960695934532 20.755660076903432 r
2458427.0360417 8688.43946639121 29.7934059667128 26.2007 16.35334555082173 0.003722958649039822 20.76797460322746 r
2458427.9915856 8714.676452557722 49.4353494822107 26.1597 16.30907183047195 0.006158801101225468 20.17718096731212 r
2458430.0263079 8583.026829755054 26.6247353822054 26.1857 16.351598824770537 0.0033678649476254 20.875061738899223 r
2458430.0272338 8663.966258241422 27.6195996074145 26.1962 16.351908119340987 0.0034610706459349124 20.84573154301313 r
2458430.9849421 8788.023949319106 31.3292834977357 26.1825 16.322771920502237 0.0038705177966802274 20.695198832512496 r
2458432.0385648 9138.099916914141 51.7006508857 26.1864 16.284260244085765 0.006142567620945821 20.155234962455634 r
2458433.0441435 9281.934982941217 35.7453615831584 26.2373 16.318203695009224 0.004181104386333198 20.606825752805527 r
2458433.0524884 9438.13801734387 52.5088543970313 26.2401 16.302884190248996 0.0060402658992796355 20.192093631048248 r
2458434.986875 9251.526028031365 64.01286483008 26.1647 16.249166562506282 0.007512140930635909 19.901606829073387 r
2458439.0248032 9268.827979968539 27.8642636650372 26.2328 16.31523794457727 0.003263868002136941 20.872756061728793 r
2458440.0173264 3451.8525200659187 19.2659713825678 26.0869 17.241769419334275 0.006059663617857699 21.127497712022326 g
