jd flux fluxerr zpdiff mag mag_error limitingmag filter
2458205.7615394 1752.778605490882 70.9440011351908 26.286 18.176682341091507 0.043943885320819165 19.91128579320086 g
2458205.8176273 1695.7942532060056 67.0320884239675 26.3017 18.228267102069843 0.04291601900661741 19.988568113401435 g
2458210.8005556 1642.3299581587266 79.7046422122503 26.1974 18.158748962420812 0.05269058730856858 19.696265947637933 g
2458210.822581 858.328091448807 126.883938731444 25.753 18.418866684021594 0.16049561193808956 18.747058360277876 g
2458214.7433912 3772.7853966385933 101.996513386259 26.275 17.333344744025297 0.029351686603251898 19.5061116735539 r
2458214.7692361 227.10718561712758 39.248319066442 24.1099 18.219322811472917 0.18762902589209163 18.37792233555239 g
2458214.8648264 837.9701984605667 59.4947934405721 24.3583 17.05022856581772 0.07708328692010016 18.174677586559902 i
2458217.7625347 3607.332573729549 48.0684619859101 26.275 17.382034541433534 0.014467179865300455 20.3229244228501 r
2458217.7784491 3599.5839708422473 32.3983923799436 26.275 17.384369226976432 0.00977194445020111 20.751266336933636 r
2458218.7583218 2826.750946253047 35.5063566326284 25.985 17.356781134447186 0.013637300253544793 20.361809711920642 r
2458219.7157755 3674.818826495751 32.4743665825853 26.275 17.361910168383282 0.009594328717514974 20.74872326703907 r
2458221.7564468 2931.9880738413453 50.5227521423051 25.9882 17.320294501410345 0.01870831347858641 19.98205748917947 r
2458222.7594907 3784.243741465358 35.8807098426286 26.275 17.33005224663472 0.010294180115643717 20.640422423457856 r
2458224.7341319 3813.835973991071 29.9384409001554 26.275 17.321594972720575 0.00852269617963775 20.837002039397024 r
2458224.7614931 3054.08240817084 36.4820728844016 26.0095 17.297298121431638 0.012969062794319723 20.356876222538112 r
2458224.780463 3207.5636750700405 32.775273591539 26.0974 17.331961783635847 0.011093813917055561 20.56110917503575 r
2458227.7707639 2697.5761814330344 37.7692892187094 25.8927 17.315265704231898 0.015201097039257334 20.202427959398324 r
2458227.7974769 1670.9063268712846 25.517841279151 26.2404 18.183019741309636 0.016580654361786032 20.975865159668714 g
2458230.7324421 4034.7686101398162 77.7628689689011 26.275 17.260453416432178 0.02092490425036054 19.800644301674794 r
2458230.8161227 1427.849648952747 30.3749101603421 26.073 18.186293802246745 0.02309629727840819 20.61928748391361 g
2458231.7752894 3739.5845781855774 35.5113989516018 26.2299 17.297841599727583 0.010309895400322937 20.606555535595877 r
2458232.7955093 3050.373749753508 29.944520641633 25.6928 16.9819173626895 0.010657961524632205 20.254581576170406 i
2458233.6919329 3680.076329142321 42.5231684824173 26.275 17.36035793362766 0.01254523001486772 20.45601094624145 r
2458234.7462616 1560.7122925223894 96.2560278017592 26.01 18.02669287252665 0.06695991944515987 19.30400514996647 g
2458234.7467245 1431.3026085740837 95.3208306953906 26.0003 18.110971343028467 0.07230464422131247 19.304905443033803 g
2458234.7471875 1529.8506441771049 112.389787829584 26.0897 18.128077415727084 0.07976046100383469 19.215457860782607 g
2458234.7476389 1482.8395075445078 102.304058469623 26.1315 18.203764628766958 0.07490461086000964 19.359342832152265 g
2458234.7490278 1563.8574925189562 90.7531522643375 26.0443 18.05880706206583 0.06300490798217466 19.402220691742716 g
2458234.7494792 1450.6205809040275 91.4731790123532 26.0862 18.182315413025947 0.06846203049995356 19.435540557667643 g
2458235.7262269 1668.7351367584054 69.7353973261339 26.2077 18.151731473719092 0.045370723735138146 19.851641789927807 g
2458235.7266782 1649.95112930151 64.5037756401381 26.2005 18.156822297933424 0.042444741525250615 19.929112148630438 g
2458235.7280903 1662.3509604589913 83.6353616476987 26.2617 18.20989320333544 0.05462318986830249 19.70830014121419 g
2458235.7285417 1834.3135539097348 70.4984128075268 26.267 18.108316062213802 0.04172685014619825 19.89912664053579 g
2458236.6864583 1627.8198545653609 111.177112523735 26.2387 18.209684146800573 0.07415132007911783 19.376236513124795 g
2458236.7302662 1579.7078106690465 111.760347626135 26.2465 18.250058086330725 0.07681053964423014 19.378355629249924 g
2458242.727419 1670.0514437989386 19.8535326119993 26.2592 18.202375376900655 0.012906776277391544 21.267180505190765 g
2458244.8807986 1827.2047283413249 45.5491890566072 25.2536 17.099131973972696 0.027064703692864234 19.359973365820217 i
2458245.6709838 3708.580658224896 28.0800173144774 26.275 17.35198067760791 0.00822052359322836 20.906581561037285 r
2458248.7084259 1602.8475404444926 22.9990568962576 26.2659 18.253669462194114 0.015578572161231454 21.11419992011041 g
2458248.7330208 3592.956349066506 27.6016889824555 26.2389 17.35027014754968 0.008340528193735994 20.889135844384807 r
2458249.8094097 2685.7831408500447 47.3247327020124 25.5892 17.016522641616426 0.019130532734788507 19.654054564972316 i
2458254.6545486 2907.1570079347907 32.8489226181646 25.6817 17.02302878122207 0.012267681170710708 20.142972163907444 i
2458254.6899653 3645.3373559235642 26.6103536303982 26.275 17.370655684800955 0.007925428599791057 20.964948374116496 r
2458257.7061227 2800.3930596662394 27.1657243299559 25.6496 17.031552518373317 0.010532031138710329 20.317121765955637 i
2458257.7310417 3316.2148141653674 25.404264762381 26.1941 17.392493362384485 0.008317136192354538 20.934408413427697 r
2458260.6897569 3504.5831349297405 43.8938036980044 26.2221 17.360509083306532 0.013598051705478738 20.368666946509997 r
2458261.7578241 2815.993345722062 43.7440081329428 25.6288 17.00472093944946 0.016865405489002724 19.779078555079124 i
2458266.7140394 2813.483959918457 41.4411453713043 25.6537 17.030588891197453 0.01599179244331967 19.862695613776772 i
2458267.6875463 1614.3495017537794 89.2055492316712 26.2114 18.191406090002623 0.05999349254644678 19.58799531045809 g
2458267.6908102 1826.9558445169841 65.5680752551306 26.2536 18.099279872333426 0.03896495885116259 19.96444390121315 g
2458267.7953704 3737.562069139699 64.6619985989833 26.275 17.343528965858724 0.018783241744283707 20.000952179582463 r
2458267.7962847 3795.067395410729 73.0611471321312 26.275 17.326951268001558 0.020901470033780522 19.868358772206193 r
2458269.6873958 3645.5949716790215 39.1993615734122 26.2387 17.33427895860459 0.011674019519686987 20.50807750447884 r
2458270.6699653 3854.801467932356 32.4702897250132 26.275 17.3099949607652 0.009145216387332105 20.74885957977441 r
