jd flux fluxerr zpdiff mag mag_error limitingmag filter
2458202.7889815 4191.515666668538 38.7693034775358 26.3343 17.278372265588892 0.010042150890733917 20.61565499261175 g
2458202.793588 4091.3175579699646 39.4493994730123 26.326 17.296342025819186 0.01046856236432085 20.58847399802399 g
2458202.794537 4140.413177164858 39.3418931109755 26.3239 17.28129079477677 0.010316239351705017 20.58933685389581 g
2458202.8160185 3961.188744403767 33.5692215431122 26.325 17.330436159136877 0.009200799603615641 20.762721813538484 g
2458202.8170139 3993.972658232203 33.4618899872096 26.3238 17.320287281324482 0.009096099815363665 20.764998821545362 g
2458202.8415972 4029.865918217614 33.344536843446 26.3119 17.298673508683788 0.008983466047163506 20.75691326557494 g
2458202.8623148 3986.539201004792 35.5909902894757 26.3191 17.31760990245825 0.009692903094379311 20.693324809030116 g
2458203.8486574 4125.55396634399 36.6290832508447 26.3371 17.2983943187711 0.009639480178872591 20.68010986585934 g
2458203.8656944 4081.7229980300626 36.7201181486233 26.3151 17.28799117893042 0.009767206714713641 20.6554148144265 g
2458204.7773495 4128.281881983355 56.7056881285616 26.325 17.285576641091183 0.014913072159598128 20.193508426630338 g
2458204.8031019 4130.308712351728 58.6372474578846 26.325 17.285043716464177 0.015413486980922785 20.157141050370118 g
2458204.828125 4181.039796843366 63.4836278371051 26.325 17.271789246594416 0.016484936305744307 20.07092064666965 g
2458204.8362037 4108.880636622299 59.94696142831 26.325 17.290691187128377 0.015839938362438962 20.133157052614564 g
2458204.8557407 4112.398287215162 49.3405572306948 26.325 17.289762076007637 0.013026229281318295 20.344564864376117 g
2458204.8954514 4147.11696022517 56.2308556377859 26.325 17.28063429037938 0.014721031635102334 20.202638259137036 g
2458205.762662 4170.879829765856 59.5397700287376 26.325 17.274430806865524 0.015498487359639249 20.140557107011134 g
2458205.7830787 4185.2232369985695 67.6771341954588 26.325 17.270703430191766 0.0175563071394738 20.00147008887012 g
2458205.8001852 4097.247838562694 63.0511334177018 26.325 17.293769412996845 0.01670746272835001 20.078342744336474 g
2458205.8011806 4289.198524445082 60.212300649652 26.325 17.2440596302197 0.015241191202215289 20.12836193549352 g
2458205.8229167 4073.6216937420077 71.5715880209191 26.325 17.300048263050584 0.019075230582575823 19.940723355686675 g
2458205.8238426 4285.918174937144 65.7891170847877 26.325 17.244890311485882 0.016665564181005756 20.03218984406597 g
2458205.8356019 4145.711953691296 66.0634687369589 26.325 17.28100219052351 0.01730103509575793 20.027671556470423 g
2458205.8565394 4395.977111206032 109.473382869238 26.325 17.217361443773548 0.027037277213785103 19.47930364277663 g
2458206.7581019 4072.6987053784105 60.8169974761967 26.325 17.30029429361116 0.01621259487540995 20.117512550910124 g
2458206.7753009 3994.081377994289 59.2283597993543 26.325 17.321457726947074 0.016099879834308904 20.146250724244776 g
2458206.7959722 4154.568412512121 57.6160539044089 26.325 17.27868521297271 0.015056618043796445 20.176216213298726 g
2458206.806088 4409.807386252688 48.907344231369 26.3954 17.284350948617504 0.012041048277421227 20.424539788198377 g
2458206.8161343 4062.822510071538 58.6481993202019 26.325 17.30293037501109 0.015672441964692675 20.156938282954577 g
2458206.8308912 4142.580126223086 53.4297225424154 26.3521 17.30892270664392 0.014003024201535149 20.28521769185592 g
2458206.8352546 4180.836635747847 63.8025445023807 26.325 17.271842004933678 0.01656855519633189 20.06547999136538 g
2458206.8711574 4138.829839547517 58.547736337493 26.325 17.282806071147565 0.015358272701678772 20.158799718228256 g
2458210.7673264 4198.933030324742 80.0514429845778 26.325 17.26715262990453 0.020698556281007047 19.819152077172767 g
2458210.7873264 4245.7221999156545 87.818692526708 26.325 17.255121063455327 0.02245666343364175 19.718607571912877 g
2458210.8110648 3890.7580930495483 75.3765221058228 26.2606 17.285514426280063 0.021033507633508287 19.820084751397715 g
2458210.8158449 3632.5020552338765 90.6544830817854 26.1462 17.24568532827583 0.02709525577283052 19.50530177449208 g
2458210.8354861 2438.8182216999035 104.200142613531 25.6633 17.19535142198597 0.046387259956035896 18.871204205757255 g
2458210.8785301 4264.443373400679 100.025433070505 26.325 17.25034412028963 0.025465835321444582 19.577298888214486 g
2458211.8281481 4239.717130221023 82.2240057886179 26.325 17.256657795359082 0.02105579224811365 19.790078411870745 g
2458211.8541551 4266.736146543325 82.6034541526363 26.325 17.249760532319318 0.02101901010358307 19.785079468677864 g
2458214.7630671 4053.286298808867 85.0810665344269 26.325 17.305481798318148 0.022789535978145106 19.75299267574257 g
2458214.7640278 4094.4436390259843 95.276067087014 26.325 17.294512756685904 0.025263805087076114 19.630115435292115 g
2458214.8827315 1834.7910133401288 60.4948328217065 24.5379 16.378933489186345 0.03579657820263768 18.33617928694433 i
2458215.7648032 4103.00853712197 197.463654137214 26.325 17.292243948491134 0.052250997617263845 18.83885706533303 g
2458216.7660301 4103.375706648006 33.4660598298034 26.325 17.292146792609536 0.00885468544797191 20.76606353130891 g
2458216.7669792 4163.470084721857 34.9392309001011 26.325 17.276361378695242 0.00911103531821676 20.719291637050283 g
2458223.8183218 4261.066225943295 24.597139276207 26.325 17.251204289740464 0.006267237516653731 21.100363488556184 g
2458227.8009144 4078.10856534217 28.1361784587349 26.2982 17.272053042090242 0.007490592382031258 20.927612214390187 g
2458227.8019097 4146.762364740432 28.1617510167877 26.325 17.280727129240656 0.007373273505833093 20.95342585292736 g
2458227.8034375 4188.622334024002 34.5608009860963 26.325 17.269821989788934 0.008958234626647944 20.731115491172716 g
2458227.815162 4084.7646167455946 34.5393844633592 26.2913 17.263382411227827 0.009180311041213812 20.69808850513669 g
2458229.7792361 4084.7569754557117 24.2355011589355 26.325 17.297084442295372 0.0064416276822247785 21.11644497715517 g
2458229.7806481 4111.714530413513 26.0278063569311 26.325 17.289942613296695 0.006872653525116727 21.038981071693772 g
2458229.8121528 4078.397009720019 24.3354477540741 26.325 17.298776250748325 0.0064782794719663766 21.111976635791613 g
2458230.8184491 4199.582541019183 86.790676648973 26.325 17.26698469611391 0.022437620100906972 19.731392303447382 g
2458230.838831 4123.094020157911 24.8192085165419 26.325 17.2869419043438 0.006535435416866271 21.09060516978049 g
2458230.8397917 4179.224701601192 25.9425466574516 26.325 17.27226069451352 0.006739485171784135 21.042543472955625 g
2458230.8407407 4145.133005483258 25.4909189089775 26.325 17.281153824050435 0.006676623071652279 21.061611260637317 g
2458232.6711574 3904.493522686082 106.006272540809 26.325 17.346088233255607 0.02947655295849483 19.51424607955312 g
2458232.6721181 4135.737439383731 181.533325694272 26.325 17.283617601433214 0.047655523251891874 18.930184079137852 g
2458232.757662 4251.366639102054 75.7755983927541 26.325 17.253678599336673 0.019351322564922224 19.878751552570534 g
2458232.8218403 6220.621625302513 30.0493524670438 25.8235 16.338915535479824 0.005244585499424729 20.381487194570937 i
2458234.6967593 4237.637856154107 64.4753078954801 26.325 17.257190400914226 0.01651883529416372 20.054091427296367 g
2458234.7527662 3068.8895099301167 87.9282775903033 25.992 17.27454686827484 0.031106929940259122 19.384253574328888 g
2458235.6752199 3942.5533567614048 67.0102846566355 26.325 17.33555605102793 0.018453286352342967 20.01222133215245 g
2458236.6745602 4093.0720724758944 77.021341598329 26.325 17.294876520134324 0.02043014857608479 19.86104729135291 g
2458236.7162616 4139.279612722891 86.4677959553685 26.325 17.28268808888997 0.022679812637008332 19.73543901653935 g
2458236.7172569 4326.268937103289 92.6855069570984 26.325 17.234716216709742 0.023259916654811336 19.660045414873196 g
2458237.6852431 3955.259225519225 77.8038376846723 26.325 17.33206261952874 0.02135678643494214 19.850072441281775 g
2458237.7416435 4203.65311926072 91.2597187867848 26.325 17.265932821646622 0.023570136230516854 19.676877173716377 g
2458238.680625 3982.2478232660137 91.4830956299469 26.325 17.3246792911282 0.024941490668949406 19.674222859263672 g
2458238.6922222 4100.810779636802 111.494846641539 26.325 17.292825673864616 0.029518541942927683 19.4594380029162 g
2458242.7178819 4013.088252164409 22.9329229399986 26.325 17.316303223885818 0.006204267853448752 21.17642645985675 g
2458242.7187963 4062.4061903532142 22.2752766731145 26.325 17.303041636714113 0.005953188024730157 21.208017221769186 g
2458242.721713 4021.209967742833 21.1891295558252 26.325 17.314108123975274 0.005720924334541153 21.262292198240267 g
2458242.7484491 4005.9973296805288 22.1427939324758 26.325 17.318223361336386 0.006001110184066489 21.214493943184593 g
2458243.7021644 4131.112405225826 30.8011638116089 26.325 17.284832469890194 0.008094871373618738 20.85615717295667 g
2458243.7193519 4005.705488763595 23.4116467603889 26.325 17.318302461187407 0.00634545524104414 21.15399508223613 g
2458243.7442361 4062.6080577339526 21.9080827916697 26.325 17.30298768610746 0.005854762543887378 21.226064055462423 g
2458243.7451505 4109.845467643732 22.9053283264828 26.325 17.29043626879603 0.006050912415040254 21.177733685753985 g
2458243.8419213 5970.488744900273 30.8684039282484 25.7917 16.351675290047083 0.0056132466832845675 20.32048955272993 i
2458244.701956 4012.858680601351 21.3278271179827 26.325 17.316365335972968 0.005770355685320025 21.255208459858807 g
2458244.7215162 4070.037408716224 22.5887616558327 26.325 17.301003997622225 0.006025649414724457 21.192843931644333 g
2458244.7459838 4110.352089438574 35.2577099437729 26.325 17.290302438040342 0.009312899443410636 20.70943973762104 g
2458244.7468981 4154.6733525325635 34.1403528910603 26.325 17.278657788766566 0.008921563258692708 20.74440497446506 g
2458245.7683796 273.9672446693105 35.5564929838458 23.2043 17.11005339504511 0.14090620387542166 17.57957769171552 g
2458245.7904282 1415.1060583688165 31.291101837006 25.1868 17.30982752430994 0.024007210670553964 19.700822849167068 g
2458246.7980556 4102.873011434059 28.4985936536104 26.2978 17.26507981182774 0.007541282180437306 20.913316416642754 g
2458247.6603704 6382.56220516118 30.4963162079476 25.8553 16.342812359551896 0.005187548423765434 20.39725653400476 i
2458247.6815046 4104.24858782124 24.8125921600492 26.325 17.291915856430734 0.00656369387275982 21.090894646194094 g
2458247.7048264 4140.305753372942 22.7060695140923 26.325 17.282418964770493 0.005954144727443627 21.18722008140395 g
2458247.7058218 4073.5973653279834 22.6754711677081 26.325 17.300054747285195 0.006043493462638402 21.188684189365482 g
2458247.7996991 4053.347038602517 24.0872036385694 26.3002 17.280665528335213 0.0064518228371117006 21.098309028478166 g
2458248.6819676 4055.3904185914084 21.5922012599789 26.325 17.30491832312782 0.005780615548256293 21.241832690141187 g
2458248.6896181 4051.51168083252 21.5837266366633 26.325 17.30595726162326 0.005783878674295258 21.242258909375927 g
2458248.7224306 4164.588835359527 24.4020025604652 26.325 17.276069673727648 0.006361553379521058 21.109011318264713 g
2458248.7233449 4113.457057187383 24.0375055146375 26.3303 17.2947825804781 0.006344424987163078 21.13065149695611 g
2458248.7242593 4151.519771164608 24.4051048959251 26.325 17.27948222363808 0.006382390990775144 21.1088732925505 g
2458249.6945139 4066.921427286857 29.9878977000258 26.2807 17.257535545153626 0.008005529763735357 20.840909937572142 g
2458249.695463 4025.630919394712 29.4760705486908 26.2838 17.27171511225348 0.007949603536810426 20.862701020904485 g
2458249.7220949 2871.735363865511 33.7178623870407 25.9453 17.29993895921873 0.01274751275978802 20.378224904567297 g
2458250.706331 3943.474457832641 44.7233710774861 26.325 17.33530241946351 0.012313041328918218 20.451238660216944 g
2458250.7073264 4037.354330404276 37.5791959189604 26.325 17.309757834805588 0.01010556163028918 20.640206280968382 g
2458255.6815509 4065.5586281879696 25.8098306226067 26.325 17.30219942931325 0.006892468088562151 21.048112102936724 g
2458255.7075 4179.146776085863 26.1418357854944 26.325 17.2722809392594 0.006791384134848137 21.034234783581567 g
2458255.7084144 4108.1509086261485 22.5840092753135 26.325 17.290884028570634 0.00596849030514502 21.193072380397915 g
2458255.7289468 4132.278432780572 22.8868656790123 26.325 17.284526058547645 0.006013212921614162 21.178609187193295 g
2458257.6941782 5893.784864463516 26.5640181849607 25.7806 16.35461430214566 0.00489338433733907 20.47244056697899 i
2458258.6832292 4084.6309941590916 24.950360207782 26.325 17.297117928880994 0.0066318367843569885 21.084882939399424 g
2458259.7025926 5263.262989930072 1004.21890074817 26.325 17.021862322523837 0.20714915113082233 17.073004011358528 g
2458262.7254514 7758.461792769443 80.689978547803 27.0262 17.301760935620898 0.011291556502990576 20.51172598914683 g
2458263.7664468 12016.174433883212 118.257213642597 27.4996 17.30018443954753 0.010684919527277181 20.570105884142283 g
2458263.8304282 5833.116002583051 42.4679193881611 25.7613 16.346548466785084 0.007904423649265501 19.943722528370035 i
2458267.6799884 4004.510617310616 96.5325662324803 26.2953 17.288926376344996 0.026171839002137546 19.586190359968967 g
2458267.6927662 4144.409187627657 59.2867877105076 26.325 17.28134343048108 0.015531204208661513 20.14518018929663 g
2458267.7401505 5926.1244977074875 39.2287369373407 25.7698 16.337873072445596 0.007186929621432511 20.038364176137534 i
2458269.7565741 4320.214676291962 72.2351387016941 26.325 17.236236680177687 0.018153192830626188 19.930703711582538 g
2458269.7574884 3666.31105253424 64.0233651033996 26.177 17.266426729866215 0.01895915717372477 19.913728746245823 g
2458270.7459028 3798.6980568076974 55.364251652927 26.2318 17.28271306347679 0.015823570897365948 20.126301404102854 g
2458272.6982407 4176.465767179748 23.7766408813018 26.325 17.272977684954455 0.0061808956289520975 21.13719874336931 g
