jd flux fluxerr zpdiff mag mag_error limitingmag filter
2458202.7896759 2359.0271258804432 38.5375706502981 26.2764 17.844567663097095 0.01773622693694669 20.564264154359286 g
2458205.72875 2466.5814321846365 67.7351669582155 26.2875 17.807261355213047 0.029814572430880815 19.96303947510893 g
2458205.7610301 2583.212696704616 79.7926446702791 26.3118 17.781399583480642 0.033536098064644984 19.809467839928985 g
2458208.7765856 1600.592083951473 176.631411358574 25.7677 17.756998338317594 0.11981111567075445 18.402605141301994 g
2458208.8184491 1013.4824303531526 223.342017991253 25.3571 17.842559439496533 0.23925666757598282 17.7372488995166 g
2458214.7169676 995.8381432710479 45.2296254361156 24.8207 17.325228107747087 0.04931102977708001 18.93471751115607 r
2458215.7406019 2486.839547399693 46.5941369982924 25.7327 17.243580587013028 0.02034198571111734 19.814446808458694 r
2458215.7468171 4298.197963439485 201.480236541724 26.275 17.191783964869998 0.05089274497685187 18.766993859019557 r
2458215.7627662 1066.4815280810565 53.3780548341809 25.2457 17.67581665579175 0.054339951145469446 19.17986813045132 g
2458216.7241204 4011.37138920472 47.3028013239225 26.275 17.26676781848426 0.012802766539042512 20.340357836919193 r
2458216.761956 2367.4619032343667 30.7853996370271 26.2252 17.789492502140355 0.014117949834908727 20.756912999893494 g
2458217.7409838 4083.947099974395 39.2038621666464 26.275 17.247299730087942 0.010422180334949701 20.544252855088427 r
2458217.7583333 3942.037511897761 28.5727491458809 26.275 17.285698118372864 0.007869390804642211 20.887694918353045 r
2458218.7731134 3960.899518043884 27.9089760681221 26.275 17.280515437105016 0.007649973239443449 20.913215230984033 r
2458218.7992014 3558.6176769884614 30.5233486751638 26.101 17.222796670685284 0.009312379880232015 20.641994544772704 r
2458218.8002199 4110.641926057763 34.2799892381596 26.275 17.240225881334318 0.009054007861872543 20.689973296887405 r
2458219.7434838 4227.72716815038 50.1872331823362 26.275 17.209732617975142 0.012888314902756817 20.27609185484451 r
2458219.7599537 4232.176016773158 39.0375171695954 26.275 17.20859069557747 0.010014477711478755 20.548869518532523 r
2458221.740787 3100.5418992836594 51.9349420598514 25.8965 17.16790598855847 0.018185777978813277 19.8604258605464 r
2458224.6983102 4157.585246548433 98.6067267483176 26.275 17.22789709325906 0.025749880491212025 19.542808632587157 r
2458224.6992708 4235.608000617641 92.4282823553292 26.275 17.207710600074215 0.023691849231219666 19.613062783203024 r
2458224.7190278 2342.1559193604253 36.3924955873729 25.6068 17.182760492347988 0.01686964225251074 19.95684539411692 r
2458224.7255556 4260.817714255086 43.9073515784686 26.275 17.201267613329275 0.011188042954585184 20.42123188430294 r
2458226.7538194 4136.016885684229 29.827532951493 26.275 17.233544242154412 0.00782969543415649 20.84103165376527 r
2458227.7425231 3808.3334102523054 31.1433998308155 26.1444 17.192562593015236 0.008878526524303525 20.66355993557026 r
2458227.7434606 3781.6245231308903 31.2374271523449 26.1571 17.212903985942905 0.008968228985151155 20.67298684832621 r
2458229.7733565 2525.644117008866 28.7891376273601 26.2981 17.79216961238913 0.012375602133146908 20.902603349480223 g
2458230.728044 798.1116417490161 67.1281607116936 24.4364 17.181240885644904 0.09131685377370401 18.12171311958531 r
2458230.7289583 2838.287220147452 254.247598118219 26.275 17.642359145686946 0.09725464544867662 18.514432842094635 r
2458230.7958681 943.8692754986027 33.8829324206553 25.267 17.829720376704266 0.03897435872109804 19.69462251519346 g
2458230.8089468 1114.5684691757601 34.2301017683385 25.424 17.80623311793279 0.033343506942528314 19.840554513345488 g
2458233.6747338 4003.521661725203 52.6227068701104 26.275 17.268894543318357 0.014270554196092262 20.224642028944032 r
2458233.6756713 4063.688471375726 60.0458003757512 26.275 17.252698982831696 0.016042500779072516 20.08136839392659 r
2458234.8776042 1558.9073363165223 125.124121900948 25.665 17.682949247823988 0.08714261327991896 18.674222382420254 g
2458235.6718519 2567.70159856749 80.297115472218 26.3009 17.77703862131474 0.03395198971594817 19.791725128360493 g
2458235.7101042 2544.1480201253817 65.1353666966417 26.285 17.771144061908927 0.027796129416659796 20.003032833003225 g
2458235.7197569 2644.8588051082743 74.1800959249608 26.2819 17.72589376918456 0.03045052158934924 19.858756512672873 g
2458235.7202199 2524.2223362367367 79.0244357561282 26.2847 17.779380986537184 0.033989410785556826 19.792871480138892 g
2458235.7206713 2508.3545234350177 71.9340149752449 26.2925 17.794027704002865 0.031135455267173543 19.902739236679523 g
2458235.7211343 2463.9852562467386 73.2600515248592 26.2695 17.790404737971386 0.03228040335829624 19.859906939724315 g
2458236.6707523 2421.6655893712573 81.5557200429779 26.2511 17.790814573211534 0.036563696341595314 19.725038923175276 g
2458236.6873843 2667.555782204605 88.7017124107367 26.2406 17.675316225306673 0.036101756449399065 19.623344978944925 g
2458236.6908449 2523.6148029838646 81.7249349124771 26.2455 17.74044233445045 0.03515939188879599 19.717188530732617 g
2458236.6918403 2418.6811620396156 81.4529265688017 26.2267 17.76775344473519 0.036562670501462134 19.702008256810508 g
2458237.6871528 2552.683377357467 77.9154440189 26.2494 17.73190762416645 0.03313877401391239 19.772916114317333 g
2458237.7092361 2684.078219785516 82.7655329585689 26.2713 17.69931208011917 0.03347836082820971 19.729251199199453 g
2458238.6701157 2519.1126443033413 81.9978037813384 26.2461 17.742981030534615 0.035339831176949575 19.714169438030506 g
2458242.7031713 2834.301197005642 22.6720180429201 26.2932 17.662084999506085 0.008684683905579057 21.15704954284698 g
2458242.7040856 2765.758481320981 22.8560713228567 26.2793 17.67476436787804 0.00897216326111507 21.13437103265503 g
2458242.7567014 4380.302601725969 29.5971176369144 26.275 17.1712397159085 0.0073359293957765345 20.849451442537514 r
2458242.7576389 4428.011314878753 32.2303899979713 26.275 17.15947819510257 0.007902539522249528 20.756911087546186 r
2458243.6693287 4374.544323888367 28.5371639645786 26.275 17.172667946848456 0.00708252028609086 20.889047962775237 r
2458243.7100579 2878.4666916090496 21.9544458678473 26.2799 17.6319969791265 0.008280777383391447 21.178668789290803 g
2458244.6698843 4279.782724165751 26.551894979902 26.275 17.19644569667916 0.006735713992419759 20.967336185037468 r
2458244.7111921 2830.6488517993453 20.0096011494488 26.2608 17.631085006192123 0.007674715270368878 21.260278909288548 g
2458245.6691319 4393.672732757502 30.1087602483032 26.275 17.167930737707387 0.007440035475984775 20.8308428054931 r
2458245.6700579 4407.31082162803 30.2473559630131 26.275 17.16456580045663 0.007451154615165677 20.82585644589205 r
2458246.7140741 4124.9068148002325 38.3027915046836 26.1959 17.15736464522464 0.010081522469168542 20.490398922978493 r
2458247.6930556 2899.01463556731 21.2558689167517 26.2722 17.61657398029992 0.007960462358411403 21.206077831282336 g
2458248.6709722 2995.199316633259 20.5301578865289 26.2943 17.603235680070014 0.00744177267056102 21.265894265881478 g
2458248.7290162 2885.089323267222 20.099815970931 26.2613 17.61090184101799 0.007563845605628261 21.255894786302143 g
2458248.735787 4137.083461380652 33.9100381629046 26.1642 17.12246429393511 0.008899053832764358 20.59095429280899 r
2458248.7367245 4583.650534033468 33.2795276543424 26.2656 17.112571252976004 0.007882708968767062 20.712732105161948 r
2458249.7281944 2694.621751495064 31.9654348198442 26.1807 17.604455472081284 0.012879311378173748 20.671573448067832 g
2458250.694456 2999.3787953050983 35.1052332256337 26.276 17.58342170795669 0.012707215164930029 20.66514533249655 g
2458250.7155324 4104.879126658479 60.8633738138807 26.275 17.241749066762146 0.016097761447003017 20.06668493227662 r
2458254.691875 4784.417310219516 31.0031881172071 26.275 17.075427367479392 0.007035373203535912 20.799059100500184 r
2458254.6928009 4602.094748247873 28.3014830370996 26.275 17.11761111072557 0.00667672479908796 20.89805200477031 r
2458255.7388194 4677.553897043216 35.3950071922327 26.275 17.099952999118997 0.008215481885285907 20.655219976877163 r
2458257.7024074 3496.237387527588 25.2423547988513 25.4655 16.606497718273992 0.007838605211098987 20.212750322273678 i
2458257.7033449 3604.0960088222832 26.0356638931006 25.4509 16.558909121128693 0.00784299869358257 20.1645533481854 i
2458257.7129167 4662.941849537697 38.2091272415593 26.275 17.103350001242802 0.008896454381105739 20.572157194631657 r
2458257.7143056 4177.853389956238 31.9985089440836 26.1261 17.073717011086845 0.008315462013126189 20.61585063495736 r
2458258.6695602 3225.684174499984 25.6726696278324 26.2304 17.458845391179164 0.00864090093980085 20.95929740899355 g
2458258.705787 4097.333319382003 31.929797570282 26.1076 17.076346761535213 0.008460669054692343 20.599684576180287 r
2458260.6692245 4230.326528059924 52.0890971384839 26.134 17.0680652731336 0.013368502972083312 20.09470791450567 r
2458260.6867361 4337.968741673811 52.4791504608909 26.1494 17.05618395432202 0.013134399311832006 20.102007999133356 r
2458262.7142477 6605.07976126171 80.3640120939547 26.9356 17.385904833970464 0.01320971299122356 20.425520963308333 g
2458262.7478704 8087.982569409568 118.054072320986 26.9067 17.13709948343427 0.015847129394623703 19.97907255708585 r
2458263.7280787 12890.095807420352 111.190709702533 27.387 17.111359636701955 0.009365310803550908 20.52440373357806 r
2458263.7509954 9878.165764950603 136.485131174384 27.3735 17.386809225604402 0.015000953663057884 20.288361635455104 g
2458266.7327662 4126.442234838273 64.8660769947646 26.1246 17.08566057526371 0.017066784359329845 19.84713090608269 r
2458266.733669 4109.727338061686 61.1784570648924 26.1086 17.07406747663788 0.01616200914844164 19.894678689716017 r
2458267.6852083 3110.6140066450266 80.5987636733665 26.2099 17.47778469192007 0.028131448496418972 19.69665403892616 g
2458267.7887847 5107.930683775315 74.6534961267225 26.275 17.004387512203106 0.015867737007910398 19.844949611284974 r
2458269.6845718 4511.583550303198 46.8482539210943 26.1992 17.063377488736677 0.011273901661139327 20.275041466765618 r
2458270.6741435 4937.957296066545 37.4697308949923 26.275 17.04113167552158 0.008238403937818283 20.59337355407955 r
2458271.6860069 4740.639704676413 38.0908269192288 26.275 17.08540762605447 0.008723550694099741 20.57552398684863 r
2458272.6663773 4782.486371932862 39.9889913467429 26.275 17.075865647137075 0.009078133115016488 20.52272386430178 r
2458274.7217477 3029.152943050408 20.2079793431854 26.2068 17.50349699606208 0.007242883930054268 21.195567765982517 g
2458276.7153704 3139.24388682239 22.0954065003636 26.2485 17.506437356985423 0.0076416435620511565 21.14031999939258 g
2458276.7172222 3033.67170014234 21.9978405226626 26.2299 17.524978549422954 0.007872656574649852 21.126524866095707 g
2458277.6939583 2951.8775791298535 26.325164549832 26.1684 17.493154144062554 0.009682390405965854 20.870047252919683 g
2458277.735162 4698.660010362842 37.0212058597442 26.275 17.09506494722411 0.00855433743094351 20.606448587794684 r
2458278.6935532 2857.1282228858654 30.4489846931002 26.1821 17.542275672019855 0.011570521202547895 20.725742949491035 g
2458278.7376736 4628.917554884412 38.2782184489069 26.275 17.11130138579282 0.008978051839814196 20.570195697733748 r
2458280.6993519 4819.275722981845 35.7807808386837 26.275 17.067545564749143 0.008060795021813538 20.643450454462553 r
2458280.7003588 4872.294664822125 38.21005190994 26.275 17.055666136202483 0.008514397468227911 20.57213091992027 r
2458280.7144444 3451.0505365730587 27.9186721451631 26.325 17.48012170232611 0.008783210221575929 20.962838092332117 g
2458280.7153704 3415.318228992455 27.2521207170663 26.325 17.49142205963662 0.008663212467684882 20.989074229061085 g
2458281.6958565 4611.794638862914 30.5389510445606 26.275 17.115325099710873 0.007189422284695321 20.815439699711824 r
2458282.6942361 3551.0792994576977 23.8688416927129 26.275 17.399099073306534 0.0072976127088279635 21.082996628977465 r
2458282.7454282 3475.3317902448 37.138191661025 26.325 17.4725093174013 0.011602038918860944 20.65302310621047 g
2458283.6968171 4790.683671477146 31.8146476111822 26.275 17.074006261576944 0.007210069643527558 20.771007196110737 r
2458283.7014815 5030.787496871745 35.0501817471766 26.275 17.020910067789348 0.007564219785982303 20.66584930347521 r
2458283.7552778 3487.4498856130936 34.9605650040298 26.325 17.46873006112961 0.010883793794846854 20.718628882332588 g
2458283.7605208 3517.3205401474565 35.6415992047402 26.325 17.4594701294821 0.011001580269668623 20.697682033701525 g
2458284.7035185 4865.060347977185 36.296795934012 26.275 17.057279420538954 0.008100090960216315 20.627904264695943 r
2458284.715162 3561.7356404077955 31.1313922511502 26.325 17.445845794841077 0.009489573617879167 20.84457863031655 g
2458286.718206 3435.6627470464678 32.8565491881936 26.325 17.484973685359606 0.010382961914491813 20.786020116611894 g
2458289.6773032 3205.048159850255 43.218838994869 26.2161 17.451513600698267 0.014640245998338314 20.379492248970422 g
2458289.7191319 4223.239032040597 58.2636476588915 26.0927 17.02858584287487 0.014978276574767753 19.93178081260958 r
2458292.6948843 3095.04274692913 49.2119615023603 26.1996 17.472933370949534 0.017262904254270715 20.221998300173915 g
2458292.7384838 4030.818808321067 52.2254610224285 26.0759 17.06241680907962 0.014066914373575632 20.033769283105297 r
2458295.677662 3042.8222729148115 59.4233318831252 26.19 17.481808533618633 0.021202655179629434 20.007682491246165 g
2458295.7357176 3988.1549080423574 55.841731836689 26.0365 17.034569952881007 0.015201858917975946 19.92167779233143 r
2458423.9960995 2529.9292285094975 63.3093910126123 26.0761 17.56832906869849 0.027168746480267462 19.82500464924879 g
2458426.9931134 2678.772724012282 32.9124426673061 26.187 17.61716032954278 0.013339332106671997 20.646174700199694 g
2458427.0427199 3776.823420653735 37.597135236394 26.1153 17.172483298606572 0.01080781524042962 20.42998810279989 r
2458429.9881019 2530.2092035453334 24.2976247718218 26.1208 17.61290892217 0.010425988166434351 20.909465436739193 g
2458432.9910532 2471.8936640914444 28.7816636047342 26.1511 17.668525539147787 0.012641422497090044 20.755885256864936 g
2458433.0534028 3968.138784627953 53.9403412807777 26.1431 17.146632867287554 0.014758311567983915 20.065890764388275 r
2458438.0100463 2746.167969127363 33.5161080495727 26.231 17.634182256755658 0.01325062374862091 20.670441034575234 g
2458438.9859491 2675.2101647360737 25.108911693314 26.2071 17.638705235228514 0.01019013226877465 20.96010526590326 g
2458438.9868634 2656.1085589251556 25.5328947891313 26.1886 17.627985446774105 0.01043672096135171 20.923424849948354 g
2458439.0561574 3956.4674373224834 43.0132114141574 26.1513 17.15803101067421 0.011803318079108033 20.319870317477033 r
2458439.0570718 4028.164753865935 42.8858080762055 26.1673 17.15453193725758 0.011558892119208975 20.339090994939312 r
2458440.0015625 1908.6662021845839 23.0720335406125 25.8595 17.657675041803724 0.013123985108749006 20.704360303188224 g
