jd flux fluxerr zpdiff mag mag_error limitingmag filter
2458198.9210417 6399.964607894932 24.0337473356499 26.307 16.79155606919592 0.004077122465665902 21.10752126124379 r
2458198.9546296 6476.662500662594 24.3417001912466 26.3164 16.788021833681004 0.00408046333971127 21.103097716515112 r
2458198.965162 6361.807114046732 24.3964503546504 26.3039 16.79494875640512 0.0041634752005543715 21.088158384740606 r
2458198.9947569 6372.831976625549 21.9314528292425 26.3085 16.797668829481456 0.0037363260829789886 21.2084064839716 r
2458198.995706 6291.24610502442 22.0855261845147 26.3084 16.811558313677324 0.003811368269217396 21.20070561235539 r
2458199.0187384 6330.571632870772 20.6653893727332 26.3092 16.805592681594582 0.0035441370137063006 21.273666007719516 r
2458199.0196875 6191.181880936017 22.1714021928626 26.2986 16.819166093373244 0.003888028461078205 21.18669208865092 r
2458199.028044 6183.627018341426 22.8975170084243 26.295 16.816891784772082 0.004020267416244354 21.14810401344185 r
2458203.8997569 4230.514157997651 35.2932196458362 26.2625 17.196517117962244 0.009057492101059562 20.645846791783747 g
2458203.9970255 4459.574926990032 24.1015240689927 26.3112 17.187966337334238 0.005867605121586483 21.10866372361225 g
2458204.9077199 4340.884002029813 49.8342742924602 26.2847 17.190754548275546 0.012464067589464339 20.29345464349703 g
2458204.9273611 4402.021095682513 42.5918296856107 26.2983 17.18916970130098 0.010504708742768517 20.47755924626038 g
2458204.9470833 4428.184858280201 39.7181507561866 26.3186 17.203035643571326 0.00973807500275391 20.57370243939262 g
2458204.9688194 4441.838096395824 20.0631545481872 26.3152 17.196293188491452 0.004903953368008067 21.311776942727924 g
2458204.9740972 4580.5996212450145 19.4206476353774 26.319 17.166694167898278 0.004603108518792198 21.350915717740175 g
2458204.9854514 4519.910105745719 21.2883190344479 26.3197 17.181875506426643 0.005113537091438862 21.25192156394428 g
2458204.9864005 4447.514083625847 20.9181018351071 26.3241 17.203806669981198 0.005106399380721187 21.275369306829134 g
2458205.0114468 4526.235543841593 25.8816753116933 26.3249 17.18555712312021 0.006208191026235474 21.044994027572912 g
2458205.9297222 1840.8502824246846 84.1961930689346 25.3987 17.23615382879544 0.0496573826169822 18.83804385086605 g
2458205.9441319 4126.985618792788 50.5157162784307 26.2252 17.186117611238625 0.013289339539674786 20.21920870073824 g
2458205.9677662 4375.808787724178 33.4667912853291 26.2874 17.184754159699942 0.00830358387697724 20.728439801026003 g
2458205.9917361 4329.114664546018 39.0842905046035 26.2996 17.208602277370495 0.009801961252809169 20.57216940756952 g
2458206.0159722 4316.435291531651 19.3464369969995 26.292 17.204186913229435 0.004866151170816953 21.328072505698184 g
2458206.0245949 4325.862621028427 26.3010355172644 26.2898 17.199618192060075 0.006601003490560527 20.992442869781506 g
2458206.9108912 4505.115594856192 44.4567470134997 26.3026 17.168335152908682 0.010713751782011125 20.435330785772347 g
2458206.9240972 4469.782850944876 48.5789262778239 26.3041 17.178383937655134 0.01179970974399442 20.34055521035077 g
2458206.9532639 4482.264106783749 52.1406099235155 26.3188 17.19005639318628 0.012629568192620545 20.27843472142383 g
2458206.9662153 4506.030320032862 42.7335720323881 26.3217 17.187214725838803 0.010296388586046045 20.497351998334047 g
2458206.9948495 4476.891046859613 35.5679559720469 26.3154 17.187958687049782 0.008625657715288655 20.690327719755242 g
2458207.0143171 4075.5180024740744 32.6364674670451 26.2028 17.17734296036595 0.00869421082362064 20.671117126409 g
2458207.9043634 4326.202853968679 57.7269001893113 26.2786 17.188332801300486 0.014487091255566223 20.127729395552873 g
2458207.9269444 4579.898895357913 54.8831560155318 26.2921 17.139960273152344 0.013010471158317192 20.196077296155895 g
2458207.9495833 4518.772432010124 59.9936254559288 26.3068 17.169248823597655 0.014414330470837034 20.11411222055032 g
2458207.9505208 4370.009120851366 58.5538110688694 26.3136 17.212394141480534 0.014547308923027245 20.14728707145387 g
2458207.9734722 4343.946998946843 54.215029782413 26.3117 17.216988705673565 0.01355017863915841 20.22897573744919 g
2458207.989213 4450.60308972988 56.0451674397556 26.3128 17.191752837269565 0.01367190851724226 20.194029561673187 g
2458208.0126389 4464.066190441186 50.6466075666344 26.3206 17.196273436424935 0.012317698593456692 20.311799087744127 g
2458208.013588 4532.829570404037 50.8424077645698 26.312 17.171076524118412 0.012177736059260922 20.29900971558673 g
2458208.9107755 2907.437597064992 118.980392118785 25.7785 17.119723994629624 0.0444298484183347 18.842386499465533 g
2458208.9446296 3060.898288677151 112.828395588839 25.8925 17.17787775359582 0.040020208951060315 19.01402895778087 g
