jd flux fluxerr zpdiff mag mag_error limitingmag filter
2458198.8804861 867.1538815654689 27.2965819645505 25.694 18.348759568925626 0.03417605533335206 20.35630431724213 r
2458198.9109954 1168.3157596668518 19.3933885067505 26.0553 18.386399412434287 0.01802201307956594 21.088740744800894 r
2458199.8269329 305.32842939768364 31.7308996355572 24.7115 18.499581890696906 0.11283010167865427 19.210369025642336 r
2458202.8087269 579.3408459640285 31.7334228885677 26.1189 19.211564627089025 0.0594692700681028 20.61768269092577 g
2458202.8150579 575.4623991120183 27.4463906487987 26.1161 19.21605762010134 0.05178191724321546 20.772461888084866 g
2458202.8517477 593.7877452349594 27.3989651450452 26.1347 19.200621924359844 0.05009712089326597 20.792939589434148 g
2458202.8536343 636.3546733096333 29.5265568696302 26.2893 19.28005190534399 0.050375968210670204 20.866342973483036 g
2458202.8574537 639.7622454408178 35.780278383714 26.294 19.278953481747784 0.060720445005990685 20.66246570112206 g
2458202.8584375 563.3510637469282 25.984335877645 26.1227 19.245752203225283 0.05007746550565204 20.83849593576823 g
2458202.8834491 597.6678546792936 21.9194567461221 26.1277 19.186550254722412 0.03981802602054726 21.028200523283903 g
2458203.8453935 581.6785030381752 34.694102136061 26.146 19.234292465071775 0.06475636712097875 20.54793585747573 g
2458203.8600231 558.502754273332 28.0112006150784 26.1182 19.25063670201659 0.05445230175697051 20.75244567931732 g
2458203.8865046 623.3722631821956 36.3884414869698 26.1177 19.1308313136774 0.06337614497110897 20.46786635116328 g
2458203.909375 582.4310335325565 30.5181006922193 26.1385 19.225388731675423 0.0568882837862904 20.679681235133366 g
2458204.8021528 607.9615006499744 45.7633555953506 26.1411 19.181409804222206 0.0817243774757997 20.242380335235442 g
2458204.8271644 618.8825428589014 40.3959680504671 26.1514 19.172379418760677 0.07086627829214964 20.388129939057787 g
2458204.839456 687.4446272957803 51.3619797077957 26.1494 19.056305694756553 0.08111737171925104 20.12537060183888 g
2458204.8618403 594.5669128677048 40.452069030664 26.1415 19.205998156423384 0.07386689436646157 20.3767231399493 g
2458204.8921528 658.491121695346 42.8669692804242 26.143 19.096625190421832 0.07067774646366275 20.315268039848952 g
2458204.8970718 594.316903482533 45.8278083048145 26.1405 19.205454793550206 0.08371838523350938 20.240252269672546 g
2458205.7992361 687.1564919873729 55.2706588570922 26.325 19.2323608652586 0.08732705725822888 20.22133838504702 g
2458205.8021528 548.5310715399035 58.9269698647885 26.325 19.476996916959145 0.11663334039145092 20.15178971557684 g
