jd flux fluxerr zpdiff mag mag_error limitingmag filter
2458198.8800116 3842.605315533904 27.3186484235474 25.9655 17.003935552037394 0.007718684110893231 20.62692696656258 r
2458198.8804861 3759.7596103902342 26.377923798114 25.9539 17.01599980471442 0.007617112484656942 20.65337346588268 r
2458198.9109954 4740.28700641643 22.3493152253218 26.1699 16.98038840661149 0.005118814853886982 21.049314436532576 r
2458198.912419 4744.191296896584 23.3667120840558 26.1707 16.98029451880194 0.0053474317796280025 21.00178097071768 r
2458198.9317361 4811.409012532526 22.9772593482689 26.1764 16.970719306592297 0.00518484510658652 21.02572942359101 r
2458199.8269329 1155.38750754663 33.5218000631095 24.7051 17.048280831282206 0.03149992369728746 19.144356660528853 r
2458199.8356481 3497.3293136280267 23.6976959303044 25.8358 16.976458679909033 0.00735663878470781 20.65160968251004 r
2458202.8522222 3690.51481660333 26.919756100439 26.2448 17.327082616841675 0.007919431475185437 20.92219718727057 g
2458202.8579514 3656.2657681871524 29.029161852891 26.2406 17.333005609026223 0.00861998635271814 20.836088747145293 g
2458202.8796528 3656.1896548817194 25.5870259680176 26.2405 17.332928211275835 0.0075980287445935055 20.973025464432126 g
2458202.8806134 3673.898702410515 24.194819196817 26.2446 17.331782055833983 0.00714998352696798 21.037869036513737 g
2458203.844919 3843.6180504209956 36.8765467451923 26.269 17.307149439368857 0.010416453007569264 20.60469937575786 g
2458203.8595486 3812.860578852477 35.1166865891899 26.2602 17.307072687144995 0.009999365526593154 20.648991160134923 g
2458203.8846412 3554.1834499623233 35.0384092737723 26.2324 17.3555503993669 0.010703218188959225 20.623614036180733 g
2458203.9060995 3656.8378213291667 35.3797148506634 26.2487 17.340935749868343 0.010504090771901821 20.629389168381604 g
2458204.8455208 3807.0174132340567 41.1002296971608 26.2706 17.31913784181346 0.011721123004872392 20.488564366590786 g
2458204.8623148 3787.4113613483887 46.7793729999472 26.2659 17.320043805945375 0.013409783205582684 20.343338997876003 g
2458204.8902894 3887.769465640926 49.2005137770726 26.2715 17.29724873871651 0.013739754447853188 20.294150894366425 g
2458204.8998264 3860.342488020325 47.0471189658306 26.2595 17.29293540797149 0.01323174231812702 20.330742405168962 g
2458204.9200347 3810.708249071355 44.1473268214249 26.2626 17.31008574973622 0.01257791192534916 20.402913960137706 g
2458204.9397685 3868.576846517032 40.1748254270582 26.2654 17.296521929427207 0.011274897642379057 20.50808999344518 g
2458205.8214931 3946.1061439001273 64.839221264173 26.325 17.334578092761436 0.017839343382927083 20.047980513613247 g
2458205.8403241 4167.115576760512 78.605472905078 26.325 17.275411135073963 0.020479864395646894 19.838943027059866 g
2458205.8471644 3980.9846407339464 109.491470083858 26.325 17.325023744973038 0.02986067513391072 19.47912427203712 g
2458205.8630903 4254.119963007734 87.0271012279234 26.325 17.252975668700934 0.022210310152220938 19.728438694368947 g
2458205.8825116 4145.394458010658 104.794537677143 26.325 17.281085343853928 0.027446225132137146 19.526728374107954 g
2458205.8834259 4088.0790023435966 101.346394292879 26.325 17.29620180007086 0.026915277376171103 19.563054234277622 g
2458205.9145139 3996.056201591507 91.6924531520082 26.325 17.32092103092656 0.024912186256911852 19.671741009017513 g
2458205.9862616 3997.3415983924947 42.2491613485965 26.325 17.320571842285815 0.01147510497842304 20.51302975773808 g
2458206.7998958 4133.622272946844 58.474895737388 26.325 17.28417302843351 0.015358489506304866 20.160151348857678 g
2458206.8090856 4181.087863883671 48.0408077799038 26.2877 17.234476764573564 0.01247472110241516 20.33624923611893 g
2458206.818044 4069.5771338328773 58.765780200583 26.325 17.30112678896644 0.015677797831462136 20.154763723127658 g
2458206.8404167 4147.664063060873 59.6655324637297 26.325 17.280491065535795 0.015618157018258165 20.138266187451777 g
2458206.8632176 4096.939497648625 56.2709904322375 26.325 17.29385112381946 0.01491196400321359 20.20186359093776 g
2458206.8850926 4071.8890334601933 51.5558110773772 26.325 17.300510164603445 0.01374648071859241 20.29688093021277 g
2458206.898831 4074.6305485985595 58.3835585027617 26.325 17.299779407787852 0.015556509654169728 20.161848584428956 g
2458207.8026273 4036.9888832897586 80.6375370085022 26.325 17.309856116276393 0.02168650359492382 19.811231853607225 g
2458207.8197222 4091.2529736572315 71.8252868802299 26.325 17.295359165060773 0.019060350085406106 19.93688156590925 g
2458207.8474884 4031.9368666881696 74.6270572232057 26.325 17.311215692065808 0.020095204539694673 19.895334198217675 g
2458207.8590278 4056.3052817321845 72.7961253108742 26.325 17.304673417481638 0.01948441938183349 19.92230432936944 g
2458207.8813657 3924.871582512511 75.9335417875125 26.325 17.340436370811833 0.021004775464762492 19.876490846013976 g
2458207.8996644 4156.579047880187 65.2435015555074 26.325 17.278159889684517 0.017041626978064918 20.041231836265613 g
2458208.8232986 4635.848960853051 253.422621584861 26.325 17.159676805227008 0.05935071279890327 18.56796154101773 g
2458208.8432986 3944.9853707641687 514.937495805831 26.325 17.334886507377323 0.14171602342041023 17.798188697498865 g
2458208.8442593 1352.6562429887142 157.596771343476 25.1378 17.309831396794237 0.1264939377868524 17.896506699329336 g
2458208.8643403 3374.0392812827754 94.7461847784305 26.1534 17.333024663921883 0.03048747339267296 19.46457066190097 g
2458208.8652894 3429.6196951198276 103.46485374586 26.1119 17.273785088718114 0.032753425072675715 19.32749286869799 g
2458208.8824884 1774.872093082211 134.981932209272 25.4788 17.35588234774776 0.08256926477733431 18.405685887680704 g
2458208.8999769 2355.346411352799 146.193949155904 25.6477 17.217563025504198 0.06738829151988822 18.487951494380027 g
2458208.9175926 2399.0792664315227 116.199936127842 25.7037 17.25358850637774 0.05258612019170607 18.793260265825666 g
2458210.8195833 3116.7220369021597 75.791581785995 26.041 17.306754820761608 0.026401751381988234 19.594522561719607 g
2458210.8420602 2619.5436155908205 90.2172441334112 25.8578 17.312235915303187 0.037391575147930046 19.222151097738223 g
2458210.8577199 3901.026358672461 78.3063242420901 26.325 17.347052788032798 0.021793540574426933 19.843082893321352 g
2458210.8860301 4066.9182788090175 88.4244333974289 26.325 17.301836385695488 0.023605688818439337 19.711144275058004 g
2458210.9198032 3690.3202190830307 65.923014874095 26.246 17.32833986824268 0.019394690162305016 19.95098233705038 g
2458211.8420139 3882.903830423774 91.9825653157032 26.325 17.35210841420499 0.025719274935624616 19.668311195381104 g
2458211.8576852 3691.913769429692 73.78756256058 26.2455 17.327371127930455 0.021699086618807154 19.82811707804801 g
2458211.8585995 3997.8898939754936 79.1288826397523 26.325 17.320422927431537 0.021488892931103246 19.83173740615724 g
2458211.8595255 4008.863316627758 80.5193153001598 26.325 17.31744687723743 0.021806635376863077 19.812824806188786 g
2458211.8786921 3949.603562279445 90.2515470487076 26.325 17.333616235209103 0.024809098707170213 19.688938351387225 g
2458211.8796875 4091.8570442907367 78.6174446067524 26.325 17.295198868704798 0.020859712029442642 19.838777680809187 g
2458211.8806019 3982.8167060036026 78.4604734669505 26.325 17.32452419970785 0.021388013140213817 19.840947677819685 g
2458211.8966319 3913.832395628319 77.256443119412 26.325 17.343494440826557 0.021430994436152935 19.857738215697076 g
2458211.9193519 3963.001366131496 82.81598233479 26.325 17.329939444887923 0.022688185976743894 19.782289594963395 g
2458214.7859954 3900.1351001137336 46.1840564385112 26.325 17.347300872037806 0.012856485426320077 20.416344801125582 g
2458214.7954977 4029.5617285810413 152.654764721546 26.325 17.311855467283372 0.04113034846510337 19.118299078611884 g
2458214.8053819 4117.082161300946 420.826166699018 26.325 17.28852616512495 0.1109744598929141 18.017318148821403 g
2458214.8309259 5252.184014769092 103.826429474493 26.275 16.974150166091384 0.021462377206030336 19.48680519126763 r
