jd flux fluxerr zpdiff mag mag_error limitingmag filter
2458198.8945833 3880.266696178501 32.5817269149395 26.2679 17.295746059275963 0.009116378764992637 20.738039740905148 r
2458198.9191667 3898.1088017982597 26.1482518429104 26.3034 17.32626510817095 0.007282802627969607 21.01236834127178 r
2458198.9565394 3898.895809577824 27.1269989819804 26.3051 17.327745925834865 0.007553877875470899 20.974170611432683 r
2458198.9574769 4028.5589627879112 27.3946895021229 26.3126 17.299725688883125 0.007382891666024416 20.971009033153816 r
2458198.9608333 4016.946439153513 30.0223771118135 26.3083 17.298559897478857 0.008114445966365609 20.867262299565702 r
2458198.9617708 3461.203759170764 30.8056149927638 26.1834 17.335332083187154 0.009663012791150031 20.714400280853695 r
2458198.9999769 3997.6827498620805 25.5176542291167 26.3104 17.305879184531214 0.0069301440184336306 21.04587311832542 r
2458203.8983565 1695.2627135790974 40.5269435270003 26.2268 18.153707474896123 0.02595473977857372 20.460015361091934 g
2458203.9190856 1643.874309053015 32.053461092384 26.1926 18.152928479416182 0.02116977101981037 20.68048766176408 g
2458203.9200231 1392.7162991287216 31.4179611595075 25.9802 18.120543354437523 0.02449205229537178 20.489829992994053 g
2458204.9063194 1749.6758926287362 54.1126265941945 26.2628 18.15540597982567 0.033577692269080806 20.182128452070152 g
2458204.9249306 1755.338084931526 44.1282785647365 26.2733 18.16239806084524 0.02729392841698831 20.414082524066657 g
2458204.945162 1778.3381784279243 45.8551875359654 26.2816 18.156564119298153 0.027995224818154807 20.38070380431362 g
2458204.9712384 1769.842408457816 27.2960905085112 26.2734 18.15356350667199 0.01674463518529535 20.93572386534596 g
2458204.9878009 1755.8446978245333 25.7834183915148 26.2815 18.17028474878057 0.015942786615667448 21.005723749076406 g
2458205.0041782 1802.3812177783357 27.5191450586463 26.2772 18.13758336737186 0.016576701696326017 20.930687645454736 g
2458205.9278356 531.803669559705 93.5293712297605 24.8819 18.06752167567194 0.19094422275841527 18.207104952354538 g
2458205.9422106 1597.1412682310897 51.1740864400286 26.1874 18.179041671300887 0.03478697016543445 20.16734974321714 g
2458205.9706713 1783.1690735321877 41.0876257662542 26.2454 18.11741869166778 0.025016604401992486 20.46369737307058 g
2458205.9893287 1736.0598401281663 44.227211427322 26.2509 18.151988273086666 0.027658887289909638 20.389251095399352 g
2458206.0074074 1773.2900252277614 26.1516457381758 26.2451 18.123150572087305 0.01601139203063565 20.95392742799507 g
2458206.0253472 1718.5960074836044 28.912077247979 26.2393 18.15136550365877 0.018264817404115997 20.839176750217995 g
2458206.881713 1658.003771297978 53.8753579364277 26.2558 18.20683621484428 0.0352788558893255 20.179899567813436 g
2458206.9099653 1766.4148518520303 53.1627162868691 26.2729 18.15516823106968 0.03267565431310628 20.211457082643246 g
2458206.9193403 1776.8264816298395 57.036495664551 26.2795 18.155387454333322 0.0348511933963305 20.14169290288408 g
2458206.9202778 1756.7454576657613 47.5496928903934 26.2748 18.163027901810352 0.02938655759480111 20.3345056984074 g
2458206.9509144 1663.8128014554784 48.0066445773452 26.2829 18.230138846357676 0.03132612873998156 20.332221609077134 g
2458206.9518519 1817.3750820515859 49.316006792973 26.2859 18.13728857708721 0.02946138587676036 20.306005229832614 g
2458206.9624537 1795.0170965362438 52.5196621271602 26.276 18.140828526633385 0.031766046842388124 20.227770180421274 g
2458207.0077083 1595.1785066124282 42.9571060808812 26.1678 18.1607767766597 0.029237185605676064 20.337787448459935 g
2458207.9057639 1698.8704506951149 76.238033792334 26.325 18.24959934372405 0.0487215686484334 19.872145771269707 g
2458207.9288194 1734.773442273373 76.5272664560392 26.325 18.226893087766587 0.047894238617372596 19.868034487499088 g
2458207.9481829 1903.917689911337 68.8361663239105 26.325 18.125879577365733 0.0392534961852001 19.983033300983266 g
2458207.9715625 1811.924261129464 71.3670066532443 26.325 18.17964989973438 0.042762912769393674 19.94383128535229 g
2458207.9837963 1723.7545582161617 72.1903746508774 26.2819 18.190711430966253 0.045468822336032944 19.88827674989927 g
2458208.9102894 1630.3953363220048 201.89892505707 26.325 18.2942676890429 0.13444693937174532 18.814739972422764 g
2458208.9256829 1371.6089277822189 109.771364473298 26.0346 18.19152424182884 0.08688975989778815 19.185952332708663 g
2458208.9876505 1533.7384332051897 109.215582474544 26.0848 18.120421748786395 0.07731132983661038 19.241663473368348 g
2458209.0066898 1406.4450366582903 120.969079086734 26.1382 18.267893088079383 0.09338162938561852 19.184089052999543 g
2458209.9646644 1930.5999689435039 113.325822693889 26.325 18.110769262830416 0.06373036759452876 19.441752787853886 g
2458209.9655787 1878.243807023414 107.070602784544 26.325 18.140620086122006 0.0618910883712182 19.503399369992323 g
2458209.9827083 1656.0916859863535 100.862295970765 26.264 18.21628905774306 0.06612326821158979 19.50725286425206 g
2458210.8632292 1522.8928538725218 96.676517928186 26.325 18.368326628082812 0.06892257406535685 19.614272489904906 g
2458210.9056481 1910.8819500537074 74.7176102597662 26.325 18.121915354607175 0.04245207793016632 19.894017556332166 g
2458210.9480556 1581.1798353012477 83.6099877201598 26.2551 18.257646832067984 0.057409892057270574 19.702029590040137 g
2458210.961169 1785.1814847982712 81.0156477693398 26.2652 18.13599406535017 0.049271566802694976 19.746352717162267 g
2458210.9860995 1833.803317429079 82.3727293756817 26.325 18.166618114870815 0.0487686282564686 19.788116348324834 g
2458211.9001157 1813.706427064201 100.210028088505 26.325 18.178582520069718 0.05998656997196531 19.575297029503957 g
2458211.9218866 1701.2499054616019 122.45239478026 26.325 18.24807971480584 0.07814640552579825 19.35765678174572 g
2458211.9469792 1827.4958727123492 115.961990428767 26.325 18.170358987991293 0.0688920477952451 19.41678583618118 g
2458211.9670255 1833.2112167794671 157.642225960272 26.325 18.166968735306995 0.09336194496220819 19.08339359261416 g
2458211.9826157 1733.1836513009978 101.457355953731 26.325 18.227888540530877 0.06355486406549071 19.561866138846423 g
2458212.0189236 1938.8505044718347 164.644681307241 26.325 18.106139190023605 0.09219624209447053 19.036205724668363 g
2458216.8697454 3313.6902013789722 36.7970398955851 26.2067 17.405920241089763 0.012056210383822716 20.544742780025047 r
2458216.8787963 3321.981818619808 34.0182911721541 26.1952 17.39170687198632 0.011117959321328443 20.61849375397147 r
2458216.8839583 3237.1099357191115 40.0265771961589 26.1991 17.423706378103518 0.013424584189234817 20.445803854790082 r
2458216.9027083 3291.085093536434 53.9144841250238 26.2105 17.417152221356474 0.017785913688314763 20.133811353997245 r
2458216.9036458 3327.135360714834 51.1147930134925 26.2082 17.40302382498779 0.016679613168135623 20.18940847295294 r
2458217.8843519 3391.82790603047 29.3917322690206 26.2425 17.416415477534006 0.009408084551619053 20.8245120317441 r
2458217.9113657 3340.851543944195 27.2736800888166 26.2439 17.434257056249116 0.008863319451025212 20.90711563399838 r
2458217.9258681 3456.4854652357585 27.8243384461694 26.2597 17.413113162541293 0.008739768922750453 20.90121287089229 r
2458217.9476389 3520.56351556842 32.5509603479174 26.2676 17.40106954008705 0.010038329799605375 20.738765474053903 r
2458217.9701042 3468.288149167956 28.3476620788625 26.2581 17.407812070092355 0.008873846518895626 20.879381871485997 r
2458217.9824537 3412.844365866932 31.8113566061654 26.2497 17.416908790427286 0.01011988422699156 20.745819513813036 r
2458218.8895139 3518.5869056348133 29.1160190614607 26.275 17.40907929464423 0.008984078763097843 20.867245001588053 r
2458218.9063889 3350.534052225197 30.6592054035483 26.2386 17.425814909684778 0.009934744368446467 20.774772751589285 r
2458218.9299421 3397.993557921205 32.2239399204476 26.2441 17.416043622056137 0.010295938169180376 20.726228391262577 r
2458218.9498611 3382.51381055668 31.713440601587 26.2344 17.411301053835224 0.010179199373461376 20.73386658582467 r
2458218.9666782 3171.563551081257 36.7805856637888 26.1597 17.406516454709028 0.01259085028946103 20.498228388397013 r
2458218.9813657 3033.246189931237 43.2008125674737 26.1223 17.4175308481192 0.015463011990322316 20.286145200233136 r
2458219.003287 3284.436001118313 40.2772319604292 26.1803 17.389147990398577 0.013314002990025917 20.42022594875707 r
2458219.8809491 3548.333690815366 35.5671400349029 26.2775 17.402438862979224 0.010882641628617726 20.65245262708082 r
2458219.8818866 3499.230531261371 38.6857153686858 26.275 17.415068612529 0.012002947733952813 20.558698408768628 r
2458219.903206 3560.439154806896 45.5178618926635 26.275 17.39624107898163 0.013879957080616095 20.382120354705286 r
2458219.906088 3393.5841187695796 40.8457304222584 26.247 17.420353453064536 0.013067661789837898 20.47170832235985 r
