jd flux fluxerr zpdiff mag mag_error limitingmag filter
2458202.831875 1031.6605745361094 38.6138925164426 26.2743 18.740457914846203 0.04063652730351999 20.560016030735508 g
2458205.7820602 1019.0836594055659 71.2185147640564 26.3043 18.783775405227253 0.07587398813208145 19.925392708207674 g
2458205.8035995 1200.8767184399403 68.4137683342106 26.285 18.58625393704932 0.061852167787002754 19.949716207453186 g
2458208.795544 387.0646185616815 196.256971783897 25.6461 19.17664131392491 0.5504925638968516 18.166612255508507 g
2458208.817963 807.3461231302289 182.708761519232 25.7039 18.436250589654968 0.2457024276184363 18.302076554711 g
2458214.7164815 1977.1590705577985 83.351654947997 26.275 18.03489597127021 0.045770162413644254 19.725289421231963 r
2458214.8638889 387.0693395540692 69.8216503045604 23.706 17.236528071378697 0.19584440819568474 17.348599715199807 i
2458215.7391898 1292.5108147610222 42.4367340730918 25.8463 18.06771453592086 0.035646558355238604 20.02952010602379 r
2458216.7365741 1923.4829143793172 28.1741969182597 26.275 18.064779167562055 0.01590277998597411 20.902946124919076 r
2458217.7371759 1763.1347638945351 24.8768176564823 26.275 18.159286228640582 0.015318602685811717 21.038087932013497 r
2458217.738125 1868.5974544916644 26.7790260319171 26.275 18.096210617770712 0.01555925728838249 20.958088045582002 r
2458217.8081713 1806.467298134869 23.236263948838 26.275 18.132924739776463 0.013965163828484624 21.112159236322654 r
2458217.8091088 1941.5253114457141 37.3965207288316 26.275 18.054642358082564 0.020912116013084334 20.59549699292067 r
2458218.7435417 1908.8688379727425 27.1227716527839 26.275 18.073059779463243 0.01542651469689295 20.94423982005103 r
2458218.7540856 1849.3729816271355 29.2733943192094 26.2401 18.072538728690816 0.01718535121260545 20.826492282098833 r
2458218.7982523 1798.23663108128 27.173684497954 26.2017 18.06458289940057 0.01640633315410154 20.86890366743967 r
2458219.7181944 1873.1091659694291 32.8620950694552 26.2505 18.069092277335315 0.01904767605920189 20.71133686985885 r
2458219.7415625 1395.521368580029 39.5495999412551 25.9929 18.1310587727407 0.030769145942861457 20.25261975214108 r
2458219.7634722 1901.3138309343235 34.0803719710382 26.24 18.042365481384557 0.019460785088158492 20.661314173564747 r
2458221.7159722 1210.606677456549 41.8720214898132 25.7614 18.053892337345353 0.0375517949620114 19.959165168692163 r
2458221.745787 1541.0686589228228 45.1153103633357 26.0545 18.08494502953902 0.03178423763137901 20.17126511573194 r
2458221.7467708 1909.7027723592194 60.6164392704609 26.275 18.072585553568025 0.03446152410128049 20.071098935499986 r
2458222.7623611 1919.504637241052 38.233193747449 26.275 18.067027085884195 0.021625255623903227 20.57147354512202 r
2458224.7176157 1932.9711479135296 85.8501248041638 26.275 18.059436570820314 0.048219799142108166 19.693222662033214 r
2458224.7269676 1814.223306479701 35.5755790514146 26.275 18.128273145445668 0.02128977509999428 20.649695044972066 r
2458224.7383333 1126.5461405126402 34.5708306617933 25.6932 18.063827539899954 0.03331736668364881 20.099000452113376 r
2458224.7837731 1664.7910225872556 33.8487939489211 26.1384 18.08500068682548 0.022074623836708916 20.567116991293876 r
2458224.7847222 1701.671268283505 36.2721235117054 26.1204 18.0432108347172 0.023142333793049384 20.474042535112375 r
