jd flux fluxerr zpdiff mag mag_error limitingmag filter
2458197.8021875 432.8064386210953 36.5498234462026 25.7474 19.15666571773885 0.09168565847118161 20.092761780557616 r
2458197.8289699 388.1791079817207 34.6057114658502 25.732 19.259419605730905 0.09678887958144002 20.136705533117414 r
2458198.8704398 395.78576592898605 32.0719699485071 25.7289 19.235249572125824 0.08797824674508849 20.21616089839007 r
2458198.8837269 521.2067547983941 24.2075679160954 25.9899 19.197374911251952 0.05042558686076675 20.78259709173041 r
2458198.8846528 526.6492969523431 27.9221633482898 26.0871 19.28329622809418 0.05756220111309002 20.72480233055118 r
2458198.9096181 542.2051490668129 22.4774126927191 26.1137 19.27829090611474 0.04500829068570501 20.98690919054982 r
2458199.8230093 153.14283161860084 36.3152414887213 24.6358 19.17305831760298 0.25745545689332694 18.988152647974907 r
2458199.8239352 184.3935295325412 32.6636064248405 24.6397 18.975335806600985 0.19232170231434806 19.107114654207113 r
2458199.8415162 95.93562880979366 34.6118388942632 24.4417 19.48675018379752 0.3917009139743646 18.8462133052546 r
2458199.8429282 129.24084829273377 34.0222132530261 24.1432 18.86470050021142 0.285806828233943 18.566368583082706 r
2458202.7880324 399.776003290562 41.9706767911706 26.1182 19.613658195325073 0.1139827388765375 20.31341005813141 g
2458202.8025463 373.329668703292 35.3273977051765 26.124 19.693768737733635 0.10273749691989567 20.506295870375148 g
2458202.8034606 295.590371520384 35.7645518077411 26.1217 19.94497429159011 0.13136278322579534 20.490643021793307 g
2458202.8073495 378.29572128134095 36.7210896541053 26.1785 19.73392142693211 0.10538868085111641 20.518786089444802 g
2458202.8184028 368.8005992350013 33.6317467318374 26.1384 19.721420954917477 0.09900739722900777 20.574101429533904 g
2458202.8228588 375.7944293468079 27.2859081475266 26.1844 19.747024155066335 0.07883115917194815 20.847128957074787 g
2458202.8237847 380.08668491307947 31.7811190652643 26.1349 19.685193360523037 0.09078129368580279 20.632052025758092 g
2458202.8402199 391.22578752553216 24.7675157692469 26.1314 19.650331316389703 0.06873292284935707 20.89926886872012 g
2458202.8434838 335.5451529233899 24.2255808949123 26.17 19.855622575875962 0.07838501897123626 20.96188949013362 g
2458202.8484259 408.1445309950722 27.1999215927554 26.1831 19.656065046328496 0.07235416042757434 20.84925585884309 g
2458202.8641898 377.71105684096796 24.2105434625947 26.1335 19.690600754407658 0.06959125649426331 20.926063643379152 g
2458202.8651157 327.86041728292446 23.55181063841 26.1811 19.891877531773325 0.07799111897077879 21.00361423703243 g
2458202.8660417 399.0861175669527 22.8968743121434 26.1733 19.670633447822134 0.062290155799577765 21.026434488729357 g
2458203.8472685 402.1866110798003 45.1049572717388 26.1588 19.647730978250152 0.12176052300311482 20.275814299794945 g
2458203.861875 376.61956994214904 36.0199509704253 26.201 19.761242792203944 0.10383650741940412 20.562217195830694 g
2458203.8666551 405.64819577279985 35.9472794613891 26.139 19.61862612830234 0.0962113519003284 20.502409919234374 g
2458203.8888889 360.7834786937735 33.0601548376019 26.1248 19.73168339564959 0.09948739958142613 20.579112781001914 g
2458203.8898148 385.73649877268986 32.1772051880616 26.1844 19.718673164530365 0.09056646644492193 20.66810418932619 g
2458204.7759722 307.62703397379175 68.0123220582077 26.1358 19.915738754509533 0.2400340994247176 19.80690598250139 g
2458204.8050116 446.2330906072144 78.2691088739652 26.1387 19.51479556890871 0.1904313536874447 19.65729901609366 g
2458204.8059491 427.7308099735026 57.1913749056509 26.2081 19.630173664634114 0.14516764817318575 20.067348645906588 g
2458204.8252894 423.17666584757603 51.417439668736 26.2253 19.658995718766217 0.13191633365827854 20.2000988712781 g
2458204.8295139 424.04245882920804 68.0302993154942 26.136 19.56747663969721 0.17418184058917768 19.80681903479317 g
2458204.837581 431.50765814872585 70.6898913519464 26.1471 19.559628730681776 0.17786014591276572 19.7762817037465 g
2458204.8528125 384.324398139665 58.141625374337 26.2088 19.74705511065096 0.1642476069031091 20.050157067923486 g
2458204.8580556 405.76997609808444 56.0637227078205 26.1523 19.631600226532413 0.15000711567966618 20.03317015883752 g
2458204.8759028 435.8415517375963 52.1400814309984 26.2099 19.611578419677627 0.1298831792975003 20.169545726403804 g
2458204.8931134 395.383999230127 49.0845506373993 26.1587 19.66615227525611 0.1347831392539666 20.18391294056 g
2458204.8984491 408.00814925677133 51.3638295039319 26.205 19.678327906356778 0.13667793105113668 20.180931499871186 g
2458205.7840278 453.87070147731345 66.3687953745235 26.1485 19.506169627949063 0.1587601951471677 19.846165151509002 g
2458205.7966204 321.77292347081993 58.4240680394443 26.1391 19.87022625921548 0.19712973355937743 19.97519550565012 g
2458205.7975463 451.7814583502968 61.4797257698283 26.2018 19.564478992533118 0.1477451919165481 19.98254518500366 g
2458205.8253125 384.9116516352292 53.0000529254737 26.18 19.716597355516996 0.14949445468000022 20.121884230949032 g
2458205.8267824 356.655596468536 59.7988186906611 26.1159 19.735277392122867 0.18203437180097157 19.926743477399405 g
2458205.8369907 455.6904404365438 57.9291760509822 26.0458 19.399125205092076 0.13801848987286253 19.89113161064736 g
2458205.8384606 371.9813853282369 63.2597418903928 26.0074 19.58109698128653 0.18463585673728047 19.757156450174605 g
2458205.8509259 284.158830433354 67.1348635809045 25.842 19.708097108515926 0.2565055651398561 19.52720471225838 g
2458205.8518519 246.58524929339293 72.6629505884354 25.7896 19.809682266046657 0.31993059471290164 19.388892416495896 g
2458205.8602546 345.35468887441306 74.6534996023724 25.853 19.50733660802355 0.23469003644473388 19.422949560736257 g
2458205.8731597 363.4231730942953 51.9915510181378 26.0858 19.684768460139317 0.15532093471030858 20.048543055281186 g
2458205.8740741 257.70624406135505 53.5636259259417 26.0584 20.03058764659384 0.22566014603025886 19.988800068201375 g
2458205.8760069 445.7349924611539 63.2920146860613 26.0764 19.453708175631263 0.15416366564634346 19.825602688703512 g
2458205.8769213 299.56803705266515 61.3869026932996 26.0614 19.870161315817384 0.22247954391208452 19.843785685687344 g
2458205.8967708 412.7630674020021 80.6878812556671 25.991 19.451747921990606 0.21223515279761887 19.476554209944986 g
2458206.7730903 443.0597245399693 61.8188607363963 26.1843 19.568144317118183 0.15148462697933796 19.959072496256958 g
2458206.7766782 390.29875939964893 65.6690821888833 26.1544 19.675907072903353 0.18267268551439503 19.86357262291519 g
2458206.7945833 440.66360432623566 60.5558020882617 26.1602 19.549932044096273 0.1491964248505364 19.957385586845632 g
2458206.8017824 454.8271379462062 56.2474324920073 26.215 19.570384075942123 0.13426603727369277 20.092318231312667 g
2458206.8262616 409.235210275986 56.4789739426116 26.222 19.692067517490678 0.14983857808359177 20.094857993515422 g
2458206.8276852 380.99315130264836 54.6161914974015 26.159 19.706707077728282 0.15563744100382895 20.06827145769398 g
2458206.8375694 376.82526388086785 55.9843372039448 26.1456 19.705249970136848 0.16130074262095914 20.02800863670462 g
2458206.8541551 476.0211180356377 54.3174473217589 26.2301 19.536034449906207 0.1238862107643271 20.1453266095486 g
2458206.8550694 416.82314863219983 52.6796286838834 26.2296 19.679720425302627 0.13721472295810475 20.178068226297626 g
2458206.8739583 433.78818045004664 55.9058927308867 26.1637 19.57050571376477 0.1399231940228333 20.047631021964996 g
2458206.8937384 455.0562159619426 56.7576285946851 26.2255 19.580337372236453 0.135415702947794 20.093014384676863 g
2458207.7708912 455.92040612895335 84.4791971048932 26.0342 19.386977422923096 0.2011734133059194 19.46990054503538 g
2458207.8070833 422.8036258777803 63.6463159939786 26.1961 19.630753242319052 0.1634347508993159 19.9392418124611 g
2458207.8084954 479.0485341407496 71.8535314559409 26.1489 19.447951211026613 0.16284650414731144 19.7603546949315 g
2458207.8292708 275.4280264051757 80.4064547204888 25.8128 19.712779674596582 0.31695136123007944 19.302147705069594 g
2458207.8364005 305.1091829282241 68.5495689273113 26.1381 19.926961802796313 0.24392667002058063 19.800663168956582 g
2458207.837338 433.5189777699029 72.1662130522632 26.1947 19.60217971513295 0.18073224363531354 19.801440198814802 g
2458207.8728819 442.02860396669246 62.7077465103264 26.2078 19.59417406563773 0.15402125512988624 19.967072003953962 g
2458207.8738194 274.01271268915264 66.6816216110002 26.1607 20.066273219566966 0.26420758319046006 19.85325960724537 g
2458207.8790625 343.7588119575696 59.3365344447628 26.1236 19.78296540064605 0.18740370633649558 19.942869544869644 g
2458207.8799884 557.8036320237285 67.8787337151668 26.1927 19.326496655603712 0.13211807339293488 19.86594065937869 g
2458207.8968519 443.03423059203726 62.1596457997001 26.1976 19.581506792890917 0.15232847212403944 19.96640366144076 g
2458208.7985417 330.01835869855455 126.957653947061 25.7552 19.458854749852975 0.4176674456351324 18.748627767947895 g
2458208.7990394 240.55171172557405 120.598357568268 25.7123 19.759278870959598 0.5443055710251613 18.761521506214613 g
2458208.7995486 365.82466585777433 115.240267791935 25.7086 19.300417538532436 0.34201181718661555 18.807164342134318 g
2458208.8275926 104.21370023239614 127.574520506213 25.1716 20.12678795920795 1.329073400183699 18.15976512742328 g
2458208.8471991 255.65911733908044 117.113860949114 25.5936 19.57444678702826 0.4973439639307425 18.6746542421394 g
2458208.8515509 323.1597138998318 85.494937685153 25.9282 19.654656962577093 0.28723213275755705 19.35092398890362 g
2458208.8524769 281.0753868583567 89.7029804383858 25.8112 19.68914295730482 0.3464925440484542 19.181757806676785 g
2458208.8692477 230.2423541618479 118.476666849669 25.1935 19.288036957121513 0.5586726980226481 18.26199292038801 g
2458208.8706713 271.60854313989665 122.832605043022 25.6574 19.572541434835944 0.49099839700741654 18.68669083292193 g
2458208.8758565 464.42172278254213 115.879721181841 25.8551 19.187818687105665 0.2708973484989925 18.947656385217023 g
2458208.8947801 266.6138233894677 109.295751361004 25.4322 19.367493342611745 0.44507218622082023 18.588266789142388 g
2458208.8956944 125.29963393258615 130.902448575533 25.2005 19.955625494527595 1.1342474351913923 18.160705563522242 g
2458208.8985995 146.36556375849142 129.551579976849 25.3019 19.888302725353476 0.9609784348793239 18.27336820442264 g
2458210.7687153 286.53000603308413 62.484176926759 26.0484 19.90547472767754 0.2367607910549837 19.811549855536384 g
2458210.7893634 283.33191751478944 59.7580805854542 25.7063 19.575561247957985 0.22898707869098808 19.51788339015586 g
2458210.7971181 405.2586333257169 64.8009442487916 26.0966 19.577269311243146 0.17360366784430079 19.82022165353239 g
2458210.8124537 403.1072612190131 63.1884060030125 25.9321 19.418548446945906 0.1701870916192638 19.683081489293553 g
2458210.8172338 316.6433002327672 62.4889214439414 25.6322 19.380774241638015 0.2142607216442423 19.39526741708925 g
2458210.8325579 330.85303395112544 69.2956493106474 25.5173 19.21821219620979 0.2273948815221798 19.168110067842992 g
2458210.8378009 269.9572650861409 64.5935041748264 25.6544 19.576162450771115 0.259778774467253 19.38150287539806 g
2458210.8539815 427.90566753912776 65.4088717742198 26.2064 19.628029903300163 0.16595810121813093 19.919883343835636 g
2458210.8549074 376.36365882214517 65.3584220550203 26.1892 19.750180795304868 0.18854009190793927 19.903521092905276 g
2458210.8818171 335.8506426955735 60.5375980223164 25.9602 19.644834540708338 0.19569910495125928 19.75771202600089 g
2458210.8827546 357.54561842721205 64.6361263352733 26.0343 19.6509713492217 0.19626989884786494 19.760686686328768 g
2458211.835544 411.2130675674213 77.9374151444924 26.121 19.585832731856797 0.20577325551188108 19.64420999421403 g
2458211.8364583 429.2771166392868 62.200054279159 26.1223 19.540455654309 0.15731236609946664 19.890398079959876 g
2458211.8373727 416.66107392160876 64.1246651785282 26.1177 19.568242677766726 0.1670906003506978 19.85271221292449 g
2458211.8503472 461.4332128824919 70.7846037997623 26.1883 19.528027872974285 0.1665481421792945 19.816027975300432 g
2458211.8512847 481.40818689206077 68.3477426533022 26.2027 19.49641632082025 0.1541418409972495 19.868464550327698 g
2458211.8521991 550.500284718874 67.1879580256618 26.1915 19.339606130187413 0.13250849827573224 19.875846383595285 g
2458211.8739352 458.3918136809378 67.3236957735193 26.1888 19.53570786735375 0.15945602499826994 19.870955117142696 g
2458211.8748611 393.08897444065826 60.477145132876 26.1209 19.634672843303594 0.1670360675065835 19.919496784675676 g
2458214.7564583 95.85265622159007 36.9473101516016 24.122 19.167989619161055 0.4184933022498605 18.45561792352627 g
2458214.7573843 126.85335201686163 39.4300026358814 24.0767 18.81844513085745 0.3374696307282929 18.33970797389582 g
2458214.775 37.55755631962569 32.0943060727024 24.6868 20.75005668208426 0.9277703747973844 19.173305014109538 g
2458214.7759144 153.26065335071254 26.8948537362133 25.1888 19.72522331844115 0.1905234126503939 19.86720202221914 g
2458214.7893287 61.689781606673364 36.2832930747372 24.4294 19.95386691809181 0.6385623399091565 18.782708247208276 g
2458214.7902546 24.77143467859741 39.8288476849434 24.0517 20.56682209950688 1.7456469717074732 18.303780634843246 g
