jd flux fluxerr zpdiff mag mag_error limitingmag filter
2458198.8727662 2368.7025322624345 28.9728091563932 25.9613 17.525023689168762 0.013279750611425039 20.558898474832482 r
2458199.8007639 114.3127238849255 39.196742798326 22.9796 17.83436356649951 0.37227617547616165 17.24905004121895 r
2458199.818125 1428.4850861509804 32.5186171526171 25.4307 17.54351072358312 0.02471531763606026 19.90294481657789 r
2458202.784456 1903.5339915016662 36.6525403860226 26.2535 18.05459840890523 0.020905149724020522 20.595814786778707 g
2458202.7968981 1864.1466922019388 29.8549370063825 26.2468 18.07059978855601 0.01738785109745977 20.811834591255536 g
2458202.8002199 1958.2905971266175 30.2476287757988 26.2498 18.020107153441348 0.016769651353108872 20.800646653254866 g
2458202.8261227 1928.2908951047002 28.8922836022666 26.2544 18.041468623425885 0.016267437857335133 20.855020316215366 g
2458202.827037 1857.8739413208411 27.9281482226656 26.2567 18.084159391687507 0.016320585509580453 20.89416963731697 g
2458202.8378704 1934.232908775859 22.1422127524258 26.2602 18.04392807989069 0.012428596512983045 21.149722440785432 g
2458202.8628009 1870.6920912966975 22.7767811824409 26.252 18.071994224536077 0.013219038795761943 21.110844115337393 g
2458203.8507639 1949.6322480392253 32.2914992217642 26.2723 18.047418250708233 0.01798230447835926 20.75215446715402 g
2458203.8647106 1977.8817394206478 34.0308794014348 26.2525 18.01199919773746 0.01868025020391776 20.675392059246185 g
2458204.7124537 2166.554513988088 81.9656349998205 26.2595 17.9200759473652 0.04107447532233865 19.72799546972958 g
2458204.7730671 2087.177190771872 62.6182530600887 26.2804 17.981501699919118 0.03257252793290467 20.04122262067931 g
2458204.8113773 2012.7542894118908 58.6212386148513 26.291 18.031523097882374 0.031620888401008254 20.123437513017176 g
2458204.8318519 2062.72900408781 64.8399418826688 26.2795 17.993394561865443 0.0341279561020885 20.002468446885306 g
2458204.835706 2046.5988220015804 56.8992701068157 26.2925 18.01491820045932 0.030184487986049523 20.15730825070371 g
2458204.8566551 2051.4883022570784 47.3146328878925 26.2785 17.99832738767575 0.025040112034695687 20.343586302237767 g
2458205.7859028 2138.5192147170505 53.3166211459998 26.2854 17.960117108072406 0.02706819521650682 20.220818441888298 g
2458205.7937847 1962.3412087518057 55.3126557148592 26.2754 18.043463689900058 0.030602705605831292 20.170913712512426 g
2458205.7946991 1971.8186328604233 54.2826652040848 26.28 18.0428325845041 0.0298884941190464 20.195922082229977 g
2458205.8277315 1905.934464676341 54.2981117960282 26.2284 18.028130091509123 0.030930475873921903 20.144013170750625 g
2458205.8304977 1928.001951770824 50.1083125629252 26.2267 18.013931326960993 0.028217084998072954 20.229500544713936 g
2458205.8532292 1576.9750442450966 67.8140662258114 26.0175 18.022937948403175 0.046687949799870385 19.6917755240113 g
2458205.8574537 1580.9474619202724 72.045284276287 25.9403 17.943006405778647 0.049476384903870664 19.548861090816914 g
2458205.8939468 1751.0416018775777 69.4002794178545 26.1822 18.073958839172825 0.04303032165721927 19.831371941647166 g
2458206.7771875 2075.560846194375 57.7972919138344 26.2932 18.00036132630011 0.030233042768129704 20.141006263975022 g
2458206.7936227 2135.325942388461 51.9336102896095 26.31 17.986339559001966 0.02640548666231281 20.27395370248961 g
2458206.8152199 2164.6007705344305 49.9288625431736 26.3003 17.961855478232593 0.025042847069549887 20.30699580849294 g
2458206.836169 1985.0390653014294 48.7523179473774 26.2921 18.047677354899648 0.02666465991561236 20.324686816108247 g
2458206.8720949 2088.1445402865843 44.7696282064733 26.2902 17.990798607473927 0.023277308828965046 20.415316269760837 g
2458206.8758681 2109.818157554938 52.0327600241358 26.2893 17.978687435895182 0.026775751908246263 20.25118283113423 g
2458207.811331 2034.8976791282744 64.7837618827611 26.2433 17.971943558857568 0.03456475035454594 19.967209581290984 g
2458207.8316088 1948.3066772213162 64.8391308147314 26.2486 18.02445670265017 0.036131808789955366 19.97158202819501 g
2458207.8354514 1968.9024209434187 69.0607381861828 26.1445 17.908939517546955 0.03808174679007792 19.798996948693684 g
2458208.7738657 460.6781747863711 157.955232090702 24.4292 17.770705906281542 0.37225986570863845 17.18543994916186 g
2458208.8028935 1459.7834404800851 110.534200633814 25.9704 18.059678918039562 0.08220875665548355 19.114233302061127 g
2458208.8056597 1136.4403978092512 122.709327602974 25.5545 17.915633341293468 0.1172305360099584 18.584881048264734 g
2458208.8317708 311.7257369117873 179.101183655271 24.7055 18.47106834931801 0.6237860146579863 17.325328849031315 g
2458208.8538542 1241.6760192124354 106.202317343002 25.7728 18.037779266080882 0.09286146640122088 18.960040006187608 g
2458208.8734838 1415.3958137026184 108.148180015083 25.9432 18.066005233089694 0.08295663863468611 19.110726951013376 g
2458208.8743981 1598.5205514009247 96.331865470522 26.0641 18.054804439608912 0.06542768952809927 19.357250062914865 g
2458208.8910301 1225.9480226498085 110.945133629693 25.8515 18.130319856262805 0.0982530493596343 18.99130434518516 g
2458210.7701157 1856.4033221712593 56.2572406060554 26.1681 17.996419157625414 0.03290151735699149 20.045228923184283 g
2458210.7907639 1945.012670414479 64.9456690815973 26.1798 17.957493913000995 0.03625246971109155 19.90099950081734 g
2458210.7946759 1844.53654821656 59.721560522349 26.19 18.02528183776749 0.035152297915596376 20.002247120906652 g
2458210.8153472 1748.9295665035079 68.7542787424277 26.1183 18.011369200566893 0.04268126164731062 19.77762566285317 g
2458210.8364005 900.6244780987156 76.3506065448185 25.38 17.993640633776007 0.09204041811155796 18.925543760334342 g
2458210.879919 1679.108494700294 67.0352392167898 25.9795 17.9168031031222 0.043344524458891094 19.666317080388374 g
2458211.8276505 2042.8709874791828 73.6986649338204 26.2391 17.96349764826843 0.03916774040507742 19.82302593766451 g
2458214.7325463 1005.2777145161324 45.8157291927836 24.9292 17.423484862472577 0.04948099064202115 19.029238481437986 r
2458214.7490162 343.0644135483536 57.0066093715527 23.6669 17.328460823637872 0.18040948973558085 17.529661961944107 r
2458214.7611574 623.780925764326 37.9806955159469 24.9929 18.005319773538208 0.06610596672403384 19.296567705589517 g
2458214.7722222 159.56778545897527 37.2603810953385 23.6426 18.135236955545363 0.25351981691573705 17.96705675790458 g
2458214.7731366 251.1718527444943 37.2677570895192 24.141 18.14107257717255 0.16109131429328885 18.465241848901094 g
2458214.7740509 485.4525908740726 36.211392382362 24.655 17.939632941821106 0.08098568109141835 19.010461928128855 g
2458214.7926157 76.18529813722002 43.860738011553 22.8945 18.189822071451076 0.625049772376998 17.04188515178838 g
2458214.8148264 1479.1227118321785 52.487342249938 25.4767 17.551689485797404 0.03852655836118571 19.429138533206878 r
2458214.8157407 1792.6611605597882 44.6884832707015 25.649 17.515254476883165 0.02706495089783168 19.77608595182339 r
2458214.8562847 1627.82005856734 46.7943446201081 25.2164 17.187384010733723 0.031210218652032704 19.293491566340638 i
2458215.7372801 178.50682032035817 56.9165276852361 23.1084 17.47926296469306 0.3461731826098377 16.972878996273224 r
2458215.7681134 912.7326282843534 39.4495131832069 25.4156 18.014741060180157 0.04692539209813846 19.678070868468183 g
2458215.7746991 662.4478372882603 72.7336917225777 24.6637 17.61082078355245 0.11920481079152592 18.26193591043986 r
2458215.7756134 1142.7448379821324 51.783566081303 25.134 17.489126829583427 0.049198575067507536 19.10109510198814 r
2458216.7481597 2889.6603741588983 27.0158549820312 26.173 17.52088299371085 0.010150367156046414 20.846528198181645 r
2458217.7675926 1842.1907121746171 33.5861576423449 25.6921 17.528763529053556 0.019794091410464933 20.129274183945228 r
2458217.7732176 2443.7566535352107 28.8459047059173 25.9529 17.482755107048156 0.012815514463728977 20.555264578001506 r
2458217.7896296 2626.963052482336 26.0330924314491 26.0398 17.49116508851054 0.010759240951682299 20.753560588273835 r
2458217.790544 2086.0254505977455 28.3258840186271 25.8548 17.55650099314532 0.014742587282533456 20.47691630770039 r
2458217.7928935 2568.254313809767 25.0798662426994 26.0271 17.503004934358696 0.010602225267678702 20.78136194925493 r
2458217.7938079 1969.1627274694142 29.1778691777553 25.7382 17.50249598298906 0.016087249735322332 20.328141057289372 r
2458217.8111806 1983.2679337150619 31.3547776361604 25.7711 17.527646524782355 0.017164540151572975 20.282915676248454 r
2458217.8139352 3014.175470298258 25.5328390038312 26.1949 17.496978672054077 0.009196877746376356 20.929727222111268 r
2458217.8345139 1393.4599705007645 37.7231669301811 25.3757 17.51546375654126 0.029391617415015767 19.68675462559218 r
2458217.8555208 2965.598272361495 22.7550082533164 26.1905 17.510219199952374 0.00833056610899393 21.05038249575376 r
2458218.7127778 3006.097046321467 30.2338057601857 26.165 17.469992507807923 0.010919422230230747 20.71634294269927 r
2458218.7469213 2947.440643387266 27.114326838272 26.1636 17.489987330305624 0.009987656482364667 20.8331779222426 r
2458218.751169 2947.9398083877154 24.2004617599575 26.1624 17.48860347058059 0.008912814725059077 20.95541585748488 r
2458218.7875579 2615.6196228325857 20.8031891404941 26.0743 17.530363532861095 0.008635056203384386 21.031550195028224 r
2458218.7884722 2709.208011433269 25.5333255629174 26.0866 17.50449412201518 0.01023233780745899 20.82140653229365 r
2458218.8116204 2829.900790920158 24.7816453226046 26.1714 17.541971973654967 0.009507553202246133 20.93864964660958 r
2458218.8125347 2909.5572431621817 22.2071092957945 26.1706 17.511032734993314 0.008286573023818716 21.056944914106943 r
2458218.853044 2861.326000339157 24.5555410925609 26.1546 17.513181646921005 0.009317341316939533 20.931801218034238 r
2458218.8563889 2796.097346797465 22.4471886209602 26.1549 17.538519281492377 0.008716045853585869 21.029570099404005 r
2458219.7210301 2850.2015394734876 29.0860808302158 26.1476 17.510411074201016 0.01107948245765062 20.74096197243606 r
2458219.7325231 2625.7752670660125 27.859737415846 26.0599 17.511756116836533 0.011519385261855152 20.700032442194445 r
2458219.7698032 2957.5450258674737 23.0231026325392 26.203 17.52567158730212 0.008451665928844554 21.05016536540485 r
2458219.7726389 2945.015525949162 26.4824148260352 26.2187 17.545981028239503 0.009762922308316125 20.913881028762233 r
2458219.7735532 2951.7937914442327 23.8873720482482 26.2161 17.540884962622087 0.008786020184727746 21.023254054689207 r
2458219.7939583 1555.0850761038566 42.7554585323325 25.5145 17.535114616155973 0.02985020050790665 19.689596068158043 r
2458219.7948727 1237.2950010047116 42.0240012644348 25.2402 17.509016854334316 0.03687516569269896 19.434031487004262 r
2458219.8348495 2938.3601534647787 28.1804034443038 26.2204 17.55013743501631 0.01041242816453384 20.84810697319 r
2458219.8575116 2936.120585114255 27.6665207876726 26.2057 17.536265280290536 0.010230350133254924 20.853388619833005 r
2458221.7486921 2474.4925408662075 37.5024942843462 26.0118 17.528084627480645 0.01645446788466038 20.329224605313755 r
2458221.7668171 3191.2042691886745 52.5426538993638 26.275 17.515113489248172 0.01787587209296459 20.226294976735772 r
2458221.7677315 3134.4794610550957 50.8843197187919 26.275 17.53458642891864 0.017624969825163997 20.26111505732313 r
2458221.7686458 3124.8945933531513 46.842178817059 26.275 17.537911568437476 0.016274646079216904 20.350982270051826 r
2458221.775081 3152.9785009618377 46.7214328039753 26.275 17.528197476353732 0.01608810830134168 20.353784607167576 r
2458222.7694444 3230.6631033222475 42.3483873525292 26.275 17.501770820675986 0.014231643064657507 20.460482797075944 r
2458222.7723264 3147.5856682211856 39.352286870072 26.275 17.530056102034028 0.013573825261119101 20.540150050459445 r
2458222.7732407 3214.881009480438 38.4455248020717 26.275 17.507087741827917 0.012983468487486872 20.56546050507638 r
2458222.793044 3194.8006012806954 40.4336422119896 26.275 17.51389060625681 0.013740702731794735 20.51071782965931 r
2458222.8325231 3228.1450414705396 37.4006263690941 26.275 17.502617401343947 0.012578697526684857 20.595377800078317 r
2458223.817338 1968.607904912193 18.0430208813229 26.2233 17.987901938311403 0.009950842786911407 21.335101859823766 g
2458224.7162037 3159.3013218268693 91.6815069175438 26.275 17.52602237701782 0.031506526893363564 19.621870631817536 r
2458224.7422106 2390.9849319413283 27.6559244105515 25.9559 17.50945790203109 0.012558020224810252 20.604004540365047 r
2458224.7529514 2001.5770523341337 32.5630751541992 25.7978 17.544369216795737 0.017662937658925702 20.268561460269648 r
2458224.7538773 3067.126732635629 47.7425749666782 26.275 17.558170696865425 0.016899893013804707 20.33031039238353 r
2458224.7552894 2194.2536807922897 28.3887795597194 25.8635 17.51028291113819 0.0140465517901551 20.4832081828957 r
2458224.7912616 2374.6567817648456 31.9952374082602 25.9806 17.541597879368357 0.014628315772156085 20.47046164658253 r
2458224.7946181 3217.1637837055137 46.8918883142886 26.275 17.506317072217485 0.01582466003150907 20.349830684346138 r
2458224.8293403 1310.4419480744764 41.7111976189758 25.2242 17.430655533301163 0.034557690496296825 19.426143340255898 r
2458224.831169 3270.444739909963 142.471991471844 26.275 17.48848296165562 0.047296882669615 19.143251251891606 r
2458224.8378935 423.2347379265741 41.9274489759488 24.0922 17.52574673457609 0.10755410006322513 18.288528891425074 r
2458226.7663889 3184.6553119298537 27.8642848001207 26.275 17.517343915564634 0.009499380951578911 20.91495523819665 r
2458226.7673148 3207.650536236 29.3916658414458 26.275 17.509532382181874 0.00994825690753175 20.857014485594174 r
2458226.7803356 3111.0893241667954 25.9015956893828 26.275 17.54271879862182 0.009039072655843562 20.99425868921291 r
2458226.805625 3099.8180686831074 24.0470192303008 26.275 17.546659486451095 0.008422380991355713 21.074921862443674 r
2458226.8315394 2894.3845850234084 26.6181922794789 26.1818 17.52790940863283 0.009984634214598168 20.87142859438104 r
2458227.7606597 3114.842287701051 30.5592655070112 26.275 17.541409844675055 0.010651645090336066 20.814717709793932 r
2458227.7629861 2566.8137173018504 26.5807165119952 26.0782 17.554714121156863 0.01124299894555982 20.769358280053662 r
2458227.7639005 2435.6069296978803 24.3294297488645 26.0243 17.55778199744329 0.010845125112868156 20.81154516482138 r
2458227.7810995 2449.18504677784 29.8436653873891 26.0033 17.530746001910067 0.013229407697762818 20.568744584269847 r
