jd flux fluxerr zpdiff mag mag_error limitingmag filter
2458198.8613194 3802.35976585187 27.0949763062785 26.2523 17.302166985291137 0.007736515634294816 20.922653050231354 r
2458198.878588 3528.380921271416 25.0806526840532 26.149 17.28006133728313 0.007717439025620988 20.903227903839568 r
2458198.9138426 3768.334775161368 23.4298688002277 26.261 17.32062630467476 0.006750411010210184 21.089150347426045 r
2458198.9360301 3712.1147963262943 21.2826874333703 26.2515 17.32744650446257 0.006224649563444985 21.184008822044273 r
2458198.9784722 3648.500572953239 25.5773788481797 26.2502 17.344913953026428 0.007611170578216764 20.983134898586258 r
2458199.8351736 2880.897270792545 23.3494787665906 25.9442 17.295380569609076 0.00879952553459617 20.776082013662666 r
2458202.8723958 1774.6852396220313 26.8110098322182 26.3214 18.198596656968814 0.016402183736558724 21.00319205935935 g
2458202.8777778 1736.9306620203429 24.4973549314482 26.3212 18.221743795423702 0.015312515824976445 21.10097700280891 g
2458203.8581134 1858.5349219329514 38.1442714018217 26.3342 18.161273185209595 0.02228273193698528 20.633201679657333 g
2458203.878287 1814.7694657739387 34.968059870979 26.3378 18.19074634130964 0.020919914797955436 20.731196146498235 g
2458203.9165856 1759.9723044455975 29.1188211623865 26.2962 18.1824354158639 0.01796295547159859 20.888340516286295 g
2458203.9205671 1142.2503834072386 25.4256221269018 25.8816 18.237196718742865 0.024166853733797882 20.620996018508794 g
2458204.8632523 1868.4941536520146 51.2017675931211 26.3456 18.16687064170022 0.029751101424213784 20.32496260416725 g
2458204.8884028 1940.972700863336 48.6597877448262 26.3459 18.12585143194098 0.027218276450286648 20.38054946367027 g
2458204.903669 1893.4042880359425 44.7940645528676 26.3513 18.158191609152233 0.025685436645702348 20.475823810342668 g
2458204.925463 1925.5258264091963 41.8735804992626 26.3543 18.14292662990281 0.023610250106501654 20.552024744527486 g
2458204.9407176 1847.389270869379 35.4585341405441 26.3475 18.181103957422923 0.020838775629714437 20.725773044516572 g
2458204.9587037 1875.5626175779455 27.07091824505 26.3458 18.162971079763405 0.01567044238523236 21.01711752095693 g
2458205.8888773 1827.340485242662 72.4453318020832 26.325 18.170451309389676 0.04304282500865015 19.927548974542376 g
2458205.9045023 1878.469470531569 78.9941664459623 26.325 18.140489647079633 0.04565630043809645 19.833587437322212 g
2458205.9263542 1699.3606778540286 156.926320044699 26.325 18.249286088175182 0.10025823704928906 19.088335512736666 g
2458205.9273032 1592.1282672786765 130.819873939355 26.325 18.320054867363723 0.08920835089419178 19.285890673406687 g
2458205.9391319 1906.9234822205692 45.4756107032024 26.325 18.124166833085155 0.02589137477240212 20.43312863910372 g
2458205.9867477 1829.7079135705064 38.8932277165968 26.325 18.169045583937635 0.023078206646386667 20.602890023208296 g
2458205.9876968 1886.5032967726142 36.4723757373733 26.325 18.13585607876957 0.02099018772233774 20.672664855894197 g
2458206.0054977 1786.058568374602 26.9060266607138 26.325 18.19526075960853 0.016355495649910946 21.00295106867607 g
2458206.8218866 1835.896129596735 51.35200882606 26.325 18.165379734333484 0.030368208246454437 20.301181395859878 g
2458206.8455556 1801.2602325153428 51.3058832347814 26.325 18.186058847627635 0.03092434753318061 20.302157068100595 g
2458206.8646412 1818.1947957788293 46.2907518628651 26.325 18.175898974127456 0.027641630816561947 20.413839402333533 g
2458206.8831944 1841.433241028162 45.5160304603354 26.325 18.162110053383834 0.026836028138166098 20.432164040684963 g
2458206.9059144 1791.0777374595918 46.5011791082199 26.325 18.19221391056297 0.02818768225515581 20.40891507609092 g
2458206.92125 1848.7209150468839 45.1581694726393 26.325 18.157821613669515 0.026520078935333043 20.44073416643752 g
2458207.8484259 1854.6752001673856 69.6600862460311 26.325 18.154330337933335 0.04077800556695335 19.970114969605476 g
2458207.8646181 1654.8024647266466 68.4081321786441 26.3075 18.26063460230271 0.044881918349464464 19.97230565772591 g
2458207.8882176 1805.127465409571 63.4408082405185 26.325 18.18373031463198 0.038156688004912204 20.071653220939627 g
2458207.9080324 1887.8006242657766 63.6883453602215 26.3564 18.166509686579808 0.036628039883441425 20.098825074288396 g
2458207.9318056 1836.1203052881701 62.9792740658441 26.339 18.179247166481986 0.03723971553299476 20.093580863136136 g
