jd flux fluxerr zpdiff mag mag_error limitingmag filter
2458198.8732523 4517.312495725631 26.7460128417041 26.1588 17.02159966264071 0.006428190692965032 20.84322736718357 r
2458199.7536806 518.618035306233 42.089179141407 23.8011 17.01398096102146 0.08811151692178026 17.993248849524615 r
2458199.7767593 3534.09167101934 32.3764920997333 25.8877 17.01700547373025 0.009946306079418075 20.364700508154957 r
2458199.8002778 406.46598740697965 37.2426410633089 23.49 16.967439474495055 0.09947778327131969 17.81497381063221 r
2458199.8186111 1640.2094567453894 32.6536543201244 25.0847 17.04745172119136 0.02161435684300064 19.552445511942544 r
2458202.7834491 2901.4808732237343 35.8494627252623 26.2432 17.58665071997831 0.013414447098378652 20.60956836092184 g
2458202.7988194 2815.3024326401046 28.762916227477 26.2267 17.60288736102656 0.01109220017932042 20.83219269819171 g
2458202.7997338 2823.8281082902404 33.4439667866819 26.2414 17.61430435783695 0.012858472027281234 20.683180530505442 g
2458202.8284491 2890.4784001815697 30.9785125522525 26.2395 17.587075679125558 0.011635918495660723 20.76442358648137 g
2458202.8303356 2896.339036015299 29.2442182557883 26.2499 17.59527650600381 0.01096226904568145 20.837374947969828 g
2458202.8373843 2824.8769606247024 27.9478440028652 26.2354 17.60790115853652 0.01074134366092908 20.872104212966452 g
2458202.8618171 2739.2146211598706 26.571781771535 26.2253 17.631234847136348 0.010531844874988283 20.916823296623058 g
2458203.85125 2863.7382984170126 37.2366818106102 26.2613 17.618966680947484 0.01411716477868344 20.58644755486544 g
2458203.8651968 2806.5694096272655 37.2256274972939 26.2277 17.607260531797696 0.014400450469949195 20.55316992113063 g
2458204.7109491 2739.1419018696715 72.2293993087219 26.2498 17.6557636710969 0.0286292063861139 19.855589981428864 g
2458204.7725694 2992.615080151566 51.6472257619461 26.2756 17.58547284982783 0.018737255379634374 20.245557493428727 g
2458204.8118634 3012.5338916015407 56.8868297564783 26.2691 17.57177014622714 0.02050168837561997 20.134145659997664 g
2458204.8141898 2991.6576738778676 56.0411368994348 26.2731 17.5833202573427 0.020337842415254985 20.15440764620954 g
2458204.8347454 2952.523774039677 63.7724224523506 26.275 17.59951649178597 0.023450351074323514 20.015992703250284 g
2458204.8552431 2841.043905018801 47.6804381525199 26.2616 17.627905136776736 0.01822099672966803 20.318324395067165 g
2458205.7642014 2989.06932143455 55.4366898748802 26.2705 17.581660032101198 0.020135904432042905 20.16358176253115 g
2458205.7652083 3054.8095765697035 56.0984778988227 26.2642 17.55173964147707 0.019937778747945497 20.144397294536038 g
2458205.7687731 2799.141313134008 46.9745833220139 26.2182 17.600637939646365 0.0182199822757819 20.291117647976428 g
2458205.7873264 2968.8708376147415 57.8422018645023 26.2794 17.59792174054288 0.02115258022297276 20.12636294721096 g
2458205.7882523 2921.997765901187 59.2439936297404 26.253 17.588800301135343 0.02201274916579943 20.073964172736744 g
2458205.7907986 2835.6732733426534 58.9302141287295 26.2253 17.593659525188116 0.02256273107378913 20.052029941285618 g
2458205.812037 2852.642443903307 58.4854607503153 26.2384 17.600281650747952 0.022259244186850373 20.073355200052823 g
2458205.8319097 2889.69542901573 59.6959260133966 26.2121 17.559969822579493 0.022428615217355452 20.024813255569093 g
2458205.8351157 2845.2364723827704 56.4810443057459 26.2245 17.58920408206233 0.021552328039501783 20.097318194155488 g
2458205.8560417 2126.33725881665 76.6643315734951 25.9155 17.596419627016942 0.03914452631830631 19.45659160548654 g
2458206.7321412 3154.0928995204545 59.1244452832009 26.2889 17.541713798162263 0.020351781728981676 20.112057291331226 g
2458206.7597106 2887.4372118675615 53.2138626927285 26.2541 17.602818627131253 0.020008847461007673 20.19161302746876 g
2458206.7618056 2832.0513913638633 51.6347824445235 26.2481 17.61784717513996 0.01979479732287689 20.218319110346002 g
2458206.7776852 2929.870981320577 58.9829615430985 26.2742 17.60707875912686 0.021856867334983595 20.09995855227872 g
2458206.7792014 2883.3906521289873 42.2156732939665 26.2787 17.628941284620446 0.015895715157922728 20.467590688689945 g
2458206.7833449 2964.5924291719216 49.395805796381 26.2513 17.571387512012702 0.018089847975531214 20.269649802924633 g
2458206.7931366 3026.0479726073263 53.5267830302073 26.2621 17.559910478229618 0.01920459584975562 20.19324713169203 g
2458206.8142593 2893.373945750724 52.5268409905214 26.2683 17.614788583974587 0.0197099968177851 20.21992178229966 g
2458206.8315162 3056.72757316241 47.7120874978887 26.2738 17.560658163688863 0.016946558748402233 20.32980394362403 g
2458206.8347569 2772.5639647416624 56.7052899670812 26.2472 17.63999606406162 0.022205054274733918 20.115716050201563 g
2458207.8118287 2708.0262754116925 76.5880939921266 26.1124 17.530767815245163 0.03070564506786795 19.654571835163527 g
2458207.8321065 2198.361169169987 80.8655482431638 25.9582 17.602952389321715 0.03993689797602779 19.441366150971803 g
2458207.8538194 2741.6830571478454 67.7788645703484 26.2332 17.638156879416538 0.026840269910913726 19.908039265976875 g
2458207.855706 2892.463385768134 60.7729104868849 26.2283 17.575130324639325 0.022811403331934915 20.021599899849758 g
2458208.7700463 611.7689564757152 152.680610687684 24.6068 17.640331411437174 0.2709606907459986 17.39991526826097 g
2458208.7724306 1436.8839110435345 140.300610842167 25.4111 17.517545795095522 0.10601021559265385 18.296026084489892 g
2458208.8061458 1282.0080161642709 155.928997264164 25.3784 17.60867314810965 0.1320523040380198 18.14865777397833 g
2458208.8070602 1761.4892078113905 124.143544890523 25.8078 17.693100033211273 0.07651630568608772 18.825564633144925 g
2458208.8090856 1185.9080911148458 124.10530460229 25.3491 17.663972419647695 0.11361852593487168 18.36719912706768 g
2458208.8146296 332.903711634416 159.866603000788 24.5366 18.230803406871324 0.5213734927310193 17.279780622279674 g
2458208.8557523 2203.63494886933 91.0942715906158 25.9485 17.590650871218813 0.04488086863782817 19.302347320459795 g
2458210.7706019 2688.805900500506 57.3703198663742 26.1652 17.591301368729667 0.023165285477589927 20.021056810949666 g
2458210.79125 2504.0330259746743 60.9914704429014 26.094 17.597399868662034 0.026444714895117277 19.88340222944418 g
2458210.7941898 2634.422938016447 63.1109302237417 26.1646 17.612886252154546 0.026009315343840433 19.91691353539309 g
2458210.8143866 2469.254450735652 67.0870392886891 26.1096 17.628185386899112 0.02949732399349528 19.79557842454546 g
2458210.8349884 1920.1064516400072 62.8914234071316 25.8885 17.680186732826705 0.03556116294219115 19.64459642884251 g
2458210.8780324 2136.767375968416 71.1216478420394 25.9636 17.6392068892931 0.036137192064300556 19.58617046316576 g
2458214.714919 1531.285499077596 40.4216209358677 24.9976 17.034959575320627 0.02865941973362063 19.23364067654153 r
2458214.7320602 1678.0584351864713 45.3574725058396 25.142 17.079982299416155 0.029346181793793037 19.25295287419153 r
