jd flux fluxerr zpdiff mag mag_error limitingmag filter
2458198.9210417 4747.260798077711 23.4550428972384 26.2598 17.068692272476355 0.005364175501763717 21.086784410232877 r
2458198.9546296 4814.673526010769 24.6731403428768 26.2707 17.064282890590057 0.005563747640529309 21.04271391653147 r
2458198.965162 4749.94388363095 21.8286619869889 26.2683 17.076578802871193 0.004989401748712362 21.173307199300346 r
2458198.9947569 4654.062881528575 25.1578116328639 26.2629 17.093319383029115 0.005868815438271305 21.013792836525933 r
2458198.995706 4681.648253653823 21.4945228936607 26.2676 17.091603048168196 0.004984698174928931 21.18935546496331 r
2458199.0187384 4723.914929715758 23.1063823140012 26.2628 17.077044829873067 0.005310552719843451 21.10604510210153 r
2458199.0196875 4640.457453878641 23.3231038105397 26.2635 17.097098012027388 0.005456766721552013 21.09660912586218 r
2458199.028044 4658.9990900827215 24.4937193617429 26.2567 17.085968435927143 0.005707842091587983 21.036638145209565 r
2458203.8997569 2351.018990515198 38.3193781775555 26.2406 17.81245965704447 0.017695879554871282 20.534628856635827 g
2458203.9970255 2518.9060387022014 27.0904326302611 26.2962 17.793170081090203 0.011676530309097303 20.96673513738962 g
2458204.9077199 2419.0772340551744 52.1469954736257 26.2693 17.810175664162976 0.023403962547656355 20.228801761750933 g
2458204.9273611 2560.5342921660026 49.7986839819152 26.2862 17.765373508665213 0.021115292759242663 20.295730324376333 g
2458204.9470833 2549.767712139253 42.5055981389117 26.3002 17.78394845669082 0.01809903219015117 20.48165965928537 g
2458204.9688194 2534.651521067335 24.0434641710994 26.3026 17.792804354022643 0.010298847330133296 21.102682387196975 g
2458204.9740972 2583.159051946025 21.9101180700473 26.3004 17.77002213085409 0.009208807785463225 21.20136319438737 g
2458204.9854514 2597.4430158872233 24.6709560846212 26.306 17.76963492863505 0.010312163484335016 21.078110038598417 g
2458204.9864005 2573.5980440804788 24.5699136902082 26.3092 17.782848205418095 0.010365082206530025 21.08576591195366 g
2458205.0114468 2515.6745573550393 25.8473888010721 26.3093 17.807663856284975 0.011155063734010446 21.03083330013684 g
2458205.9297222 1079.1769060631266 73.5390695673183 25.4091 17.82636839239492 0.07398357709534525 18.995379662217143 g
2458205.9441319 2388.407849917079 55.0558538720138 26.1751 17.729828775259236 0.025026772772883253 20.075666232700158 g
2458205.9677662 2495.269652093669 37.2451592408493 26.2695 17.776706288339547 0.016205490798904702 20.59440040058344 g
2458205.9917361 2563.636474288789 38.9028359962007 26.2773 17.755158895234295 0.01647535033327709 20.55492183336458 g
2458206.0159722 2462.2024509503663 20.5375032357704 26.2769 17.798590601789765 0.00905594389871128 21.24810587698982 g
2458206.0245949 2476.9759087399025 27.7778703578965 26.2736 17.78879554343872 0.01217550551911123 20.916927622451077 g
2458206.9108912 2558.3005515003642 46.6208755907737 26.2973 17.77742108886295 0.019785120477427143 20.37842392469971 g
2458206.9240972 2538.4598916047285 49.2076170920404 26.2976 17.78617423545675 0.021046111484178297 20.320094152719577 g
2458206.9532639 2639.1406087093337 52.2811480474522 26.3118 17.758143676818378 0.02150762344673936 20.26851219982676 g
2458206.9662153 2702.556176046635 47.466915569328 26.3147 17.735263174802487 0.01906892100537419 20.376297459408086 g
2458206.9948495 2561.727975484082 40.8975820432172 26.3151 17.79376747240577 0.017333028818538123 20.53843090840382 g
2458207.0143171 2300.376891297644 32.1021696540954 26.2073 17.80280250951973 0.015151137070321811 20.69353902520708 g
2458207.9043634 2638.6841263750925 58.6825438225337 26.325 17.771531488814126 0.02414523102302854 20.156302659763547 g
2458207.9269444 2562.259349951315 51.8028267762975 26.325 17.80344228351954 0.021950287363414187 20.29169134173453 g
2458207.9495833 2596.3507163571517 54.7825195744438 26.325 17.789091607981536 0.022908069055256244 20.230969982704178 g
2458207.9505208 2681.201588730735 57.8568860384141 26.325 17.754176329848782 0.02342801131997037 20.17168735058133 g
2458207.9734722 2655.3738436581416 55.8314756138563 26.325 17.764685817521933 0.0228277585917833 20.210377223380988 g
2458207.989213 2567.407039410384 55.0066505521165 26.325 17.8012631809158 0.023261103357474628 20.226536987084586 g
2458208.0126389 2654.658008553511 50.2379849070833 26.325 17.764978549511522 0.020546292606383725 20.324994461366035 g
2458208.013588 2616.1067532039724 51.6745771864987 26.325 17.780861345267873 0.021445259595263697 20.29438265962338 g
2458208.9107755 2822.3239446213584 180.150597023416 26.325 17.698482849162197 0.06930086943459035 18.938485724851596 g
2458208.9446296 2772.3117883815844 146.770414205992 26.325 17.71789482082967 0.05747861383097528 19.16097868948146 g
2458208.9629745 1784.1736787463817 122.829850309957 25.7811 17.652507179762633 0.07474405102490966 18.810415182702354 g
2458208.990081 2211.059871521711 99.6031314989662 26.0966 17.735098743372916 0.0489082730238342 19.35349250727385 g
2458209.0102662 1992.441223931155 91.3822600142368 26.1043 17.85583620305907 0.049795054682569166 19.454720252716534 g
2458209.968912 2524.29989708213 91.7406961333835 26.2838 17.778447626035224 0.0394576230451646 19.62996991101351 g
2458209.9909491 2637.5262838567546 75.114956661363 26.2925 17.73950800944693 0.03091999838878988 19.855758936637443 g
2458210.0220602 2557.1370337955527 86.9967522520972 26.325 17.805614995121296 0.03693676665419314 19.728817389375486 g
2458210.9042477 2562.4490615009818 68.6542774588344 26.325 17.80336189779552 0.029088558347144324 19.985905987052618 g
2458210.9274074 2655.2292751453233 70.2020736136875 26.2741 17.71384493068289 0.028705013173752774 19.91080013812028 g
2458210.949456 2574.1735050020093 64.3150302631221 26.2922 17.765605460085062 0.027125921473819675 20.023993793337006 g
2458210.9650231 2736.4318439317926 62.3965313104404 26.325 17.732038410803458 0.02475629502484101 20.08967387050704 g
2458210.9664815 2523.211077871468 69.4877544892729 26.3024 17.797516043226054 0.02989954178254707 19.950204295177713 g
2458210.988125 2746.8954984846264 69.4987890036653 26.325 17.72789465586683 0.02746913206669326 19.97263189615977 g
2458210.9890741 2469.644217995693 68.6800187032683 26.3155 17.833914018966738 0.030192971021005766 19.975998977264886 g
2458211.0217593 2560.4564364295006 70.1346262792875 26.325 17.80420652211763 0.02973890227853483 19.96274377130485 g
2458211.9015162 2785.6930740142934 88.1167408703875 26.325 17.712666838951826 0.03434274452393919 19.71492892479988 g
2458211.9248264 2647.767021015619 117.196072126885 26.325 17.767800578612096 0.04805550280604106 19.40529234822707 g
2458211.9488889 2586.010577626369 102.057521009097 26.325 17.793424257614923 0.042847408095786126 19.555462451527475 g
2458211.9684259 2444.8912000188957 129.870165767378 26.325 17.85435115656846 0.0576712939097464 19.293801501984145 g
2458211.994537 2782.5615357002175 92.8301806059332 26.325 17.71388805641437 0.03622048453943696 19.658352000668494 g
2458212.0046296 2476.0041168010735 117.811036504441 26.325 17.840621593897062 0.05165881650395815 19.39961004680849 g
2458216.8711458 4387.04864162034 31.4717436213801 26.1637 17.058268875766643 0.007788578345261344 20.67147297743086 r
2458216.8773958 4346.749520150196 35.7544394422336 26.1539 17.058488462871654 0.00893048810898395 20.523150055246337 r
2458216.8858681 4297.761508464648 32.6636521997369 26.1504 17.06729422015212 0.008251487925378926 20.617813132653527 r
2458216.9013079 4355.832983049188 46.6464145074823 26.1689 17.07122195218661 0.011626711223285128 20.24942932122909 r
2458216.9219329 4308.23093937746 43.9047370578878 26.1679 17.082152561828188 0.011064256697120495 20.314196537807888 r
2458217.9081366 4498.408684618691 25.9988965187315 26.1992 17.066552727624497 0.006274886060686917 20.914387700578665 r
2458217.9234491 4610.693137936016 28.790623085523 26.2179 17.05848445260362 0.006779453446330417 20.822347329250597 r
2458217.9457292 4618.95676203066 30.7176511759649 26.228 17.06664025789272 0.007220278430812408 20.762104978365162 r
2458217.9726273 4644.122283517915 28.0641558541233 26.221 17.053740883639712 0.00656082078608431 20.853195030298764 r
2458217.9859722 4494.927882379753 27.2558222858904 26.2144 17.082593179479705 0.006583341719850794 20.878326766982294 r
2458218.0027083 4479.224164628843 33.8574215222847 26.2154 17.087393006410462 0.008206555688152399 20.64384028792933 r
2458218.8909028 4439.746802843053 29.1428082090043 26.1929 17.0745044920916 0.007126610655421755 20.784146493695076 r
2458218.9097338 4569.945063054963 28.677365331857 26.1973 17.047522551770392 0.0068129955855494905 20.80602686664927 r
2458218.9318634 4543.561877833995 29.1193784081774 26.2029 17.059408882510077 0.006958177304020707 20.795019738791982 r
2458218.9527778 4395.624777964414 30.8306737606831 26.1932 17.085648467949937 0.007615040908354038 20.72331744985832 r
2458218.9717824 4236.133741637271 31.1244232020454 26.1309 17.063475842411048 0.00797703479904771 20.6507217095824 r
2458218.998831 4161.2875246976655 36.5109837815807 26.1224 17.074330688842828 0.0095258918919673 20.468916151433966 r
2458219.0028009 4507.334937108887 36.6762533784702 26.1943 17.05950042147805 0.008834357519156592 20.53591257816462 r
2458219.8832755 4649.604290097079 31.7860601089361 26.2331 17.064560016667592 0.007422163975066229 20.730083238340303 r
2458219.9074884 4638.142783430471 33.8502983302017 26.2093 17.043439714761746 0.007923703648881193 20.637968737730425 r
2458219.9276852 4108.794446222777 37.4115148175556 26.0815 17.047213962435585 0.00988554724969511 20.401561755580612 r
2458219.9489699 4408.330577942982 36.7301017145704 26.1719 17.061214613661267 0.00904602563860284 20.51191966162537 r
2458219.949919 4489.13733310852 37.8489223904207 26.189 17.058592770802566 0.00915377988911403 20.496441191495496 r
2458219.9645486 4540.618636537811 39.8503611053809 26.1862 17.043412431661565 0.009528555581382565 20.43769433635009 r
2458219.9915741 4876.712500828381 62.339389239576 26.275 17.054682117061763 0.013878586216823509 20.040668631586584 r
2458220.0166782 4608.016419103609 41.6286852439172 26.2041 17.0453149553025 0.009808181972171199 20.40819325213809 r
2458220.0176273 4648.192092902052 49.9651564859875 26.2167 17.048489831082005 0.0116705956450625 20.222606859367787 r
2458222.8830671 4935.797191146041 34.0580491159003 26.275 17.041606733749678 0.0074915606320824805 20.69702557052691 r
2458222.9070949 4877.978206114226 43.7554439386526 26.275 17.054400360909284 0.009738724421656983 20.42499475288228 r
2458222.9279398 4555.0702098042775 31.097341914841 26.2109 17.064662311548762 0.007412044724200548 20.731666817320523 r
2458222.9288889 4790.8562806504915 30.7738472339031 26.213 17.011967143015685 0.006973944527785356 20.745120505284103 r
2458222.9464352 4705.782628652461 29.4643190208225 26.2121 17.030520344492153 0.006797893928659305 20.791433968821188 r
2458222.9473843 4653.275604583578 26.3883958756684 26.2129 17.04350306069071 0.006156927686379124 20.911942512427544 r
2458222.9665741 4591.084675198721 29.1640324374777 26.2127 17.057911743236094 0.006896712271158236 20.803156057649012 r
2458222.9850116 4886.22424662604 38.2813089171736 26.275 17.05256651387439 0.008505957768940739 20.570108042195525 r
2458223.0076389 4869.332836538823 43.2559698503361 26.275 17.05632634709601 0.009644649080897856 20.43745985450525 r
2458224.9079167 167.06082774798503 60.5497013023116 22.3114 16.75421342773885 0.3935022446021168 16.108694976493563 r
2458224.9311227 4842.534022866102 38.5498197968129 26.275 17.062318298287177 0.008642900422747745 20.5625191085124 r
2458224.9448727 4366.712517759123 33.60002788223 26.1464 17.046013497217817 0.008354007762905678 20.583125894711117 r
2458226.9139352 4707.69359263715 30.0346678289685 26.2121 17.030079529056092 0.006926669763068509 20.77061790617948 r
2458226.9416551 4698.345414297641 30.1643317091942 26.2104 17.030537644497883 0.006970414486132005 20.764240719249376 r
2458226.9426042 5018.618050209705 33.4156789320558 26.275 17.023539639305696 0.0072289626852589505 20.717699265548827 r
2458226.9755324 4707.614270296021 30.2146871845621 26.2011 17.019097823335763 0.00696830368691535 20.753129733367455 r
2458226.9982292 4736.758032863677 35.6452152290527 26.2118 17.02309699927156 0.008170147156701155 20.58437188574365 r
2458227.837338 2763.6615878150346 34.0505203983609 26.325 17.72128784422008 0.013376692052129307 20.747265604968966 g
