jd flux fluxerr zpdiff mag mag_error limitingmag filter
2458202.8763426 807.401965450193 31.843319184648 26.2052 18.937475494314715 0.042819181917021276 20.700229164011034 g
2458205.868912 756.126991644451 55.4998784859422 26.2039 19.007413146370002 0.07969060586124581 20.095744908512838 g
2458205.9029861 783.750019083588 65.0242978655453 26.1006 18.865156088966394 0.09007576200785174 19.820485810741257 g
2458208.8873611 735.0350882745031 126.505340378749 25.8254 18.659629821404245 0.1868575395109775 18.82270284043832 g
2458208.908206 432.45208776000266 135.820832594635 25.7832 19.193355004741186 0.34098731887688627 18.703359018146433 g
2458211.865 918.4108323229552 88.0795840917116 26.2316 18.824007506424646 0.10412334119197769 19.621986851041733 g
2458211.8977083 802.9562783814945 94.9747027891218 26.2393 18.977570254407922 0.12841799434708298 19.54785513125682 g
2458214.8452431 740.1284564255214 56.4326782066769 25.6749 18.501632244337344 0.0827815201497452 19.548648334919346 r
2458214.8677083 146.49793744162696 78.8422116741401 23.7375 18.322921224350203 0.5843016680608312 17.248177992746637 i
2458217.8716435 1197.2989700961716 25.0729581675494 26.186 18.49049347767911 0.022735934267380048 20.940561048953946 r
2458217.8824074 1180.6387948086717 21.6659693963612 26.1822 18.501907375812394 0.01992374219537766 21.095329675757988 r
2458218.8202431 1135.9948360514957 26.4909434226974 26.1424 18.503959107036614 0.025318088041659723 20.837231426374995 r
2458222.8419792 1191.730550393328 34.5620608154661 26.1661 18.475654818086486 0.03148700804470173 20.57217591403939 r
2458222.8595139 1176.2975394382256 33.7114293811897 26.1708 18.494507028574866 0.031115000798724167 20.60393207113233 r
2458223.0146528 1166.7070081243698 48.0290135406305 26.1396 18.4721954835601 0.04469425454544276 20.18841582207641 r
2458226.7445486 1279.281999919939 37.1754967875638 26.275 18.507584276978463 0.03155007016809738 20.60193303705217 r
2458226.7947106 1270.1610392533112 31.8278482817236 26.275 18.515353032206033 0.027205601346252467 20.77055679120633 r
2458226.8361921 1289.7628955528796 24.808812692238 26.275 18.49872530296798 0.020883627551106336 21.04106003873215 r
2458227.8776273 1059.0111839592728 27.7145432154254 25.6288 18.06654863347503 0.028412995088958896 20.27460567653972 i
2458229.8155208 881.5029108484335 22.4006389753673 26.2506 18.887540623149807 0.027589669229961228 21.127523972396176 g
2458229.8565162 1202.7936656174973 24.3548911404292 26.2084 18.507922169325816 0.021983908019326807 20.99450950731766 r
2458231.809838 1127.6835728900612 35.7568855793765 26.1848 18.554331864858412 0.03442565947292893 20.553975777230704 r
2458232.8581713 1148.9585848285067 38.0647221968996 26.1952 18.54443906384197 0.03596898046185219 20.49646832770329 r
2458236.7913889 805.4603477281867 93.3437020776127 26.1714 18.90628958686026 0.12582029348993323 19.498762435863085 g
2458236.8298611 816.1862058022392 102.056166847094 26.1748 18.89532687355951 0.13575625213731835 19.40527685783927 g
2458236.8303125 855.6943446284771 106.235610396044 26.1855 18.85470334574478 0.13479112364247653 19.372399695267283 g
2458237.7978472 624.1702393904734 115.034318108625 26.1096 19.121342356144922 0.20009406294746898 19.2101064330192 g
2458242.8346412 1254.502653311785 35.2129619938568 26.275 18.528821039505452 0.030474796315340075 20.66081859422923 r
2458242.8779398 907.2110718637313 41.5513670607703 26.2442 18.849929145411483 0.04972637638251231 20.450311697007507 g
2458245.7930903 192.5435778357426 31.7341150163606 25.085 19.373677406015393 0.17893990056970327 19.583759010530155 g
2458245.8368056 883.3193461115056 39.3109364093618 25.8714 18.506105644281718 0.04831761451566399 20.137691516434018 r
2458248.7953009 1240.0226198283835 36.1722077627256 26.2516 18.518025981495523 0.03167052385981989 20.60823744756363 r
2458248.8157292 864.3039027240172 22.9133843911415 26.2367 18.895033814897477 0.028782771146881974 21.0890518871115 g
2458249.7978125 1065.028302541316 40.332566139231 25.6195 18.0510971273373 0.04111540224130746 19.8579353525234 i
2458254.8813542 1031.6222036951456 19.9734310180444 25.6197 18.08589829768823 0.021020441377296088 20.6211433041721 i
2458255.7728588 1168.1058393003361 25.6063658055751 26.1888 18.52009451261891 0.02379992498947256 20.920505125630505 r
2458255.8379398 847.2989648934717 18.9122894126371 26.2126 18.892508310376417 0.02423356272821797 21.27331472613093 g
2458258.7483218 1139.9082496301498 25.0223045090992 26.1205 18.478325258244148 0.023832370731893038 20.877256726815983 r
2458261.7123032 934.4823811895573 42.1376989616353 25.584 18.15757220608282 0.04895640697303571 19.77489794880304 i
2458261.7975347 1367.386910786641 46.6740368969873 26.568 18.72827145417234 0.03705900755617661 20.64788657617649 r
2458267.7150463 763.8757389725308 95.454562218631 26.1989 18.991343207839797 0.13566999567254803 19.501983263699618 g
2458267.8172801 202.4670668802105 181.397915181033 25.336 19.570114021683324 0.9727197590537979 17.941994260720435 r
2458270.7999421 1219.8848152037122 46.227719742449 26.275 18.559202936598084 0.0411427658569515 20.365318809950182 r
2458272.8368171 944.477475231358 32.7892266549124 25.618 18.18002098768352 0.03769201946347958 20.08124705464305 i
2458273.7527778 871.8512403250513 18.448390017701 26.2252 18.874094025676914 0.02297343413166498 21.31287881047473 g
2458273.7537616 811.3074356265475 19.2591286334393 26.2225 18.949536359245613 0.025772765093884768 21.263483404495233 g
2458274.773287 831.1545311093065 15.7598237507769 26.2246 18.925395557962045 0.020586353085727517 21.4832965984863 g
2458275.7675463 769.868499579663 18.4415551987062 26.2208 19.004758624679457 0.02600703430542624 21.308881132054605 g
2458276.7560648 804.2996191590921 16.7738090301245 26.2227 18.959155342346417 0.02264246311970954 21.41369575349654 g
2458276.7569792 861.347712917499 16.9169256019265 26.2188 18.880853737750655 0.021323219241856615 21.400571390782602 g
2458276.7770833 1286.4685552769333 24.113427626231 26.275 18.501502061598735 0.02035024351462935 21.071927619235193 r
2458276.7779977 1271.2870149851733 27.0242031358084 26.275 18.514390972253075 0.023079113527238668 20.94819274728886 r
2458277.6688773 1025.7366197319213 30.7487449429243 25.5992 18.07161034874565 0.03254628112356745 20.132206503961534 i
2458277.7740046 1225.8500322103841 26.8884361919725 26.275 18.55390664299277 0.02381431203373692 20.953661127237453 r
2458279.7342708 1279.3952776139538 25.4806939513868 26.275 18.50748814160825 0.02162301980246025 21.01204686022596 r
2458279.7351852 1250.2213422970717 24.6984988311952 26.275 18.532532729023096 0.021448330206681864 21.0458985947902 r
2458279.7955556 860.5014434484127 21.5205562676036 26.2333 18.896420992070993 0.027152619112530238 21.153741256986756 g
2458279.8123495 672.3215541548403 26.9349160853545 26.0386 18.96965741336826 0.04349591086757642 20.715385922017134 g
2458280.6893403 1116.5417172304435 27.2293406039955 26.1944 18.574712614476176 0.02647719707875135 20.859382178090026 r
2458280.7737963 920.8424125773148 24.1126780090887 26.325 18.914536714963642 0.02842954902695642 21.12196137217711 g
2458281.6866551 986.3001569019901 18.670444773967 25.608 18.12297724447054 0.0205520619146675 20.68268832918566 i
2458281.7107639 1144.3244622578525 22.8897782279967 26.1879 18.541527045087527 0.021717120486179214 21.041371026785942 r
2458282.7112963 1210.70690065903 25.1011075736459 26.275 18.567402455588166 0.022509388918055227 21.028342776840788 r
2458282.7122106 1257.024846164898 22.2864600202036 26.275 18.52664034507375 0.0192489509795743 21.15747226252922 r
2458282.7887037 812.2163179298313 32.0472327701685 26.325 19.050820723781747 0.04283794827867251 20.81309865214618 g
2458282.7896181 935.0913404481073 32.1875973613973 26.325 18.897864912083165 0.037371829834850635 20.808353589045048 g
2458283.7271875 1210.6437471450301 20.7648014763633 26.275 18.567459091793815 0.018621782845739936 21.23425553076819 r
2458283.7731481 883.4677689804429 19.50107991967 26.325 18.95952322492692 0.02396501967832899 21.352428333809137 g
2458284.6897222 1199.2383535190247 24.8931458339895 26.275 18.577736226301464 0.022536377653913697 21.037375530682652 r
2458284.7324884 902.2798810528728 23.9957144857525 26.325 18.936646815948944 0.02887368738265689 21.12724077460783 g
2458285.6925 708.4160271995136 316.885590813411 26.275 19.149279054738322 0.4856506244024127 18.27531875985332 r
2458286.6911343 978.9055323994938 28.3131200882166 25.6282 18.151348042548243 0.03140196215300566 20.25080566169998 i
2458288.7130903 742.9563050862416 30.8930065470429 26.2237 19.04629181828344 0.04514469690681356 20.751624548023457 g
2458288.7558912 1091.5134924869062 24.0836498467683 26.1998 18.60472722873183 0.023955378306008444 20.998069228273287 r
2458290.6716551 981.295655222927 48.6083746368626 25.598 18.118500310074992 0.05378003261540244 19.633797240631342 i
2458291.7362153 1086.017303548696 48.2266705411815 26.1774 18.587808137660176 0.048212580071670105 20.22175678850746 r
2458294.6906597 757.6993535818884 55.3652740503531 26.2217 19.022957708153115 0.07933236019314086 20.116181354276137 g
2458295.8269792 934.6785050457927 38.8792653366249 25.5982 18.17154436184139 0.045161216555317706 19.87647986442356 i
