jd flux fluxerr zpdiff mag mag_error limitingmag filter
2458202.8773148 4431.800997968144 26.6191169447829 26.1902 17.07374937263086 0.006521135601576155 20.879790878628217 g
2458203.8773495 4754.033197789644 37.9198803177564 26.2254 17.032744474711375 0.008659934070323628 20.530807594276265 g
2458205.9035185 4006.1374692367194 62.5949805673227 26.0643 17.05748538030044 0.01696381387903057 19.825526216809365 g
2458205.9886921 4419.572981741758 34.4392935621466 26.1981 17.084649225174832 0.008460261019535611 20.608039403199534 g
2458206.8446181 4783.359225884873 62.2463234706763 26.2519 17.05256750696638 0.014128320747144282 20.019190725987535 g
2458206.8655671 4616.828162556514 54.1552535601318 26.2489 17.08804072375984 0.012735227892405965 20.167373505200544 g
2458208.8605208 2829.788996474747 121.5316231617 25.7751 17.145714866209662 0.04662781692593779 18.8159517433432 g
2458208.9251736 3572.908197832405 107.282454311739 25.9881 17.10554535600034 0.032599930979731996 19.164353238268173 g
2458210.8439236 1724.407204578786 137.367811384552 25.1962 17.10460042832658 0.08648782748309035 18.104062541917912 g
2458210.8879861 3872.4954512526333 93.0951408567832 26.0823 17.11232270925891 0.026100326185151592 19.412557455722677 g
2458211.8982639 4339.85449915789 89.4378004421872 26.2095 17.115812076721085 0.022374625683631685 19.583272214156022 g
2458211.9457755 4325.1945200071505 90.1183604056184 26.2104 17.12038588982391 0.022621295629547355 19.57594178500556 g
2458214.8691204 845.9069418008306 57.3879352707688 23.9606 16.642293527642753 0.07365595226211502 17.81612348970075 i
2458214.8695949 544.8446948726872 59.7324724858972 23.4378 16.597118183628403 0.1190275797639772 17.249848759853045 i
2458216.8657755 4606.730965848991 28.2129808147834 26.0512 16.892717874761672 0.006649147410101747 20.67765255531866 r
2458217.8682523 4982.563055551669 26.6177768991154 26.1143 16.870667991225055 0.005800010969689555 20.803945537568378 r
2458217.8984375 4996.71274481177 20.9260312790092 26.1397 16.892989042307605 0.0045468677748606795 21.090557813805358 r
2458218.8193171 4955.804993699818 26.0305774784836 26.0875 16.849714477605513 0.005702685639228664 20.80136548197398 r
