jd flux fluxerr zpdiff mag mag_error limitingmag filter
2458214.6853588 172.98441587463006 60.1269527673144 23.0929 17.497882551491777 0.37737406742341817 16.897802003239647 r
2458214.7027199 1187.3497543508668 43.4508304197437 25.5158 17.829353333172584 0.03973097767852442 19.67337978672263 r
2458214.8619792 348.58275011858876 74.8625411241778 23.3595 17.003735270214158 0.23316776538962058 16.926413577502558 i
2458217.7137963 2200.9336744699235 28.4322970657575 26.275 17.918482611978437 0.014025386263276401 20.893045118980325 r
2458217.7458681 2171.017164492239 27.1297327254673 26.275 17.93334185728427 0.013567258380902196 20.943961201072444 r
2458218.7622685 2240.9274408012457 31.6776887093147 26.275 17.89893051324712 0.015347425358585423 20.775691272255287 r
2458219.7125231 2146.2712190146985 34.3709630687672 26.275 17.94578849544193 0.01738669105430752 20.687095736239677 r
2458222.7565162 2119.81528899726 36.4805298990165 26.275 17.959254949640496 0.018684133243560837 20.622422144011097 r
2458224.6721875 2313.425279932445 90.7038144186692 26.275 17.864361307448323 0.04256767321105129 19.633511111472593 r
2458224.6895718 2084.447366360957 52.6650181686074 26.275 17.97752266653681 0.027430968585922866 20.2237693932953 r
2458224.7301157 1539.873047815125 34.8868726906967 25.9025 17.933787705873183 0.02459727295963221 20.298419888128247 r
2458229.6905787 2204.220625781592 29.9853391554207 26.2812 17.923062345144896 0.014769430219580033 20.84150257571064 r
2458245.6865741 1222.7007534282764 41.1233231310117 25.5213 17.80299955045308 0.036515551166672634 19.738654483485007 r
2458248.6647222 2502.2795681224416 28.4973145472432 26.272 17.776160425545267 0.012364539437596533 20.88756514898641 r
2458254.6713889 2358.951835145629 27.1053841644179 26.275 17.843202316018335 0.01247516593974534 20.944936071877827 r
2458260.6711111 2414.51310754164 49.7802394010724 26.2486 17.79152608156346 0.022383977021674644 20.258532536988223 r
2458261.7700231 2031.4439875631767 44.4829978310585 25.5745 17.30498786963188 0.023773823467863775 19.706589869522684 i
2458263.6988542 2566.6644438031917 27.1822634639327 26.275 17.75157726417096 0.01149810740318755 20.94186094527626 r
2458266.718287 2107.0951242119568 40.8337340158233 25.6474 17.3381896446202 0.021039954253398864 19.872427250329736 i
2458267.7788194 2480.4603085366016 138.738561115949 26.275 17.78866929500372 0.060726009315767764 19.17208202406982 r
2458425.044919 2852.1557680305477 41.1234653281573 26.2841 17.646166898883536 0.015654035031056616 20.50145072920859 r
2458425.0459375 2782.425021675256 40.2551549538903 26.2862 17.675141324546416 0.015707529005444525 20.526721232389182 r
2458425.9850579 2777.919811433223 41.7467703191538 26.2711 17.66180073734797 0.016315974402486753 20.47211778283394 r
2458427.023044 2898.6734807213907 27.4285491859542 26.2952 17.639701756806915 0.01027338058227219 20.952267897891787 r
2458427.0480787 2405.9456377888314 39.7697951669803 26.1378 17.684585474363935 0.017946401587224985 20.39149160372915 r
2458427.0504282 2402.057351122442 35.7962330623008 26.161 17.709541569165978 0.016179451426328137 20.528981671595783 r
2458428.047338 1576.947621803563 34.3104281491814 26.2899 18.29535682872508 0.023622111049549182 20.703909645369947 g
2458428.0492014 1701.2551541577552 41.3222032547795 26.3012 18.224276365097708 0.02637083330156011 20.513316315228128 g
2458429.0037037 2806.856779354798 27.0158779867523 26.2641 17.64354936699135 0.0104498166582476 20.9376272736487 r
2458429.049456 1626.7863617074538 42.9856991996923 26.2896 18.261273692986094 0.02868820068796382 20.45886500088927 g
2458430.0371759 2964.5813573327423 27.1709453512683 26.273 17.593091566910424 0.009950644563997708 20.940313116735307 r
2458430.9104051 1523.3186081949705 22.8408494824888 26.2052 18.24822313182789 0.016279135664549135 21.060994359457382 g
2458430.9137269 1502.3183671314107 20.181514910243 26.1928 18.250895057748764 0.014584838485259778 21.182990581376817 g
2458432.0268981 2716.680163820789 47.4692971946543 26.2497 17.66460372072376 0.018970733710424348 20.311242984581927 r
2458433.0360417 2812.7377962475557 31.6859451502337 26.2773 17.654476877328122 0.012230585693235723 20.77770832393516 r
2458434.9744213 2791.5475625408685 48.4009205774778 26.257 17.64238742054313 0.01882428233575846 20.297440934330087 r
2458434.9753472 2694.4733005060916 45.6312420305735 26.2619 17.685715288659708 0.018386465163076 20.366319264319944 r
2458435.0468866 1648.3456130201491 57.400215501759 26.2872 18.244579308522745 0.03780724957072335 20.142491181899814 g
2458436.0146065 2756.142066363895 61.7457173224428 26.2782 17.677446000793704 0.024322884554865025 20.05425788828746 r
2458438.0240856 2873.6721755945036 32.4297724030216 26.2942 17.64810694267119 0.012252268785905107 20.769415237309364 r
2458438.0338542 2861.4275617259514 26.7622844269707 26.2796 17.638143109921828 0.010154306399717579 20.96336703408836 r
