jd flux fluxerr zpdiff mag mag_error limitingmag filter
2458202.8092361 2640.4156547857597 27.865214011275 26.1078 17.553619252550227 0.01145776529434188 20.74771903194274 g
2458202.8145602 2568.7143182039936 28.637429094512 26.1147 17.590410483715807 0.012103976120493812 20.724939921916015 g
2458202.8536343 2614.5941384326366 28.4012543136505 26.123 17.57948929196217 0.011793509881734481 20.7422311875047 g
2458202.8574537 2660.8931684628005 39.6243904772099 26.1281 17.565531403699 0.01616757908622073 20.385768502320687 g
2458205.8026505 2705.932620842435 57.3073781146142 26.1281 17.5473075544168 0.022993410826196475 19.98514864069062 g
2458205.8209491 2711.50894733147 55.8271062834822 26.1214 17.538372395395424 0.02235341666551659 20.006862195625835 g
2458205.8412616 2345.669945608769 54.2708395960832 26.0139 17.588232741511327 0.02511941232813793 19.9300586382182 g
2458205.8926157 2053.9190969246893 69.4309116793718 25.8663 17.5848416677319 0.03670112465635153 19.51499281940324 g
2458208.7974884 1903.053483092647 152.17987713905 25.7186 17.51997251550733 0.0868192586691601 18.515281916306876 g
2458208.8223264 612.1039230954113 210.376800983685 24.972 18.004937092531115 0.3731492058945424 17.417080371941747 g
2458208.8414005 1935.9150820185491 148.036523344783 25.8109 17.593684241819574 0.08302185095218498 18.637552796445725 g
2458208.8572569 1486.0116561120637 151.376552285957 25.5383 17.60824446000978 0.11059773464150373 18.340728465078318 g
2458211.8430093 2698.62225823667 84.7079182552575 26.1347 17.55684475474844 0.03407938497840238 19.567464967057138 g
2458211.8477315 2687.3326758032845 86.9952254133096 26.1262 17.552896417911846 0.035146640786852895 19.53003644478451 g
2458214.7358681 4075.182795510651 160.719751013171 26.275 17.24963226467131 0.04281855377560663 19.012401861829282 r
2458214.7457292 4505.357082904128 242.482413229843 26.275 17.14067695566951 0.05843336081897033 18.565874375259664 r
2458214.7654745 1130.7971738363303 29.8369088080111 25.1341 17.500638213997195 0.02864698695961394 19.699790421813514 g
2458214.7664236 940.6522255842054 32.8813545846365 24.9421 17.508527281566323 0.03795163153988 19.402300737936155 g
2458214.7782292 1499.9056627860691 32.2085802799641 25.4992 17.559040138060524 0.023314036660814063 19.981846034155605 g
2458214.7835648 1991.044918578598 29.5647428629914 25.7364 17.48869735511635 0.01612140490997298 20.312039723885693 g
2458214.8237384 1559.9429798874212 50.464797865056 25.1554 17.172628189967742 0.035122842147759396 19.15050364405565 r
2458214.8295139 4107.306431996116 153.329014281272 26.275 17.241107236802755 0.04053004409614366 19.063514129911077 r
2458214.8841782 568.3774903189686 60.3757494756513 23.6042 16.717607824855072 0.11532819705602441 17.404618651867885 i
2458214.8846528 407.3825261217466 59.8511671969398 23.5074 16.982394007876053 0.15950711692110744 17.317293428442248 i
2458216.7415162 4130.67437517683 36.5058780157678 26.275 17.234947598759057 0.009595147949666788 20.621667993478905 r
2458216.7844097 4217.171803512222 40.9180502875297 26.275 17.212446764715942 0.010534246472996995 20.497787659791577 r
2458217.776956 4202.453888984194 42.2373895141088 26.275 17.21624260779058 0.010911989758096404 20.46333231730175 r
2458217.7774306 4211.969290643297 40.0276386615693 26.275 17.21378700976147 0.010317740775414917 20.521675062516895 r
2458217.7848958 4378.62062645963 84.9617942799579 26.275 17.171656703571717 0.021066684675154 19.704515800271494 r
2458217.7853588 4249.739769282409 73.1345790044745 26.275 17.204094157359435 0.018684017548341664 19.867268074807605 r
2458217.8009375 4075.01956893283 50.3541617561256 26.275 17.249675753408695 0.013415767088682341 20.272486562460852 r
2458217.801875 4169.709191095036 58.0627355853704 26.275 17.2247355826536 0.015118251450164471 20.117831255510218 r
2458217.8158449 3081.711635600512 25.2732480107618 25.9598 17.23782000467232 0.008903871812113013 20.705722341176013 r
2458217.8168981 4186.901271349289 31.2774294113291 26.275 17.220268199523616 0.008110510115022746 20.7894973575982 r
2458218.7550231 3061.9492753694676 24.4685773772484 25.9481 17.233105020385715 0.008676020426652262 20.729153189520908 r
2458218.7554977 4238.864177214741 33.2235341650537 26.275 17.206876247463136 0.008509541597697543 20.723960417160043 r
2458218.7790394 4236.929967188633 32.7444997805977 26.275 17.20737178613565 0.008390675250028783 20.739729088305733 r
2458218.7795139 4284.163593910996 34.9355314392484 26.275 17.195334884180113 0.008853421596108168 20.66940660384101 r
2458218.8356597 3069.287272342844 27.461583297981 25.9407 17.223106153835253 0.009713994924906329 20.596461056966955 r
2458218.836169 3188.2526786038106 27.1392345029297 25.9517 17.19281816692356 0.009241760258705099 20.62028100500708 r
2458219.7406134 4136.468026948641 52.9029958283373 26.275 17.23342582056528 0.013885465135142204 20.21887432349184 r
2458219.778287 3305.058372754668 29.4660540583741 26.0225 17.224552164393376 0.009679494666387078 20.60177003598016 r
2458219.8019329 2313.5120427662523 36.6073105242253 25.6224 17.211720588699254 0.017179317116771557 19.966055431186764 r
2458219.8024074 2515.6287022003944 36.5731365391297 25.7063 17.204683647022684 0.015784306446257914 20.050969470785187 r
2458219.8129167 2754.9905042020114 37.5071934592319 25.8438 17.24349973429889 0.014781016441464345 20.161088567837368 r
2458219.825706 3442.042878227757 29.9406866895407 26.0461 17.204059309700312 0.009443985647143183 20.60802059750089 r
2458221.7611227 2804.5689982940357 47.9631379514858 25.8472 17.227534677414155 0.01856740871970113 19.897506017311343 r
2458221.7802778 3995.9468032783407 64.5066882951046 26.275 17.27095075506687 0.01752648744586321 20.003563123538157 r
2458221.7807407 3956.253879274784 66.9135715595237 26.275 17.281789616985485 0.018362841935586783 19.963789460971746 r
2458222.7632986 4204.358098228847 40.6824315874268 26.275 17.215750752148548 0.010505507604853198 20.504057732181057 r
2458222.7637731 4114.517913182565 43.453001860229 26.275 17.23920260642068 0.011465966393899947 20.432525528780488 r
2458222.7812731 4156.651931683997 48.1740220562117 26.275 17.228140851939813 0.012582851921700253 20.32054272131355 r
