jd flux fluxerr zpdiff mag mag_error limitingmag filter
2458202.8536343 1050.2011006256623 30.2563980817552 26.2438 18.690618827254852 0.03127912490073707 20.794331925342405 g
2458202.8574537 1041.3315389668132 32.7025848270881 26.243 18.69902744466664 0.03409595793285686 20.70911978703711 g
2458205.8412616 955.9071667778909 61.6935624593825 26.1439 18.692860705799635 0.0700702987591627 19.920875366525316 g
2458205.8926157 788.333375000338 79.2795724469878 25.974 18.73222521672848 0.10918455888748559 19.478671740802888 g
2458208.8223264 540.7478559328322 219.584496521985 25.2507 18.418212984661547 0.44087625176553974 17.649270804002576 g
2458208.8414005 716.9639772400064 147.028468190488 26.0169 18.878156660617453 0.22264550658306853 18.85097140771433 g
2458211.8430093 1056.6276321194932 89.1758286176043 26.2639 18.70409509040676 0.09162943896888728 19.640857105477366 g
2458211.8477315 1247.415342394255 95.9466649640807 26.2785 18.53847229678367 0.083508107212761 19.576000280221947 g
2458214.7782292 562.1474628710872 35.6215898957947 25.6087 18.734074362720342 0.06879753570769595 19.981991740676456 g
2458214.7835648 655.3800706950831 34.2795252221553 25.8039 18.76266692278977 0.056787324176980396 20.218887993577702 g
2458214.8237384 922.3143154831678 52.705854883049 25.3825 17.97030262627747 0.06204256584323896 19.33042783432766 r
2458214.8295139 2097.101103901517 129.613933197047 26.275 17.970951577856596 0.06710303428396004 19.245945764927278 r
2458214.8846528 440.80927754927785 61.1638599761176 23.892 17.281373184063227 0.15064474855261512 17.678337775668044 i
2458217.776956 2207.0716748832383 33.0951803586856 26.275 17.915458907126634 0.01628014066073584 20.728163108650577 r
2458217.7853588 2204.881797596476 84.0280245475046 26.275 17.91653671960326 0.04137601677816652 19.71651460506097 r
2458217.8009375 2204.7900402591554 45.5725878439756 26.275 17.916581904037322 0.022441211053542562 20.38081576231388 r
2458217.801875 2053.100051770277 65.6492419141531 26.275 17.99397471513542 0.034715980784637904 19.984500700582917 r
2458218.7554977 2134.3948899242478 27.7998723703707 26.275 17.951813068828322 0.014140926580639762 20.91746798398445 r
2458218.7795139 2220.346154740674 27.6613246615423 26.275 17.908948283046158 0.01352577395237008 20.92289255411727 r
2458218.836169 1992.1375347584878 28.7940895281398 26.1913 17.943001704282842 0.01569256261440369 20.795616612534836 r
2458219.778287 2112.175880865557 33.2923183209828 26.2405 17.9286748023377 0.01711290727658477 20.68721489305608 r
2458219.8019329 1297.5677414347908 39.0299103448242 25.7733 17.990474899761644 0.032657080095502035 20.047381104986606 r
