jd flux fluxerr zpdiff mag mag_error limitingmag filter
2458202.778287 3065.0331392248117 37.7225256955442 26.1566 17.440512063789964 0.013362121806621151 20.467673081560626 g
2458202.7801389 3240.909082863905 46.9377677664603 26.2007 17.424032880121068 0.015724086409426106 20.274468909459014 g
2458205.7073611 3211.112818167251 69.1942257477355 26.1673 17.400661089519765 0.02339505808369377 19.819700353831912 g
2458205.7516667 3276.66386939604 61.1148579241681 26.1803 17.39172026910568 0.020249987149429365 19.96750797296273 g
2458205.7693403 3204.055789272486 65.865250394641 26.2218 17.457549826380355 0.022318557183955527 19.927734121195666 g
2458205.7699306 3509.853140051958 52.3286834556489 26.2751 17.41187763746748 0.016186788837255165 20.230825468149668 g
2458205.7705093 3179.857235166399 56.1262373763893 26.1846 17.428580944827644 0.019163204953242856 20.064260167391453 g
2458205.7913773 3263.3811172620017 70.3002619753427 26.2313 17.447130509325575 0.02338831772449145 19.86648263058501 g
2458205.8106134 3321.775408520811 67.2550525440331 26.2222 17.418774335895648 0.0219818625785938 19.905462698344923 g
2458205.8139352 3382.164035446235 67.6410258512944 26.2531 17.430113332205288 0.02171327617380365 19.93014952532522 g
2458206.7623843 3415.654452306772 63.9771782161988 26.2436 17.40991517886208 0.020335787287387056 19.981112286322997 g
2458206.7647338 3255.2554179018894 63.5862939506615 26.1998 17.4183373240118 0.02120744165345058 19.943966205663052 g
2458206.7653125 3531.455993883549 50.3407893937649 26.2883 17.41841550300437 0.015476617899096727 20.286074935569488 g
2458206.7839352 3420.624649728382 72.4660536709902 26.2581 17.42283644746282 0.02300059273584474 19.860338460866963 g
2458206.7862847 3122.0303506556993 60.1234915075108 26.1717 17.435607198204647 0.0209082127327798 19.976664506378107 g
2458206.7868634 3461.893831787583 45.3849533495417 26.2868 17.438515637639007 0.014233378100493072 20.397095255716476 g
2458208.7671875 928.2203527191718 131.664940216458 24.7676 17.348472283024748 0.15400289939155948 17.72149962346349 g
2458208.7843634 2601.170236760549 112.713261136304 25.9183 17.380378059854074 0.047045282114286435 19.040937450608364 g
2458208.7874653 2807.2017542659764 112.862937628282 25.9681 17.347415933487223 0.043650333003965425 19.089296614109823 g
2458208.7880671 2391.246926192181 109.278448950216 25.8559 17.409338938060998 0.04961579280069477 19.01213868366456 g
2458208.7927315 2438.3595628677454 107.962059985786 25.9391 17.471355631273866 0.04807101065468476 19.10849708270356 g
2458208.8108796 703.843618967915 150.768565394074 24.742 17.62330955585042 0.23256505711932585 17.548797983120238 g
2458214.7057523 2230.768406865652 50.6004736556942 25.3269 16.955763787021336 0.024626910655049353 19.319088533765417 r
2458214.7067361 2447.3497062517627 46.1795484752551 25.3763 16.904559922713673 0.02048629815817045 19.467750783539877 r
2458214.7110648 1794.1184461219764 40.3767137869789 25.0817 16.947072221514222 0.024433725796241357 19.31894756583173 r
2458214.8581944 1068.1184550412045 60.062444389875 23.9746 16.403051452730182 0.061051089948232114 17.780667481880496 i
2458214.8596296 637.8594078792746 63.1378495857549 23.3637 16.35188758654642 0.10746688447092417 17.115550523767414 i
2458215.6886574 861.0943901845158 57.3448352397816 24.0892 16.751573100200254 0.07230251216302773 17.94553921594988 r
2458215.6900694 747.6567017913261 57.4645296642319 24.1769 16.99264442359256 0.08344637278978026 18.030975348061997 r
2458215.7116667 1446.9908869840733 43.9045920973924 25.3569 17.455735510047937 0.032942305351687816 19.5032001225946 g
2458215.712581 1624.265423357696 36.9985949827454 25.5342 17.50755750165223 0.0247307946072805 19.866311908913172 g
2458215.7330556 2565.4571194405 51.8358862852678 25.484 16.961088100003472 0.02193691771865942 19.44999866800369 r
2458215.7531713 1500.6666792740439 53.7709809538848 25.3982 17.45748940101643 0.03890214584485476 19.324405090501415 g
2458216.7323148 4594.710082405437 31.7030648242535 26.06 16.904354716452982 0.007491227272749351 20.55982186737569 r
2458216.7570718 2913.532115282489 26.6105279708344 26.159 17.497950476015323 0.009916159861904836 20.84894126082871 g
2458216.7584954 2632.148083211754 29.4857966833989 26.065 17.51422420300176 0.012162206854298323 20.64354282272738 g
2458217.708044 4195.328332394957 28.7201906069251 25.9888 16.931885112494967 0.007432436384338534 20.595906694518675 r
2458217.7484606 4268.370630890527 26.1069485884521 25.9846 16.908944692447637 0.0066405466004644635 20.695284704340278 r
2458217.7513194 3937.3718208069117 28.2150131300874 25.9164 16.928383928035927 0.0077800728885843605 20.542774347388452 r
2458217.7522338 3830.1910094977 28.0581041773281 25.8695 16.911448918666977 0.007953306670551677 20.50192918069177 r
2458217.7531597 3043.272133161811 28.1616837008076 25.6634 16.95504802688786 0.010046797872854289 20.29182844820221 r
2458218.709919 4430.159612306556 27.1526804480813 26.0325 16.91645156621702 0.00665431220143631 20.70054321775938 r
2458218.7280208 4249.125766723229 27.5235532476392 25.9982 16.927451035899672 0.007032581147628877 20.651513739358396 r
2458218.7299074 4227.392900619639 23.5797631545279 25.9901 16.924918465688116 0.0060558716586571575 20.81132639281764 r
2458218.7308218 4216.549442926169 24.9328544509303 25.9946 16.932207007010454 0.006419846474891439 20.75524498470528 r
2458218.7318056 4533.855631102033 28.590542381866 26.0381 16.896930782432648 0.006846435879222498 20.65011900342175 r
2458218.7661458 3900.8005560196707 27.6378300738871 25.9171 16.939215635393555 0.007692367676915372 20.56591513335343 r
2458218.7684722 4122.83785472868 29.9422426193973 25.9697 16.931709362597207 0.00788493119480659 20.531564176434074 r
2458219.7091551 4322.009278119061 32.9318124912086 26.0161 16.92688576286402 0.008272557165186227 20.474635904312436 r
2458219.7287847 3953.238416573266 36.3411426613893 25.9285 16.936117482306116 0.009980571478325135 20.280078542782867 r
2458219.7475926 3849.4057453019545 25.2874969121141 25.9038 16.94031577457676 0.007132174993760937 20.649110382293316 r
2458219.7546065 4444.5024969271135 35.2669976436506 26.0098 16.890242113692526 0.0086149978244324 20.393953767145742 r
