jd flux fluxerr zpdiff mag mag_error limitingmag filter
2458198.8951852 3588.3593304909373 26.6498072181351 26.3253 17.438060185366115 0.008063210239530483 21.013639809825044 r
2458198.9153935 3615.3505615896456 24.3913701983703 26.3299 17.43452396267161 0.007324797463825142 21.11438449484581 r
2458202.8754282 2413.2988028766117 34.5924882770992 26.2716 17.815072256348518 0.015562542225471298 20.676720483072685 g
2458205.8908218 2105.1612628567827 74.0014182741729 26.1124 17.80418657512152 0.03816493360287307 19.691874880956007 g
2458205.9015741 2055.164241023913 73.4348376833803 26.1116 17.829483663034086 0.03879407868303714 19.6994196409953 g
2458208.8878588 1713.144897800953 145.938580197482 25.886 17.801514757130764 0.09248809994051986 18.728149697192066 g
2458208.9096296 1354.5396937886028 163.074455457816 25.7843 17.95482065941061 0.13070856254891136 18.505910146684304 g
2458214.8935069 259.5766388554797 85.0171892775922 23.4581 17.422435988391427 0.35559117648515354 16.886908132119064 i
2458217.8814931 3400.5122491843763 25.9476281604101 26.2514 17.422539141043472 0.008284440057674909 20.968730824924524 r
2458217.9505671 3428.017062428092 28.8605197929214 26.2787 17.441092562773555 0.009140522281117452 20.880514617418328 r
2458218.8211574 3232.4197142897397 27.4081786635829 26.2169 17.443080632920122 0.009205815520646421 20.874774547578337 r
2458219.822338 2670.187974327307 36.0656132909627 26.0142 17.447845410877388 0.014664299564850965 20.374041684887835 r
2458222.8433912 3358.7266156615206 37.441798738793 26.2558 17.44036336055177 0.012102968041863449 20.57498322796597 r
2458222.8590162 3250.3125265974822 33.1566349540587 26.2545 17.47468719597498 0.011075291460450854 20.70564886955487 r
2458226.8548264 3312.5489436260355 24.7612687720596 26.2638 17.46339424053242 0.008115596165772475 21.031942753537447 r
2458226.8760995 3317.5034088481884 30.471659936623 26.2709 17.46887155552717 0.009972282501641132 20.813734706763768 r
2458229.8150347 2392.7666073089317 24.8707942179017 26.3071 17.859849152025866 0.011284937360750123 21.07045085379525 g
2458229.8759259 3335.7639750706708 30.6878539316779 26.2973 17.48931171459317 0.009988057687120036 20.832458693318145 r
2458231.8107523 3204.954205274265 36.8271258449462 26.2781 17.513545429043702 0.012475438951377005 20.615255424468195 r
2458232.7712847 2000.534913151191 60.6249426454933 26.1685 17.915634662378796 0.03290145040584837 19.964446637299414 g
2458232.8347338 3251.4230885066086 29.6362763701951 25.7352 16.95501628661924 0.009896006880451672 20.30821589891008 i
2458232.8562731 3148.61051622366 41.896269952884 26.2449 17.499602645897056 0.014446620200710475 20.442036591111137 r
2458235.7976157 2434.7457498369304 61.7654149540992 26.278 17.811865959026814 0.027542387545047297 20.053711580523544 g
2458236.7876389 2303.7848019013572 110.467912408062 26.2255 17.81939522773976 0.052059989458411345 19.369984621886225 g
2458237.7973495 2037.0529675894206 135.665637590537 26.1978 17.925294195746112 0.07230650605337306 19.119200338592243 g
2458243.7952778 3262.4473695345478 31.5639002677066 26.2841 17.50024121431047 0.010504054974391264 20.788698332974494 r
2458246.7528241 3188.2074031913944 34.4927362578154 26.2658 17.50693358524464 0.011746024966137393 20.67405586997572 r
2458246.7937037 2116.988304238203 23.6318660575349 26.2672 17.952903853320436 0.012119630952755001 21.08602994804002 g
2458249.8133565 3199.620658259273 43.1508109404118 25.7132 16.950453769661465 0.014641996799549611 19.87830258441794 i
2458249.836331 2012.0802072447468 30.8479483017051 26.2419 17.982786777641778 0.016645269582480096 20.77140927819458 g
2458255.7926968 3241.2599782774064 33.4551242547554 26.2791 17.50231533309281 0.011206206427998928 20.720518371110913 r
2458255.8365625 2130.6712927379617 20.9015287290182 26.2705 17.94920886370282 0.010650535264843363 21.222629860688897 g
2458258.7515856 2983.3998828846507 28.5957819372077 26.2118 17.5250213291402 0.010406395946897868 20.823620047639405 r
2458258.7735185 1961.8162808167378 21.6203789441236 26.2071 17.97545416410702 0.011965057915546851 21.122516735063584 g
