jd flux fluxerr zpdiff mag mag_error limitingmag filter
2458204.7248958 2231.260942566269 76.2096657477852 26.3832 18.011824091670817 0.037082544907188944 19.930749847073713 g
2458204.7495833 2237.2699649306023 80.7558588777101 26.3691 17.99480401918889 0.039189117700531725 19.853739888093095 g
2458207.7299306 2437.140365410846 74.9052792862417 26.3787 17.911498643012877 0.033368887108545 19.944993920075344 g
2458207.758125 2270.321369645442 75.0330968645293 26.3258 17.935581657474216 0.03588189511625911 19.890242810178997 g
2458210.6895023 1705.473938408927 54.6009804838091 25.9876 17.90798728180486 0.03475883341059752 19.897173885379587 g
2458210.7098495 1650.626280890331 57.8364383188086 25.9736 17.92947811108803 0.038041937057285063 19.8206711381479 g
2458214.6539931 3284.403158589377 439.339741163822 26.275 17.483858847209603 0.1452291737493107 17.920573764586923 r
2458214.6731019 2925.022336667951 157.737968699865 26.275 17.609677032796725 0.05854865122586736 19.032734379615547 r
2458217.6867824 2984.244780611518 279.89328353416 26.275 17.587913892585497 0.1018281542812208 18.41009379657663 r
2458217.6922338 2568.935799867316 278.039209553094 26.275 17.750616872568617 0.11750670056736547 18.41730987623709 r
2458221.6991782 1323.1210115389224 64.1487800819076 25.4373 17.633301084466574 0.0526379143914595 19.171903984644217 r
2458224.6495718 2851.6889519600923 423.018605693726 26.275 17.63724461729442 0.16105238261907942 17.96167631556623 r
2458224.6660764 2883.193730326241 85.5993882218847 26.275 17.625315437747027 0.0322334412755484 19.69639833718696 r
2458224.6667361 1481.0940977426535 37.1407253143814 25.4834 17.556943371873547 0.02722560675603361 19.811349037301216 r
2458224.6707407 3016.114466021845 140.296542212014 26.275 17.576380450922834 0.050502047450635586 19.159957570618765 r
2458227.6576852 3006.34343751138 41.5162274596708 26.275 17.579903520370525 0.014993020288552435 20.482030282398853 r
2458227.6754861 2215.262839555454 31.395969144786 26.325 17.961436844035244 0.015387159975713972 20.835390255167066 g
2458231.6645139 2858.210930365262 56.625786610194 26.275 17.6347643107018 0.02150947498994801 20.14503936913118 r
2458231.6964236 2195.0802032604065 55.5008736207698 26.3137 17.96007401748736 0.02745106916848329 20.205525441006706 g
2458234.6451273 2287.5790005813396 62.8700059611656 26.3485 17.95005974706187 0.029838517251072505 20.10496623533788 g
2458234.6455903 1982.5100788692675 55.5696637655599 26.2604 18.01736149024509 0.03043211966149447 20.150880566622625 g
2458234.663831 1809.8498461944243 71.253174379572 26.171 18.02689363696272 0.042743640632158235 19.791564446061322 g
2458234.7201968 2191.688843698522 64.9344378141214 26.3131 17.961152757605127 0.032166664231325144 20.034487276975604 g
2458237.6615046 2235.4979758445184 73.2158632954352 26.301 17.92756429758085 0.0355582799173971 19.89206202028174 g
2458237.7039583 2040.236600534025 85.2984517311946 26.273 17.998798664342058 0.045391073280578356 19.69822211847154 g
2458244.6596528 3090.5145080669363 44.725510343182 26.275 17.549923033303973 0.015712104393247196 20.401186727131112 r
2458244.7065856 2081.801122417871 33.9721510960515 26.1844 17.88830190411697 0.017717141204220965 20.609167371648716 g
2458247.6746065 2351.040226963274 27.7819192117449 26.3227 17.894549849775157 0.012829567670626938 20.9658693789713 g
2458247.7207407 3014.393732361283 41.2620619846999 26.275 17.57700005471849 0.014861436386313284 20.488697671329785 r
2458255.6865046 2394.9367964856597 39.3774366694403 26.2715 17.823264858337225 0.017851027657492226 20.535956384905504 g
2458261.6603588 3101.4948755387263 82.7411304959462 25.5041 16.775172330159428 0.028964112140873702 18.962371363195196 i
2458262.6639352 4554.677996919196 154.536762445573 26.9076 17.761455802547616 0.036836975764400065 19.687595465387666 r
2458263.6750347 6648.067792112402 101.768965975706 27.3632 17.80646140146306 0.016619951813806037 20.59673658444074 r
2458362.0145833 3268.2552259883087 81.7763246533259 26.2018 17.41601008926105 0.027165735090125286 19.672806019733272 r
2458365.0081597 2989.730650350528 49.3735281686044 26.1058 17.416719840506346 0.017929655143472195 20.124639583030913 r
2458368.0072222 3273.3114952203678 36.6859802078848 26.1878 17.400331660868133 0.012168096061086627 20.529124670602418 r
2458370.9736343 1815.2282564057991 40.4322841491668 26.1852 18.03787189176989 0.024182815987928864 20.42095429737919 g
2458371.0051736 3193.5022345704842 31.7934322277914 26.1852 17.424531939048933 0.010808863383919223 20.68193145349306 r
2458373.9859028 3189.783618382393 33.7044558837009 26.1776 17.418196941675088 0.011471915380733923 20.610956688184963 r
2458374.00625 2419.9865541611775 26.9218901074579 26.2561 17.796567617559074 0.012078205988131417 20.933411121228907 g
2458376.994213 2438.1687907481232 25.0084501803242 26.248 17.78034058031229 0.01113609298249069 21.00535804281937 g
2458377.0180903 3165.28258675958 39.279811268983 26.1955 17.44446877857795 0.013473075444550836 20.462651508088314 r
2458379.9844329 2344.3399976202204 24.4083514479294 26.2511 17.82604850682432 0.011303883905029862 21.03482886929835 g
2458380.0189699 3105.927184656701 37.7228065191512 26.2178 17.48732182521511 0.013186288216981914 20.528864998877488 r
2458382.9739583 2317.3645001105137 26.4137018828484 26.2306 17.818114125779267 0.012374987246434863 20.92860180944553 g
2458383.0243403 3163.3843193922316 43.9000706192368 26.2169 17.46652010616381 0.015066872013977285 20.36331194199883 r
2458384.9292708 1553.9740507393985 89.7643450654506 25.7611 17.782490594009545 0.06271478561124524 19.130915322776666 g
2458384.9516898 328.530202860245 98.3688542530704 24.583 18.291561745377834 0.3250814206205275 17.853430956678714 g
2458385.9921181 2362.145552406082 72.6003847365676 26.2709 17.837633363060274 0.033368916503982195 19.87112768367261 g
2458386.0272222 2990.1550531708526 68.0569965125138 26.215 17.525765727357353 0.02471091960106937 19.88539304185143 r
2458387.9841667 3096.024940345625 64.9955089185689 26.1776 17.45058887367857 0.022792330615079823 19.897966617524673 r
2458388.0274884 2843.406237603567 73.2810683110446 26.315 17.680402720501366 0.027980966916762356 19.90509550924185 g
2458388.9740394 2544.0022327263277 56.217602919795 26.2523 17.738506279669615 0.023991901699163074 20.1301941800449 g
2458388.9749537 2508.735637248349 56.1271821167342 26.2563 17.757662752187045 0.024290037068623153 20.13594189197853 g
2458389.0183681 3202.8025320035185 46.8927960849392 26.2132 17.44937459207359 0.01589592495968545 20.2880096660004 r
2458389.0192824 3308.8942261967463 49.1239637636696 26.2046 17.40539278874384 0.016118341600637454 20.22894148332042 r
2458389.9500347 2541.9890656866664 61.5604107127427 26.2044 17.691465804716785 0.026292850277375344 19.98372121752829 g
2458390.0050347 3252.797650431117 44.21583915389 26.2074 17.426757381016483 0.014758107244394964 20.346030309853905 r
2458390.9951273 2612.9413669908445 52.2515308425734 26.268 17.725175838749074 0.021710968241554395 20.225327442310206 g
2458397.9833681 2549.6594044365847 20.2839094214449 26.265 17.748794577006443 0.008637326389768963 21.24969583285511 g
2458398.014375 3050.0374579645486 26.3076492244499 26.1116 17.400837067463023 0.00936454556923584 20.813969882862633 r
2458423.9768634 2533.1018240885733 36.4999314828747 26.2976 17.788468380881916 0.01564405158691774 20.64444486614461 g
2458424.0076273 3308.6537612766447 39.0741619087474 26.2354 17.436271694547116 0.012821776059142014 20.50825080984774 r
2458425.9632176 3189.6852347142258 31.6366720504347 26.2499 17.49053042995223 0.010768440243362853 20.75199800770171 r
2458425.9645949 3152.1608121199415 38.9091548707671 26.2418 17.49527908611389 0.013401495659982353 20.519245494709608 r
2458426.0185995 2677.341615229255 32.1028566740994 26.3586 17.789340528753343 0.013018163723602842 20.844815789565434 g
2458426.0195139 2647.3681386902044 34.5649916586017 26.3613 17.804264155544466 0.014175290128826058 20.767283848129132 g
2458426.9740625 2717.228867340467 23.0424821547849 26.3703 17.78498445047996 0.009206888376662946 21.21655183960152 g
2458427.0162963 3276.2921053562677 30.4372373605534 26.2281 17.439643461655606 0.01008631328944322 20.772161911416525 r
2458427.8824421 1526.9249041957935 38.0872828739023 25.726 17.766455803716767 0.02708146478099054 20.02662501057672 g
2458427.8905208 944.6183010760744 29.2846001725385 25.28 17.841859111594047 0.03365834683819503 19.865976741883745 g
2458427.9664931 3129.0755062229036 27.7267371324587 26.2234 17.484859892437882 0.009620387377947152 20.86872807655173 r
2458428.0167708 2741.6032703837427 25.680442557011 26.3453 17.750288476299605 0.010169690409015416 21.07386872976335 g
2458428.9969676 3206.8139051674466 31.3820571523803 26.2228 17.457615604781235 0.010624719880201536 20.733671466666483 r
2458428.9978935 3196.567829243689 31.2637082540812 26.225 17.46329018916265 0.010618579008688487 20.739973765862917 r
2458429.0290162 2685.6223795849914 23.2712038084877 26.3406 17.76798763180388 0.009407706074738391 21.176127864864384 g
