jd flux fluxerr zpdiff mag mag_error limitingmag filter
2458246.9528472 4938.012418024694 57.203995480336 26.0754 16.841519555616927 0.012577201642162864 19.93440908000685 r
2458246.9815046 4078.570128233707 44.4348817322773 26.1699 17.143630164737463 0.011828398085587385 20.303164917686992 g
2458254.9824421 5385.605083688833 30.0676066859879 26.1589 16.8308137393902 0.006061417439954122 20.716227837634538 r
2458257.9618981 4970.956978944136 25.5110960527509 26.0829 16.84179998859588 0.005571844033611968 20.818652194317576 r
2458262.9682755 4147.561417474383 26.3946115642235 26.2046 17.16011793545748 0.006909271953042622 20.903386801415216 g
2458266.879919 4489.272840274169 80.2167879520129 25.9809 16.850459997731846 0.019399882737842586 19.47281181932427 r
2458269.9357986 4453.459897583679 71.1186090836301 25.9247 16.80295613513982 0.017337862169588873 19.54731685354911 r
2458269.963287 4278.077104597015 81.6322062377809 26.2214 17.143278480804838 0.020716804336491104 19.694321153799372 g
2458272.9219213 4161.238806632158 54.9358579136319 26.1664 17.118343400119535 0.01433319828743549 20.06933521134431 g
2458272.9822106 5229.153597238887 69.8191580531257 26.1398 16.843721503355876 0.014496162426421004 19.78243847074192 r
2458275.9664931 4450.814697930811 45.8636634458313 26.2599 17.138801216125497 0.011187655021065787 20.358803134502836 g
2458278.9195949 4211.312911300964 19.6391725798142 26.2059 17.144856220480143 0.0050630884284771395 21.225667022843037 g
2458278.979294 5347.082722984542 33.3819840093351 26.1486 16.82830774254613 0.00677805486029693 20.59239462724283 r
2458280.8794907 4188.024270055382 24.8894038716413 25.4653 16.41027702550556 0.006452308783560039 20.227838751892897 i
2458281.9223495 4403.14427225233 19.3949410139499 26.2503 17.140892710825085 0.004782284239819861 21.283653831376355 g
2458281.9605093 5390.388487333934 22.2457323132001 26.1754 16.846349834794985 0.004480603138195507 21.059858221721548 r
2458285.9625 4396.358363011957 22.0328931112545 25.5061 16.39836728474372 0.005441119689456023 20.400996170277867 i
2458287.9216204 4491.590495801369 24.8906512142639 26.2625 17.131499614508606 0.006016528009084421 21.02498434114373 g
