jd flux fluxerr zpdiff mag mag_error limitingmag filter
2458321.9845139 34496.619833962184 42.4062709287796 26.0909 14.746458643431053 0.0013346376708493859 20.274899779966532 r
2458324.9860069 32294.922996087844 35.7296434316736 26.0266 14.75376436662496 0.0012011694184397713 20.39660328383642 r
2458330.9839352 18011.177076501746 72.7594332136366 25.9562 15.31734475999377 0.004385883071634771 19.55405172088986 g
2458334.9807523 17005.188008844907 54.3410342487682 25.9547 15.378246405395108 0.003469415383893491 19.869455239423687 g
2458336.9628819 35431.89701435245 63.1671600141429 26.1355 14.762013987582929 0.0019355606503251835 19.886846610360497 r
2458336.9993981 22127.321639988568 60.4322925320726 26.1786 15.316277878124598 0.0029651731497181387 19.97800231476074 g
2458337.9839005 30345.86832072261 31.3644540625253 25.9398 14.734551077588753 0.001122142474744412 20.451280657906047 r
2458340.9580556 24590.97411316371 60.4338349609224 25.7306 14.753660668434566 0.0026681746853594703 19.529974603591693 r
2458343.9396759 14770.977611856408 18.2826969063591 25.8011 15.377576900280669 0.0013438192483144248 20.898574340375593 g
2458343.9401273 19133.43018679805 21.9446722459135 25.994 15.28951790979131 0.0012452200376400686 20.89325224207147 g
2458343.9999074 35259.30070695545 34.4774545499054 26.1185 14.75031576314067 0.001061625490418425 20.527237002581728 r
2458345.9559375 15370.64979666802 21.7145123032339 25.8309 15.364169430609437 0.0015337963143712784 20.74159978971664 g
2458345.9568519 19159.35116803735 26.2879948883939 25.9913 15.285348006008029 0.0014896577551093 20.694481335049968 g
2458345.9829398 32963.085596842844 32.1630627376411 26.0751 14.780030354470036 0.0010593497720857018 20.559281494478554 r
2458345.9984491 27956.01983662091 23.7451976411854 25.8773 14.761111650094552 0.0009221685071658283 20.690935517291898 r
2458346.9393056 31303.030700765696 54.8439103853004 25.9834 14.744434032100333 0.0019021811042680976 19.888153957828088 r
2458346.9540741 32502.706361225562 27.8626825783989 26.018 14.738201189182703 0.0009307075582929104 20.658017670811013 r
2458346.9983796 19177.50835510871 26.2794574597911 25.9923 15.285319548429644 0.0014877640220917776 20.695834001766617 g
2458347.9548611 29576.192240543125 28.7010583754886 25.8877 14.710344348951878 0.0010535750790648685 20.49553020915777 r
2458347.9553241 33219.69792245185 30.2942880347268 26.0493 14.745810802620104 0.0009900905359248775 20.598473113353776 r
2458347.9557755 29256.202993080635 28.7627388686858 25.8818 14.716255098308459 0.0010673875074327939 20.487299393112803 r
2458347.9822106 21482.77099166422 25.8162998098975 26.1112 15.280974252871983 0.0013047086297424799 20.83403999922355 g
2458347.9826736 18166.333131666575 20.9742439111792 25.9865 15.33833181510844 0.001253513103019827 20.934859203801572 g
2458347.9845023 17978.84021658863 20.3093553380929 25.9861 15.349195818184036 0.0012264343430908628 20.969434643665217 g
2458348.957662 29919.297089978343 28.7537308326017 25.8998 14.709921534499689 0.0010434043778191672 20.505639481822733 r
