jd flux fluxerr zpdiff mag mag_error limitingmag filter
2458320.9616667 1614.1354627624482 20.4525941370325 25.3958 17.37595005219233 0.013756826466456332 20.371503988503605 g
2458320.9836343 4128.281479439477 22.4398780845361 26.1744 17.134976746960035 0.005901481223535359 21.049423756469366 r
2458323.9411458 2898.7592052906325 20.0199829431749 26.0377 17.382169648018934 0.007498275621422562 21.03661573133769 g
2458323.983287 4221.642616817424 23.7935261071776 26.1989 17.135196336685993 0.006119094778808446 21.01032797029915 r
2458327.9247685 807.112680930339 99.5826337698636 24.4319 17.16456457307686 0.13395510693663895 17.689015968289254 r
2458327.9639352 1436.1039575420227 103.94974353369 25.2604 17.367435302475407 0.07858639756671294 18.47091643373199 g
2458330.9191782 3860.9729455222455 101.27416475488 26.0494 17.082658103846875 0.02847814844232239 19.288228313948004 r
2458330.9825579 3175.9646524624245 69.2302123398064 26.0909 17.336210849464642 0.023666271436318227 19.7427358300048 g
2458335.9591898 4388.297213454653 35.1203731038941 26.2122 17.106459914803445 0.008689062573517016 20.600877186614248 r
2458336.0002083 3478.4545941862775 60.8849079760254 26.1579 17.304434153270535 0.019003480654901102 19.94920085425302 g
2458338.9397106 3313.4696753899557 22.5978020026431 26.1135 17.312792499207838 0.007404453952451581 20.980909491351827 g
2458338.9974306 4497.178660942046 26.0188472895976 26.2092 17.07684964681286 0.00628141878099162 20.923554858793594 r
2458342.9203588 2873.3253784424783 19.4690296158503 25.9541 17.308137978127732 0.007356467740310891 20.983314224764598 g
2458342.9336921 2964.5997155982127 16.0269069171871 25.956 17.27608484347485 0.0058693970550013665 21.196450702677907 g
2458342.9785532 4186.699403106196 23.039030784932 26.1441 17.089420548726473 0.005974509587347655 20.9905144765018 r
2458342.9794676 4147.586460282462 24.2589805736224 26.1334 17.08891137984599 0.0063501931692071705 20.92379362237528 r
2458343.9353241 3408.7618569846736 16.0190876134461 26.104 17.272508346011143 0.005102123337328997 21.34498054745011 g
2458343.9805208 4340.360011399096 23.0647023971281 26.1962 17.102385616034624 0.0057694171282556845 21.041405350916833 r
2458344.9594444 4286.863188508955 24.6026922738898 26.197 17.116650940992326 0.006230929662827135 20.9721184027311 r
2458345.9329051 3171.2513501050266 20.1472118692642 26.0434 17.290323337192156 0.006897538388351249 21.03543760534609 g
2458345.9338194 3192.345277559456 18.6266713063608 26.0395 17.279225355937008 0.006334833885129232 21.116736861909047 g
2458345.9804977 4394.8601699913825 19.3002223031494 26.1815 17.074137345484175 0.0047678994425368465 21.220169210879497 r
2458345.9814468 4296.153307112769 20.6384781515254 26.1646 17.081900573366024 0.0052156415582315175 21.130480814277128 r
