jd flux fluxerr zpdiff mag mag_error limitingmag filter
2458204.705081 1400.0702751089434 78.3970351585945 26.3109 18.445525412007882 0.060793849126654 19.8277258923535 g
2458204.7239583 1492.5956505912393 80.2210002603124 26.3204 18.385544570608864 0.05835199904818239 19.812254807124358 g
2458207.7126852 1463.9157089395371 60.0061426614362 26.2988 18.38500982219051 0.044503019326649 20.10588571372511 g
2458207.7313426 1404.909480368261 60.1644208938402 26.2942 18.425079142142806 0.04649446293672971 20.098425637153355 g
2458210.6843866 853.4237263318164 38.1074076707317 25.7518 18.4238882183398 0.04847909805126189 20.0518514739987 g
2458210.6942014 1009.6361151479581 44.0201043100243 25.9539 18.443487807272078 0.04733648740604884 20.097347320853437 g
2458214.6619676 2214.6424029498967 353.558404859835 26.275 17.91174097265784 0.17332746796730014 18.156422074568866 r
2458214.6745255 2676.857815207604 172.431869633118 26.275 17.705936740794982 0.06993620647204872 18.936031146246442 r
2458217.6642593 2569.257283129182 63.1160778070993 26.275 17.75048100923633 0.026671180860372512 20.02722498195736 r
2458217.6853356 2485.2715496738497 145.458756782462 26.275 17.78656537941735 0.06354419188496482 19.120725310681337 r
2458223.6660764 2420.9456645068876 25.3623400865261 26.275 17.81503739429079 0.011374023397402462 21.017101684769433 r
2458223.6840741 2318.322722333417 24.3606896589642 26.275 17.86206527039947 0.011408420625803483 21.060851041281378 r
2458229.65 1310.0951746125875 43.2243248433991 26.3015 18.5082428824109 0.03582079408570896 20.464754443177423 g
2458229.691169 2439.43067114181 48.5260639702745 26.275 17.806778800169916 0.02159714898881188 20.312637323169 r
2458232.6529977 693.7347380518478 89.0993200995929 25.5097 18.40671639526875 0.13944109545931127 18.887589014088014 g
2458232.6959491 703.1675474008211 112.460932561077 24.9548 17.837152952593016 0.17364116835722265 18.079870787926417 r
2458234.6423264 1000.9954890448168 68.5521652342487 26.0815 18.580419699127273 0.07435306813005184 19.744022047603032 g
2458234.6427894 1077.1793221776256 58.4951079912836 26.1186 18.537879980033857 0.058957814579793974 19.953376121442904 g
2458235.6991088 1314.659043073147 50.0894742554864 26.235 18.437967167197847 0.04136596670118961 20.23820880588044 g
2458238.6618056 1302.0682975431191 79.2541021788102 26.2377 18.45111558767575 0.06608422837565074 19.742720612960284 g
2458243.6585995 2650.2218062278016 37.1488874276422 26.275 17.71679444233759 0.015218555286736001 20.602710460154743 r
2458243.7077662 1315.8384265792515 40.2256852085346 26.1145 18.316493587506212 0.03319026527021374 20.355816362530547 g
2458249.6564815 2464.8804680193584 109.78026931452 26.275 17.795510341411394 0.048354652463349516 19.426264259499177 r
