jd flux fluxerr zpdiff mag mag_error limitingmag filter
2458202.7768866 282.55441539279667 32.3061060997039 26.2983 20.17054475430979 0.12413445864467884 20.77766345153792 g
2458205.7078472 218.16988873276603 63.396656961234 26.336 20.489012974648748 0.31548693938749994 20.08340909609474 g
2458205.7545602 123.512357236248 62.8354860680379 26.3212 21.091923974208346 0.5523373430043131 20.07826254180135 g
2458206.7682523 195.03819534085454 52.7068045445156 26.3376 20.612300825421883 0.2933978013587268 20.285508271557074 g
2458206.7916088 210.69795015442466 58.2602623639223 26.3409 20.531749223876673 0.30020779415343607 20.180043899014976 g
2458208.765787 355.391110695336 133.379667765183 25.2072 18.830433598222157 0.40746743780206657 18.14705091090545 g
2458208.7829167 244.3530399446132 120.840857638442 25.8768 19.90675563409046 0.5369154366477067 18.923840491882245 g
2458208.7904167 234.07308892358614 101.490454994838 26.13 20.206621284252687 0.4707426534789178 19.366511990384083 g
2458208.7909838 269.88107884278526 110.949957073417 26.0883 20.01036890608017 0.4463386944765397 19.22805714281158 g
2458217.6882986 599.7743064738447 189.409505077753 26.275 19.330030356926535 0.3428654702998422 18.834070565965426 r
2458217.7108796 540.6547555671392 27.1503339438964 26.275 19.442699931570836 0.05452114729291014 20.943137049918732 r
2458218.7647106 537.5841216807627 37.9535952731769 26.275 19.448883918190383 0.07665073562674521 20.579442683947164 r
2458219.710544 525.8449944292073 36.8257044404157 26.275 19.472855639543887 0.07603318037544221 20.61219733108209 r
2458221.7716667 384.3304758842195 51.1191394666079 26.0503 19.588537940845555 0.1444071006630651 20.03141615328181 r
2458222.7540741 533.1003646298498 38.0170217258739 26.275 19.457977551065767 0.07742459624172277 20.57762976166871 r
2458223.6875231 573.6229433353365 23.0789282227662 26.275 19.378433716029072 0.04368164255384259 21.1195358979839 r
2458223.6909144 547.9092426498162 20.0610212078731 26.275 19.42822843353653 0.03975156655517159 21.27169239655468 r
2458226.7566551 595.3861365302715 32.3710357462529 26.275 19.33800320512053 0.05902931115346833 20.752183500795162 r
2458229.6531713 284.63218084322693 36.0817331917364 26.3431 20.207389999099668 0.1376300375109197 20.702456512222962 g
2458229.6924537 477.36813507257733 30.9941999216065 26.2264 19.529266435170737 0.07049151458291639 20.750773914067537 r
2458232.6597685 153.00312347321142 59.9190865417438 26.0691 20.607349258032247 0.4251818576093401 19.877762029204792 g
2458232.6999884 579.98980384196 373.308473723835 26.275 19.366449103049966 0.69880712943086 18.097405368953517 r
2458232.7993866 386.4802256567453 35.2857347462616 25.4848 19.016981804867733 0.0991246632319068 19.868377076478602 i
2458235.6874769 255.81684810629872 53.2088905346068 26.3137 20.2938771406653 0.22582129707664172 20.25131448043683 g
2458235.7059491 243.9501979129768 49.3602051965961 26.3054 20.33714706303814 0.21967752123349962 20.32453259804532 g
2458238.6611921 301.615912914016 72.7296596276636 26.3025 20.103864373281855 0.2617984929736279 19.900796101428032 g
2458242.653287 615.5772477689395 32.1092898285438 26.275 19.30179360104473 0.05663148872574203 20.760998238553828 r
2458245.6601042 580.3599804661476 32.6159773560724 26.275 19.365756356462505 0.06101586568227087 20.743998996831298 r
2458245.7178472 248.03914308270654 29.9785368106346 26.077 20.09069944427118 0.13122000427349179 20.637548909088004 g
2458246.7849537 503.8073618086479 23.5717817625048 25.5065 18.75083872682326 0.05079696209217277 20.328093960259253 i
2458248.6671181 628.0963434808391 28.2266938712291 26.275 19.27993433718205 0.04879143439389936 20.90092495617012 r
2458248.6780556 278.70394058913695 19.884060865778 26.3063 20.193442226906917 0.07745898689606336 21.312612279512482 g
2458254.6741898 594.8947331983904 24.6627643425504 26.275 19.338899690030004 0.04501025433986716 21.047470606216304 r
2458261.768588 403.5682927216014 32.6914386334474 25.43 18.915207406118654 0.08794817522698319 19.896489907285346 i
2458262.7361111 856.9036557479959 78.5843473386949 27.0153 19.682970010912886 0.09956664945156013 20.52953486265546 r
2458263.697662 1315.579619989953 89.2903496957781 27.3993 19.601507157284914 0.07368807724875415 20.774863679574228 r
2458266.7196991 424.6120113112741 33.4697437835846 25.4635 18.893519311974593 0.0855795405165755 19.904444019723627 i
2458266.757662 492.0144136088981 78.8131844942339 26.275 19.545055435870633 0.17391253597177594 19.786077799683387 r
2458266.7585764 598.5605090094638 79.8194432176323 26.275 19.33222984956581 0.14478063319745876 19.772303254091472 r
2458267.6701273 294.06678006761365 74.029462073922 26.2046 20.033485084500743 0.27331814547422556 19.7836635050458 g
2458268.6736574 297.33423793160784 83.7031148405334 26.1662 19.983087697651662 0.30563742815003475 19.61192093996876 g
2458269.738206 327.99199279491245 73.4474267440158 26.179 19.889341896265254 0.24312139615505532 19.766633527321154 g
2458269.7391667 342.66021744858807 77.8588618225078 26.1767 19.83954078463191 0.2466915094787145 19.70100486239151 g
2458270.7562384 258.2642851698919 68.7359050714089 26.0456 20.015439118384588 0.2889542860598695 19.705215850260075 g
2458271.6822454 639.4815035146971 40.1252674551212 26.275 19.260430031550783 0.06812394515961767 20.519030138624753 r
2458274.7361227 289.6562581274403 24.5964619024822 26.2097 20.054992709938432 0.09219334275793821 20.985093388752944 g
2458274.737037 268.0156143494829 21.9047164969308 26.1918 20.1213997590672 0.08873345218501691 21.09303089748761 g
2458277.7022801 256.9832570945437 23.6895093709261 26.1003 20.075537926966668 0.10008317512511032 20.91648482360314 g
2458278.6982176 314.8793415343311 30.7240300049286 26.1559 19.910539578576543 0.10593606812631778 20.689779537737834 g
2458278.6991319 308.82330362845124 24.6052151985859 26.1573 19.93302483872137 0.08650215779455712 20.93230706978371 g
2458278.7422917 675.9150725446934 49.0302473517436 26.275 19.200269672284506 0.07875566282222264 20.301414778621176 r
2458278.743206 632.7276155402794 53.206333249933 26.275 19.27195802561509 0.09129697296383435 20.212666663507218 r
2458279.6827894 709.6850059509663 33.8550291596011 26.275 19.14733592585108 0.05179256268677388 20.703517008672865 r
2458279.6996412 263.2918754211244 23.4806838150095 26.2087 20.157606355028346 0.09682402230293226 21.034498137963677 g
2458280.6855903 597.415734181056 44.5472798658052 26.275 19.334308358840836 0.08095699356931728 20.40552201314003 r
2458280.7213542 356.0352200345373 34.9782655689915 26.325 19.946267595586974 0.10666333214048378 20.718079312244654 g
2458284.6795602 722.6040489831514 47.0853227937498 26.275 19.1277490231734 0.07074487754270267 20.34536110897321 r
2458288.6988542 337.78940783505647 38.9297294781192 26.1699 19.848284932138316 0.12512531865721685 20.44677152459665 g
2458293.692338 112.70934672267963 94.1048566269231 26.1571 21.027200168585537 0.9064877564345921 19.47564489573937 g
2458375.0229282 680.2155345275786 114.864059023676 26.1284 19.046783635056432 0.1833358730459116 19.230514591274332 r
2458378.0220833 318.6750640183848 69.6648974857719 26.1307 19.872329795684244 0.23734263436419697 19.77573998323852 g
2458381.0151852 350.18348003467884 28.2972496298648 26.1317 19.77096086421372 0.0877320766819205 20.754914424078883 g
2458385.9915741 376.21295275209275 83.9487159914647 26.0726 19.63401564017303 0.2422647074886664 19.51513984435019 g
2458386.0277662 571.2639026310202 79.9439554410455 26.1422 19.250108043837113 0.15193529999462294 19.637810908317654 r
2458389.0302894 587.580040554218 63.0092637570175 26.1554 19.23273241283919 0.11642525773419554 19.909463976526386 r
2458397.9856713 383.4719687457 23.5738278367943 26.1509 19.691565942155798 0.06674309198172539 20.972399720436968 g
2458398.0234838 648.6391685125785 27.6996386050681 26.1287 19.098692074266822 0.046363986471068694 20.775089731918378 r
2458422.9752894 512.0338091375082 48.6927461846804 26.238 19.464753404996504 0.10324653096981389 20.27191431746863 g
2458423.0200347 682.2752195719693 39.6152260901005 26.157 19.072101005328705 0.06303944468773896 20.414919642024653 r
2458423.9679861 511.2993954890918 38.5490463687935 26.2209 19.44921180185228 0.0818555625370224 20.508440891940467 g
2458423.9689236 413.8851120515445 42.096753178462 26.2037 19.66150048854117 0.11042785448190813 20.395653486569252 g
2458424.012963 680.5005356733991 34.3026651473917 26.1847 19.10262882148626 0.054727956258946095 20.59895532944369 r
2458424.013912 657.4921506258019 39.9463732092024 26.192 19.147273568921555 0.06596242609429123 20.440881601169526 r
2458424.9997801 502.9372994019809 29.0967104098552 26.2836 19.52981538637141 0.06281160401016654 20.876565259960145 g
2458425.0304167 724.6344416651611 29.7343497512657 26.1955 19.045202569799898 0.04455016442603248 20.76492887534773 r
2458425.9859838 625.8662004428403 36.7409083103997 26.1779 19.186696254115333 0.06373503493937925 20.517600267284045 r
2458426.0373611 555.5154380955039 28.5338600704198 26.3205 19.45875966815106 0.055766608367648726 20.93467367131366 g
2458426.0471991 532.7967715437777 44.0706449263139 26.2704 19.45399603854038 0.0898044090204619 20.4126014741916 g
2458426.9839005 533.2393460722766 19.8722163394607 26.2813 19.46399453209316 0.04046075264076278 21.288259222955652 g
2458426.996331 537.1452034352828 19.552768891559 26.2998 19.47457074512514 0.039520861491083366 21.324354321508466 g
2458427.0262731 649.4232286327258 28.9612368372187 26.0692 19.03788045386313 0.04841713915957064 20.667232226207936 r
2458427.0272338 728.0637110593455 23.004221396976 26.1956 19.04017653746316 0.034304254959166676 21.04365614246494 r
2458427.0467014 666.0280113680534 37.7581873720911 26.1202 19.061468762934776 0.0615500599526971 20.43024714593663 r
2458427.9882639 687.5075624499925 32.2358685625345 26.1744 19.081206300790654 0.05090632366809697 20.65612654834557 r
2458428.013044 513.525372789592 23.1393380769187 26.2807 19.504295233670746 0.04892139839875855 21.122397660707627 g
2458428.0459606 479.0150022973017 31.3421472035588 26.2564 19.555527211698955 0.07103779433986106 20.768653124119393 g
2458429.0060069 679.1986729809086 27.0363742854511 26.178 19.098007928220742 0.04321768096643403 20.850703863940804 r
2458429.0354398 492.82831851513527 18.8563790759683 26.2986 19.566860862592506 0.04154057304267928 21.362529238239137 g
2458429.9968981 506.14757410673315 17.6085495742014 26.2592 19.498507100805252 0.03777080687672933 21.397466028239933 g
2458429.9979051 484.39185395250627 16.4399523674048 26.2701 19.55710792256123 0.03684796955120026 21.48292360192287 g
2458430.032419 726.5465192787253 19.5398988688613 26.1948 19.04164143373404 0.029199050080073674 21.22006921004917 r
2458430.9099421 396.3233655329464 19.3295671316551 26.171 19.675875806908078 0.052951990369322216 21.208019667906278 g
2458430.9910764 714.2692640300361 23.1335735679172 26.213 19.07834509437697 0.03516337897696734 21.054968174748588 r
2458431.0350231 508.780637929205 16.792602603447 26.34 19.573673561208192 0.03583416365993725 21.529779962822943 g
