jd flux fluxerr zpdiff mag mag_error limitingmag filter
2458202.7560532 2556.6935607751825 44.4184437640836 26.2642 17.745003305901776 0.01886229352415776 20.397866642603972 g
2458202.7655671 2469.9203758422154 42.8975921267287 26.2587 17.776992617751382 0.01885644421072002 20.43019270015636 g
2458207.7364815 2464.7989346585014 83.3182971968807 26.3221 17.842646256007278 0.03670022491274181 19.772824025287633 g
2458207.7596991 2572.541642917592 81.2973194672511 26.2973 17.77139396595907 0.03431023166858876 19.77468442344579 g
2458210.7141088 1314.4648106401296 60.4819425112749 25.7422 17.945327589602254 0.04995587896530523 19.54071066154893 g
2458210.7314352 1950.3362308055703 69.8297725872053 26.081 17.8557262785221 0.03887236615945671 19.723473419940365 g
2458214.6825 3040.287572131029 556.100449359093 26.275 17.567713339429652 0.19858590463729556 17.664691874134057 r
2458214.6936227 3178.514842126289 187.678843027997 26.275 17.519439390709262 0.06410632952690187 18.84403669538063 r
2458217.6978819 3251.5702353323118 40.0732118203716 26.275 17.494767151512328 0.01338045403436625 20.520439609122377 r
2458217.719456 3012.3771210329646 36.2760306032531 26.275 17.57772664879849 0.013074354519213235 20.628525590145145 r
2458221.702037 1850.2597924638362 53.6807532848183 25.6851 17.51701822154353 0.031498924680041306 19.61312848536228 r
2458224.6765509 3253.681181106592 104.470415485636 26.275 17.494062511464726 0.03486006273490482 19.480091684343847 r
2458227.6642708 3160.5413158073616 33.5765897316565 26.275 17.525596320087995 0.011534132868105616 20.712483528857838 r
2458234.7271759 2301.3362426076656 80.9320852824817 26.2384 17.833449807478054 0.03818128066832441 19.720673162921937 g
2458237.7072801 2333.55246446347 78.3744179077022 26.2202 17.800156076436192 0.03646419217832173 19.737339168372003 g
2458243.6511921 3219.4110169403257 31.3918637221612 26.275 17.505558935270965 0.010586453939497765 20.785532238280112 r
2458243.6930903 2226.5868823055516 29.4797129508383 26.2258 17.856700884646855 0.014374522999786985 20.804566863145766 g
2458247.686875 2265.7583302374824 20.9373029570109 26.2411 17.853066036536244 0.010032680677839172 21.191373146128313 g
2458247.7175 3190.7402109283817 27.8773894047932 26.275 17.51527138622041 0.009485724213184252 20.91444473526659 r
2458263.6928935 7259.751526561146 122.02101106373 27.3874 17.73509560819813 0.018248312111949782 20.423888441092632 r
2458425.9814005 4148.414949161155 55.5262300056488 26.2359 17.19119452347641 0.014532014915557811 20.127229519836753 r
2458426.0209722 3331.5347482546917 45.5235870469385 26.2509 17.444289131588768 0.014835492405640867 20.35788380135833 g
2458429.0009491 4160.239915596932 41.161401873152 26.2358 17.18800405864021 0.0107419127070389 20.45214959535 r
2458429.0435648 3274.403434950366 32.839372820125 26.2466 17.45876953193555 0.010888611552946945 20.7081878536809 g
2458431.0490278 3352.2433761864454 32.0815530896285 26.2698 17.456461146719963 0.010390338135005516 20.756736527635184 g
2458431.9764815 2896.574605329651 39.2294233317357 26.1678 17.513088202897876 0.014704052446257724 20.43634517892315 g
2458432.0246181 4032.5933101970213 55.937990569232 26.2371 17.223138936701304 0.015060253214090661 20.120407835696525 r
2458434.9986227 4022.8489606049566 65.6948712318851 26.2316 17.220265682185573 0.017729952676555822 19.9403463248737 r
2458435.0396644 3157.6823383140063 38.6540099345768 26.2634 17.514978904989995 0.013290335787347582 20.54798860431802 g
2458437.9842245 3179.0325303244654 34.0613534115052 26.2397 17.483962570061976 0.011632599240844138 20.66162023803017 g
2458439.8873843 2855.7537558935137 31.6915989705444 25.8975 17.25819810836991 0.012048506959436548 20.397714609978333 r
2458439.8921759 2082.432498751484 35.166490436596 25.5422 17.245772667954043 0.0183344519881932 19.92945241781836 r
2458439.9747222 1944.3885890130155 21.6997258346344 25.6942 17.472242340809238 0.012116606974443042 20.605639372195032 g
2458440.9606019 2606.741610119614 25.3939910123687 26.0002 17.459955038938347 0.010576520486379776 20.740947585298027 g
2458441.0404398 4194.565425173376 28.4253023486191 26.2525 17.195782568152346 0.0073574608169617835 20.87081225715555 r
2458442.8932755 3069.857058567569 66.5487732479007 25.9182 17.200404615151168 0.02353595028589358 19.612924853779646 r
2458443.9622454 4160.407420899252 42.6995672107678 26.2802 17.23236034411563 0.011142879874661494 20.456716306218468 r
2458444.0208333 3277.068713420529 29.0029744250119 26.2808 17.49208613064041 0.009608748575908993 20.877268640091216 g
2458447.960544 4102.215242226292 68.8469234307104 26.2617 17.229153890112507 0.018221156218062484 19.919563644994927 r
2458448.0181829 4164.335070917331 63.424692567615 26.2741 17.225235833833217 0.016535698388336198 20.021029062196995 r
2458448.9637037 3779.500098710384 58.9468300264367 26.1667 17.223114097449766 0.016933078896211564 19.993123851461867 r
2458448.9641667 4184.126741650218 69.1750304650874 26.2472 17.19318792174915 0.01794958308225737 19.899901591462807 r
2458449.9499769 4222.307241222841 62.6938722992351 26.2465 17.182625419806303 0.016120744717659733 20.00601225178328 r
2458461.977338 2566.2267632901367 26.9105008122051 25.9701 17.44686242514988 0.011385093145218612 20.64787053869768 g
2458462.0025116 3222.6695821468365 33.0772539769916 25.9312 17.160660550217383 0.011143548454910604 20.384951369375667 r
2458464.9995602 3478.739336177217 26.5020329358081 26.26 17.406445279885133 0.008271173657416298 20.9543770157387 g
2458467.9779051 1003.8542535048215 26.3268715805473 24.8818 17.377623341217863 0.02847334100065446 19.58337685165177 g
2458472.9360417 4655.770533060356 43.2369182306151 26.2968 17.126821081785394 0.010082610770793818 20.459738160504365 r
2458472.9364931 4139.063463954178 40.2026457425452 26.2053 17.16304478635749 0.010545383723346683 20.44723840162427 r
2458472.9431019 4573.075695205067 39.5026588895764 26.2783 17.127779024900693 0.009378378932450604 20.539309167675587 r
2458473.0015972 3593.599261901989 38.5247384185823 26.265 17.376175886548545 0.011639113171154578 20.553225742763757 g
2458476.0170718 3686.3184618129867 82.1182557026067 26.2871 17.37061787176567 0.02418559089234845 19.75357569960238 g
2458476.9395718 4090.951092163867 70.0540964547751 26.2279 17.198339281289705 0.018591699291305722 19.86689114918159 r
2458480.9547917 4350.418625628397 48.6391917873633 26.2408 17.14447237597387 0.012138503226436637 20.275909114472995 r
2458480.9845139 3398.4307563104067 47.4163172362066 26.247 17.418803936215898 0.015148137277111976 20.309755439501167 g
2458481.9352315 4324.0525007486785 41.1162270487849 26.2627 17.172972604184057 0.010323622966912796 20.480241850108193 r
2458481.9356944 3898.178342872525 37.7840037326764 26.1873 17.210145739140373 0.010523400738596799 20.496605050478614 r
2458483.0153704 3393.8389510929974 35.925211607368 26.2357 17.408971925605012 0.011492590781173652 20.599776651901315 g
2458486.9379282 3417.379758494113 41.1880572765563 26.282 17.447766893174077 0.013085427124102341 20.497646719148065 g
2458486.9572917 4312.298096745185 39.1575325589224 26.2745 17.187728063142842 0.009858625759501657 20.545036694879574 r
2458486.9760532 4320.726557563964 31.0779230416036 26.2731 17.184208044184185 0.0078091729705044004 20.79454502189045 r
2458491.9391319 3358.8528647256917 30.9654304884628 26.2581 17.442622550262826 0.010009121933976007 20.783482184039208 g
2458492.9403009 1496.7144464635917 35.21406436538 25.1085 17.17065262364897 0.025543890333808623 19.494284604872142 r
2458492.9790972 3434.265382890016 31.969320885579 26.0253 17.18571536942038 0.010106700506722226 20.516041462195012 r
2458493.9368866 3944.216299087153 26.035158678609 26.2141 17.22419819139844 0.007166536932547981 20.927774416785343 r
2458493.971875 4318.813637494621 29.208023791142 26.2789 17.190488839819864 0.00734256073351634 20.86771955492842 r
2458494.9669676 3294.82764135977 25.6085323342853 26.2536 17.459018248095425 0.00843843338155899 20.98521326647443 g
2458502.9239815 3667.87675293115 82.2108801047113 26.1113 17.20026316452602 0.02433461060499284 19.576551745286977 r
2458503.0051736 3534.1901629602057 83.7945257069872 26.1199 17.249175215665115 0.025741601997973866 19.56443587137023 r
2458503.8049653 3075.673185524428 133.099715008698 25.9079 17.188049534061975 0.04698365264068325 18.850032175234393 r
2458503.8213657 2542.1914828571767 152.676933357025 25.8275 17.314479351590858 0.06520411529324392 18.620641418661453 r
2458503.8548148 3596.916486155694 108.796318411483 26.1242 17.234374113976656 0.03283928424637719 19.28523949065873 r
2458503.8725463 3699.7592602252253 107.698773704591 26.1157 17.195266335344158 0.031604369470233144 19.28774809341178 r
2458503.8900463 3348.538131594317 112.010274607405 25.9794 17.16726187789035 0.03631720779699125 19.10883033425601 r
2458503.9074537 3932.071420450775 88.1062331331269 26.1498 17.16324650607612 0.024327365168171265 19.53985840429428 r
2458503.9240509 4242.932783703701 67.0200171224739 26.2804 17.211234620617518 0.01714937197905685 19.967463653024662 r
2458503.9404745 4225.807448192207 79.8565696654377 26.2649 17.20012573939524 0.020516854766502897 19.761698362611092 r
2458503.9568403 3885.313819432338 96.3400244324676 26.1509 17.177334742966217 0.026920956552645234 19.443958108863995 r
2458507.7772454 4109.357650271305 56.683496783176 26.2465 17.21206514770937 0.014975886183435786 20.115433404505325 r
2458507.9676968 3227.301683487286 98.4668970870055 26.2686 17.496501088698274 0.03312535382556622 19.537949357807587 g
2458510.7745718 3064.9786857290974 38.4053136463966 25.971 17.254931353192156 0.013604221530165057 20.262596698575823 r
2458511.9101273 3775.49183440881 33.109337784471 26.2057 17.263266161705378 0.009521092776573026 20.65839875273026 r
2458511.9105903 4066.354321585954 29.7561250509878 26.2707 17.24768695455161 0.00794476388748569 20.83933405122128 r
2458513.8810648 603.5838841260479 21.5133910193262 24.3669 17.415055911342204 0.038697336433198636 19.287702811993128 g
2458513.9116551 3325.6504023243056 21.7869234692156 26.0346 17.229908516114598 0.00711261255662817 20.94168521949606 r
2458513.9376852 753.6997272356739 27.0381701106564 24.5097 17.316704104748954 0.03894832415132419 19.18233174895711 r
2458523.7123032 3926.569309861692 27.5264895801324 26.2129 17.227866830480878 0.007611099506658759 20.866097914471208 r
2458523.7534375 4125.461982357303 25.8575524278526 26.2306 17.19191852678263 0.006804945674200166 20.95170645436748 r
2458523.7563194 4086.0485631323654 24.8643221167824 26.2367 17.208441190089154 0.006606674909780351 21.000333430576553 r
2458523.7591898 4069.399112318276 25.4757378773129 26.2421 17.2182742849654 0.006796828684036767 20.97935805982842 r
2458523.7620718 3946.124154614783 26.58387627544 26.195 17.2045731372839 0.007314041155672332 20.886029221618543 r
2458523.7649537 3918.042710406672 23.2368158348045 26.2122 17.229527085227353 0.006438983139422871 21.049333449240002 r
2458523.7678356 3949.973811825171 25.1840269343908 26.1903 17.19881445929937 0.006922146663558256 20.940062051263844 r
2458523.7707176 4086.081378571953 24.259177523408 26.2368 17.208532470474786 0.006445830759829119 21.02718480771614 r
2458523.7736111 4105.584239889841 26.4124825554657 26.2447 17.211262581071527 0.006984641072969078 20.942751931100133 r
2458523.7765046 4200.81515887172 25.2260692808371 26.2554 17.197066068856834 0.006519673535352805 21.003351028802857 r
2458523.7793981 4058.391518138891 24.6624403532711 26.2422 17.221315145865532 0.006597690580583871 21.01468486938633 r
2458523.7823032 4163.647202762252 26.3655597845095 26.2545 17.20581519141041 0.0068750032997636 20.954482497768346 r
2458523.7851968 4108.650202321475 25.7845042591768 26.2474 17.213152079108752 0.006813487373145299 20.97157802430124 r
2458523.7881019 4072.1845910451566 26.3054339900613 26.2158 17.191231359429153 0.0070133877884154235 20.91826131107905 r
2458523.7910069 4094.262758610254 25.3486721250929 26.2564 17.225960722361208 0.006721858109457303 20.99908695413344 r
2458523.793912 3918.888328230219 27.6848129474342 26.2033 17.220392779761234 0.007669879542243379 20.850271005296943 r
2458523.7968287 4067.8338169600697 26.5921572662998 26.2614 17.237991994001696 0.007097415096862866 20.952091062825502 r
2458523.7997454 4203.304290403933 25.3268963324251 26.2646 17.205622922286093 0.00654185598955803 21.008220057349117 r
2458523.802662 3421.2424379178474 26.2606103872866 26.0487 17.21324037378954 0.008333564549967648 20.7530129482236 r
2458523.8055787 3886.7085506453413 25.9310129953034 26.159 17.18504506055976 0.007243481326719594 20.8770262821115 r
2458523.8084954 3385.993687647093 25.7373917768071 26.01 17.185784639654088 0.008252551194652982 20.73616365549875 r
2458523.8127431 4139.782144889346 26.1447228416585 26.2505 17.208056282319653 0.006856719652320584 20.9596148834968 r
2458523.8156481 4116.2298330102785 28.140011004892 26.2484 17.21215096012542 0.0074222313105554326 20.87766433180733 r
2458523.8185648 4095.45817690351 27.2386122989834 26.2536 17.222843761883496 0.0072209164629696634 20.918212543672404 r
2458523.8214931 4113.287328268394 26.6860534576756 26.2521 17.216627380905514 0.007043769600018543 20.93896410998201 r
2458523.8244213 4025.6295057861394 27.7627684702757 26.2486 17.23651549351205 0.007487533983158265 20.89251806098042 r
2458523.8273727 4093.9698845214625 27.2814713762991 26.251 17.22063839089254 0.007234907512445004 20.913905515421792 r
2458523.8303125 4047.6023625637717 25.4612203806804 26.2441 17.226105398169352 0.0068295362269220885 20.9819769492424 r
2458523.8333565 4154.145732574972 29.8891474871518 26.2478 17.20159567986402 0.007811629518034743 20.81159116901791 r
2458523.8364236 4157.366006440246 26.4093985956071 26.2549 17.20785434841686 0.006896839010766262 20.95307871063934 r
2458523.8394676 4127.943917157801 26.3176682289767 26.2591 17.219765529320785 0.006921870299021247 20.961056469828446 r
2458523.8424769 4061.657047240519 25.1894063527946 26.254 17.232241874397776 0.00673324659348316 21.0035301580232 r
2458523.845463 4175.313096357441 26.1958534146882 26.267 17.2152773807372 0.006811665950785553 20.973993610253817 r
2458523.8484491 4008.085118221357 25.5589449628933 26.259 17.251657660228947 0.006923342625649481 20.992717682174327 r
2458523.8514352 4051.5877684274446 25.3507386654867 26.2533 17.234236871633712 0.006793212573006068 20.995898443529846 r
2458523.8544097 4115.168550064198 26.6802650035032 26.2653 17.229330930373685 0.0070390224268825005 20.952399641848192 r
2458523.8573958 4055.9970700266394 30.1065821043947 26.2437 17.223455918501223 0.00805886089817285 20.79962135323888 r
2458523.8603704 4092.7184918964604 26.4785321328479 26.2503 17.22027031565318 0.007024119150523838 20.945640224577833 r
2458523.8633333 4109.38050211888 26.7286801144342 26.26 17.22555911002383 0.007061728157146377 20.945131205546836 r
2458523.8662963 4097.897227108016 25.3985160728247 26.257 17.225597344131575 0.0067291021155565294 20.997554130701644 r
2458523.8692477 4085.6501627162133 29.875370265252 26.258 17.229847057368566 0.007938929718696294 20.822291747938145 r
2458523.8722106 4104.56087316637 25.4705138119988 26.2601 17.22693324773889 0.0067372217638362285 20.997580724172877 r
2458523.8751505 4095.835176537233 30.7827097135199 26.2489 17.21804382109658 0.008159700401866194 20.78070787197491 r
2458523.8780903 3984.2585547837452 31.0935101286682 26.222 17.2211312154851 0.008472899909109282 20.74290060899069 r
2458523.8810185 3985.4222020621637 32.6028885277689 26.2165 17.21531416037906 0.008881607588848019 20.68593479143659 r
2458523.8839468 4046.9430178053126 29.7603431108947 26.2437 17.22588227641109 0.007984002832098379 20.812180154308244 r
2458523.886875 3899.3518764676273 31.8500568381691 26.2105 17.233018931065132 0.008868039562647886 20.705299459924138 r
