jd flux fluxerr zpdiff mag mag_error limitingmag filter
2458202.7901389 1579.868751018582 43.8915592055123 26.302 18.305447477354466 0.03016267382888708 20.448622466625878 g
2458205.760081 1511.9945039838797 85.3648510220436 26.3325 18.383624468670714 0.06129692833567394 19.756877272315165 g
2458205.7810995 1567.5470107926524 81.904524948604 26.3314 18.343348564486035 0.056727959113477444 19.80070524984058 g
2458208.7770486 1228.5526540552373 192.413746742537 26.0369 18.313415563821366 0.17004041637842562 18.57888474816484 g
2458208.8193866 249.87326904742292 296.555121867702 25.1368 19.142500503402744 1.2885327711891348 17.209111416089623 g
2458215.7463657 1518.3767120980035 290.382720926028 26.275 18.32155116449969 0.20763524466452674 18.370148063340338 r
2458215.7623032 640.4091705494081 47.9323942945185 25.259 18.242856144214418 0.08126086083513352 19.31000218118463 g
2458218.7735764 1901.6549707985857 28.4816203296992 26.275 18.07717069256465 0.016260833677398775 20.891163257064797 r
2458218.8006829 1756.0393340064516 29.2910590977485 26.1323 18.020964401099516 0.018109675704057273 20.71803730150663 r
2458221.7412384 1390.6542545087739 50.0355779689225 25.9359 18.077852078009286 0.03906335944015654 19.940277687273785 r
2458224.6978588 1904.1285787591075 78.0887876992022 26.275 18.075759321653862 0.0445248276564781 19.79610328762727 r
2458224.7250926 1840.325867976818 35.8459797763932 26.275 18.11276317327282 0.021147330981124014 20.641473850575224 r
2458227.7523032 1753.1396345688877 28.1542564924603 26.1817 18.07215872929254 0.017435619885110214 20.810414832093592 r
2458230.7285069 1851.753769083049 471.35091256402 26.275 18.106041906767462 0.2763573074967536 17.84421410856302 r
2458230.8321644 1523.3786502670443 31.4560197060618 26.2654 18.308380338044365 0.022418458200713642 20.773715568605063 g
2458235.8175 1612.0391667340343 82.7648513433988 26.2772 18.25876102653541 0.05574169719807649 19.735160140811846 g
2458238.6696644 1447.5523027489126 78.1984358463138 26.291 18.389414338630207 0.05865075937989742 19.810579823585414 g
2458242.7036227 1507.9663410767191 24.950448573344 26.3017 18.355720880329716 0.01796373120419763 21.061579094103436 g
2458242.7557639 1840.0191473309428 30.5854483265105 26.275 18.11294414419232 0.01804688896648746 20.813787862059655 r
2458245.6695949 1844.352634905537 29.3918630335324 26.275 18.110390098726583 0.017301867924590528 20.8570072012888 r
2458248.7055208 1489.7711817703098 20.9569372321391 26.3116 18.378801077502416 0.015272779492147158 21.26085545754748 g
2458248.7348611 1769.4296116502273 25.854825011195 26.1899 18.070316772563224 0.015864199022008498 20.91112098226815 r
2458255.6881366 1659.5215064078973 27.0692888961261 26.3492 18.2992427875543 0.017709398065071227 21.020582871394648 g
2458258.6690972 1544.2535865929337 26.724908538824 26.279 18.307203453305426 0.018789163549632507 20.964284420187756 g
2458258.7067245 1915.7163575764794 31.7711822119626 26.275 18.06917198117383 0.01800578274080469 20.772491550881877 r
2458263.7269329 5549.754593418238 102.362277952623 27.4063 18.045615551689107 0.020025160266539287 20.633525134065465 r
2458266.7332176 1681.2667688334711 63.6668792499641 26.1504 18.086308427525204 0.04111371977550378 19.893191082567583 r
2458269.6864352 1870.0218628958814 41.5056935227254 26.1939 18.014283289969534 0.0240974356245438 20.401205801843506 r
2458269.7109722 1618.271644276394 49.7335940334103 26.248 18.225371439027917 0.03336631599092106 20.25895037674811 g
2458272.6906829 1544.2134831893159 25.6080686136582 26.24 18.268231649634707 0.018004427753361474 20.97163292721975 g
2458276.7144444 1618.7865456233658 25.7795554001445 26.325 18.30202603464764 0.01729002713397205 21.04938643129928 g
2458279.6719792 1891.332478563687 36.3651800942262 26.275 18.083080298837565 0.020875058444660404 20.625860632398677 r
2458279.7071296 1707.4930257824917 28.8910471334438 26.325 18.244102653772536 0.01837021258602529 20.925666782175362 g
2458283.6963657 1976.3826464653794 29.9158693944586 26.275 18.03532242017024 0.016433892222060986 20.83782091783609 r
2458283.7359838 1568.9380114005469 34.8486347870629 26.325 18.33598553752486 0.024115141907066047 20.722110566508075 g
2458286.7177546 1665.3794505277258 29.7306521348346 26.325 18.27121699624227 0.019382110793165777 20.894563900519124 g
2458290.6915741 1397.8165954678334 59.9635206200866 26.1544 18.290774519261078 0.046574346411618464 19.96225718034584 g
2458290.7533565 1526.7142167087836 58.8015403514464 26.0457 18.0863056256334 0.04181583669089709 19.8748032319045 r
2458293.6769676 1587.4033534056105 55.4549626247248 26.2577 18.25598176644484 0.03792826365932441 20.150423946847123 g
2458293.7383102 1679.322799720591 62.7030856396712 26.1167 18.053864539192013 0.04053820986073539 19.876052706329215 r
2458296.7354977 1695.3306485428523 76.6130568990989 26.1005 18.027363966611965 0.04906346496292295 19.642318011031552 r
2458427.9966319 1321.7575482764012 65.7608461838254 26.0333 18.230420501880744 0.054016374481751055 19.740956506928143 r
2458428.039375 1041.1562300389903 28.3896444595127 26.2341 18.690310244540175 0.029604238154093996 20.853775105083653 g
2458430.9835532 1340.8606065827112 31.2156875621056 26.1076 18.289140920655367 0.025275462505048613 20.624242726115835 r
2458431.0247685 1015.6555663355762 19.5595485469338 26.2214 18.704533867435984 0.02090846795043276 21.245577922570636 g
2458434.9850231 1477.9910921122955 71.5648045172515 26.104 18.17982045859137 0.05256994353960328 19.719826265860696 r
2458435.0236921 1136.5090534297256 44.5120997948512 26.2139 18.5749677508398 0.04252213090729961 20.34527978418791 g
2458438.0082176 1056.9843497508873 32.8347303804616 26.2258 18.665628607576156 0.03372676878562008 20.687541352992916 g
2458440.0020255 772.9053319945167 19.7880604887512 25.8982 18.67788424162776 0.02779628550005862 20.909766916012735 g
2458440.9833102 706.2577969810866 20.0228226114163 26.0012 18.878791861498804 0.030780231527549193 20.999961739599016 g
2458443.977581 1483.5331332019075 45.7831028535238 26.1565 18.228256874284487 0.033505631694783156 20.25731193233184 r
2458444.0401968 1247.0440883348867 20.8344815260767 26.2885 18.548795480212856 0.018138890841513697 21.244118245795093 g
2458447.9760301 1432.1215942282818 53.860522156822 26.1748 18.284850266766476 0.040831986013849915 20.09919859062982 r
2458448.0243056 1499.093445036593 57.2344798621796 26.18 18.240428237093976 0.04145136848680675 20.03843063822438 r
2458449.9643056 1386.4426797918675 43.8495865625643 26.1423 18.287545202277478 0.034337875503171106 20.289961231760188 r
2458451.0191898 1170.628133664533 48.5735196020803 26.2952 18.62415260678123 0.04504954965236743 20.331776055967275 g
2458451.0433565 1548.4759725180324 40.9762169840682 26.2205 18.245738822851926 0.028730105968166567 20.44174533696321 r
2458461.9824421 820.2706766010679 27.3261881765184 25.8991 18.61420703380687 0.03616860062117623 20.560227352423833 g
2458462.0448495 1415.8657460919694 27.0612985955296 26.1519 18.274344812405968 0.0207508741321425 20.823603405832184 r
2458465.0185648 1274.2890726445385 19.226186146459 26.3241 18.56093010265938 0.01638079674958751 21.3669421321543 g
2458465.0449769 1521.7378211977577 24.8768413546611 26.1984 18.242550413288093 0.017748646503046746 20.96148689771889 r
2458467.9628472 128.17176269299912 24.6110981961333 23.7487 18.47921910742852 0.2084723557679637 18.523447506113882 g
