jd flux fluxerr zpdiff mag mag_error limitingmag filter
2458313.9658912 339.5498037779512 23.9005565088359 25.8448 19.517541290427765 0.07642129052329653 20.651354955837437 g
2458320.962581 196.71226443255642 25.862032169423 25.077 19.342421405624414 0.14273847341109402 19.79791837019546 g
2458320.9845486 627.5792955582908 25.6186246271922 25.8743 18.88012848159862 0.044319723347468434 20.605485463387566 r
2458323.9846644 760.8296216388636 25.7608059683457 26.1382 18.934981468016147 0.03676053908046774 20.863376372901556 r
2458327.9825347 164.28386922867062 69.325313072598 25.6925 20.153512692886714 0.45814901217206194 19.34284539034751 g
2458330.9196412 626.5093404279436 67.7606430248926 25.9953 19.00298112465911 0.1174247938296893 19.670431192546157 r
2458330.961875 323.7911083707095 74.8082932369097 26.0577 19.782037703954735 0.25083877187363823 19.625400623262927 g
2458335.9601157 814.7508713895094 38.6439347690896 26.1895 18.911937915943625 0.051495152017754314 20.47437163828593 r
2458335.9992824 509.75823674570427 67.2649836299028 26.2089 19.440489370253623 0.14326319314270677 19.89200238706628 g
2458337.9755324 725.332099552639 23.9254151450679 25.5172 18.365857756055732 0.03581231719790322 20.322626283576103 i
2458338.9401736 489.46587308736423 26.6322345668383 26.1229 19.39859395754034 0.05907381629455381 20.811955970984762 g
2458338.9969676 798.558044724457 23.5292122388727 26.1883 18.932533777125116 0.03198974188101585 21.011856521202656 r
2458342.8937153 641.2827046670585 29.1169088050205 25.3511 18.333476182013182 0.04929530713918631 19.943311823562105 i
2458342.9790162 742.2277539979382 24.1052113477675 26.1084 18.932057025457183 0.03526010421909375 20.905697630138544 r
2458345.9314815 401.7495968370834 25.8624737240771 26.0696 19.559711375966728 0.06989151437435541 20.79049983306819 g
2458345.9324537 473.0418272966649 25.4786296314957 26.0696 19.382351140962015 0.05847717177357925 20.80673482477053 g
2458345.9761921 847.6758622553134 22.0860935637804 26.1532 18.832625458228506 0.028287784104644154 21.045477720047426 r
2458345.9771296 800.0394057011099 19.0772469778491 26.1551 18.89732155359178 0.02588893359033957 21.206385733653047 r
2458346.9587037 766.94514864252 19.4092890624383 26.0933 18.881389238412133 0.027476104611115316 21.12585091909639 r
2458347.9409144 800.7045787774172 20.3900817135914 26.1278 18.869119220001963 0.027647539808311816 21.106827573599997 r
2458347.9807986 515.7646169696201 18.9711576562808 26.1857 19.404571137765146 0.039934856307983775 21.243040406219453 g
2458348.9227546 782.5117868625803 20.0807443829607 26.1223 18.888572780042203 0.027861131988813227 21.117925469543703 r
2458348.9236806 787.2515144547616 19.0073438047118 26.1169 18.876616238069566 0.026213062521788826 21.172171413402985 r
2458348.9810995 515.0667551394761 18.6657874350264 26.1924 19.41274120162071 0.03934527945357382 21.267359199663616 g
2458348.9820023 493.1420264478171 21.0505490187214 26.1924 19.459969961342857 0.04634482531178923 21.136816421308904 g
2458349.9987269 871.0599302208387 21.4227214818159 26.1867 18.836579909642644 0.026701548201064403 21.11208838530856 r
2458350.9488889 498.7968564391113 22.4338117580825 26.1832 19.438390730583222 0.048830278521860296 21.05851731068003 g
2458351.9494792 490.66752031351757 16.3653640066015 26.1967 19.469731722866477 0.036211640197040686 21.414460815294277 g
2458351.9503935 476.05495213889594 16.7178360919259 26.1945 19.500357281889848 0.038127015722563606 21.389124831844157 g
2458351.9939699 835.1324639405772 17.0771279793349 26.2094 18.90501158435748 0.022200834774976655 21.380937906358014 r
2458351.9948958 821.6870816796908 17.3061397823092 26.2128 18.926033852053976 0.022866704832749843 21.369874471146893 r
2458354.9391782 819.6244523441934 34.6054410135749 26.2177 18.933662733779407 0.04583944171136153 20.622414018450094 r
2458354.9401042 894.200643990321 36.9076744462453 26.2039 18.825312554238238 0.04481171246698661 20.538683286288776 r
2458354.9989468 869.4207042306721 20.0896068281218 26.2329 18.8848250545254 0.025087148289839822 21.228046395926466 r
2458355.8916204 366.1598424847016 58.7370817235014 28.0238 21.614623218515742 0.17416123295899075 21.854094075762454 r
2458355.9981713 881.2215041566272 34.4511929399761 26.2115 18.84878728361874 0.04244524219904191 20.621064327159054 r
2458356.8841551 857.7934639988556 67.6881920590091 26.264 18.930543168033353 0.08567221971577557 19.94029270337322 r
2458356.9344329 876.8988932201954 56.6906523244842 26.238 18.88062619517065 0.07018943883332866 20.106796353328587 r
2458356.9996875 928.9862412905869 50.9348683215671 26.2392 18.819176795144596 0.05952723956374244 20.224237019799986 r
2458357.8952199 835.7250535146277 52.6248125710324 26.2641 18.9589414457007 0.06836549744212 20.2136985840108 r
2458357.9196412 843.828509386494 50.2384275377898 26.2218 18.906164514344116 0.0646385612373236 20.22178489533613 r
