jd flux fluxerr zpdiff mag mag_error limitingmag filter
2458206.7148032 1866.6333735062244 61.51756139101 26.3046 18.126952434236525 0.03578078981667626 20.08467721083951 g
2458206.752963 1885.6313178323467 73.7909317450061 26.3228 18.13415804342292 0.04248699830020336 19.905367503812553 g
2458210.6961111 796.3352721955298 53.3173228727187 25.586 18.333260118945617 0.07269126392369242 19.521404152065077 g
2458210.7117824 1190.751124176333 56.1940597524375 25.8228 18.133247499507657 0.05123647539314581 19.701148966833756 g
2458214.6779051 406.3381305219674 51.7491669559783 24.6295 18.107281054581005 0.13826925494768014 18.597316581583158 r
2458214.6908449 2210.284547680603 106.058954486962 26.275 17.913879531248057 0.052096553363379046 19.463706635173164 r
2458217.6946296 2189.4441375301776 77.4903676214878 26.275 17.924165327791748 0.03842586832178983 19.804455686082076 r
2458221.7005671 1424.6326457554294 53.6411453192671 25.88 17.995742769821042 0.04087944470923363 19.808829883859843 r
2458224.6481481 233.77585577839963 55.5178875643606 23.9047 17.982700861289494 0.25783573897281675 17.79619265662883 r
2458224.6731597 2097.328399475273 126.046190367928 26.275 17.97083390605706 0.06524888945226572 19.276250679027434 r
2458227.6596528 2254.226985057362 35.052935416849 26.275 17.892505889098068 0.016882493304508354 20.665764007443254 r
2458227.6740162 1770.3335531726066 25.5936353733603 26.2801 18.159962248425042 0.01569591779755872 21.01234504325255 g
2458233.7268171 1709.099678257034 58.4848574763739 26.2492 18.16728151895211 0.037152315087236085 20.08416639941296 g
2458236.6544097 1860.9583600291453 59.3893561788001 26.2903 18.115958360848374 0.034648289498704014 20.10860344602591 g
2458236.7063889 1604.0981602176798 65.0645808600305 26.2104 18.197322648208655 0.044037588965346756 19.92961339804349 g
2458243.6548958 2281.48432052012 33.3331641754743 26.275 17.87945627891468 0.01586239976309024 20.720383635797443 r
2458249.6532639 816.0927995058423 72.9350132626029 25.1024 17.823051134911314 0.09703007298576354 18.697634823500916 r
2458249.6857639 1658.8116984263631 26.3673896739935 26.1974 18.147907276313056 0.017257579625349826 20.897307145364024 g
2458262.665544 2277.6482769466247 35.5728151492514 26.275 17.881283351185374 0.01695670301619942 20.649779400175866 r
2458263.6798032 6923.724566134775 106.502151739435 27.435 17.83415054298925 0.01670046014092898 20.61917903359341 r
2458370.0220602 2000.3118739155093 107.772257300948 26.2091 17.956355717638544 0.05849504833593841 19.3804075409232 r
2458373.0155903 1959.606155952577 61.268436039958 26.2364 18.00597801227682 0.033945158217900694 20.02088300286757 r
2458376.0138194 2042.6756544955251 42.988970632756 26.2477 17.97220146795822 0.022849014386236443 20.416882373917222 r
2458378.9933796 1356.1397209823022 32.7185654043564 26.1138 18.28303890868414 0.026193869193492432 20.57938935638596 g
2458379.0093403 2072.4111956760266 38.2543656616408 26.2552 17.96401017553189 0.02004079348996921 20.55107247706529 r
2458424.998287 1486.5279512495351 25.1398061533027 26.2868 18.356367300810728 0.018361099444983802 21.038470177590547 g
2458425.0414699 1948.7934716328803 32.2881824434777 26.3046 18.080185459777535 0.01798819638363791 20.784565992828323 r
2458427.9150116 897.1850659067236 38.9684827010916 25.8658 18.483594910193364 0.04715647114100954 20.141591248694898 g
2458427.915463 928.4492227352939 34.9525328579974 25.8034 18.38400460754039 0.04087241821596845 20.197278357525487 g
2458427.9831019 1971.6034567496795 33.1443803530034 26.2851 18.048051072704833 0.01825156758883921 20.736650228844184 r
2458428.0073611 1412.253085839384 27.4835282505145 26.2941 18.419318669091847 0.02112855473340929 20.94899377578132 g
2458430.8830093 1265.1194712103288 25.0198264907189 26.2112 18.455871150178098 0.02147151019261914 20.968064255181382 g
2458430.8834606 1343.6888052722225 21.0049760353547 26.1994 18.3786532526885 0.016972011965943588 21.14616951319418 g
2458430.9634838 1961.6053211422068 22.8255520419197 26.2989 18.067370922681466 0.01263337817491354 21.15542176451374 r
2458431.0064931 1536.545690992994 17.8418809693064 26.3108 18.344436302396172 0.012606803873080713 21.43477339495535 g
2458432.8912384 1930.8598483237117 37.3030431308184 26.2649 18.050523120974365 0.02097506660687455 20.58811433316284 r
2458432.8917014 1822.8066342837678 31.0147445051897 26.1931 18.041248498573232 0.01847300063317765 20.71675446950255 r
2458434.9767477 2007.6535412384892 47.7048950278686 26.2961 18.03937807706256 0.02579787969781208 20.352267627800796 r
2458435.0199306 1534.929528145895 34.719443660435 26.3121 18.346878897763304 0.024558065559965814 20.713243095446266 g
2458436.8702778 168.51612327378567 69.4754397963685 23.2993 17.732696351019523 0.44760989940629076 16.947296727541413 r
2458436.8816782 282.33072139094963 79.0780826359377 24.6823 18.555404655459505 0.3040939855742873 18.18973466250298 r
2458437.9700579 1540.0218720595851 26.0572419247481 26.3046 18.335782777702136 0.01837009465317804 21.01735387632223 g
2458438.9584954 1468.814562029778 24.4270814419663 26.3104 18.39298257616552 0.018055704924993216 21.093296038198698 g
2458439.8534838 1509.03658143971 29.0575246610244 25.9911 18.044350580274674 0.020905891157638985 20.585528451509425 r
2458439.8539352 1623.5266320656137 32.3776834983279 26.0518 18.02565145720956 0.021651909047780832 20.528760555686205 r
2458439.9491435 1326.3028746679256 19.0087432728199 26.1515 18.34489322267697 0.015560391947780234 21.206691476023316 g
2458439.9496065 1304.0860210372396 18.8463687769663 26.155 18.366734401054646 0.015690301292301034 21.219505776816362 g
2458440.9421875 175.6367937981181 21.0582599541617 23.9496 18.338061248557224 0.13017177288326431 18.89361878280628 g
2458441.0059491 1959.9454441993244 23.70685990083 26.2872 18.056590043053887 0.013132272569375431 21.10258990620253 r
2458441.8825116 1860.1175300995496 35.1357296252371 26.2046 18.030749035878443 0.020507769555872298 20.592802547947453 r
2458441.882963 1812.9492849650176 34.585540919344 26.1456 17.999635861476484 0.02071184345173579 20.550938558029582 r
2458442.8487037 1182.3238205668365 58.6612351548909 25.7839 18.10205890122393 0.053867224782066174 19.615596981343963 r
