jd flux fluxerr zpdiff mag mag_error limitingmag filter
2458202.8307986 1372.1960422425736 37.0473733943112 26.3208 18.477259594054935 0.02931238107090624 20.651481432784102 g
2458205.786875 1424.0285777393258 66.3125342763769 26.3659 18.48210323772059 0.050557635983792364 20.064485924838593 g
2458205.811088 1406.5577402003628 65.3810010062655 26.3637 18.493306087585033 0.05046657578549946 20.07764607541626 g
2458206.7804282 1407.7813355336768 65.6246128876079 26.3693 18.49796199250529 0.05061058874250964 20.07920810274479 g
2458206.7827662 1273.4361435193055 49.237405876706 26.3183 18.55585706964945 0.041978588272674776 20.340137080131875 g
2458208.7728819 475.54245327670156 207.176749735999 24.8077 18.114726765161272 0.47300045587621636 17.269422450617014 g
2458208.8156019 638.9233033193901 190.548796348618 25.3415 18.32787817911222 0.3237928983352143 17.89405946470495 g
2458214.8812731 549.1066558712258 62.5373578922441 24.2356 17.386458230142757 0.12364958380605079 17.997826166618353 i
2458215.7349421 1777.982379108116 43.7044095881932 25.8692 17.744381368670464 0.026687484672206652 20.020461845063082 r
2458215.7695602 688.1622786055087 50.8788551790421 25.5185 18.424272841938336 0.08027056231536348 19.504731662345733 g
2458215.7704745 633.2896315033079 51.2110741631695 25.5156 18.51159405593739 0.08779531584461558 19.494765275787366 g
2458216.7337153 2592.8608359299833 30.6612029070733 26.275 17.740551980164526 0.012838663585378943 20.811102016186283 r
2458216.7561227 1333.5822524627604 32.4013487889697 26.2814 18.468850482014275 0.02637868366590814 20.757567266157736 g
2458217.7328241 2547.112392148747 26.3374999441488 26.275 17.75987972807674 0.011226290515292062 20.97613861992197 r
2458217.7699537 2659.902578826613 44.569137240424 26.275 17.71283567369754 0.018191911495974596 20.404989421184226 r
2458218.7483565 2484.7630767426244 26.3810024669655 26.275 17.786787537818242 0.011526996133543726 20.974346752832393 r
2458218.7492708 2469.4107226715905 25.9317472369104 26.275 17.793516675985234 0.011401140246388193 20.992995539717835 r
2458218.7694213 2524.8693330558363 29.4270601074095 26.275 17.76940273138924 0.01265370795246138 20.855707798309943 r
2458218.7954051 2525.5488455577333 24.8861718790481 26.275 17.769110568917437 0.01069823569502801 21.037679748408713 r
2458218.7968287 2502.3189266631325 25.0695874397515 26.275 17.77914334805438 0.010877131125581084 21.029707021647106 r
2458219.7278472 2621.5640216247953 37.721378495759 26.275 17.72859882961829 0.015622010484971097 20.586106100963697 r
2458219.7311227 2534.354211736191 39.2009683639565 26.275 17.76533171608227 0.016793426568258184 20.54433300082256 r
2458219.7536458 2564.075510049409 36.7117729595874 26.275 17.75267297331703 0.01554477305602283 20.615561592053332 r
2458221.7510301 2135.2338052027335 55.0882098146445 26.0983 17.7746864084476 0.0280106418557198 19.99822834050355 r
2458221.7519444 2069.310445988391 54.2621468220048 26.0719 17.782335874754587 0.028469586532489346 19.98823255879052 r
2458224.7007755 2696.3361262772896 82.1412071878351 26.275 17.698064923620493 0.03307477423705344 19.741172286231986 r
2458224.7016898 1488.5212328267978 36.5678467165059 25.6765 17.74461241508304 0.02667191458513114 20.021326519588577 r
2458224.7279861 1917.039478132051 36.7106160961592 25.9961 17.789522358704208 0.020790764274941347 20.336695806371992 r
2458224.7436111 1989.492834144048 34.6615154504377 26.0307 17.783844051946538 0.01891537716481943 20.43365612225626 r
2458224.7469907 2073.4545276634267 36.9531343240343 26.0908 17.799063711458132 0.01934935992100837 20.42424678748153 r
2458226.7626273 2559.9495265707383 31.3765271522525 26.275 17.75442149350544 0.013307096556248928 20.78606280690888 r
2458227.756956 2601.985925765398 29.8501810495776 26.3279 17.789637642206024 0.012455233229592967 20.8931075651871 r
2458227.7587847 2627.8244481468428 36.7681404806562 26.3164 17.767409127982038 0.015190957732355246 20.65529582334087 r
2458230.7977546 372.80109167541855 41.6191306921219 24.9572 18.528507061423387 0.121206432066401 19.16154247724348 g
2458230.8065972 802.5370476032776 35.9703518150786 25.802 18.54083727519466 0.04866194162906249 20.164713275305914 g
2458231.6815046 2481.1265653053933 29.146670044983 26.275 17.788377703173012 0.012754101346677182 20.866102627760064 r
2458231.779537 2635.508702323105 43.6466031537811 26.324 17.77183886356786 0.01798025443903491 20.476698864415262 r
2458232.664456 718.2816935469089 61.9618491108193 25.5642 18.42346300512959 0.09365682041459851 19.336464064624636 g
2458232.8076157 2485.8172970014116 34.0101766408318 25.8055 17.316826985917317 0.014854208643367615 20.229052770255866 i
2458233.6952315 2496.089744630069 42.1694629959561 26.275 17.78184951011732 0.018342043219080985 20.465079812765666 r
2458233.6961458 2384.4830072124787 38.6243957434779 26.275 17.831514420441763 0.017586414468818742 20.560420743665162 r
2458233.7365625 1297.0107465243495 54.9809340083847 26.3209 18.5385410637665 0.046023365814712336 20.222944705900513 g
2458233.7384606 1360.2981900440286 48.5726568799972 26.3375 18.503414699486978 0.03876748051315579 20.374095340073637 g
2458234.7025463 1030.8359139485713 77.3966850990797 26.1206 18.587626147989134 0.08151596182771635 19.65136908855115 g
2458234.7231713 1351.2244694382773 59.5632433690553 26.3314 18.504581246725767 0.047858675437299214 20.146529143771033 g
2458235.6831829 1282.6005080247069 60.7537569553169 26.3658 18.595571480998057 0.051427044908917946 20.159442140500015 g
2458235.7153241 1350.637681171136 66.0782094126686 26.3505 18.524152845379337 0.053116474506418106 20.052929324260404 g
2458236.6789468 1266.1662310321303 73.5646817016716 26.2971 18.540873183504488 0.06307953329192689 19.88300158862501 g
2458236.7271181 1216.732453484999 83.2698670794588 26.2953 18.58231227001459 0.07430236156619706 19.74665531063249 g
2458236.7280324 1282.346779971061 92.6383135916867 26.3143 18.54428628598543 0.07843230757655428 19.64989838800323 g
2458237.683831 1416.2971706431003 67.1473978824253 26.3211 18.443214031111122 0.05147361118277632 20.00610202063175 g
2458237.7216667 1257.0835352252354 98.3322882628366 26.3386 18.590189654468592 0.08492622994050535 19.609434625100864 g
