jd flux fluxerr zpdiff mag mag_error limitingmag filter
2458206.6897569 3813.83500574552 61.0134370966135 26.2914 17.33799524836415 0.017368944528538773 20.080411261704086 g
2458206.7548264 3950.6625686371376 68.9602115918439 26.2971 17.305425156014692 0.01895127726666186 19.95317852572949 g
2458210.697037 2902.3364113464554 40.2521311598623 26.0001 17.343230624194593 0.01505743394508438 20.24070279128433 g
2458210.7127199 2202.746688317432 51.5745013057117 25.6762 17.318788607544413 0.025420279310637638 19.647687395909784 g
2458214.6797454 6931.558773843154 743.630791143044 26.275 16.672922724886604 0.11647595819148886 17.349181578951118 r
2458217.6806597 7364.330830965392 55.6228449475395 26.275 16.607166774335248 0.008200300087771468 20.164441994154778 r
2458217.6955556 7201.94992405983 45.6945039215416 26.275 16.631374756627363 0.006888484845178102 20.377915072141153 r
2458221.707662 7226.711878335634 74.3803149969406 26.275 16.627648149542093 0.011174474553810057 19.848929956053915 r
2458224.6741319 7181.473092911581 94.9980980477686 26.275 16.63446615593197 0.014361877252212414 19.58328771319119 r
2458227.6610648 7124.854132466408 32.013662143843 26.2286 16.596660056408595 0.004878308010712698 20.717836595904338 r
2458227.6730903 3776.1496611823545 28.8973001869407 26.249 17.30637700379932 0.008308409789864642 20.84943181554582 g
2458233.7277431 3788.2241793052267 57.8870085587319 26.2238 17.27771082063813 0.01659033948823529 20.069922221651815 g
2458236.6524884 3633.986904509563 53.6436258634012 26.2312 17.3302416051384 0.016026718348275057 20.159979676984356 g
2458236.7073148 3573.057595830466 65.9502560969077 26.1747 17.2920999578498 0.020039473510857466 19.879233773333528 g
2458243.6530556 6797.198849521222 36.5463381249088 26.275 16.694175061921364 0.0058374574851533636 20.62046531922327 r
2458249.652338 1388.5250894771114 79.343938048295 24.5508 16.694415671269688 0.062039724159016645 18.05459060953429 r
2458249.6730324 760.5477173972689 41.6451648785841 24.5446 17.341783831896592 0.059449465792113264 18.748263524529573 g
2458374.0057407 2752.0473497198736 40.7642025791473 25.9389 17.339760245545207 0.01608173447476663 20.165777611247922 g
2458377.0244444 6340.009719283915 97.7157157948423 26.1659 16.6606751908524 0.0167334053630509 19.443563944906828 r
2458380.0262037 6781.949593345356 94.7084615266663 26.1968 16.618413606069453 0.015161566045904622 19.50840303451934 r
2458384.0267824 6524.923085732437 58.4303750019698 26.1689 16.63246150830327 0.009722391713452294 20.004878305184576 r
2458387.9828009 6078.143752712927 80.0715008330753 26.1014 16.641972581851235 0.014302660810822019 19.59528006702984 r
2458388.0303588 3485.99814524767 100.563153342747 26.1984 17.342582120739273 0.031319986711141355 19.44487778167455 g
2458390.9964931 3368.685906271002 56.8126603526658 26.0869 17.26824870105154 0.018310257192594184 19.953362173270495 g
2458391.0019676 6651.076866577633 45.6030184019222 26.1583 16.601070082475367 0.007444087336859082 20.263391016714024 r
2458425.0193171 3635.211410905256 32.8390719234095 26.2495 17.34817581763842 0.00980778732160921 20.71109780198157 g
2458425.0419213 6952.973135451949 44.0521251763936 26.251 16.64557362154082 0.006878696547833235 20.393657827600926 r
2458427.9159259 1824.7395266276583 41.8272209966867 25.4898 17.336797800925268 0.0248867376266186 19.688727461696942 g
2458427.9628125 6232.9529178407165 44.3582074813145 26.1299 16.643165384117346 0.007726627570796273 20.265040019266902 r
2458428.0069097 3570.0244012033213 31.0680135486694 26.2507 17.369022038660876 0.009448266599640346 20.77249127446724 g
2458430.8908333 3376.987010268706 23.3376335378459 26.1455 17.324176524736217 0.00750304003390975 20.977932949171112 g
2458430.9085417 3368.170858234081 27.4943877015249 26.1468 17.32831471506119 0.008862571996480061 20.80126485813048 g
2458431.0060417 3860.3012985419027 19.1139383473832 26.277 17.31044699273287 0.00537574693239419 21.326199537049163 g
2458434.9990972 7379.936917258025 55.5353835426492 26.2282 16.558068376134752 0.008170092317625994 20.119350550231903 r
2458435.0203935 3915.423029625309 34.9306344953451 26.2791 17.297153272708005 0.009685847374510994 20.673658803098725 g
2458436.8872106 699.1789809087961 78.3283039729689 23.6228 16.511329090424034 0.12162985722613628 17.140578181776856 r
2458437.9833102 3836.9298613818382 31.9498638085503 26.271 17.311040348950552 0.009040552835242728 20.7624024610398 g
2458439.864294 2912.127072923843 38.4769424408841 25.0648 16.40427419542228 0.014344984048421138 19.354373605031547 r
2458439.8738657 5371.672651802145 28.5892400159814 25.9512 16.62592615244672 0.005778337567710424 20.563268462364533 r
