jd flux fluxerr zpdiff mag mag_error limitingmag filter
2458202.8092361 1444.3170637669239 30.4419415620322 26.2889 18.38974364446255 0.02288335212747436 20.83279411934178 g
2458202.8145602 1414.187042251571 31.9534420408243 26.2747 18.398432865941828 0.024531303842587168 20.765980870574914 g
2458205.8026505 1429.051440156319 58.1881609889555 26.3166 18.42898034514302 0.044207566369198384 20.15708840984585 g
2458205.8209491 1539.8743507561746 57.3452989152726 26.306 18.33728678719377 0.04043173457739459 20.16233043700352 g
2458208.7974884 1102.2518418643199 156.552176569514 25.9527 18.346997916985917 0.15420132826817576 18.718627214011597 g
2458208.8572569 716.0171436827517 155.657395116442 25.7524 18.615091448009395 0.2360240049682376 18.524550593221853 g
2458214.7358681 1775.6038186028452 134.690968776681 26.275 18.151634824136444 0.08235732727580442 19.204228797587163 r
2458214.7457292 1941.2034388284017 205.903613097006 26.275 18.054822370016034 0.1151602909143521 18.74341507047397 r
2458214.7654745 549.8827666755677 33.5370281036261 25.2805 18.429824727231853 0.0662162075604554 19.71926355214469 g
2458214.7664236 543.4013247508592 36.3982524939853 25.1573 18.319498267890246 0.07272264702490008 19.50717365575417 g
2458214.8841782 350.1809451014212 59.5097116979995 23.8269 17.466168723747174 0.18450373983600243 17.64300537346567 i
2458216.7415162 1890.7524309727726 36.3012045645578 26.275 18.083413331379106 0.020844726760691365 20.627772398535168 r
2458217.7774306 1819.5919995894035 34.1973830987873 26.275 18.125064953376658 0.020404628531413328 20.692592805104404 r
2458217.7848958 1828.7881942686076 56.9891656417378 26.275 18.11959147631302 0.033832861198002114 20.138094242489622 r
2458217.8158449 1660.9351873284184 22.6169199023493 26.1642 18.11331828541999 0.01478395432002207 21.030691339199947 r
2458217.8168981 1784.9303125985587 24.9141032403083 26.275 18.145946837457476 0.01515422854163061 21.03646183974152 r
2458218.7550231 1579.821986659129 23.1588642382431 26.1281 18.131579615789757 0.015915450674687727 20.968881847112858 r
2458218.7790394 1859.1937245560616 30.1447327036434 26.275 18.10168838796633 0.017603402950470085 20.829546395945243 r
2458218.8356597 1630.6331832305873 27.9441586024121 26.1228 18.09190931017639 0.018605639396183316 20.759647395265183 r
2458219.7406134 1731.6060718093977 47.0979440204963 26.275 18.178877250048718 0.02952994832688558 20.345070116244404 r
2458219.8024074 1049.8942420632573 39.3748397529123 25.6792 18.126336115186064 0.040717685464895806 19.943727990868513 r
2458219.8129167 1137.3052900848463 40.9476434993918 25.7073 18.067607351907654 0.03908964192365013 19.929302705277742 r
2458221.7606481 1308.3673509908688 52.5100808010011 25.975 18.183175754499366 0.043573538182889726 19.9269682727414 r
2458221.7807407 1741.699401129699 51.5386982336429 26.275 18.172566993722192 0.03212699311716607 20.247241376841856 r
2458222.7632986 1758.5385995420163 38.4288388027001 26.275 18.162120236431115 0.023725490187680495 20.565931834998747 r
2458222.7817477 1810.1852625895117 45.3899498376052 26.275 18.130692437961095 0.02722366022812051 20.38517573219616 r
2458224.7373843 1904.5269960934027 46.3223714799612 26.275 18.07553216741661 0.02640666098141642 20.3630980265294 r
2458224.7596181 1280.5025908524851 32.7650383927927 25.8506 18.082148846206763 0.027780499967104768 20.31464828620552 r
2458224.7680787 1655.9991823875143 30.4548154024248 26.1239 18.076249704935634 0.019966672347471747 20.66733506058353 r
2458224.8265162 964.5428947903441 49.430518700506 25.4553 17.994496134522734 0.0556395308523884 19.47288706974554 r
2458224.840787 564.2284098637004 44.8943828051217 24.9174 18.038762625403752 0.08638670183817065 19.039494975702286 r
2458226.791713 1643.8830780340336 23.9187962833468 26.1671 18.127422687747853 0.015797131482055436 20.972826689315323 r
2458227.7741204 1187.0277557838747 33.1043379471324 25.8387 18.152547814991685 0.030278466138702147 20.29156272201204 r
2458227.7979745 1416.6224137429078 23.0411038895067 26.2652 18.38706472773357 0.017658711488788673 21.111516783875228 g
2458227.7994329 1368.4693075586872 22.6699046999563 26.2623 18.421712346579795 0.017985580967578282 21.12625075306621 g
2458227.882963 1292.414877022908 26.8887747290046 25.5038 17.72529512862498 0.02258805840313988 20.182447457435465 i
2458230.7540625 1689.863764890873 28.1102652493728 26.275 18.205370765893374 0.018060222140578838 20.90541263005104 r
2458230.8369444 1437.4724577424731 21.3279605036288 26.2818 18.38780116931766 0.016108668095912975 21.21200166961377 g
2458230.8378935 1386.75734270266 19.7041800221753 26.295 18.43999881477334 0.015426511611889583 21.311179072487306 g
2458231.7897454 1986.5276113003738 35.8444239755917 26.2919 18.04666348546686 0.019590108332209616 20.65842097513219 r
2458231.8148148 1757.959906330647 35.9613159957958 26.1905 18.077977585183376 0.022209380678157538 20.553486048522082 r
2458232.670706 609.8969940479404 65.3433302914085 25.3356 18.372458767776468 0.11632005796015743 19.050171826716042 g
2458232.8126042 1397.7954632128394 30.9343079517739 26.2706 18.40699093359458 0.02402739100758331 20.7970739775933 g
2458232.8204167 1423.4591629927604 27.1958049359648 25.5119 17.62853746906443 0.020742769576121065 20.178220195404577 i
2458233.6937963 1790.8885761562324 42.5217177011256 26.275 18.14232858460388 0.025778169296940497 20.456047989404052 r
2458233.7046528 1653.1269653222778 43.7497275367812 26.275 18.229234474932042 0.0287328681844007 20.425136607457887 r
2458234.6924884 984.036318080229 93.4593132449781 25.6407 18.158172181638186 0.10311486936582755 18.96671852558527 g
2458234.7516782 874.6064223416654 73.1829447806134 25.8869 18.532368344755216 0.09084626080789622 19.47845028687928 g
2458235.818044 1517.5247634669965 73.7881118301896 26.299 18.346160533087577 0.05279106802251478 19.881608995931444 g
2458236.7128819 1309.6132433025732 89.0383341099329 26.2234 18.430542354561172 0.07381486086638464 19.602032424568385 g
2458236.7330787 1328.3427293323693 87.0957722470433 26.2471 18.438824642513808 0.0711863571355121 19.649682303545 g
2458236.8147338 1298.5800419284656 104.63153377568 26.2407 18.45702819037259 0.08747897900198404 19.44411851012441 g
2458236.8240509 1320.7348343607819 101.900110582185 26.2143 18.412260918744792 0.0837662089170406 19.44643835090035 g
2458237.6714815 1279.5986492322302 92.6969517719689 26.2818 18.514115567592246 0.07865050545279345 19.616711356344005 g
2458237.7349074 1504.8088237016314 92.3696937315655 26.2933 18.34959667722724 0.06664353298890877 19.63205123005169 g
2458238.6715741 1288.9872331301906 95.2701975393521 26.2505 18.474878460318134 0.08024505659167179 19.555682324878397 g
2458243.7309722 1275.8555280491098 20.0455486262067 26.2474 18.482896250799115 0.017057928319478898 21.244930121795168 g
2458243.8409954 1308.9873581276327 25.2700775457177 25.5093 17.716961369341064 0.020959502031119383 20.25535855258082 i
2458244.6737963 1701.997319452173 29.5687898636452 26.275 18.197602820599265 0.01886185999710777 20.850491111924434 r
2458244.7258912 1360.6627992657486 19.8826383515722 26.325 18.490623721823912 0.015864753905192864 21.33138995632278 g
2458245.6923958 1713.5673548734148 67.4531970222762 26.275 18.190247050415387 0.04273770493981851 19.955068643197635 r
2458245.7065162 158.69912643719383 40.609546648797 24.1391 18.637663659555074 0.2778199589778316 18.370104636157883 r
2458246.797581 1362.952177901717 25.0277735563701 26.256 18.41979845512673 0.019936615672006688 21.012519446760457 g
2458247.6589005 1322.9606776111768 23.9395305553392 25.5217 17.71783266041234 0.019646198684350216 20.326485914629828 i
2458247.7067477 1405.2860991124628 16.8957292879714 26.325 18.455588124242553 0.013053351413307143 21.508132633107877 g
