jd flux fluxerr zpdiff mag mag_error limitingmag filter
2458198.8597569 1900.736963932655 23.9855262928667 26.2825 18.085194948520922 0.013700520582440801 21.085201858559138 r
2458202.8134954 1390.9192293200267 34.1752612943785 26.2208 18.362545221891 0.026675942358957587 20.63909537979674 g
2458202.8546759 1449.8435053050846 30.037291454362 26.2245 18.32119718139591 0.022493108540799736 20.782923067751927 g
2458205.819919 1447.8969512472263 60.1525582373262 26.2336 18.331755865888 0.04510516609763472 20.03803973354767 g
2458205.8668403 1170.6123553365192 70.3898642227169 26.0785 18.40746724099079 0.06528401587273049 19.71229967046145 g
2458214.801088 25.03777491329778 49.7102498447505 22.4738 18.97731067286072 2.1555596870463702 16.485260124365976 g
2458214.8475463 652.2181468278429 71.7242396235532 25.1882 18.152217804696217 0.11939411274897609 18.80161010711392 r
2458214.8907523 386.7839896368634 60.180479211645 24.1911 17.722428778020358 0.1689261914419629 17.9950358849974 i
2458217.8204977 1647.2057814043824 27.2138758389748 26.1 18.058130355224073 0.01793710617818764 20.765598991600676 r
2458217.8458449 1409.909301432111 26.0913438747041 25.9575 18.084522060834043 0.020091627181970363 20.668833867459846 r
2458218.8248495 1701.322874681598 27.865224115906 26.18 18.103033146912008 0.017782205995614465 20.819918638227417 r
2458219.8181481 1253.7781617539579 39.2988872802398 25.8661 18.120548247377496 0.034030583098104174 20.1327243546268 r
2458224.8037384 1058.3746227061185 38.5493178527566 25.6517 18.09010145509851 0.039544593657891654 19.93923324560528 r
2458224.8428356 737.1643657361158 46.297331318799 25.2866 18.117689166466825 0.06818698101694941 19.375285094062285 r
2458230.7530671 1701.6804528194627 33.5886227226258 26.2003 18.123104974621604 0.021430091430816808 20.6373944984771 r
2458230.8137616 1440.9271695636746 22.7850122597082 26.2096 18.31299492418978 0.01716789601368679 21.06805182267219 g
2458231.7600694 1774.739349465302 32.0373577746813 26.2261 18.103263553566045 0.019598911438150613 20.714533261140822 r
2458232.8152199 1331.4783799371346 24.9671635540263 25.7023 17.891464702710053 0.020358460098981252 20.461451973570483 i
2458242.7312963 1419.9685274079743 19.5972872264799 26.2136 18.332903203346092 0.014983976286170287 21.23568509445619 g
2458242.8121875 1813.7365902018291 33.8542955449604 26.2228 18.076364463708575 0.020265130489027304 20.651340536066744 r
2458243.8367593 1370.2481424330192 26.4290497733362 25.6977 17.85570194500884 0.020940746752600502 20.395071117049106 i
2458245.8353935 822.740921487209 55.7708539485289 25.3087 18.020542253045114 0.0735959699469734 19.195256753298874 r
2458247.6500694 1340.6002429763091 48.8032494424421 25.6835 17.865251765572086 0.039523853734372144 19.71495314071364 i
2458248.7126852 1437.2003369164079 22.4421940848478 26.2315 18.337706724144187 0.016953440304778074 21.106411704361733 g
2458248.7719676 1750.6840960149316 33.7544485356761 26.2385 18.13048053389898 0.020933076880405372 20.67024744645104 r
2458255.7094213 1461.4339156670953 20.8700730026544 26.2243 18.312352045378066 0.015504387859124634 21.17806506862922 g
2458256.7752315 1823.0389129563903 25.4473048665416 26.2425 18.090510152962295 0.015154991315462461 20.98097050711159 r
2458258.6858333 1448.180384213571 24.0406022866009 26.1672 18.26514334847322 0.018023225688653825 20.967411629661118 g
2458258.7302083 1749.7869924248826 29.2379691299503 26.1566 18.049137040634132 0.01814144419967151 20.74430698108964 r
2458267.7100116 1272.7430823148982 108.6699087263 26.1679 18.40604813696528 0.09269971413991386 19.33020173343638 g
2458267.7326505 1296.5751221216187 49.366032412825 25.6789 17.896905789065077 0.04133713540863137 19.6979044290845 i
2458270.7976273 1731.44143152229 43.6689784321323 26.1934 18.09738048624195 0.027382624107638306 20.345542408170274 r
2458273.7379051 1419.4534928389041 20.6397378664996 26.2275 18.347197080466497 0.015786754208368982 21.19331454599872 g
2458274.8657407 1192.5754881363077 43.5910582445198 25.5549 17.863685303165248 0.03968454190689004 19.708981458266535 i
2458276.7345718 1423.580881431182 18.2180929528523 26.2285 18.34504463291643 0.013894105896552045 21.32981770512513 g
2458279.7143056 1415.975984380333 20.8926347403399 26.2169 18.339260281056916 0.01601943379535052 21.16949195993228 g
2458279.7366088 1772.6980228277 22.7409519801974 26.2255 18.103913099222936 0.013927838383616276 21.08605338631356 r
2458281.6842708 1323.901027926179 21.9320211998343 25.6808 17.876161201576416 0.017985933173539193 20.580678346641264 i
2458282.6895486 1831.397982756648 28.4304812927877 26.2251 18.068143171286245 0.016854323216583526 20.843214459610895 r
2458282.7322917 1406.8060308820513 24.7084753751049 26.2087 18.338114446400283 0.01906872100763728 20.979160118431658 g
2458285.6712384 145.31969353909943 75.0341107092407 23.4761 18.070288816701574 0.5605883966105664 17.04052813984659 r
2458286.6729051 1287.2333249892208 36.7874543224246 25.694 17.919856813448018 0.031027893997532148 20.032325649507076 i
2458288.7145139 1426.4398013865193 30.2116543529453 26.2195 18.333866379290498 0.022994866729819156 20.77163872077289 g
2458288.7347685 1723.499483009375 30.5122432777269 26.2231 18.13207210632359 0.01922086014716136 20.76448964316735 r
2458293.6895833 1371.234437835061 60.6421569615405 26.2331 18.390320720513383 0.048014539305979716 20.028738388708348 g
2458293.7341898 1702.6100339618683 63.9548071742426 26.2147 18.13691202879012 0.040781936417643765 19.95259200450471 r
2458296.6757639 1399.4565748591783 82.6972299935987 26.2233 18.358401432868845 0.0641566049400888 19.682147582226662 g
2458296.7336227 1780.7819461354072 58.60661178873 26.2229 18.096373139842477 0.035731044195001026 20.05560845332203 r
2458299.6737847 1337.7945643690125 41.3476937792436 26.2119 18.39592643243503 0.03355611715861491 20.42334676108184 g
2458302.6911343 1190.0724984561596 21.7508334426749 26.1604 18.4714664521481 0.019843227954050628 21.0692852321839 g
2458305.6781597 1401.3305604836873 30.2232557458712 26.0504 18.18404851678131 0.02341588037012937 20.602121873872335 r
2458305.6929167 965.2628497004841 19.5941554441142 25.9045 18.442886020706634 0.022038944700167217 20.92675861649444 g
2458333.6846991 1075.9574449011757 29.7160859004753 25.9315 18.3520122626826 0.029985158441939403 20.501595976419335 g
2458336.6740856 1282.8325949016548 28.2792965355032 26.0622 18.29177503453812 0.023933623428822826 20.686103484352486 g
2458336.6959606 1681.638930876969 41.8268411727845 26.1301 18.065768117601348 0.027004251999333914 20.329037321076186 r
2458448.0438657 2008.901943686824 116.756962792348 26.1017 17.84430315259805 0.06310065799976838 19.1860680163402 r
2458448.0489699 1841.7066186787413 116.964280551233 26.1385 17.975448877851733 0.06895132922179333 19.22094185462271 r
2458448.0540741 2014.1372181982383 123.16800107127 26.16 17.899777363407964 0.0663924471256736 19.186330256180376 r
2458448.0591782 1888.3474230435143 134.207028396457 26.1531 17.96289525016131 0.07716195068341283 19.086236838290823 r
2458450.0461574 1943.3651418552122 61.5907578709421 26.161 17.939613978693465 0.0344089149178862 19.939786118926886 r
2458450.0511343 1883.8458400505272 54.9679182156699 26.1666 17.978986598808344 0.03167916797541786 20.068901765745416 r
2458450.0561227 2027.9695042605606 61.7749337279077 26.1818 17.914146450061423 0.033072018788982804 19.95734426875084 r
2458450.0611111 2150.544637546731 70.1262934625746 26.1977 17.86632884657496 0.0354031790287184 19.835572777172207 r
2458451.0472569 2058.3664849640363 47.728323427477 26.1794 17.895593245183253 0.02517464267113597 20.235034541678438 r
2458451.0520255 2096.8982160392356 51.7605858618746 26.1821 17.878156624462925 0.02679980727742951 20.149677030830436 r
2458451.0568056 1919.9740005820229 56.5559134208053 26.1867 17.978461630689317 0.03198103473398839 20.05807993675083 r
2458451.0615856 1860.9428467021585 77.0131710466965 26.1928 18.018467411803694 0.04493055762221406 19.728962474159363 r
2458467.9919907 85.79766061909342 27.6225004505059 23.4523 18.618611383935047 0.3495404014831651 18.101717515835738 g
2458469.0395833 2093.0945217741382 36.5741093466037 26.2095 17.907527897430846 0.018971197958107554 20.55414059171306 r
2458469.0447222 1913.0573555403205 28.8360356850868 26.2232 18.018880022891427 0.016365052439557604 20.825936103413206 g
2458472.0188657 1822.6597371353264 30.0906616263579 26.1519 18.000135999889263 0.017924042903961497 20.708395646636166 g
2458472.9846065 1551.395365238965 69.9326209004381 26.0534 18.076593775838823 0.04894035924872743 19.69427547710832 g
2458472.9855208 1566.432552735179 65.7575046598378 26.0672 18.079920750448423 0.045576761466381246 19.77491167814265 g
2458474.9839931 2166.124547309452 83.0840416412276 26.185 17.84579144008218 0.04164319365750406 19.638780952344447 r
2458475.990787 2076.106776812206 66.4019140954708 26.1863 17.89317578482892 0.034724879730968564 19.883423492956794 r
2458477.0185532 2085.427597827663 47.5196223117687 26.2128 17.914812208635226 0.024739316770157557 20.273192538676113 r
2458477.0239583 2193.6549605509304 47.2170999353762 26.2214 17.868479203654623 0.023369037666235 20.288726715951057 r
2458481.0223264 1787.2863497617145 62.8184599823586 26.1648 18.034314653768476 0.03815952715799547 19.922156775899705 g
2458488.0185995 1774.3770394142623 27.5581348412662 26.2022 18.079585227412736 0.016862181110638995 20.85415043716288 g
2458488.0455324 2087.796818603775 28.6695777089617 26.2419 17.942679421325767 0.014908807332811136 20.850921749121817 r
2458492.003125 1546.0026013743227 30.706733226134 26.0512 18.07817444913356 0.02156419415722685 20.585690949300105 g
2458495.0232639 1757.4962969882974 20.9139254102415 26.1824 18.070163953393738 0.012919656705285446 21.133886102236705 g
2458502.9652894 1569.4830815385444 72.7229201553455 26.1209 18.13150840369139 0.050306547003526644 19.719296715512883 g
2458503.0404398 1832.6581957161204 45.4612412806051 26.1151 17.957396316531234 0.026932065004661908 20.223571765177365 r
2458505.9808102 1731.9984344647746 99.9391215582575 26.2276 18.131231262181807 0.0626466526277954 19.48083616972148 g
2458506.0455787 2002.8151043846756 65.7756039240286 26.2522 17.998097854988565 0.035656098770164776 19.959612878445036 r
2458508.0447338 1843.207387354518 60.9911656789662 26.26 18.096064494132776 0.03592547915766213 20.049407654695653 g
2458511.9918981 1497.2897716414866 38.5271746089078 26.1122 18.17393535544403 0.02793644507905367 20.40035708619353 g
2458522.9933796 1746.7095090543955 24.7625552873523 26.2053 18.09974828863698 0.01539162988242549 20.973386343667727 g
2458522.9949306 1772.3844701697603 30.2328150935372 26.2019 18.080505159901 0.018519552557301214 20.753278519440023 g
2458526.976875 1189.7069874438162 32.609355790209 25.823 18.134399969219587 0.029758569088930285 20.292219441050378 g
2458539.8566435 1447.772411057049 50.2289611280638 25.8444 17.942649259004813 0.037667234629041424 19.84458949951536 r
2458539.8983681 1087.9330782587092 46.8989706674334 25.6894 18.097894546146158 0.046802706408311044 19.7640667117091 g
2458539.9195255 108.97751398087784 90.450437225191 22.9768 17.883457758851414 0.9011220398422859 16.338348312855587 i
2458543.8740509 1940.1006925931758 30.0906427795479 26.1936 17.974039323237903 0.016839028505313606 20.750096326670075 r
2458543.982963 1467.251495002111 24.1861421557972 26.0422 18.125938598264316 0.01789665550043365 20.83585848630651 g
2458547.9191551 1417.3712866952765 23.7786712201489 25.6666 17.787890923708563 0.01821435469030071 20.478706033962172 i
2458547.9804282 2056.101648221471 28.2352131603453 26.2277 17.945088546941843 0.014909268204080992 20.853297312234986 r
2458562.8967361 709.666739704734 217.688099727822 24.9515 17.82386387146065 0.3330351510806753 17.359488268461238 r
2458568.7529745 1521.5887416846872 25.1725818037669 25.9933 18.03755678440635 0.017961405283592184 20.74355558699677 g
2458568.8157639 1199.9996522205727 30.4495896333938 25.6224 17.92444719954491 0.027549274205038714 20.166021379016332 r
2458568.8571875 161.45447985838902 52.9994178357484 22.6772 17.157074750404817 0.35639437192911216 16.619097241200933 i
2458572.8350463 1141.733624561553 23.6898385914957 25.697 18.053088021480107 0.022527196541718624 20.51316973489014 g
