jd flux fluxerr zpdiff mag mag_error limitingmag filter
2458204.8406597 1456.7208894814676 61.7785469366023 26.3066 18.39815912978903 0.046043802140397896 20.08208076602352 g
2458204.8672685 1477.5132290796962 55.9793021851665 26.3121 18.38827155481289 0.041134473239398 20.194606288088814 g
2458207.850544 1379.7119449904435 86.8623630201927 26.2917 18.442228939358195 0.06835228749989292 19.69719588961909 g
2458207.8611343 1537.790919149415 96.9490714418472 26.2738 18.306556769971465 0.06844728080630998 19.560015854530135 g
2458211.8442245 1552.6346763205477 117.687561492767 26.297 18.319326796483782 0.0822945587016619 19.372748578451414 g
2458211.8915972 1457.8612297950838 122.638713545563 26.308 18.39870953367079 0.09133163608111938 19.339006023629967 g
2458214.8662731 215.4197962822175 72.8159979681784 23.006 17.172785972870372 0.36698729809623 16.603007974050005 i
2458218.8243866 1689.5752439298353 25.5588322289939 26.1613 18.091856156221873 0.016423787132720944 20.89502247108663 r
2458219.8153935 1243.5305890399322 38.4870001425899 25.7135 17.976858818128544 0.03360217788214621 20.002789835500664 r
2458219.8458218 1726.9168715376575 28.0532501986349 26.2146 18.121421418822226 0.017636873113376004 20.847217026466524 r
2458219.8597454 1851.4848027398825 27.645933991743 26.2188 18.04999962088255 0.016211416097187514 20.86729682228224 r
2458223.830787 1579.796162309086 20.8280310841341 26.26 18.263497363777322 0.014313867755566922 21.21595444627706 g
2458229.7919676 1601.7025043401454 29.5618468759002 26.3233 18.311845363453124 0.020038238727976002 20.899046081382373 g
2458231.7715394 1804.8962399726604 29.6553157493974 26.1988 18.057669399496312 0.017838574648262585 20.771118608002972 r
2458232.8147685 1337.6639287873652 24.7114117676776 25.5799 17.764032459705568 0.020056741591656043 20.35023109556594 i
2458243.7513889 1594.9907069180083 23.410274468182 26.3143 18.307404607451147 0.015935224499970552 21.143358725388474 g
2458243.792963 1728.8124141339274 33.6292477742513 26.2126 18.118230318906285 0.021119280501462313 20.648382106566604 r
2458244.8784722 1119.532413534967 34.7150225632597 25.3606 17.738008319715306 0.03366593011623764 19.761881359496833 i
2458246.7315741 1634.484921049258 35.2435470531074 26.1973 18.16384770412889 0.023410383627764014 20.582175961428142 r
2458246.7950926 1446.3049681979353 23.5891778159382 26.2769 18.376250304877683 0.017707724800720675 21.097692978851835 g
2458249.7102083 1350.0145088212148 21.6584228409405 26.2291 18.403253910119645 0.017417997750958383 21.142607918503064 g
