jd flux fluxerr zpdiff mag mag_error limitingmag filter
2458206.689294 977.5142690956473 68.099615961349 26.3197 18.844392235867907 0.07563649492056898 19.989413332224437 g
2458206.7552778 1145.0500836961598 79.2711620507731 26.3031 18.656038792923376 0.07516238971898256 19.807886927549944 g
2458210.6837384 576.2945185452714 54.0602435594756 25.579 18.677388778032828 0.1018458523268289 19.499379994137485 g
2458210.6975 799.4353148201903 40.0435591443483 26.0162 18.7592416770525 0.05438250144453207 20.26244331064477 g
2458214.679294 1260.9147453390806 861.215064253712 26.275 18.523285691339854 0.7415419628619004 17.18979594456906 r
2458217.6578819 1542.833880130823 55.8819111345989 26.275 18.304202081838838 0.03932438333133409 20.159396863261392 r
2458217.6801968 1487.917662917836 68.7981120501365 26.275 18.34355275183054 0.050200432533582924 19.933633687810193 r
2458223.6645718 1521.2283300324116 31.9251368357917 26.275 18.319513988156753 0.02278495632662886 20.767243070687655 r
2458223.6817593 1461.3752690250085 29.5876392207452 26.275 18.363095616325456 0.021981554350098517 20.84979920301616 r
2458227.6615278 1539.350864961289 37.8942886596661 26.275 18.30665594985375 0.026726739260210252 20.581140591581608 r
2458227.6878819 1004.5816730749606 26.6332920913749 26.2618 18.756836872715255 0.028783886864167465 20.950812858947803 g
2458233.7281944 965.7746057010379 73.1830112211915 26.222 18.759810545560615 0.0822705368455747 19.813549301172724 g
2458236.6520255 1003.2810885304723 61.248738085211 26.2665 18.762943434908443 0.06628028346125242 20.05133212588588 g
2458236.7077662 938.9535825781139 79.908515950941 26.1971 18.765489691668215 0.0923971934051587 19.6931923264375 g
2458243.6525926 1553.2296403456548 47.1588932826479 26.275 18.296910825968247 0.032963838126071766 20.343665977686655 r
2458249.6518866 418.8940117789173 73.7679407580569 24.6258 18.07053961992508 0.1911935979722049 18.20870583856251 r
2458249.6725694 206.22961544540928 45.3980011763352 24.2998 18.513922420121922 0.23899869943846277 18.40978315972633 g
2458257.6705671 1138.8075647237258 50.4011264810817 25.456 17.814874141600598 0.04805070208133503 19.452474381228157 i
2458263.6786227 2412.078852548032 95.6401155916879 27.3094 18.853421247272152 0.04304854022007055 20.610374758317185 r
2458376.0160995 1483.0097922986572 50.7098193565898 26.1174 18.189539953300198 0.03712426658364379 20.107244830497624 r
2458379.0235301 1555.9894444588124 72.5437591643714 26.1281 18.14808338377206 0.05061779795823214 19.729174847537656 r
2458384.026331 1445.42179584945 49.2663991121981 26.118 18.21801350185433 0.037005481493157626 20.139197937179386 r
2458387.982338 1223.1928726366177 85.3022590853198 25.8695 18.150762645394682 0.07571386717558548 19.294673656982734 r
2458388.0284954 975.071364631702 104.235402378079 26.2224 18.749808993749713 0.11606163452931022 19.429936871065777 g
2458390.9974074 920.8618605124145 48.8199593645603 26.145 18.73451378475975 0.05755893707293848 20.17608145517244 g
2458391.0323843 1465.9789036686673 73.724955913525 26.1595 18.244180698531583 0.05460050239127113 19.74303868535498 r
2458425.9613194 1585.434058998688 34.8634365674721 26.1768 18.17642954083859 0.023874366055444875 20.573449503486582 r
2458426.0415972 1316.4562386037512 35.735174222878 26.3112 18.512683932638218 0.02947130145011726 20.681035229667653 g
2458429.0205671 1616.6207737242921 26.0938404441472 26.179 18.157479611944837 0.01752425988251107 20.890229982961994 r
2458430.9076273 1127.0870478431937 24.2540164390281 26.2215 18.591606352435626 0.023363400101388033 21.01211582017813 g
2458430.9080903 1108.1670414006724 18.7882365056358 26.1893 18.5777869264317 0.018407322733932027 21.257159943088162 g
2458431.9759838 1145.6867349297822 33.6817467321287 26.2374 18.589735288141576 0.03191821229326999 20.67148847445626 g
2458432.0227315 1609.6014387065857 38.9448416192131 26.165 18.14820412109873 0.02626887223706522 20.441450134181476 r
2458432.0538426 1750.8288414291858 61.5579513259265 26.2577 18.149590769651567 0.03817247361541226 20.03706459440992 r
2458434.9995602 1690.5761089162484 53.8046710564172 26.1682 18.098113181828037 0.03455374239459697 20.09372503763492 r
2458435.0208449 1170.75784805812 34.4447583837277 26.2989 18.627732305716272 0.03194227930160044 20.708667132420217 g
2458436.8876736 228.2066934290935 79.1619320303223 23.1653 17.269479054081437 0.3766152005178823 16.671584026465144 r
2458437.9823611 1189.2605202686318 27.7206675033307 26.3024 18.61420749524123 0.025306758439747033 20.947965779873037 g
2458439.863831 1110.1012345899583 27.4338450285793 25.6444 18.03099353587337 0.026830819225717107 20.301258286620786 r
2458439.8691088 1186.26042348305 27.022549351655 25.8613 18.175849896177102 0.02473182216173887 20.53455919247745 r
2458439.9509722 880.846554436875 16.5538027461203 26.0028 18.640549350324797 0.02040362597882057 21.20813054947749 g
2458439.9514352 908.9968954746523 16.9721778258836 26.0209 18.624494000087353 0.02027145918462123 21.199131055569836 g
2458440.9572569 38.34076000485996 23.1001675704689 22.4866 18.52744820656315 0.6541302761885535 17.330137163383487 g
