jd flux fluxerr zpdiff mag mag_error limitingmag filter
2458204.7140278 2230.193161883044 80.5797329956135 26.2607 17.889843800331498 0.03922773040854903 19.747710429156378 g
2458204.8159606 2285.205194256683 84.4191573516429 26.2714 17.87408699365452 0.04010750516716346 19.70787245707424 g
2458208.7600926 971.7235107207372 212.159961402314 24.9596 17.490743223614942 0.23704486672720854 17.395516419873275 g
2458208.7775347 1162.0255754261798 232.852883719028 25.5304 17.867360783254433 0.21755835775045637 17.86527093732632 g
2458215.744456 622.3722714045806 57.5611239331765 24.3091 17.323974411849584 0.10041275154050795 18.16135182580695 r
2458215.7575926 1078.0402848423505 61.5962305580797 25.4395 17.85791252468711 0.062033885428211755 19.21818964941103 g
2458218.715787 3029.4435985769405 27.1421739361842 26.0987 17.39529282169551 0.009727283999067582 20.76716341597611 r
2458218.7415856 3087.2394883524653 21.7862492034161 26.1178 17.393874198536665 0.007661644277804858 21.024918821584006 r
2458221.7197454 2021.9470638001362 58.9089731270138 25.7008 17.43637554693727 0.0316316254114954 19.527921358188177 r
2458221.7393634 2555.5576845320193 51.93464644263 25.9297 17.410985779052037 0.02206385165322099 19.893632040648285 r
2458224.6950926 1619.923052304511 30.8877175296413 25.4213 17.397564035793458 0.02070147398311592 19.949410446708857 r
2458224.7232639 3007.0694653246446 24.0544277350186 26.0787 17.383341348223333 0.008684831691804703 20.878287415878496 r
2458227.7444097 3071.004715641949 26.8902987571142 26.1321 17.413898791702728 0.00950659476747047 20.810685920767433 r
2458231.6675694 3309.912943910486 33.5262712255563 26.1503 17.35075857181183 0.010997108771864689 20.58941185388909 r
2458236.6688657 2280.1907444743238 92.2059543361812 26.205 17.81007205376237 0.04390334662369261 19.545677571237107 g
2458236.6894097 2135.4637650765467 89.4223936604678 26.222 17.898269483398813 0.045463610474181855 19.595959261931934 g
2458245.651794 2907.9514396729433 33.9615589173308 25.9895 17.330532125256507 0.012679738737553693 20.41460594618013 r
2458248.6595718 3480.6952264030183 25.091011207438 26.1791 17.324935005913158 0.007826399353001341 20.93287957810531 r
2458248.6714931 2451.015786769779 20.1363752083776 26.2741 17.800734728719128 0.008919592718147205 21.266721751704477 g
2458258.6601505 2327.8475028748 37.6973083323215 26.2195 17.802113684227677 0.017581893833619695 20.531299134743122 g
2458258.7072106 3097.9302936334607 29.1053387699785 26.069 17.341320896260402 0.010200250911876861 20.661643342667737 r
2458267.6663657 2375.3621227128247 57.4849501931214 26.1981 17.758775432563432 0.026274482458023638 20.051789590635405 g
2458270.7409144 1893.3825434925973 66.8726394936238 25.9957 17.802604078213218 0.038345988214457845 19.68515382581054 g
2458274.7128819 2362.7661410815595 21.9548624983569 26.1505 17.71694815324438 0.010088342557488549 21.049248185421366 g
2458278.6925694 2099.943955786286 30.8343896285424 26.0998 17.794280739376568 0.015941804888394587 20.62978659935562 g
2458281.6911921 3240.971524470349 31.8823487374897 26.0717 17.2950119617744 0.010680336363013687 20.565399219413948 r
2458290.6925 1831.8849580514639 56.6565016016365 25.9818 17.824554508510225 0.03357850803814978 19.851250603145225 g
2458427.9975579 2911.8621007563775 58.5697502407536 26.0513 17.39087299020609 0.021837977086850518 19.884691558989907 r
2458428.0252662 1936.3785376039873 38.0267299601 26.14 17.922524349073704 0.021321048501583825 20.442352537538994 g
2458430.9817361 2926.4835961278663 37.192739652894 26.0597 17.39383476475449 0.0137981834221027 20.386129563946064 r
2458431.0386921 1909.7692869567534 22.7440008715974 26.2092 18.006747738233564 0.012929918768168186 21.06960783084632 g
2458434.9836458 2933.5226094186582 79.2610097713414 26.0718 17.40332640053669 0.02933458839978015 19.57672598698789 r
2458435.0223148 2078.8374936120163 50.5077863098308 26.1911 17.896548647265377 0.026378350287161827 20.18527915323312 g
2458437.9870139 1751.5212094873523 42.6427820952635 26.1153 18.006761498409897 0.026432605137780892 20.293261161331888 g
2458440.015463 1697.4337808853522 19.4743769718752 26.0632 17.98871789778365 0.012456056499203703 21.092116057830516 g
2458440.9814815 1720.0429908608419 21.7887857705348 26.0696 17.980751745434173 0.013753193865945356 20.976592416969012 g
2458441.0450347 3092.2133419662305 29.6812530946829 26.1501 17.424426375789203 0.010421317328773478 20.72146940864163 r
2458443.9555208 2852.006388885845 52.1468887849361 26.0896 17.451723764849554 0.01985124485500276 20.049103983084883 r
2458447.9992477 3196.8089513378463 53.4959866364707 26.1566 17.394808293477006 0.01816830269663436 20.08837198490192 r
2458449.9759028 422.96282077777835 116.713929342472 24.2706 17.70484451560906 0.2995920843683273 17.355368263023184 r
2458451.0205556 2035.6230381672874 52.9482002039494 26.2375 17.96575660660593 0.0282399343510985 20.180446983375926 g
2458461.9609606 1102.1321839705377 23.6140894981309 25.6544 18.048815788378622 0.02326201642688449 20.47404697691899 g
2458462.0430208 2287.5931356458414 33.7232256539523 25.8757 17.477253038264546 0.016005165220151447 20.30845221776039 r
2458464.9803704 1825.835718822092 23.6301850803315 26.1746 18.02094575268157 0.014051259747655174 20.993507181159025 g
2458467.9984722 119.8179396861796 21.4149302184027 23.6259 18.42959538133952 0.1940459817537791 18.551683330247236 g
2458468.0409838 2555.480282082206 29.2490894121249 25.9209 17.402218664208693 0.012426523733092327 20.508194113921736 r
2458472.9445139 3131.5021853661538 44.4371011522415 26.1721 17.43271820220899 0.015406459221534111 20.3053106890194 r
2458473.021088 2072.1948081484625 25.3504330494578 26.2877 17.99662354687427 0.013282035575790543 21.030311532710083 g
2458476.0240856 2077.2039109599 59.718008318631 26.2702 17.976502170966207 0.03121303656778515 20.08251170178586 g
2458476.9662616 3185.2748547768515 47.10456200127 26.1804 17.42253271698509 0.01605557614222325 20.250317564435676 r
2458481.9805903 3105.387557807965 43.3883603969973 26.1562 17.425910478481764 0.015169360347496124 20.31534189195346 r
2458482.0233912 3128.9386129228214 45.0971254904087 26.1639 17.42540739313356 0.015648101545590928 20.281102837538175 r
2458483.0465278 1882.4956298773582 38.8505591796367 26.2203 18.033465058299367 0.02240645419404216 20.499381804105077 g
2458486.980787 3028.1614954328275 27.6453486145642 26.1897 17.486752417790328 0.009911807886105576 20.838219811989347 r
2458491.9774653 1285.6974717526857 38.7515083436493 25.8449 18.07205302527328 0.03272349330464658 20.12675346059769 g
2458492.0269907 2647.112675654441 36.7917675348481 26.0248 17.467868930866864 0.015089959101461027 20.362998357840375 r
2458493.9741551 3064.216235021183 26.9522293887425 26.1852 17.46940147687166 0.009549598723784402 20.861288253554882 r
2458494.9554514 3081.243761284418 24.1230505544119 26.1663 17.44448485677736 0.008499942885404017 20.962794421702768 r
2458494.980463 2035.9148019618974 19.7497451109368 26.2648 17.992901000283197 0.010532021402016107 21.278471251611727 g
2458503.0204514 3078.4806800931174 50.0518057245467 26.148 17.427158919015323 0.01765196898149663 20.15202561368953 r
2458505.9377546 1889.069362367492 122.336678006199 26.2518 18.061180238678197 0.07031024585824172 19.28548328100097 g
2458506.0041782 3195.721077843711 133.996814690936 26.169 17.407577832186966 0.0455234791041623 19.103838802550023 r
2458508.9614005 3328.7198847928507 79.33463467179 26.1869 17.38120687408431 0.025875896994715906 19.69081792367049 r
2458509.0415509 2053.2449813065414 112.475488936222 26.2058 17.924698075085225 0.059473973855935613 19.330730264809514 g
2458511.9208333 2004.972455310335 27.7580346799308 26.2446 17.989328973555754 0.01503107844308824 20.888703204108182 g
2458511.9994213 1394.3213483768013 39.5819485502889 25.8865 18.02559280780549 0.030820815869366823 20.145332064268736 g
2458513.9298843 408.7863997195593 21.4557859600779 24.0344 17.5056589039116 0.05698464242655184 18.95811391898976 r
2458514.9036227 244.62476314853114 48.1500711144118 23.2842 17.312948954569762 0.21370090066137604 17.330282656948143 r
2458514.9581713 239.91505443216434 24.6428046009758 24.1075 18.15735624907079 0.1115173577523218 18.880849655610252 g
2458523.9214931 252.27280030529147 30.7369452450507 23.8933 17.88862392992992 0.13228180530032188 18.426723230497572 g
2458526.9203241 1081.0599439259051 38.3734869627664 25.6085 18.02387556022665 0.03853819117946245 19.900996826850808 g
2458538.7470486 494.5562432319193 46.6829400266583 24.2649 17.529360778183747 0.10248312235576228 18.344579490416706 r
2458538.7948148 584.9658355539991 40.9359389923393 24.9785 18.06067374446827 0.07597734134659574 19.200813097343296 g
2458543.7640741 1153.8573782615194 31.3542180832195 25.165 17.509619671325673 0.029502150971414103 19.676835052316576 r
2458543.7785648 449.12430198321533 26.7112120613837 24.7119 18.080983611888627 0.06457090566461507 19.39774100107698 g
2458546.7533333 166.43447767611298 39.4713970181218 23.5427 17.989591756509476 0.25748328315705316 17.804568744837972 g
2458556.7742477 2845.713675844837 29.445683305938 26.1265 17.49102199750228 0.011234151431544099 20.70652089702446 r
2458567.7329167 2799.7325406193677 20.0582612827012 26.1051 17.48730863743122 0.007778333808204067 21.10194177862237 r
2458567.7721759 1660.753276577898 28.1173622599963 26.1619 18.111137205114126 0.01838143006321873 20.79203854836694 g
2458572.7539468 911.4925617961326 27.0871163354394 25.4943 18.094917177599513 0.03226409456094295 20.16496805670497 g
2458572.7752662 1388.4391549155507 33.8029811925042 25.3773 17.520982868580525 0.02643248467228225 19.80748747971139 r
2458575.7310995 708.2430410932138 33.4867401860009 24.6487 17.5232442099668 0.05133344305624628 19.089092807689894 r
2458575.7519676 694.6811696910054 24.5493100159698 25.1767 18.07223618282032 0.03836750878995866 19.954176763335088 g
2458580.7292593 2908.5530901332263 24.4421703291797 26.1419 17.482707511423122 0.009123733864928311 20.92412557359922 r
2458580.7312963 1817.3017814874402 26.0069464858581 26.2464 18.097832369192712 0.015537178297698868 20.961251579084568 g
2458583.7582523 2766.8280384122027 32.1642403269331 26.0951 17.490144579821468 0.012621209283028371 20.57924174304276 r
2458586.6689005 1530.5488256274716 37.2375395276023 26.1634 18.201282028834765 0.0264145749473516 20.488522546093947 g
2458586.7120949 2730.3265783703205 31.9063548170593 26.1011 17.51056350812935 0.012687394137868178 20.59398201293377 r
2458591.6891435 1451.4186852716412 86.3029854168294 26.2111 18.306618225497132 0.06455694157576274 19.623610441134105 g
2458591.8565046 2454.319283466306 129.827298506378 26.01 17.535172350937962 0.057430791070223725 18.979159938581283 r
2458594.8160764 2432.1825049958065 89.4986203786346 26.0615 17.59650959946582 0.0399512174540747 19.434534137366377 r
2458598.684294 2432.7424682166634 21.762906569486 26.0978 17.632559658367757 0.009712490315430547 21.006082745189396 r
2458598.7315509 1356.1879787518285 19.020451355026 26.1739 18.34310027381893 0.015226874415416572 21.228422942846876 g
2458600.7588426 15393.000846849463 109.150509967124 28.7423 18.273991766830356 0.007698609897469165 21.899810566317086 g
2458600.800625 26513.245725303168 109.06993980098 28.6596 17.600942757779258 0.004466342403673021 21.81791230557181 r
2458600.8443403 7403.243748077509 72.115686661261 27.9833 18.309744878637446 0.01057590478882492 21.59080063147279 g
2458601.7277199 1348.1331471523386 22.5554536893192 26.1891 18.364768032450694 0.018164716239060526 21.058546071428413 g
2458601.7557407 2460.209932090848 26.1731039354419 26.1123 17.634869581368985 0.011550290311428575 20.820236914686852 r
2458605.7333912 1507.7475824590417 23.1710559280305 26.1733 18.22747839802387 0.016685031177455796 21.013510425480472 g
2458608.713669 2526.579485309279 25.434216059684 26.0835 17.57716758614481 0.010929372511951153 20.822529098582017 r
2458618.7930324 651.0494765669511 180.19395374101 24.2814 17.24736501481792 0.300494175355498 16.89462445292095 r
2458634.6693403 2563.977918622896 26.4533205724225 26.0627 17.540414298372056 0.011201488880569113 20.759074501845802 r
2458634.6930208 1537.5531344002584 21.5570391618763 26.0799 18.11282466761616 0.015221898283975927 20.998502212432772 g
2458637.6799884 2627.897476520334 22.2461149186473 26.0275 17.47847895532442 0.009190848266712619 20.911939548251596 r
2458637.716794 1459.35123628879 27.9691158625352 26.008 18.09760042409785 0.02080792364227343 20.64387814411879 g
2458640.671088 1525.3243920682878 40.3432941056699 26.0678 18.109394461770933 0.028715671655347715 20.305946598450014 g
2458640.7196875 2515.3997492862113 33.344395065104 25.9821 17.480582466765277 0.014392149690106461 20.4271178820495 r
2458646.6709838 456.1133378058366 105.105824436708 24.4103 17.762618069503 0.25018648684970257 17.608808031376824 g
2458646.7125347 2481.3019240448502 62.9276684087952 25.9663 17.479600969238113 0.027534162178884457 19.721770887661627 r
2458649.673287 1481.8963276867917 82.0976325243419 26.0457 18.118655445494372 0.0601482019803729 19.51244840563173 g
2458649.7156944 2171.9846150792155 77.0742090816568 25.9191 17.576958138327065 0.038526731828117895 19.454402297189198 r
2458774.0246644 1559.2077391619307 93.3206318535473 25.2864 17.304140045637165 0.06498057151631029 18.614030812548872 r
2458774.0296759 1205.0529145129783 124.402042832459 25.1027 17.400184706423094 0.11208080265735595 18.118206209020943 r
2458774.0346875 2779.993055943821 103.156888426296 25.9336 17.323490722227334 0.04028694730908452 19.152429404614775 r
2458774.0396991 2527.2901296716104 119.169376201811 25.9422 17.435562246918927 0.05119403990198696 19.00436332412439 r
2458778.0263657 2676.44474891573 73.8746609313241 25.9259 17.35700429382363 0.029967261384951503 19.507236237719003 r
2458778.0311458 2606.6852386659953 71.0455591743121 25.9467 17.406478518515176 0.029590900524309204 19.57043264720166 r
2458778.0359259 2619.9612053023034 83.6033571394865 25.9669 17.421162848463876 0.03464485071864538 19.413915696343498 r
2458778.040706 2630.0288652029185 155.807610538265 26.0031 17.45319871249276 0.06431880843571763 18.774203320933342 r
2458780.0276505 2791.034544056569 59.9221845300167 25.9742 17.359786970763096 0.023309462752002595 19.78280589498658 r
2458780.0326505 2841.103945835506 59.390889785205 25.9878 17.354082191760106 0.02269564587184955 19.806075409512193 r
2458780.0376505 2991.048572025879 81.6769330248307 26.0329 17.34334133586743 0.029647344083415128 19.50522643517608 r
2458780.042662 2968.7741237260557 174.998026385925 26.0373 17.355857110044134 0.06399791608555891 18.682292112223294 r
2458782.044213 2994.0757328949435 209.689657473075 26.0604 17.36974304675396 0.07603684122525357 18.50903246346325 r
2458784.0320602 2885.143808876136 67.0318339310949 26.0092 17.35878133682106 0.025224552715567648 19.696072235496636 r
2458784.0369213 2788.8749436583676 69.5651769254538 26.0061 17.39252739889634 0.02708149849447574 19.65269525413337 r
2458784.041794 2963.318252481996 85.4811581009142 26.0372 17.35775425986337 0.031318571089159926 19.460098995748382 r
2458784.0466667 2878.880689276485 152.086082644099 26.0463 17.398240833517328 0.05735557591592861 18.843651304905414 r
2458786.0175231 2830.898045978183 48.50318080333 25.9778 17.34798942837672 0.018601836782143593 20.01594943852865 r
2458790.0195833 1821.7313279627779 31.0190104594037 26.0207 17.869489182824502 0.018486447007219006 20.54420514109424 g
2458793.0198032 2889.8644160075114 37.6657397173433 26.0078 17.35560633148326 0.014150730873255381 20.320508736759166 r
2458793.0493866 1957.7909715420606 57.4912330256843 26.1177 17.888284196490325 0.031881969323222244 19.971270931299223 g
2458796.0330093 3095.608691337928 45.3023944171875 26.0408 17.313934856676084 0.015888574598064815 20.15307209700368 r
2458799.9856829 2867.138648451165 65.1026059296412 25.9869 17.343278262575076 0.024652417592708323 19.705479056978625 r
2458805.0048032 2085.109297727779 81.0532590425582 26.0957 17.797877937869494 0.042203794035354306 19.576348784328058 g
2458805.0482292 3144.37124608659 56.2589005382769 26.0774 17.33356545953284 0.0194252788663 19.9544968878071 r
2458813.0516435 3304.3212446477746 38.3911146472316 26.0769 17.279194343454904 0.012614158880591038 20.368898185154897 r
2458827.9401157 3236.800119680652 67.023190459545 26.0304 17.25511029628809 0.022481177456551545 19.717412245616398 r
2458830.9582986 3836.0284644768726 48.1649488814091 26.2012 17.241495447236638 0.01363198565516305 20.246947229921204 r
2458831.0457176 2835.7044045775733 55.2058820379255 26.3622 17.730547605576774 0.021136556416748366 20.259811606407652 g
2458837.9598843 3635.0472157933905 73.8820631344528 26.1857 17.28442485924389 0.022066771401638548 19.76692745295825 r
2458838.0008565 2594.605171841438 60.231706368674 26.2925 17.757321801414108 0.025203666559432 20.09551207181121 g
2458849.9549769 3735.0521210854395 37.4402464837616 26.2222 17.29145833352249 0.010883081223403932 20.54142824114588 r
2458849.9994444 2484.9564677820536 28.8904494598202 26.3396 17.851303037414787 0.012622499180648755 20.94028924320286 g
2458853.0018634 2648.3246395188994 24.4370969261585 26.3955 17.83807194714629 0.010018166102759227 21.17795096066701 g
2458855.9815972 2560.689993627468 35.0341273289895 26.3481 17.827207489016605 0.014854024554218451 20.73944672903613 g
2458856.0391088 3577.2855228303874 27.5424500515623 26.2135 17.32961598759168 0.008359086192628465 20.86606856288835 r
2458859.8667593 3380.993416422472 85.8001283227728 26.1887 17.366089187263466 0.027552020322654924 19.60755514570863 r
2458864.8397685 3451.725630311167 43.3118079214257 26.1815 17.33640933162259 0.013623223539946534 20.34255920809029 r
2458864.9154745 2451.57433791062 44.2999996745841 26.2744 17.800787333288135 0.019618621757840193 20.410965681577807 g
2458867.8549769 3456.9455953791717 35.7062734631725 26.1958 17.34906863807813 0.011214032743467096 20.566513672193253 r
2458867.9162037 2407.7457281863885 31.5734259906613 26.3267 17.872673447476885 0.014237080019193517 20.830970716238728 g
2458873.816412 2852.8030964687114 30.330492590473 25.9963 17.358120506949298 0.011542968333930264 20.54417633005103 r
2458873.8586806 2254.1590503446546 24.4829519794783 26.2743 17.89183860997715 0.011792043227852716 21.05471553726678 g
2458876.8388194 3399.163850698108 26.7117072603575 26.1961 17.367669751282158 0.00853177482651036 20.881920872807648 r
2458879.8620486 3318.072063584114 56.7297977003985 26.199 17.39678546494953 0.018562448368524196 20.067046901998474 r
2458879.9684028 2267.3686401758796 54.2849178612731 26.2816 17.89279466088939 0.025993627272454675 20.197477026580813 g
