jd flux fluxerr zpdiff mag mag_error limitingmag filter
2458199.8034259 442.7289190116669 38.5466968327685 25.0302 18.414855272548973 0.09452770522594643 19.317807068780372 r
2458204.8009028 751.4526311270472 53.7862935526527 26.2763 19.086545976443574 0.07771052557568614 20.202195944642895 g
2458204.8170023 894.5070168091943 60.0799785331143 26.2732 18.89424062083386 0.07292154389809113 20.07895056710874 g
2458210.8014699 504.36253153648966 95.3982557502017 26.0752 19.318342960240248 0.20535602823720187 19.378923903683457 g
2458210.8234954 270.24732967224304 187.443414597698 25.3512 19.27179647159888 0.7530409846252141 17.92159952149276 g
2458211.8453009 986.506079043826 95.0891159364746 26.2585 18.773250585489553 0.10465039736226914 19.56574796493533 g
2458214.7387037 666.5069872448055 45.8870339020465 25.5461 18.486588233382406 0.07474723245347367 19.644450023698955 r
2458214.7424306 644.0521679358786 49.5313172603306 25.2483 18.225997383894388 0.08349657656131801 19.263675294214632 r
2458214.780787 371.8854791258144 40.6232938774516 25.5191 19.09307694761326 0.11859755929816213 19.749737152664483 g
2458216.7624769 705.407929214753 33.3706148198494 26.1732 19.05209915726652 0.05136102815039461 20.61736446874651 g
2458217.7793634 1363.823963424965 27.663153630837 26.1984 18.36150420734945 0.022021820046023956 20.846220767514207 r
2458217.7802778 1327.13894372701 23.4468827747481 26.2068 18.399509016623632 0.01918132291186862 21.034162208815154 r
2458217.804375 1154.09308672759 31.5960491870654 26.0713 18.41569790121392 0.02972362541366988 20.57479303605746 r
2458217.8053009 1244.9878955663341 29.2249633220497 26.1041 18.366187177473428 0.025485824233106996 20.692290052196423 r
2458218.7766782 1171.9955713748807 29.3592911425805 26.0711 18.398785073463518 0.027197528021463677 20.6543110749959 r
2458218.8025694 1272.525954940508 29.9874284404875 26.1744 18.41273337714896 0.025584822793936153 20.734626927627986 r
2458219.7444444 1149.3733700726518 39.6026024561445 26.0186 18.367447173226957 0.03740868425019999 20.276865673638724 r
2458219.8039815 684.8619594441418 55.6448073766642 25.3225 18.233492389856742 0.08821276541316167 19.211513380730185 r
2458221.7550347 1009.3620431193257 49.2180050698188 25.9603 18.45018257715565 0.05294035818819188 19.982564972484546 r
2458224.7624074 1138.013902797726 39.3517159645324 26.0385 18.398131080635643 0.037542738201755306 20.303665801953436 r
2458224.7633102 1150.7326795145946 34.1234822945624 26.071 18.418563883139818 0.032195022690095186 20.49094162810419 r
2458224.7795486 1270.6054377716623 33.3833606997164 26.1607 18.400673225899553 0.028525231857378125 20.604449851840364 r
2458224.7813773 1218.4799847834474 32.8838112013908 26.1005 18.3859540007683 0.029300402359662126 20.56061962393847 r
2458227.7712616 984.0215470466243 36.2882541023989 25.9417 18.459188479376433 0.040037901199644926 20.294859804256102 r
2458229.759537 802.0126073291271 30.4849563771001 26.2816 19.0211470118007 0.041268075883294855 20.8239610444143 g
2458229.7604514 845.7131685954206 30.9966194385111 26.2865 18.96844226739733 0.03979248635832786 20.81078916096603 g
2458230.815625 736.0200288363583 27.7172673839982 26.2377 19.07047591831809 0.04088562270021791 20.8833989606155 g
2458233.6724421 1301.9409202577583 66.1363961636617 26.275 18.488521807062032 0.055151723244609055 19.97647367392217 r
2458233.6733565 1254.2312631627092 65.675116851849 26.275 18.529055945335585 0.056850340491634184 19.984072853726786 r
2458233.7316551 761.6667928416546 58.6686529047981 26.2439 19.039487445925303 0.08362785020612208 20.075459698000806 g
2458233.7335648 592.9109502374284 55.0488049057431 26.2275 19.295026321920624 0.10080179403371126 20.128205251665957 g
2458237.6691088 770.0870611319789 120.367444078431 26.2297 19.013350433718674 0.16969890890499703 19.281002392474104 g
2458237.751169 726.1540261154114 109.383063129685 26.2352 19.082628125945654 0.16354270219390662 19.390399786514656 g
2458238.6893519 707.4163027124588 158.054132712599 26.24 19.1158123397578 0.24257197809564504 18.99556034911621 g
2458242.7283333 699.837138521294 21.538052650669 26.2334 19.12090753593139 0.03341329357318729 21.152958903465862 g
