jd flux fluxerr zpdiff mag mag_error limitingmag filter
2458204.6994444 1307.1523557722098 82.4966928350725 26.2989 18.508084475166985 0.06852044370767021 19.760383642399308 g
2458204.7182755 1316.9908873712136 87.8903205568701 26.3024 18.50344307508242 0.07245495921316698 19.695122368034426 g
2458207.7652546 954.0935594470818 98.0840638984921 26.1083 18.659322589551852 0.11161365373465691 19.381878860189065 g
2458207.7788079 1334.3201040806834 106.391329247555 26.2669 18.453749926125276 0.08656773274330122 19.452209401719728 g
2458210.7146065 752.5279296061904 62.9876391128355 25.456 18.264693442163356 0.09087460690076023 19.210436662819447 g
2458210.7365278 1015.9813379313645 74.7614202434766 25.9835 18.466285673309052 0.0798916977388673 19.551881131455097 g
2458215.7169907 161.69868679684095 55.9337614184926 24.5973 19.07553376778504 0.37555830523444816 18.480689925088953 g
2458218.6915394 2252.5588096252186 30.6838577372002 26.1307 17.749009654188228 0.01478916519423569 20.666000087876448 r
2458218.7236458 2210.299072401415 30.5773290839553 26.0945 17.733372396436636 0.015019599203098782 20.633576120900162 r
2458223.6771181 2380.0984461978114 29.4331611546529 26.1528 17.711312697950895 0.013426160214782481 20.733282718357444 r
2458227.6651852 2372.0919087956713 33.682164763575 26.1509 17.71307121964643 0.01541623498997541 20.58497499923293 r
2458227.6693634 1198.1767092194318 28.1941502106307 26.2647 18.56839781676271 0.025547474465284256 20.89187746612599 g
2458231.6490509 2323.6095812461845 54.7718207084318 26.166 17.750592103520844 0.025591978197667817 20.072182044520915 r
2458234.6677199 950.7119184421081 85.5621101592046 25.9039 18.458777653988122 0.09771075885118936 19.325771272319194 g
2458234.7090046 1279.3136097164327 67.4320001146585 26.2469 18.479457449839114 0.05722672061677853 19.92730988524209 g
2458237.6883102 1120.5223076925968 86.7192786880953 26.2127 18.589148732446663 0.08402431636148597 19.61998584705179 g
2458244.6559028 2263.708342825686 37.6895322269211 26.1434 17.75634882142679 0.01807632386409383 20.455423120763296 r
2458247.6713426 1147.5705147896513 23.7813859457512 26.2608 18.611351547171445 0.022499228054874486 21.072782086429257 g
2458247.7184028 2084.6786447945715 30.0380341352375 26.0932 17.795602206100575 0.01564379898170878 20.651596222936448 r
2458255.6715394 1022.9391228142435 33.6671713488672 26.1942 18.66957552816471 0.03573276954439322 20.628758415830323 g
2458422.9819213 959.6251264459231 65.2151431947515 26.1745 18.719245972899657 0.07378306279742007 19.891203858637517 g
2458423.0232176 2174.7346609572437 43.9578952582832 26.1444 17.800884309200644 0.02194524589078427 20.289382764517246 r
2458423.9811458 1102.761781050594 53.4390063730399 26.1336 18.527395734649375 0.05261220529780726 20.066529053118366 g
2458423.9989699 1067.1231034003843 40.9833968718806 26.2137 18.64316369360467 0.04169685188336327 20.434755110001483 g
2458424.0041667 2063.939229683523 55.2713730197606 26.119 17.83225773539507 0.029074562285806987 20.01532435613418 r
2458424.005162 2077.700030664433 46.5736309516832 26.1016 17.8076428845253 0.024337002636551024 20.18382474536905 r
2458425.0207176 1150.2793523345838 27.6205867035864 26.2782 18.626191689454163 0.026069902865961548 20.92769274060774 g
2458426.0000231 2202.0911827496316 47.1183010290941 26.1578 17.8007117550261 0.023230799808848665 20.2274009330035 r
2458426.9806597 1113.9372485754257 20.4449083446345 26.2267 18.60954818395828 0.019926649385462843 21.202812069323244 g
2458426.9987153 1077.4232084987614 19.3277874214545 26.2443 18.66333418415637 0.019476263958256173 21.281419638316695 g
2458427.0057639 2181.9004781717967 23.0674073781244 26.1464 17.799312656329008 0.011478197305962433 20.99147802546744 r
2458427.0196412 2151.44300141828 23.6850856041376 26.1534 17.821575388184826 0.011952395403206292 20.969787592356315 r
2458427.961875 1919.2291606618576 37.4698808688965 26.0234 17.815582915859313 0.02119655666618354 20.341769208391238 r
2458428.0046296 1230.6345550882693 29.0753020703968 26.2355 18.510177236216304 0.025651039398585398 20.829264400622193 g
2458429.9419907 1004.6344631372219 18.0755739687345 26.1474 18.64237981953832 0.019534120496495985 21.257244747411377 g
2458430.9625231 2165.552034215406 25.1893111843301 26.1416 17.80267844128637 0.012628666834475565 20.891134260066778 r
2458431.0041898 1181.5795087738766 17.421821201864 26.2403 18.5591426231663 0.016008123988619 21.390141108379538 g
2458431.0504051 1185.2371673236134 38.6723947616651 26.2629 18.578386845328804 0.03542465605221433 20.546972323421667 g
2458432.0232176 2173.342255559011 51.1960192773625 26.1259 17.78307969018551 0.025575133409043157 20.105384504351477 r
2458432.9798495 1221.3329898520649 24.7628803490699 26.2512 18.534114779656324 0.022012882169212242 21.019272091141886 g
2458432.9993981 1182.1563534737222 23.5114445663693 26.2478 18.566112698315067 0.021593061942017103 21.072176705593726 g
2458433.0406597 2249.8396809149667 30.5174136470043 26.1799 17.799521069360047 0.014726718653605628 20.721105678275112 r
2458433.0415741 2262.67042429266 32.3074549785123 26.1783 17.791746749597024 0.01550212682040783 20.657618119674638 r
2458434.9809144 2174.36093538425 51.5567561887029 26.1425 17.799170907713943 0.025743274395326133 20.11436102688554 r
2458435.0415162 1166.8076648755152 38.2814759011402 26.2695 18.6020018165433 0.03562043654410011 20.56460330619909 g
2458436.022581 2331.6211557376996 78.0959339941422 26.1824 17.763255032014975 0.03636472217143439 19.703403931031215 r
2458436.0234954 2270.840066076814 78.5020530451046 26.1723 17.781833629516942 0.03753222442402823 19.687672451930556 r
2458437.9851389 1257.6905197277258 29.1052096896751 26.2691 18.520165531785224 0.025125041227885822 20.86174815784858 g
2458438.9618981 1199.62973390521 20.0198099383396 26.2466 18.548981945996424 0.018118513601108152 21.24552511388439 g
