jd flux fluxerr zpdiff mag mag_error limitingmag filter
2458202.8768056 691.6934187216426 28.0397970935666 26.2384 19.1386158912445 0.04401199560456759 20.871537822687237 g
2458205.8898727 496.67269869649334 74.4522255932774 25.8818 19.141624279553568 0.1627485898435029 19.454680777645557 g
2458205.9025347 568.4798448307401 66.1112763031567 26.1117 19.224912320993653 0.1262613148645722 19.813586135507737 g
2458208.8408912 513.889560385427 136.633101636675 26.106 19.328825512184494 0.2886662230220795 19.019685171312016 g
2458208.8869097 198.59322226869335 150.932270738863 25.9164 20.17148894374982 0.8251397729952435 18.72201972428959 g
2458211.865463 732.1222650749881 94.9692487563085 26.2735 19.11204096329201 0.1408345549553301 19.58211748271198 g
2458211.8892708 542.8906270469066 91.6818691242626 26.2586 19.421819140827402 0.1833500162816618 19.60546634240101 g
2458214.8020949 190.96661452676787 39.1559161457499 24.5759 18.873506377615257 0.22261261878045077 18.846481514724253 g
2458214.8447917 1022.2777111747431 56.0709185689874 25.6957 18.17177777017285 0.05954956820920431 19.576430811943197 r
2458214.8681597 75.41182459272915 69.0731903044648 23.1632 18.469601378271868 0.9944430216158421 16.817501200757906 i
2458217.8491551 1369.125562040569 24.7690821333758 26.1087 18.26759180260006 0.019641582348463426 20.876500206021543 r
2458217.8777778 1389.7399961425187 22.8596327467643 26.0865 18.229166108722225 0.01785852270356392 20.94140186685245 r
2458218.8294907 1397.3699107549687 28.1313424881663 26.1068 18.24352153136057 0.02185691727317992 20.73639884384377 r
2458219.8251968 1420.172491023009 29.7878982328425 26.1472 18.26634725990509 0.02277238949199808 20.71467533552651 r
2458222.8053935 1414.539859922411 34.9817770115946 26.1018 18.225262025430077 0.02684951932253891 20.49477032144855 r
2458222.8179282 1406.9902103076195 30.9106647357388 26.0924 18.22167231082709 0.023852126658546 20.61970412742703 r
2458223.0151157 1294.0135048810002 63.7803628677653 26.0388 18.25895297789957 0.05351284179364172 19.779657524759493 r
2458226.7951736 1350.8720344342714 25.125776074426 26.1087 18.28216447232137 0.0201936633438625 20.860976276806454 r
2458226.8158565 1336.3980958744419 25.2169812565194 26.1186 18.303760379561368 0.020486467793332862 20.86694225007251 r
2458227.8790394 1212.8486610353839 30.7104670230215 25.4611 17.75158346728467 0.027490943526648052 19.99545893681987 i
2458229.8159838 689.5391047279969 19.8975808908607 26.2819 19.185502748354075 0.0313293378505765 21.287474291805665 g
2458231.7907755 1485.8702382689326 31.9103464653262 26.2272 18.29724779014056 0.023316345038155436 20.71994619027423 r
2458232.7903241 647.5443102376734 29.2984823308665 26.2265 19.198326270690934 0.049123066582032845 20.81196217824063 g
2458232.8601736 1430.2653413980297 43.0281703448509 26.1482 18.25965846295437 0.032662250277100215 20.31639279093178 r
2458235.7452431 682.1516503082686 69.3731001393251 26.2729 19.188197664639254 0.11041294818714933 19.922497232537825 g
2458235.745706 614.685523675668 58.1750227660586 26.267 19.295367536832664 0.10275274068506587 20.107733584373833 g
2458235.8361806 618.3469423421184 69.8759346425274 26.2433 19.265219456022386 0.12268889363961288 19.88505591429844 g
2458236.8280324 665.7679694478696 103.317154201635 26.2147 19.156392757202898 0.16848427600045168 19.43184390083522 g
2458242.7340972 687.0253043707735 22.4055451581624 26.2445 19.15206816700829 0.0354072844529302 21.121186200739782 g
2458242.8103356 1598.2921441526748 33.6424776939859 26.275 18.265859587903723 0.022852917200393518 20.710355056333327 r
2458245.7926273 81.19544323206063 29.3928509732869 24.1016 19.327770857768414 0.39302474414102306 18.683570707381232 g
2458245.8386921 920.0691466608241 49.7261026445701 25.5265 18.116948831405743 0.05867779594299542 19.537613933894868 r
2458248.7937269 1378.4232013864312 33.2621110095001 26.1571 18.308643563817913 0.026198538944129636 20.604800467549236 r
2458248.8348958 629.2799243881099 20.4316559923673 26.2396 19.24249030779376 0.03525084473731277 21.216416069739726 g
2458254.8822801 1152.7384022546578 20.0068482458746 25.4265 17.772173096350095 0.01884333435761382 20.42612829421043 i
2458255.8388657 632.1477613511385 18.1376328014909 26.212 19.209953489266663 0.031150988956267712 21.318123475890953 g
2458258.7478588 1383.5297218030705 26.5235286066144 26.1018 18.249328766630278 0.02081386077537416 20.795296737297903 r
2458267.7145833 612.9644194173874 86.9225393781204 26.2312 19.262611835315568 0.1539596720679549 19.635943975589942 g
2458270.8013426 1661.4961474918741 41.7007201155963 26.275 18.22375165345484 0.02724921866225653 20.47721610235329 r
