jd flux fluxerr zpdiff mag mag_error limitingmag filter
2458199.804838 1614.971619412851 34.9613687946236 25.1323 17.111887763271348 0.023503544981256657 19.525903920078218 r
2458199.8139699 2018.1189416535228 29.3241656451422 25.3807 17.118333103447043 0.015775703792188484 19.96521082899544 r
2458202.7915509 3962.1334103227364 49.0161858272618 26.2445 17.249677263190335 0.013431368265896769 20.271226204663584 g
2458205.8088773 4218.538057979478 80.8751791020134 26.2711 17.208195071265756 0.020814362877435277 19.754136850549823 g
2458205.8152778 4182.022998703566 84.5424781972886 26.2663 17.212833957859363 0.021948174031383997 19.701187553729056 g
2458210.7847106 2279.2603573137467 123.232728468155 25.5773 17.182815157555417 0.058700522241153866 18.603059828649698 g
2458210.8047801 3668.6648657657365 90.0928234317876 26.1146 17.203329898585274 0.02666195522862941 19.480449495289054 g
2458215.7618171 2199.5021804965054 53.0907549448288 25.5165 17.160689007862793 0.02620621754991355 19.45652773664516 g
2458218.71625 4297.985538271441 28.9796278829347 26.1542 17.07103762535683 0.007320448547892516 20.751542977783902 r
2458218.7750463 4229.970155865271 34.350882717996 26.117 17.051156741839435 0.008816788769825102 20.529730235043004 r
2458221.7192824 3215.3974347901394 53.8951811324736 25.8066 17.038513347620306 0.01819806084386755 19.730300149529555 r
2458221.7398264 3584.0847523275575 59.5866563579521 25.9736 17.0876543229761 0.018050140350563938 19.788302448824716 r
2458224.6960069 2262.484880309879 33.1665645612919 25.4706 17.084135786019527 0.015915659573054335 19.921423766597492 r
2458224.7204745 3745.987897072639 31.100111886214 26.0198 17.085884075305756 0.00901374814938645 20.5404701105255 r
2458227.7403009 4279.10490967733 28.6814878041593 26.2133 17.134917664758007 0.007277103965960922 20.82187079946192 r
2458230.7275231 2935.78022097438 37.6569576535577 25.8565 17.187191149470582 0.013926164715047444 20.169461914220427 r
2458230.8103356 3043.3095634737983 29.7858099130775 26.0932 17.384834673105097 0.010626080964867533 20.660751455158724 g
2458236.6693287 3661.0972091983103 98.7831891644913 26.2137 17.30467184902129 0.029294198527815948 19.479567381594947 g
2458236.6903241 3545.367269431179 100.828302028355 26.223 17.348846922481922 0.030876712958922404 19.466618855078924 g
2458242.7022222 3671.613327730466 26.469730829825 26.2406 17.32845765587424 0.007827127803707189 20.936301176680672 g
2458242.7920023 4162.044762402304 38.9004822062787 26.1934 17.145133133256813 0.010147477007666654 20.47108752709067 r
2458245.6508565 3980.53991594205 29.1006580350438 26.1826 17.182745041793712 0.00793726104896244 20.775417965341465 r
2458248.6591088 4350.372208067236 29.6093935879394 26.2519 17.155583960490183 0.007389463954098746 20.82590120676476 r
2458248.6700347 3858.0687733405475 19.0957027978756 26.2747 17.30877508739124 0.005373726013106385 21.324935872237027 g
2458258.6676736 3694.493099782152 22.5405404821968 26.2022 17.283312850594502 0.006623984438613267 21.072364175543406 g
2458258.7081366 4025.633998058221 36.8352055357441 26.1431 17.131014281920244 0.009934331503919048 20.48001724539639 r
2458267.6866088 3718.41100971783 99.8403198176418 26.2034 17.27750651933996 0.02915133236824171 19.45771008037902 g
2458267.7746528 1582.4205037688885 154.718472297268 25.0764 17.078095246154405 0.10615247020186294 17.855119567906968 r
2458270.7534375 3118.1462132788442 60.9148034328717 26.0034 17.26865881031873 0.021209782211439415 19.794167871372643 g
2458274.7269907 3464.991010410981 18.5786167265731 26.1374 17.28814471946591 0.005821315010467507 21.217441550642928 g
2458278.6921065 3488.30891660808 30.90844716625 26.1291 17.272562654791912 0.009619933867848972 20.656482022285353 g
2458278.7522454 3724.1668603729427 38.5702622096646 26.091 17.163427171995423 0.01124432262329926 20.37794351088107 r
2458281.6916435 4260.197271437554 32.4167121368722 26.1807 17.10712572529887 0.008261313297148342 20.656352578025505 r
2458284.6720486 3966.4802313553514 40.1476593747323 26.1456 17.149586764660118 0.0109891670298966 20.389024412151173 r
2458294.6762153 3310.400507146173 77.5885874228613 26.1607 17.360998650363406 0.025446446489829796 19.688780376213575 g
2458428.0402894 3677.214173897748 36.6900603527552 26.1739 17.260102686387704 0.010832765414575493 20.5151039238034 g
2458431.0229398 3603.8236770277035 23.7861575516374 26.1577 17.26579116435395 0.007165897548881166 20.969464261210547 g
2458440.0246644 3394.237168921903 20.0461269531272 26.0474 17.22054453766561 0.006412068146647228 21.044898798061915 g
2458440.9823958 2940.06547895884 25.9539714660206 25.8987 17.227807492988454 0.009584217434040712 20.61576543207949 g
2458441.0454861 4417.9140687997 31.9448703711308 26.2227 17.109656839206423 0.007850434667091566 20.714272163782077 r
2458443.9784954 4336.778023852283 49.2061758828206 26.1938 17.100882016154035 0.012318625685278563 20.21632595259196 r
2458447.9983333 4501.603360518126 54.9970176877441 26.2131 17.079681934115605 0.01326422106116236 20.11482713982765 r
2458449.9850694 3616.6799793543605 62.9746235218057 25.9971 17.101324794828916 0.018904506107236492 19.751761039520247 r
2458450.9846875 3916.2647305033574 51.9648950976647 26.1993 17.217119896417127 0.014406147308709422 20.16259985189447 g
2458461.9995602 2916.7643986733647 29.72738449694 25.8107 17.14844662387756 0.011065350826075444 20.380383238222514 g
2458462.0439352 3906.0868482493806 37.3742209330573 26.0293 17.04994526200587 0.010388194948918274 20.350444617802022 r
2458465.0005903 4214.8900789233 36.9649439803592 26.2476 17.18563436739023 0.009521681213031298 20.58069985823659 g
2458467.9619329 298.643549838286 25.2381695641216 23.3054 17.11751715198163 0.09175179142695154 18.05283035451142 g
2458468.0432986 4507.104549029384 31.5651663123494 26.1767 17.0419559192557 0.007603617953059896 20.68125478439758 r
2458473.0224884 4167.008956773807 29.133643116761 26.2545 17.20493891511955 0.00759067154882153 20.846087999477398 g
2458473.0438773 4566.473957018918 47.6357285606863 26.2634 17.114447537066475 0.011325611617437035 20.32114295944691 r
2458476.9714005 4883.020634188066 52.0915215441925 26.2702 17.04847860128279 0.011582126961446627 20.230857381784965 r
2458482.9772338 4896.679081532612 36.2475237825538 26.2591 17.034345894583076 0.008036862517525096 20.613479130465166 r
2458483.0222685 3591.0080979697127 41.614304005128 26.0499 17.1618590387724 0.012581606230270477 20.25436840040989 g
2458483.0451157 4396.879268009548 37.7725359330572 26.2697 17.16183864829842 0.009326988475870782 20.57933463162106 g
2458486.9803241 4946.347373485144 35.0133662957677 26.2572 17.02148846786936 0.007685269334517185 20.64919032111661 r
2458487.0405903 4434.884938087107 33.0575266746788 26.2792 17.16199410835295 0.008092781934987338 20.733599096540324 g
2458491.979294 2340.3813508128114 28.2727799008384 25.6188 17.195583427992084 0.013115707458393333 20.242953708452674 g
2458492.0237269 3971.778030288528 43.056936404382 26.094 17.096537576999133 0.011769770490130243 20.26146717520932 r
2458493.99 4878.745837886949 25.4956485350146 26.2831 17.062329515530134 0.005673717495079475 21.01950983008431 r
2458494.954537 4660.3041297839845 26.356348663466 26.2289 17.057864351205758 0.006140176037234594 20.929261878864345 r
2458494.9986574 4347.849029079075 21.5317651954129 26.2716 17.17591386096769 0.005376690247593834 21.19147590122426 g
2458503.0255324 4797.333223112567 55.1852808038462 26.2433 17.04080028590067 0.012489159410499 20.1413168472872 r
2458506.0220833 4988.108957016342 107.649309433788 26.2378 16.992960171607358 0.02343069412865689 19.410346868695168 r
2458510.0052894 4370.920084428365 55.0650349214912 26.2613 17.159867834616097 0.01367769422901303 20.16168519170153 g
2458511.9984954 3082.4884697565044 32.5978325367065 25.8922 17.169946348088068 0.011481459584469406 20.36180317830314 g
2458512.9571991 643.7033522468274 43.020255053579 23.9428 16.92108557291896 0.07255996220718909 18.111192537023346 r
2458513.9289699 1633.691849050238 21.6894934571828 25.019 16.986074644413822 0.014414152252858078 19.930951465431427 r
2458523.9205787 377.3388284855255 30.2181988961953 23.6884 17.24657125807248 0.08694546138619215 18.240303550664215 g
