jd flux fluxerr zpdiff mag mag_error limitingmag filter
2458202.790625 2590.1284790133486 44.6245554158729 26.2519 17.71859673232328 0.018705203316195622 20.380540233244197 g
2458202.7920139 2586.392176112043 39.5054477853503 26.2428 17.711064055359973 0.016583356946675502 20.50373251718384 g
2458205.8084028 2704.795666359781 70.7640357349506 26.2689 17.688563845177534 0.028404553642617545 19.896943506313068 g
2458205.8166898 2676.937092950862 73.1943515058496 26.2696 17.700504586139242 0.02968583297648662 19.860981070820422 g
2458210.7856366 1178.8945035174725 124.421254907307 25.392 17.7133126428818 0.11458544937635393 18.407338545900473 g
2458210.8032986 2380.3386273020637 87.2249607868556 26.1347 17.69310313938861 0.039784314231637155 19.53567303196666 g
2458214.7396181 2943.2372272250373 48.1380047142365 25.5585 16.886436830035823 0.01775712512562976 19.60485477636661 r
2458214.770625 360.2533722980181 44.3286647331484 23.9214 17.529879862762616 0.13359383978497733 18.057263364935938 g
2458217.7423611 4961.829993951219 26.6450367312558 26.105 16.86589529985406 0.005830211114526313 20.793534180985528 r
2458217.7606944 5181.766346947854 24.8126249577041 26.1716 16.885405434627415 0.00519881930462706 20.93749321105271 r
2458224.7642245 5048.624658745871 39.0139709581568 26.0936 16.835667289588677 0.008389902425385067 20.368124598291605 r
2458224.7823032 5271.614777423819 36.620878420183 26.1358 16.83094083317079 0.007542145884988701 20.47905309552219 r
2458229.7609144 3083.3625166144234 31.7093213441552 26.2885 17.565938528672145 0.01116534627305207 20.78810762121321 g
2458233.6719792 5775.913836292838 66.7908484148192 26.2537 16.849648235229385 0.01255469284675332 19.944482588780264 r
2458233.7125694 3058.4862958432373 43.0549935653632 26.2755 17.561733652761774 0.015283640988499866 20.443016167507224 g
2458237.7324306 3173.7741713601035 107.364986181117 26.265 17.511059946332704 0.03672793311783899 19.440418307808812 g
2458242.7548032 5970.679951686696 28.3901109908783 26.2287 16.78864051955922 0.005162417639567022 20.848357263161287 r
2458245.6677199 5993.374245286025 31.3692009502093 26.2155 16.77132150683172 0.005682532089236636 20.726816348403364 r
2458248.7065046 2904.7437892397784 23.5686376013576 26.2499 17.592130420513307 0.008809200294560539 21.071638792640563 g
2458257.7119213 5550.223571068879 29.4622164484847 26.1984 16.83762380628073 0.005763214398219216 20.77781144966723 r
2458260.6877315 5670.4168353220875 48.3223460130144 26.2179 16.833862536794935 0.00925215422251224 20.26010496218367 r
2458267.6880324 2748.223397184193 86.1207777178785 26.1778 17.58016991827705 0.03402246282602113 19.59260513144337 g
2458271.6874537 5738.335766373797 39.7200795542888 26.1944 16.797435108847807 0.0075150866257766204 20.449449715007308 r
2458274.7274421 2819.019461246728 18.3457590419037 26.1974 17.572154814859047 0.007065573993230256 21.291135776486485 g
2458277.7333102 5232.783412848254 29.6500591685954 26.1373 16.84046810130843 0.00615180616119216 20.70981107825083 r
2458280.6740394 5756.686794420668 35.8476671279831 26.2432 16.842768496691797 0.006760800715886091 20.609622743711768 r
2458280.7121412 2867.5998422573707 23.3796930710846 26.2331 17.589303630439822 0.008851769480951996 21.06357797556089 g
2458283.6949884 5785.400916348426 27.1890402543248 26.2323 16.82646634989434 0.005102350110379567 20.898890294906835 r
2458283.7346065 2722.251241268497 31.2732276423413 26.1738 17.586479488737957 0.012472523746731252 20.688443223778854 g
2458286.7163773 2727.1113789147535 28.6407684773145 26.1736 17.584342811306275 0.01140227809404493 20.783713322652492 g
2458293.6755787 3104.863169043609 54.7365629836727 26.2027 17.47259383593164 0.019140130561592156 20.10958117984372 g
2458293.7373958 5736.817547879838 65.008730162077 26.1481 16.751422405191498 0.012302984668398829 19.868245781913465 r
2458432.0493981 5206.708228740559 83.6444390122853 26.1633 16.871891896121063 0.01744149344385381 19.609782307221725 r
