jd flux fluxerr zpdiff mag mag_error limitingmag filter
2458202.7560532 1984.928490525254 41.4688184237224 26.2467 18.002337836521306 0.022682276151279112 20.45497083632791 g
2458202.7655671 1892.9363432208072 39.279354511977 26.2483 18.055459976253715 0.02252880576062716 20.515464133416327 g
2458207.7364815 2188.115001374298 79.3344877902765 26.2975 17.947324641004453 0.03936422598437697 19.80141993382312 g
2458207.7596991 2112.4166110053934 87.1765069679992 26.2929 17.98095106522971 0.044805334857743684 19.694476330407003 g
2458210.7141088 1215.3591642811205 55.6961268878207 25.711 17.999238399783568 0.04975425103892992 19.59901250076475 g
2458210.7314352 1456.0332513374506 68.8640483634373 25.8986 17.990671767386647 0.05134889415437957 19.556193613358097 g
2458214.6825 2399.9357468094445 634.549324941465 26.275 17.824500963616448 0.28706193613926356 17.521411523093764 r
2458214.6936227 2989.793205651422 209.483390031797 26.275 17.585897123461773 0.07607085203338262 18.724701005671612 r
2458217.6978819 2604.904426524918 54.3305083553996 26.275 17.73552051564653 0.02264445187347955 20.18996556759755 r
2458221.702037 1606.4105048699394 50.1365903275305 25.6704 17.655758661312582 0.03388504741072207 19.672588000978532 r
2458224.6765509 2452.6485926398145 104.75640887421 26.275 17.80091167902535 0.046371923583360355 19.47712348396478 r
2458227.6642708 2663.5784323614157 37.4541444076051 26.275 17.711336275881706 0.015266666860373214 20.593825287624753 r
2458234.7271759 1954.0754388336638 71.6746919282521 26.2377 18.010346684914715 0.03982303419818344 19.851860401808718 g
2458237.7072801 1819.154936773133 73.0859456798489 26.2028 18.05312577664025 0.0436188307112335 19.79579031217291 g
2458243.6511921 2607.7723870823056 33.1236190771934 26.275 17.734325793995254 0.013790434092426737 20.727230535168054 r
2458243.6930903 1911.6700957612015 30.3857718632093 26.2106 18.007067633644258 0.01725707410762746 20.7564993070933 g
2458247.686875 1902.8551433374548 23.6815649265974 26.2227 18.02418567884066 0.013511840420869685 21.03924899397686 g
2458247.7175 2556.145254091107 30.7546898740363 26.275 17.756036177088234 0.013062781445146741 20.807796609116394 r
2458262.6748611 4258.284183184979 70.7090550406567 26.8816 17.80851339654044 0.018028111266219397 20.510487405785902 r
2458263.6928935 6285.46750111555 117.819786287019 27.3026 17.806756036948254 0.020351221599525213 20.3771294125721 r
2458425.9814005 2245.166881139157 52.0890080528857 26.1461 17.767978431903 0.02518878953635911 20.106809771392186 r
2458426.0209722 1753.4469575186506 48.403771352962 26.2076 18.09786841791981 0.02997066682432102 20.247976987219793 g
