jd flux fluxerr zpdiff mag mag_error limitingmag filter
2458202.790625 1801.210232304187 41.218134489679 26.2726 18.13368898641158 0.024844700420226715 20.487454159269355 g
2458202.7920139 1750.6004665198698 36.0566497697044 26.2813 18.173332400331983 0.022361872628076183 20.641411560490447 g
2458205.8084028 1936.8693630938471 72.220344374008 26.3079 18.090149175874842 0.04048266206328614 19.913826101718353 g
2458205.8166898 1825.6977324995237 64.5157794871568 26.293 18.13942780957533 0.038366034279567925 20.021410117065077 g
2458210.7856366 1091.5432698597729 125.52122945541 25.702 18.106897609372076 0.12484928686083686 18.707782028091074 g
2458210.8032986 1557.9493626514518 87.7879082008488 26.1355 18.15411665529541 0.0611774260566804 19.52948823707385 g
2458214.7396181 1849.48091680982 46.7238503509671 25.5712 17.403575363584295 0.02742828210065889 19.64992842844549 r
2458214.770625 239.11994891581529 37.9976556983648 24.0306 18.084060476872235 0.1725245215999883 18.333782981083075 g
2458217.7423611 3048.2259243955264 26.050552194164 26.1029 17.392782119182364 0.00927853945826292 20.815932655451455 r
2458217.7606944 3308.1974974850004 25.6236820136947 26.1978 17.39882142803784 0.008409301918467 20.928771148771187 r
2458224.7642245 3177.985059209397 36.7010606037887 26.1372 17.38182037222544 0.01253824066354993 20.478078451982228 r
2458224.7823032 3316.45957800619 34.4637901860531 26.1534 17.351713229108526 0.011282313601268931 20.56256739500648 r
2458229.7609144 1823.686241253179 30.8891620774268 26.2977 18.145324696013475 0.01838932734636258 20.825759670501302 g
2458233.6719792 3481.7821661904504 68.0843013625931 26.2626 17.408096008793986 0.021230255788875222 19.932557525734616 r
2458233.7125694 1831.9117342254538 48.6889953573978 26.2925 18.135238638709595 0.02885599850250269 20.326497955508287 g
2458237.7324306 1946.4977833859464 109.320535568215 26.2702 18.04706521626809 0.06097582359428644 19.426020612505056 g
2458245.6677199 3643.0594023074673 24.4601986461493 26.247 17.343334368159265 0.007289597763161312 21.02842503989332 r
2458248.7065046 2199.9468370250556 22.0361805509497 26.2821 17.926069535064517 0.010875117898993852 21.176834184013668 g
2458257.7119213 3961.425648730044 28.8658346022216 26.1919 17.19727122713554 0.00791120152354213 20.793514692065152 r
2458267.6880324 2082.656409053062 80.2072228157621 26.2173 17.920755932140402 0.041812457125689165 19.70934129139885 g
2458271.6874537 3900.655382995802 33.1737150377671 26.2077 17.22985604313519 0.009233500240372942 20.658289714788623 r
2458274.7274421 2069.785616990349 21.5419845494615 26.2039 17.91408658826561 0.011299785075982297 21.123260713995204 g
2458277.7333102 3556.1084334182997 32.0816132622473 26.1635 17.286062512310487 0.009794697819532091 20.650434491214774 r
2458280.6740394 3863.6489471652526 38.4148022047505 26.246 17.27850585162679 0.01079470503765563 20.537328485718447 r
2458280.7121412 2082.092172499429 25.6337121318251 26.2449 17.948650121355463 0.01336661346174392 20.97544623202648 g
2458283.6949884 4042.049130005989 27.4457042815134 26.2744 17.257896030143804 0.007371954219268719 20.93078904003862 r
2458283.7346065 2058.5376068641835 33.5743733686045 26.1707 17.88680298646535 0.017707569220375623 20.608255199776565 g
2458286.7163773 2113.292832096918 30.1089408306721 26.1866 17.874200800019153 0.01546840861965387 20.742436293626575 g
2458293.6755787 2305.340238181171 58.1387259943239 26.2311 17.824262423343 0.02738043338099099 20.072511212270577 g
2458293.7373958 3698.9767201677523 66.4540174425489 26.1533 17.23309600486541 0.019505158370962474 19.849571886369766 r
2458432.0493981 4076.534104642121 75.7832395453058 26.1907 17.164972299947493 0.020183288318536392 19.744342073293822 r
2458442.0023843 1982.0335488325713 32.1915408049325 26.0003 17.757522496789385 0.01763358439240404 20.483520578894712 g
2458442.0564005 1993.8253286412057 49.6270933490509 25.4444 17.195182228062443 0.027023498234814754 19.457677890700943 r
2458447.997419 3980.6842653530293 69.1214067707213 26.2233 17.223405669612227 0.01885231440839147 19.87684356816861 r
2458449.9859838 2588.4302896108384 75.4160405593853 25.7998 17.267208816849234 0.03163276042780155 19.358715670058253 r
2458450.9851389 2171.9001371955446 60.1446546786445 26.1895 17.84740036812921 0.030065402394108882 19.994082399859074 g
2458461.9991088 1445.1636804235334 31.5805564763577 25.8232 17.923407403931243 0.023725347260549118 20.32722554321215 g
2458465.0010417 2069.752442343815 32.6858830348496 26.2862 17.99640399064931 0.01714555928763645 20.75287443349099 g
2458467.9798843 398.90442349255005 23.6826193930743 24.4536 17.951427869317193 0.06445709388214135 19.270100650594735 g
2458468.044213 3470.244154910987 32.2855986895477 26.1736 17.32269992152401 0.010100866951288343 20.65365287871725 r
2458472.0017824 2014.1745895370468 36.6728888679132 26.2285 17.968257218286382 0.019767777654788564 20.570212183171954 g
2458476.9718519 3687.8339253109534 48.7889867314591 26.2626 17.345671612040206 0.014363500083556168 20.294370492634442 r
2458482.9767824 3578.488829142071 36.4653750461933 26.2632 17.378950835428945 0.01106345711218658 20.611073277563747 r
2458483.0227315 1342.0106094760722 48.1116042107158 25.9516 18.1322101269252 0.03892276880878525 19.998550394022313 g
2458483.0437384 1940.522097763787 36.9846666700797 26.2808 18.06100351838022 0.02069249953400601 20.61332071688333 g
2458486.9798727 3761.7777823889255 32.9692647585534 26.2728 17.334317157219743 0.009515376191527694 20.73010183383343 r
2458491.9756366 1513.3850009926562 32.8903715400694 26.0267 18.076826436490713 0.02359550038994118 20.48660304056349 g
2458492.0433449 3555.423414708109 38.388054751554 26.2288 17.351571679514624 0.011722348137594136 20.520884725281544 r
2458493.9913657 3632.3827827033397 23.0886842713695 26.2967 17.39622097880782 0.0069010855994559835 21.140777026720286 r
2458494.9390856 3607.9194347369094 25.2224518890828 26.25 17.35685792217103 0.007589974363708055 20.998106733394785 r
2458494.9977546 1850.8863471375435 19.8223088417867 26.2783 18.10985062022527 0.011627445814169454 21.287989393195417 g
2458503.0246181 3617.2100950520635 50.8259629883736 26.2622 17.366265664457618 0.015255333963586921 20.249560949484135 r
2458505.9598611 2085.2963247189036 98.7042544483077 26.2798 17.98188055550718 0.051389918921462246 19.54653530800251 g
2458506.0225463 3975.7314146342337 113.079194621474 26.2697 17.271157406437716 0.03087987310929281 19.388818222475624 r
2458510.0038889 1930.1898126536491 67.9109559082418 26.2639 18.049899952176574 0.03819879493002397 19.93662538016461 g
2458511.998044 1648.375742130623 30.7000402269546 26.0776 18.03495946319004 0.020220531534468154 20.612327627801434 g
2458512.9557986 226.1778025988448 44.3432480809743 23.4182 17.532075048944957 0.212856716655358 17.553706235640732 r
2458524.9209954 1962.582073416107 32.3209107421126 26.2442 18.012130430996372 0.01787992118547783 20.723066014480526 g
2458524.9515856 3762.948457696236 24.7840962837611 26.2471 17.308279325773164 0.007150800399682644 21.014242270136236 r
2458538.8158102 860.3825143615528 47.9041994712539 25.5893 18.25257106101088 0.060449379779102204 19.640941021529127 g
2458538.8571759 1986.6346850049047 77.8294037470351 25.6333 17.38800496593559 0.042533931520453344 19.15801573085777 r
2458543.7951736 541.7817827179414 25.689154707288 24.9149 18.08033900526195 0.051479610712977505 19.643100453678993 g
2458543.8367593 3037.565442180302 30.9844636665831 26.0955 17.389185891820187 0.011074603277901166 20.620215031608723 r
2458547.7976042 3499.3398680099504 26.4912647303827 26.2383 17.378334688210266 0.008219140524390675 20.93311825760008 r
2458547.8160301 1726.9298314134417 28.6229966875488 26.2192 18.12601327080203 0.01799493351634151 20.829987238387368 g
2458556.8356366 1880.168461143221 46.4888928629345 26.2612 18.07570809164504 0.026844930134929664 20.345401980297396 g
