jd flux fluxerr zpdiff mag mag_error limitingmag filter
2458202.7595255 1143.5212640213995 36.8622566484869 26.3338 18.688189387959447 0.03499834528876175 20.66992019288108 g
2458205.6472106 1217.515291440989 88.3926254510063 26.3913 18.67761393884238 0.07882272537092727 19.777834905233934 g
2458208.7313542 392.89322524913484 145.758760619933 24.8127 18.327013649415406 0.4027819169055773 17.656188322013627 g
2458214.6889236 441.0426835098026 56.6088771131665 24.7498 18.138598445175397 0.13935217651195628 18.620163638266796 r
2458214.7092245 397.08091780281285 53.2377548365191 25.075 18.57780245743514 0.14556285088147175 19.012025659281026 r
2458217.6892477 239.99192897188752 49.1745109995525 24.5602 18.609708408865906 0.222460675327411 18.583424864389798 r
2458217.7271528 1437.747401573149 27.989315602945 26.2122 18.31799352156427 0.021135840632970408 20.84729429118125 r
2458221.6961921 1064.839083939273 41.1469250985682 25.8846 18.316390042153213 0.04195302112151171 20.101331524105788 r
2458224.6519676 336.76003341430123 42.2504758482271 24.3641 18.045798640151624 0.1362137340448195 18.552095977715172 r
2458224.6580556 512.5956670830401 44.4177471131944 25.1397 18.365262672953957 0.09407872742120324 19.27338367122902 r
2458224.6677778 878.6868443158567 36.3902523059795 25.6058 18.24621468949872 0.04496356942656115 19.95591232239038 r
2458227.6548148 1639.3958607301895 28.3646924031865 26.3091 18.27239041446836 0.018784692141666868 20.9297297934539 r
2458227.6903588 1167.2549539398415 23.1187754799196 26.2869 18.618985685516513 0.021503489408058084 21.129562920887068 g
2458231.6757986 1705.4183403140846 34.6111637062247 26.3111 18.23152267715573 0.022034089553022863 20.71563448538464 r
2458234.6739583 780.0850943080673 65.0035194729051 25.8631 18.632745051053544 0.09047002898361012 19.58333281115732 g
2458234.7225463 1171.4225150032107 43.7604205170511 26.2855 18.613716082476472 0.040558114554620946 20.435371272382316 g
2458237.6644097 1217.5811096111704 63.377197132476 26.2988 18.58505524615959 0.056512557876906414 20.046542417834274 g
2458237.7008333 1115.118126266339 81.1432153065399 26.2934 18.67509781165544 0.07900256195572675 19.772844457500906 g
2458245.6596181 1632.8481481287724 36.4005024639244 26.2591 18.226735504931426 0.02420312358523496 20.608906542688164 r
2458245.7159491 903.8672929662623 33.9271899945454 25.977 18.586738321386818 0.040752387506130104 20.403205261974655 g
2458248.6876157 1256.5361573533173 20.1575064662266 26.3151 18.56716252471573 0.01741693196993178 21.306582969693487 g
2458254.6732523 1812.1218453213082 26.7624130071756 26.3214 18.1759315103406 0.016034215291267362 21.005161817648464 r
2458257.701331 1439.6162093181895 40.5107424816912 25.7118 17.816183180162753 0.03055155452382862 19.94544948162394 i
2458257.7239005 1591.7428767026292 31.9832254198419 26.1833 18.178617712488105 0.02181519914212222 20.673569341619068 r
2458260.6730093 1651.4991083065765 36.8016831289484 26.2776 18.23290414115249 0.0241935264585575 20.615505785078142 r
2458261.6650463 1485.3209605154295 53.0318632769549 25.7028 17.773249225598825 0.03876380626838386 19.644032773301895 i
2458261.6914236 1374.7477460590308 40.4485583304361 25.6916 17.84604245921146 0.03194404202897947 19.926917371464388 i
2458266.7402431 1623.1579184655163 57.1019029322017 26.1948 18.168898063062578 0.03819439581830711 20.055748535568803 r
2458266.7411574 1703.480211040234 69.8775301477542 26.1951 18.116757267928765 0.04453590595871318 19.836831123531468 r
2458270.7424884 1052.483399703316 72.0080413990713 26.0478 18.492261863372306 0.07428063052491811 19.656922493212498 g
2458274.7174769 1174.5217707027734 23.0569630174423 26.1814 18.5067473220383 0.021313308422592016 21.02696973172271 g
2458277.7008912 1047.8792585793417 30.5853562575923 26.0819 18.531121889644204 0.03168926287737347 20.62069113036906 g
2458280.6823148 1729.0570745643206 45.4791236206763 26.2788 18.184276677082348 0.028557000946547676 20.386844770974903 r
