jd flux fluxerr zpdiff mag mag_error limitingmag filter
2458202.7599884 468.311551903259 36.2156946534969 26.3464 19.67006282321529 0.0839598756970743 20.701732939604515 g
2458205.7535417 571.0661807952948 61.9624729347516 26.3449 19.45318389624751 0.11780185752126421 20.11715313362711 g
2458208.7834028 328.94972962344985 97.1972630461387 26.1554 19.862576165575348 0.320799985487114 19.43883989939299 g
2458214.6884606 277.15497872870725 46.6071486103602 25.0756 18.968793288664877 0.18257431808865018 19.15704365430575 r
2458214.7096875 268.4295303519939 48.3658705216891 25.345 19.272924271150945 0.19562238758358655 19.386227466895246 r
2458217.6878009 155.0804544770012 49.7939750304628 24.2283 18.751907337311337 0.3486017556041589 18.237932996182323 r
2458217.7099537 587.2434439015822 27.61660820333 26.2959 19.373854557675422 0.0510577884482613 20.94554914253162 r
2458221.6914468 228.32186190571622 49.2624239753979 25.5467 19.650331256639603 0.23424920094675564 19.567985545044984 r
2458224.6880671 302.7681784027503 33.0459155566323 25.7319 19.52912443018155 0.11849974032644171 20.18668051726351 r
2458229.6526736 471.5790169672273 39.1584658898589 26.3662 19.68231381798649 0.09015317664054247 20.63671081635644 g
2458229.6814583 644.589800670855 35.9364078313093 26.3468 19.323591426501544 0.06052866170368591 20.71053833094827 r
2458232.6592708 264.5147466850816 54.8934824118956 26.0081 19.95197527764069 0.22531013715295564 19.91187303152199 g
2458232.6994907 391.96536440630393 85.5540946660879 25.2228 18.739680768110766 0.23697522539947607 18.6447729892909 r
2458235.6626505 451.4383331555634 69.8554467288817 26.3383 19.70180391569825 0.16800092713307993 19.980374303332404 g
2458235.7021759 389.21705058257515 49.3303245137904 26.3264 19.85092035669956 0.1376042833798196 20.346190058092027 g
2458238.6602662 506.92944762461536 82.0314747752975 26.3237 19.561331199494205 0.17568829860026436 19.79132369056363 g
2458245.6610301 636.8493851007337 31.3137367770724 26.1838 19.173708165448563 0.05338361756208648 20.697037747710453 r
2458245.716412 196.596605205257 35.8392723034417 25.5629 19.828959964394922 0.1979215149682869 19.929577031732737 g
2458248.6866667 436.6240729382549 22.2521963118668 26.3239 19.7236308086719 0.05533183127813994 21.20804278243499 g
2458254.6751157 621.871603500451 28.6139842156438 26.3124 19.32814818476561 0.04995597561949449 20.92352915604159 r
2458257.7008796 468.00941014129785 43.2417507440003 25.7289 19.05326353648481 0.10031330089834535 19.89171681648254 i
2458257.7243519 484.0188356112435 39.5869246079824 26.1705 19.458344343601482 0.08879721383695693 20.429195579163252 r
2458260.6739583 594.4563982319634 35.125680269578 26.2773 19.34199998550513 0.0641526463204115 20.665813129513193 r
2458261.6845833 352.7406101674432 36.9269182043947 25.6939 19.32526134547012 0.11365732761952242 20.02811732812035 i
2458261.6984028 365.69985220852834 34.1886943798964 25.7019 19.294088037936906 0.1015003568201822 20.119768699177328 i
2458266.740706 694.6821930184998 59.6407537097731 26.2266 19.122134583434963 0.09321091997672133 20.04031718113416 r
2458266.7416204 626.7655917761464 62.2583359920063 26.2176 19.224837133699126 0.10784554269319695 19.984681216891005 r
2458268.6746181 480.72697175642276 90.7788959276353 26.223 19.51825377645303 0.20502000740364504 19.580612748018716 g
2458269.740081 423.7619052620063 88.4833429272396 26.1815 19.613695218627228 0.22669891800846872 19.56692118404399 g
2458269.7409954 354.89752954261644 83.531933030285 26.1828 19.807542559462405 0.2555402958365486 19.630743660101416 g
2458270.742037 452.0070744598531 68.1292477581875 26.0995 19.46163691974791 0.16364328894510247 19.768741004785618 g
2458272.6939583 442.17099035603144 25.4804832794787 26.2011 19.587124384275516 0.06256439544859137 20.938155837024787 g
2458272.7053472 445.46007471622175 24.6477872727657 26.1877 19.56567803606803 0.06007295414541723 20.96083014649212 g
2458277.7241088 412.84255787506294 31.3197306289323 26.1019 19.56243884956629 0.08236513144103294 20.614929943727706 g
2458280.6827662 783.4463784828083 39.6638223797158 26.2832 19.048176806622635 0.05496612549419349 20.539788577672116 r
2458280.7227431 456.1825030016165 26.5183061572193 26.2014 19.553553440543944 0.06311273406027801 20.895110538439184 g
2458284.6992824 645.1725108336532 40.5850967075651 26.205 19.180810362691513 0.06829683341354323 20.436658526269465 r
2458288.6997801 540.5522388576356 40.5856631046764 26.2055 19.373405823881946 0.08151636653261961 20.43714337406807 g
2458293.6793634 559.1787645104471 73.3605447188669 26.2319 19.36302332451792 0.142436638256469 19.820818620634817 g
2458371.0065972 650.1149885312901 23.8920931035681 26.2766 19.244124552747042 0.03990008835382421 21.083539493028212 r
2458374.0076505 429.0081308362285 23.5871501008832 26.2179 19.63673619177686 0.0596925023649606 21.03878631225639 g
2458377.0166898 630.7979176177322 30.0443185928762 26.299 19.29927437257082 0.05171088201983111 20.85716909257618 r
2458379.9858449 410.0821124620907 24.9946716594974 26.2081 19.6759229349161 0.06617385688390623 20.96605639903146 g
2458380.025162 678.3936847122905 56.715799640419 26.2979 19.219195509143134 0.09076786098873797 20.16621484012828 r
2458383.0282407 688.1387901500959 65.6444279157259 26.2788 19.18460990107753 0.10356944908244202 19.988380319537757 r
2458385.9643171 513.3136784647911 86.7628858105318 26.1824 19.40644290693708 0.18351052986980862 19.589140017654877 g
2458386.0301042 691.1713521264896 71.4548735049535 26.2786 19.179635677303892 0.1122421465033906 19.89609535231417 r
2458387.9892477 646.6306060366915 65.0965978080901 26.244 19.217359358504332 0.10929791380186098 19.962679260895516 r
2458388.0081019 487.09835058089527 77.0942762569879 26.2288 19.509758352599157 0.17183645896643415 19.763819649813378 g
2458388.9708218 346.85956395609526 53.2096995106181 26.1953 19.844915815502347 0.16655089483417115 20.13289797327311 g
2458388.9717245 441.23262465864076 60.8680831427233 26.2026 19.590930958477436 0.14977241975064942 19.994200926236523 g
2458389.0131713 607.5427672206586 37.9760347284337 26.2971 19.338157862578484 0.0678644914057311 20.600900949496566 r
2458389.0155556 660.4918853600971 37.2289847104405 26.2852 19.235531284128104 0.06119607158850821 20.61057200784481 r
2458389.9700463 487.8628301421455 56.6295810912289 26.1913 19.470555672894633 0.12602463723836757 20.061266616633475 g
2458390.0134259 613.0680720633054 40.9773104144392 26.2903 19.321528252202647 0.07256790549738938 20.511516365008518 r
2458390.9882523 423.5734185127837 48.9030224864488 26.2156 19.648278255001095 0.12534783627347726 20.244835734570692 g
2458391.0098264 608.1357707385366 37.5498578776222 26.2925 19.33249862624277 0.0670374654137263 20.608554245202377 r
2458397.9879977 359.7155302420153 18.1908907688784 26.214 19.82410202921789 0.054904079605580705 21.31694007402782 g
2458398.0271644 570.2353493450743 24.6996736803784 26.2494 19.359264659825023 0.047026961316210925 21.020246950114753 r
2458423.9730903 305.5572823934763 34.5871270955326 26.2386 20.025868403034885 0.1228942854625332 20.64388876469459 g
2458424.0090394 571.0784970048584 32.2333164191606 26.3215 19.429760480379297 0.06128003736758617 20.80331251048277 r
2458425.9930093 598.2174751827752 35.833318300952 26.3306 19.388452261174667 0.06503359613066648 20.697457420805513 r
2458425.9939236 679.8811954372246 39.6825060704737 26.3353 19.254217426594018 0.06336886080958141 20.591377260758893 r
2458426.0120949 427.42196039518745 28.5527867540584 26.3456 19.768457920255333 0.07252729960393081 20.95905373460137 g
2458426.0130208 451.80149676614354 31.8768293338518 26.3455 19.708130836614615 0.0766015027738535 20.839387196001937 g
2458426.9512731 409.24846792737384 24.4363217818412 26.3244 19.794432344371195 0.06482740104784744 21.106885400748002 g
2458427.0134722 622.7604759994717 25.8626096626964 26.3401 19.354297395205272 0.04508801761339347 21.060994126224585 r
2458427.9131134 266.4025450839986 24.573744192929 25.9493 19.885454076094277 0.10014812006338272 20.72569665652279 g
2458427.9873495 587.319514489131 37.4377154811068 26.2984 19.37621392223218 0.06920615899029497 20.61770164061204 r
2458428.014919 385.02912148099114 21.4367774534854 26.3183 19.85456605401965 0.06044714018442923 21.242976240824333 g
2458429.0122338 617.5198876136245 30.0940305176424 26.3172 19.340572627795144 0.052910180851450654 20.873574096550552 r
2458429.0131481 585.9450515713961 26.4184341922613 26.3216 19.4019577727459 0.04895082555201544 21.01940730511324 r
2458429.0312963 420.58238358678665 18.3371339433197 26.3247 19.76507230505907 0.04733585404238425 21.418946345921597 g
2458429.0322222 402.9455731033528 18.996444890471 26.3216 19.80848402793001 0.0511841836572165 21.377494159003593 g
2458429.9120023 607.7053028928589 23.8041354666241 26.292 19.332767434855512 0.04252743846908676 21.102943956359383 r
2458429.9519792 386.8104652789235 16.5220590741537 26.293 19.82425446114035 0.046374131899130075 21.500414562568064 g
2458430.8876042 338.9857961114534 15.7634681304443 26.0631 19.7376462471151 0.050487063309273356 21.321545556496062 g
2458430.9900463 608.9579189685022 22.4240715237273 26.3301 19.368631793833284 0.03997946934420274 21.205888814214077 r
2458431.011088 403.6011312319402 17.1659931442867 26.3301 19.815219062931842 0.04617707264562088 21.49600265230633 g
2458431.9924537 361.0134036900988 31.8359497480298 26.2787 19.88489168332047 0.09574240260371784 20.773980462881603 g
2458431.9948843 314.90061369421505 32.9740624433418 26.2502 20.004766232469045 0.11368647134330391 20.707343849081855 g
2458432.0315509 666.5062962110624 46.4924435330615 26.2958 19.236289359073144 0.07573348703649813 20.37991905847116 r
2458432.0324653 603.1621195486576 54.7111065468166 26.2871 19.336014853304818 0.09848073420513762 20.19448624268801 r
2458432.9633449 425.9489588739023 23.3791569650049 26.3144 19.741006097357527 0.05959106176479731 21.144902872228787 g
2458433.0137963 589.2005709921309 28.003206066034 26.3212 19.39554210239 0.05160056239371697 20.955755598565293 r
2458434.9230671 434.5518869913358 38.7738247901792 26.2873 19.692195899657193 0.09687391272457391 20.568528380416826 g
2458434.9240741 399.47143971209994 41.2738957691442 26.2674 19.763685663020304 0.11217590090759758 20.480786331432647 g
2458434.9646528 597.1797732863282 43.9391863159298 26.3138 19.373537276056823 0.07988343999107972 20.459244963625768 r
2458434.9655671 662.1784608246621 50.5005922528115 26.3142 19.26176237494119 0.08280017586285618 20.308533810664304 r
2458435.0533681 289.9298953287525 53.0504479165438 26.1205 19.96476750311892 0.19865792466031254 20.061352351419423 g
2458437.8879977 631.2350379423076 38.47836041136 26.3168 19.316322256900445 0.06618130076364949 20.60633359370481 r
2458437.8898611 634.5753199212327 39.6026501485931 26.3132 19.30699205652051 0.06775649149365678 20.571464366113872 r
2458437.9983218 401.21423221923163 31.2810852762656 26.322 19.813559174269578 0.08464773070633273 20.836370458647814 g
2458437.9992361 398.069063215934 32.3346385909325 26.314 19.814103933059883 0.08819001616091979 20.792404961319434 g
2458438.9732639 376.5684455396111 21.5017914734171 26.3001 19.86049018598538 0.061992700873375085 21.22148837488175 g
2458439.0300231 571.7084169666874 26.9974902036264 26.3183 19.425363534615283 0.05126944827853584 20.992566508519815 r
2458439.8467245 367.69142105811454 27.0295022577508 25.8128 19.39909125732802 0.07981130078257075 20.48577986831885 r
2458439.9793056 265.28484705364883 17.4453131442963 25.7871 19.72781889001712 0.07139637522128116 20.935478065502245 g
2458440.9469792 20.122215191848504 21.2075423156034 22.6363 19.377110527151615 1.1442591420738824 17.572649133594144 g
2458440.9544213 225.75476114832856 17.9743214050278 25.8315 19.947407704212306 0.08644212263863109 20.94744373117703 g
2458441.0320949 563.0089531246256 24.0732201495548 26.3168 19.440511747055897 0.04642252129618659 21.115539520468246 r
2458441.0330093 607.6480134595384 25.6441847526841 26.3167 19.35756979391623 0.045819110355477276 21.046802746451828 r
2458441.9735417 407.3483311164506 20.3446068817625 26.2542 19.729285146575325 0.054224205684090816 21.2356517331326 g
2458442.0330903 265.4865791596394 33.2760972701112 25.4833 19.423193571053567 0.1360816765974288 19.930544026351583 r
2458442.8467477 265.11095508273127 53.6092324823758 25.5191 19.460530814261418 0.21954409122004126 19.44857601535406 r
2458442.9930671 99.83874635561979 18.4694464196627 24.8029 19.80465220232357 0.20084665232476728 19.889340292585437 g
2458443.0315162 519.9584824106212 24.8646329952671 26.1362 19.346278331200566 0.051918629960233255 20.899819855707534 r
2458443.8316435 230.76407860698134 62.3049419454997 26.0454 20.137479484424578 0.29313260486020276 19.81166874993824 g
2458443.9465856 639.4826831365444 36.013115603947 26.3373 19.32272802874545 0.061142296175136016 20.698723251333632 r
2458443.9475 527.7477800744 38.5597702945034 26.3392 19.53313396209703 0.07932642104688808 20.626438893933514 r
2458444.0140509 416.01726618835846 26.3958233976787 26.3269 19.77912161060432 0.06888643282869039 21.02563695407232 g
2458444.0149653 393.1815913229758 29.1436880802359 26.328 19.841517059843937 0.08047503455654065 20.919213713956623 g
2458447.9235532 571.7438375269995 62.7428850776384 26.3278 19.43479626921861 0.11914417936437344 20.086463777192108 r
2458447.930706 528.9515222477612 57.2753770391118 26.335 19.52646032173166 0.11756063502211972 20.19265509717041 r
2458448.0119097 597.5843908042793 52.008496174642 26.3278 19.386801887570428 0.09448979117545664 20.290189248324914 r
2458448.0128241 609.178973839165 61.2660932556227 26.3338 19.3719377374996 0.10919056681885944 20.11832452007562 r
2458448.9430324 502.71477111676097 51.3390303956499 26.3139 19.560595884601113 0.11087556702727393 20.29035583366787 r
2458448.9556366 421.36238892868164 48.0361649893853 26.007 19.445360580989913 0.12377199697764871 20.055654169603315 r
2458449.0276505 610.9081406979993 44.2815925033052 26.3231 19.3581602190219 0.07869681508239215 20.46011691150224 r
2458449.9234838 364.43234616068213 36.7608766422439 26.0062 19.602157707570502 0.10951630444155715 20.34531034034882 r
2458450.0026273 642.688378381826 39.9435318362324 26.3305 19.3104988832187 0.06747701370263932 20.579458831991225 r
2458450.9712731 407.8035367952254 41.5123877145095 26.3213 19.795172529989664 0.11051890254761187 20.528430704411985 g
2458450.9750579 405.6855284083143 37.0963790114568 26.3211 19.800626210370133 0.09927773083441647 20.650346188982894 g
2458455.971794 582.5217514095551 31.3845449258091 26.2675 19.354219633519776 0.05849429715456978 20.778285399694784 r
2458456.0056829 390.7452329623188 38.8173792376002 25.9172 19.437465779022347 0.10785551577625174 20.197209462731443 r
2458457.7862384 343.40730550112346 29.6143712357437 26.2168 19.877276175201313 0.09362736999356512 20.79061869852793 g
2458461.9577546 156.04248615706214 25.7751584046908 25.3563 19.873192847200094 0.17933634722921457 20.08087163171319 g
