jd flux fluxerr zpdiff mag mag_error limitingmag filter
2458199.804838 1277.708557090769 39.9583959576821 25.2771 17.51102049158175 0.033953619744110014 19.525654873903065 r
2458199.8139699 1306.7450728703377 37.4315283835495 25.2886 17.498122821875526 0.031099723434772925 19.608081088286113 r
2458202.7915509 1408.1943873110597 45.6120544805082 26.2614 18.389743477492026 0.035166315102311885 20.366275903194033 g
2458205.8088773 1397.446896752293 76.3613261659101 26.2846 18.42126171600212 0.05932639874259506 19.829991333729126 g
2458205.8152778 1482.4564567304478 82.3921036003674 26.2812 18.353745135093753 0.060341136141163564 19.74406101110393 g
2458210.7847106 905.928495751317 115.169279544558 25.7678 18.375065198760876 0.13802335105689256 18.86703336400098 g
2458210.8047801 1307.3795424532843 93.3825684978939 26.1474 18.356395787619768 0.07754860109552782 19.474310451467666 g
2458215.7458681 136.83966676744734 78.3338535207294 23.444 18.103469980203755 0.6215088561417608 16.961701260265972 r
2458215.7618171 676.0164106264094 49.2064265754186 25.5206 18.445706903052763 0.07902680540466293 19.543120421064025 g
2458218.71625 2955.3207809775304 25.4378226828574 26.1737 17.49718843090996 0.009345125667760216 20.912575149911603 r
2458218.7750463 2788.3635637836896 30.3605507319901 26.1171 17.503726502321857 0.011821431881355178 20.663900875968363 r
2458221.7192824 2261.4394528638395 49.8605457161094 25.8495 17.463537588598093 0.02393767138687986 19.857682420457472 r
2458221.7398264 2486.145470279887 55.384009541354 25.9856 17.496783658371612 0.02418620305121512 19.87971400560484 r
2458224.6960069 1524.9463201189621 34.2997816103684 25.5024 17.54426360929535 0.024420054924603453 19.916746602005933 r
2458224.7204745 2523.0793086937756 29.3243904914565 26.0078 17.502972744904305 0.012618505746875204 20.592302504023777 r
2458227.7403009 3097.7249157366186 31.341140376763 26.225 17.497392877741234 0.010984537695452592 20.737288002580513 r
2458230.7275231 1988.3733745903876 42.511780260744 25.7238 17.477555152338297 0.023212461210208004 19.905101758544752 r
2458230.8103356 1223.5946428180996 27.9444969860167 26.1366 18.417506082813592 0.024795254339985372 20.773434247862486 g
2458236.6693287 1309.1465230736424 106.491351443122 26.2304 18.437929358410788 0.08831529414320097 19.414689142799226 g
2458236.6903241 1161.5067873117682 106.940947801322 26.2191 18.556545620097516 0.09996135045978904 19.398814916991995 g
2458242.7022222 1264.3110361485196 27.6749906010109 26.2615 18.506865177741325 0.02376530492611149 20.908856284021066 g
2458242.7920023 2916.0592559289175 40.1973234480994 26.2211 17.559109137903782 0.014966168461381001 20.463182148141556 r
2458245.6508565 2942.7343223720486 26.5579801633053 26.2104 17.538522363385134 0.009798369782855 20.902487383700816 r
2458248.6591088 3183.360119652248 29.7309713040337 26.2603 17.503085571896165 0.010139888146967035 20.82985224481466 r
2458248.6700347 1338.7206233172867 21.8619625929785 26.2886 18.47187511536974 0.01773001205313565 21.191952121996586 g
2458258.6676736 1235.4800356784008 23.3395026890689 26.2311 18.501510670099833 0.020510002054066466 21.063445994172582 g
2458258.7081366 2828.5784907379893 28.6599713248713 26.1537 17.524779413599873 0.011000624861321924 20.763085610316512 r
2458267.6866088 1256.330367086762 99.3052483563275 26.1824 18.434640356639004 0.0858179591650506 19.442544484438145 g
2458270.7534375 1244.667019083883 62.2610602909928 26.0539 18.316267045349196 0.054309170341546004 19.82093370830791 g
2458274.7269907 1272.9089161496338 20.1451284735545 26.1666 18.404606678667985 0.0171823495823224 21.158749885652153 g
2458278.6921065 1273.9345415639216 33.1820041812311 26.1606 18.397732216830423 0.028279084022116506 20.610918454878608 g
2458278.7522454 2657.832695332193 38.4079797992393 26.1029 17.541580901016 0.015689303446853053 20.394421327802355 r
2458281.6916435 2911.137646066184 32.7363765077425 26.1814 17.521243148792422 0.01220893282819647 20.64639847173446 r
