jd flux fluxerr zpdiff mag mag_error limitingmag filter
2458198.9149306 2997.204155941305 24.2625610841149 26.3124 17.620609184695446 0.008788811571879926 21.102633384685067 r
2458198.9375347 2999.729469879368 25.6538551464476 26.3049 17.612194775731105 0.00928496746528887 21.034593393705862 r
2458203.8763657 1971.5279550470016 41.7555883500059 26.2204 17.9833926512999 0.022994369496789936 20.42118847061956 g
2458203.897338 1999.806327290607 35.8074997750232 26.2268 17.974330154667236 0.01943998375003306 20.594439994492436 g
2458206.8802315 2033.4836857557425 56.9794001061503 26.2535 17.98289826876402 0.03042194787624088 20.11678030775249 g
2458206.9080671 1924.6482039272291 57.9055652212652 26.2785 18.06762160312313 0.03266470829964969 20.12427422626892 g
2458210.844456 1840.4808368760043 144.175982336418 26.0095 17.847171750191933 0.08504943973681527 18.86484269131377 g
2458210.8893634 1811.6742461289134 120.58557181958 26.1403 17.995099723362863 0.07226451201382379 19.189636621266466 g
2458214.8944213 21.98302554528341 95.8742591377567 22.1799 18.82468133856258 4.735048091148478 15.47821993669245 i
2458216.8667361 2845.21635188924 32.3244232085819 26.2093 17.574011760027147 0.012334607262556445 20.688048028795112 r
2458218.9271296 2891.545988996616 25.3620508106364 26.2235 17.570674740020692 0.009522787695541013 20.9656140684492 r
2458219.8228009 2342.586424049149 30.7537831723797 25.9438 17.519560944755437 0.014253212623224914 20.476628618976726 r
2458219.8790278 3123.355494747827 26.9739381776092 26.2776 17.54104645583434 0.009376327711871545 20.952814094667982 r
2458219.9012963 3060.387322684691 32.4953007677045 26.2421 17.527659014302778 0.01152800097621227 20.715123586575416 r
2458222.8438542 2892.273424462711 32.1461929726001 26.2271 17.574001632245405 0.012067020156241075 20.711851120573236 r
2458222.9138773 3025.9911705742406 32.0877407729449 26.2367 17.53453085880627 0.011512809586478455 20.72342713802166 r
2458225.8962269 3191.684858968623 50.0359528127829 26.2832 17.523149991586145 0.017020488039785023 20.287569553460955 r
2458225.8966898 3309.5308684054016 47.3537079180858 26.2783 17.478883909595805 0.015534504052363486 20.342490011523658 r
2458225.8971412 3276.205318681492 44.5234797953521 26.2759 17.487472222425374 0.014754613130677616 20.407002239442804 r
2458225.8975926 3282.534649027209 45.535420645948 26.2776 17.487076702470233 0.015060863473278742 20.38430160704774 r
2458225.8980556 3118.810177202317 46.2283249324556 26.2788 17.543827643182727 0.0160927050790213 20.369104596132075 r
2458225.8985069 3222.594224254677 47.0849395051346 26.2755 17.504985939028234 0.015863033091778014 20.34586994722674 r
2458225.8989699 3198.75896668799 44.7231802150452 26.2775 17.515046209246727 0.015179623493091647 20.403743293738508 r
2458225.8994213 3223.473305297073 44.0631576475687 26.2825 17.511689804953875 0.014840938865338767 20.424885948465736 r
2458225.8998843 3126.6654167551706 45.8830542572635 26.2759 17.538196474883833 0.01593238334366101 20.374344190426097 r
2458225.9003356 3369.186312201593 50.2848939916883 26.2785 17.459687430899987 0.016204004275175085 20.27748114189603 r
2458225.900787 3255.691216499977 47.929410082554 26.2828 17.50119198037955 0.01598338327139362 20.333869779890804 r
2458225.90125 3212.5735488318646 50.3846205393685 26.2768 17.50966730196393 0.017027651410341405 20.27363000886801 r
2458225.9017014 3290.141272835038 46.8832933930753 26.2835 17.490463634535807 0.0154708225014914 20.358529709653148 r
2458225.9021644 3291.5087599422545 47.6881241123913 26.2881 17.494612461873686 0.015729867402732224 20.34464939138208 r
2458225.9026157 3275.1097393717832 46.4584733068115 26.286 17.497935358718557 0.015400999808598905 20.370912653788334 r
2458225.9030671 3203.3168255838373 47.1597151931376 26.2819 17.517900262770603 0.015983839742688435 20.35054705505855 r
2458225.9035301 3244.498079178397 46.5774061557881 26.2819 17.50403119654506 0.015586105656177407 20.36403674042769 r
2458225.9039815 3241.7315705854658 42.577321702597 26.2807 17.50375737365702 0.014259724214044343 20.460329141752155 r
2458225.9044444 3282.8038281221143 47.1523637569042 26.2862 17.49558767202951 0.015594389433911247 20.355016316951208 r
2458225.9048958 3261.7898550448085 44.9389623846412 26.2757 17.49206005592046 0.01495811613539239 20.3967173877009 r
2458225.9053588 3189.571644538074 49.5865652393641 26.2791 17.51976909557398 0.016878797493879265 20.293264922568753 r
2458225.9058102 3273.4047530946073 43.8993170635102 26.2822 17.4947007282764 0.014560218528061606 20.42863057909315 r
2458225.9062616 3358.6461046841364 47.5481948245288 26.2863 17.470889386704158 0.015370203799976065 20.34603990535743 r
2458225.9067245 3191.562781165896 44.3475182333198 26.2826 17.522591520380796 0.015086057786501239 20.41800168678638 r
2458225.9071759 3292.679275318458 47.7004931912365 26.2789 17.485026424619356 0.01572835406288292 20.33516781571453 r
2458225.9076273 3173.001966150787 48.6507060521718 26.2822 17.52852414697228 0.016646718824734827 20.31705212059162 r
2458225.9080903 3263.256493091991 48.9323453769516 26.2825 17.49837197293408 0.016280009704483487 20.31108490807521 r
2458225.9085532 3262.404483622797 46.8277622434845 26.2816 17.497755486753164 0.015583874324281799 20.35791647750034 r
2458225.9090046 3271.188855156548 46.1683641946998 26.2782 17.49143595519906 0.015323173080383574 20.369913771149044 r
2458225.9094676 3245.3670629960875 45.6288206689956 26.2816 17.503440439440812 0.015264594000838374 20.38607687900599 r
2458225.909919 3153.74790850021 45.4080533567642 26.2805 17.53343256122327 0.0156320431942462 20.39024277892068 r
2458225.9103704 3262.1782534429785 46.8508547626954 26.2843 17.50053077932185 0.01559264058062225 20.36008119238458 r
2458225.9108333 3192.9312792419687 47.1745063362977 26.2806 17.52012607146158 0.016040859338970145 20.348906578834548 r
2458225.9112847 3241.5579372704574 44.7142571457598 26.2774 17.50051552931281 0.014976215117114222 20.403859939020368 r
2458225.9117477 3303.1313614698106 49.0019036313652 26.2821 17.484785386519977 0.016106343027453784 20.309142609469347 r
2458225.9122106 3237.691656615381 48.7735643634078 26.2839 17.508311284730897 0.01635531250208933 20.31601375187291 r
2458225.912662 3301.050213864666 50.8343446484799 26.2861 17.48946967339228 0.016719178567187135 20.27328191654462 r
2458225.913125 3204.772025206275 40.6965868588189 26.2883 17.523807147590965 0.013787028844828911 20.51698002079827 r
2458225.913588 3235.2943389930133 47.2335953661532 26.2771 17.502315505428328 0.015850648848535348 20.344047477099878 r
2458225.9140394 3198.819493294256 47.3010087288599 26.2832 17.520725665246154 0.016054267921206247 20.348598982944054 r
2458225.9144907 3327.1166662774317 47.4266414040755 26.2806 17.475429925516426 0.015476194476226756 20.343119063010086 r
