jd flux fluxerr zpdiff mag mag_error limitingmag filter
2458198.8951852 1981.7774593752908 23.0773960801961 26.1614 17.918762788844298 0.012642756029815252 21.00600797922889 r
2458198.9153935 2044.486417518954 27.0646123382351 26.1643 17.887839425804394 0.01437233789563654 20.83587046209522 r
2458202.8754282 1312.5195328705406 32.5492242508075 26.1991 18.40383556179593 0.026924317607536365 20.670323383059824 g
2458205.8908218 1311.4660946830993 72.4324839935012 26.0123 18.217907331846053 0.05996338616039227 19.6150415413738 g
2458205.9015741 1257.3841645938674 69.9640170100984 26.0455 18.296830033562493 0.0604110783377002 19.685888147405073 g
2458208.8878588 1260.8463348957866 135.226826546213 25.8717 18.120044599137003 0.1164422352810807 18.796617848435915 g
2458208.9096296 1166.977271212607 149.099508183151 25.7262 18.058544006165647 0.1387150718593175 18.545084461910697 g
2458214.8935069 228.18063891300147 79.8268399635915 23.0648 17.16910302041199 0.3798218839308064 16.562002645236312 i
2458217.8814931 1876.7302358281133 23.8597565007234 26.1006 17.917095372670175 0.01380301608526328 20.909009971181625 r
2458217.9505671 1969.8971873516793 29.2698893793482 26.1182 17.88209109973691 0.016131968258648547 20.704722286426126 r
2458218.8211574 1850.8431031712796 29.9845455123805 26.0617 17.893275987578793 0.017588860453385983 20.622031313033954 r
2458219.822338 1407.071085508556 29.7453889401344 25.8033 17.93250990342048 0.02295162561785692 20.37232585921393 r
2458222.8433912 1747.1633682331467 34.940160998102 26.0896 17.98376621120468 0.021712069681269354 20.48386273465013 r
2458222.8590162 1865.9995027325156 33.3093866126904 26.1027 17.925421190810013 0.01938049875814032 20.54885840091569 r
2458226.8548264 1847.1795308967653 24.759588800327 26.1044 17.93812723150134 0.014552719489840086 20.872616419714614 r
2458226.8760995 1879.7473212102955 26.8668525345817 26.1098 17.92455131351533 0.01551769297269931 20.78933301017492 r
2458229.8150347 1465.170982359884 27.6853077081471 26.2353 18.320579227758582 0.020514969884485673 20.882251602066017 g
2458229.8759259 1919.1893280205477 29.2480498294843 26.1353 17.92750545000505 0.016545844245925867 20.722632704270787 r
2458231.8107523 1889.3822214282761 32.5679651835123 26.1172 17.926400438883217 0.018714603852369102 20.587798426427415 r
2458232.7712847 1168.4860214007927 55.8164009126226 26.0889 18.41984119676478 0.05186186686100587 19.97457041568368 g
2458232.8347338 1253.7236843538499 23.7720135926253 25.4498 17.704295424280467 0.020586095229440445 20.26221006438007 i
2458232.8562731 1796.1044786408802 33.1227519379401 26.076 17.94017101051717 0.02002187078016402 20.528258958898064 r
2458235.7976157 1422.8332066994906 70.0978814916459 26.2122 18.32931501903673 0.053488539329229874 19.850512757024724 g
2458236.7876389 1415.2903968100266 97.8580106291462 26.1781 18.300986100362447 0.07506900518757999 19.45418403247748 g
2458237.7973495 1114.5288002576551 122.181088274882 26.1435 18.525771761361398 0.11902070858049887 19.17856501640407 g
2458243.7952778 1945.6168012772207 37.3350539792681 26.121 17.898356730156863 0.020833839468636362 20.44328303023354 r
2458246.7528241 1801.4193172696484 30.2808927265283 26.1094 17.970362961176956 0.01825003480201422 20.659053302472135 r
2458246.7937037 1390.3479100752706 22.7826259340627 26.2099 18.352091279005364 0.01779058090235326 21.06846554022503 g
2458249.8133565 1194.9197683709215 41.6080787233902 25.4381 17.744753134956017 0.037804957509048484 19.64273083300455 i
2458249.836331 1260.290018882047 29.9397998942406 26.1774 18.42622375802605 0.025792190891118442 20.739352755748705 g
2458255.7926968 1776.3502433289223 22.8393921259161 26.1165 17.99267850046388 0.013959368724850938 20.972363636884076 r
2458255.8365625 1361.2908392831189 21.3619484854971 26.2095 18.37462269507067 0.017037261106464138 21.137972830592467 g
2458258.7515856 1627.0271686937508 24.7359435277973 26.0426 18.01411298748689 0.016506063577100907 20.811853787299217 r
2458258.7735185 1237.5655364305055 22.2455954398144 26.1565 18.425079483296088 0.019515768868829306 21.040964902052202 g
2458261.7532292 1158.3598152777586 37.1160069201529 25.3968 17.737191292546697 0.03478785104742898 19.725471871601112 i
2458261.7961574 2573.9612383659014 67.7124587259857 26.1702 17.64369499370588 0.028561197947749396 19.846103529480267 r
2458267.7132176 1252.8663790972848 121.685658554425 26.1646 18.419838112449106 0.10544948902510265 19.204076497111714 g
2458267.7521412 1061.7126349206521 129.011724477004 25.4029 17.837882535716815 0.1319264974887968 18.378902038134964 i
2458267.8144792 14505.007059901083 4630.78324054881 26.275 15.871205138701837 0.3466141962910654 15.363438857036224 r
2458270.7899074 1215.1816111591984 57.1355632238185 26.1761 18.46449702773586 0.05104758039658408 20.03640870698089 g
2458270.817037 2176.6488504252957 56.9716468525286 26.275 17.930529070510758 0.02841713167271084 20.138428055200176 r
2458272.8354398 1193.5484659357137 28.7352017128234 25.4376 17.74549985270071 0.026138702692021832 20.044139363904083 i
2458273.7532755 1287.326722680162 19.1884143332646 26.2098 18.435578038626176 0.01618304123933061 21.254777270242883 g
2458273.8157176 1821.1472068240303 26.0740558292218 26.1133 17.962437369824247 0.01554437900885266 20.825353511426282 r
2458276.7550926 1244.7345816406169 17.672789737783 26.2094 18.471708111415893 0.015414810596023776 21.34371221300282 g
2458276.7752315 2068.4528257645493 20.5422615778452 26.275 17.98588594851625 0.010782326344243753 21.245954351485143 r
2458277.6674421 1093.6369790716456 44.8056089102694 25.4149 17.817717033556594 0.044480435944268364 19.539144029705604 i
2458279.7527546 2112.523497175689 25.406154612071 26.275 17.962996129452193 0.013057114914557324 21.01522764738576 r
