jd flux fluxerr zpdiff mag mag_error limitingmag filter
2458206.806088 1342.0515290001129 49.5378038055663 26.3791 18.559677022021933 0.04007535659362809 20.394333117178228 g
2458206.8308912 1248.2307278470357 55.5057689572084 26.3952 18.65446282635918 0.0482784248235764 20.286929680178602 g
2458284.6838773 2628.7025789050226 28.2968532324047 26.2706 17.721246371979593 0.01168709377810969 20.893829633546027 r
2458284.6843287 2708.5055884051562 28.2660285264104 26.2459 17.66407566001194 0.011330390936794771 20.87031300686688 r
2458440.0210069 1077.9388019743542 20.1864484136808 26.1237 18.54221473683258 0.020331791566080643 21.11362519848978 g
2458448.9775694 2861.700805378771 65.1213267547739 26.2958 17.654239435669645 0.02470636494380131 20.014066888894767 r
2458449.9633333 2899.5770654477196 41.3810534705943 26.3166 17.66076336002617 0.015494469965428238 20.527171132528377 r
2458476.9530208 2915.5881418880385 45.2849406937681 26.3574 17.695584561943324 0.01686310196041127 20.470090480867945 r
2458481.9692477 2950.272184695928 39.9011492160404 26.3285 17.65384478814058 0.014683620693905552 20.57861147857733 r
2458483.0306481 1409.4455455159584 37.9152154281086 26.3275 18.454879246516736 0.02920620063773257 20.63304116935884 g
2458493.9631713 3141.0035761849467 19.3335177891438 26.4128 17.670128922839694 0.006682704987292088 21.449597783289892 r
2458503.9967824 1606.5392279775172 99.4536968863045 25.6436 17.628871663786956 0.06721085724460872 18.902122660843624 r
2458506.9970602 1239.3957033034621 79.8948210694635 26.3584 18.62537503445413 0.0699871776252867 19.85467841802925 g
2458508.0022454 1305.8308269364377 67.5699692932142 26.3526 18.562882707895355 0.05617934126563054 20.030790685254004 g
2458509.9668981 2857.8818331609446 48.0168643376499 26.3085 17.6683893306288 0.018241450365960823 20.357590499759546 r
2458513.9636343 81.41311087560962 25.5426023627468 22.4768 17.700064125294737 0.34062822421323613 17.21121213289813 r
2458522.9508681 1280.8613837855191 32.3041724660892 26.3036 18.53484466883579 0.027382073103631 20.783028438597853 g
2458540.7704167 2678.1918743568217 29.2831394794774 26.2225 17.652895779858476 0.011870958476604205 20.808530898911155 r
2458540.8888194 1349.4709463575878 21.3469857743925 26.3217 18.49629115304174 0.017174450860031013 21.25093358747455 g
2458558.7176968 3080.397930564115 45.5535171725079 26.2943 17.57278294260832 0.016055540455818532 20.400570203305517 r
2458558.8074537 2902.3688636711536 36.5373300011584 25.7826 17.12571848415916 0.013667655989143164 20.12833296988704 i
2458561.7838889 1626.5091109281739 76.6996620965716 26.2884 18.260258749161977 0.051197268173141575 19.82899136253123 g
2458567.9072222 1562.1308884642062 60.5064542827538 26.2276 18.243306450224512 0.04205272291835297 20.0256707298066 g
2458574.7392593 356.17461325721337 40.5409360438143 23.8948 17.515642596483016 0.12357785373934922 18.127640559571727 r
2458580.7452431 1514.7667484085794 22.5971288088839 26.2608 18.30993559229031 0.016196356814394342 21.128241836166794 g
2458580.8512269 3354.9562463654506 29.281405668162 26.3163 17.502082848265008 0.00947577846011067 20.90239518564686 r
2458582.7266898 3281.9436499045105 25.3078144698668 26.2913 17.50097219984779 0.008372079810308087 21.03573838413271 r
2458585.7288889 1615.8293703442087 28.8724499392466 26.2709 18.249911255299686 0.019399832355047764 20.872265896625414 g
2458587.7254398 1552.3699539836662 40.185386438402 26.2615 18.28401192897811 0.028104946210928863 20.503904616585793 g
2458588.7086343 246.34278130335852 96.8657100890161 24.4173 18.43845039883752 0.42691367243327866 17.704449822968584 g
2458589.7014583 1544.962656265031 98.4757829300674 25.5128 17.540505033921548 0.06920242187966089 18.782051383295126 r
2458592.8051273 3352.583803845601 68.3671007866557 26.3093 17.495850893427807 0.022139986848033612 19.9747570807677 r
2458593.7904977 3386.3995169325517 63.1322272754696 26.3023 17.477954516214588 0.02024057079215044 20.054247210900055 r
2458596.8520255 3099.3991963075555 28.1927306910632 25.7396 17.011406209782304 0.009875735835433178 20.366832132167573 i
2458602.7631366 3046.863818461442 26.809689718118 26.2314 17.521767391037038 0.00955319366444768 20.913245519895497 r
2458606.7351968 3121.7941080718424 24.9766335605912 26.2728 17.536789358466585 0.008686393182246925 21.031540233586583 r
2458608.7601968 3132.040622647933 26.7715985853994 26.2501 17.51053153441724 0.009280187611230537 20.933489227788655 r
2458618.7109491 3124.061862241374 43.0525565693516 26.2861 17.549300937175655 0.014961983061951801 20.45367762401823 r
2458833.9969097 3428.2528492838846 79.7163325867616 26.3797 17.54201788592175 0.02524551895509276 19.878406713096897 r
2458833.9973611 3354.8285525549695 94.2792989218796 26.3694 17.555224173522774 0.03051095852917137 19.685934128232333 r
2458834.0562153 1395.861057105656 106.848619942502 26.3488 18.486694522218066 0.0831068006955607 19.529452696195335 g
2458834.0566667 1808.1020935764107 96.872835008345 26.3761 18.2330426273714 0.05816863845366455 19.663169965004634 g
2458837.0673148 1630.1543997163385 38.0899889325433 26.3995 18.36892814885335 0.02536833381626813 20.700047872979894 g
2458837.0682176 1649.9213034787033 37.9388908212402 26.389 18.345341924737983 0.024964980861677904 20.693863414822122 g
2458852.0305556 1056.251238914979 37.1519347168912 25.9961 18.436681921605924 0.03818774741846768 20.32372140185982 g
2458852.0310069 1074.2849105400014 34.7588792347456 26.0308 18.45300131086944 0.03512821860840809 20.430710577630684 g
2458853.0756481 3426.2321451997473 37.2707741152519 26.4265 17.589458036611 0.011810314579419695 20.75065395626309 r
2458853.0760995 3391.1293203287332 36.1331542165277 26.4181 17.59223912033931 0.011568348425320809 20.775910302577252 r
2458884.8550926 3229.319356086116 38.7351093034668 25.8284 17.055622510770974 0.013022777722963749 20.110713024647737 i
2458954.8529051 3131.4665379978514 24.157726230984 25.797 17.057630561727322 0.008375642227283263 20.59193485093946 i
2458955.8505093 3052.337829897503 24.9502604914045 25.8068 17.095218501874214 0.008874672243087684 20.566687278651308 i
2458956.7855324 3302.677085672376 25.6346138710135 26.3752 17.57803471682071 0.008426951699425159 21.105708038819856 r
2458956.7864352 3223.8592591181773 26.0377492111552 26.334 17.563059815060146 0.008768740210539985 21.04756638997865 r
2458966.7794097 1080.8874930751335 27.7999503296923 24.6711 17.08664877085094 0.02792372588850829 19.313564939253233 i
2458968.7558333 1575.2566276086243 24.851330550818 26.372 18.378621711232892 0.017128059711758032 21.136200874151697 g
2458968.7562963 1596.4102886610356 26.1621974361849 26.3765 18.368638704765896 0.017792605045341827 21.08488944217677 g
2458971.8325347 3253.7745462206867 30.4722040060472 25.8478 17.066831356466864 0.010167782499802477 20.390615321190435 i
2458972.8320602 3149.5081765021223 37.4021315850706 25.7957 17.05009314957981 0.012893281104928031 20.11603410469792 i
2458975.7882639 1452.2552621989987 73.2183057367528 26.3768 18.47169260299291 0.054737701151810175 19.96782580131749 g
2458975.7887269 1494.825001054783 82.161407397106 26.3732 18.436724117888662 0.05967430297733485 19.839105314233823 g
2458976.7914699 2990.0148706538653 75.2548830758649 26.3231 17.633916629333697 0.027325692376104875 19.884338275867393 r
2458976.7919444 3067.9423021863367 73.0866470442337 26.3603 17.643182030710605 0.02586429759105198 19.953279893028103 r
2459000.7414352 1481.5783636867911 54.5035362705213 26.3437 18.41688843214949 0.039940168390184855 20.255213287002707 g
2459057.6671528 3110.007779739288 40.5680480789376 25.8186 17.08669631144125 0.01416225711274421 20.050714708557003 i
2459057.7497685 2814.579238853734 38.3332801249923 25.7324 17.108866300346087 0.014786736737478984 20.0260350321254 i
2459272.8007986 3358.4154279746595 107.361268692415 26.4164 17.601063959209995 0.034707477951781994 19.591855901833608 r
2459272.8012731 3276.654794710385 97.2571641875618 26.4083 17.619723276044688 0.03222558059179648 19.691070983380826 r
