jd flux fluxerr zpdiff mag mag_error limitingmag filter
2458202.7644676 1167.802973220103 43.5571347366909 26.2674 18.598976058429756 0.04049482855248073 20.422326730698302 g
2458206.6897569 1160.1677445253972 70.2565712619748 26.297 18.635698032848875 0.06574700923988347 19.932857611512663 g
2458206.6906713 1309.7979231617003 75.1914830925394 26.2685 18.47548925632883 0.06232670837995502 19.83065336159669 g
2458206.7543519 1220.463232442815 73.4674457058892 26.2705 18.55418824890809 0.06535518947443691 19.85783763744344 g
2458206.7548264 1161.7635020682258 82.222038638391 26.2675 18.604705678573886 0.07683876037660092 19.732604387639622 g
2458210.697037 917.7818923901953 46.1302616413599 25.9441 18.53725128769894 0.05457029113266857 20.03671019454929 g
2458210.7127199 678.9092608294602 53.0781507962034 25.6532 18.573670667960137 0.08488166481781685 19.593485529272133 g
2458210.7131829 539.5729993427874 59.9237454604164 25.3978 18.56767447723451 0.12057536334401042 19.206377612697004 g
2458210.7300116 844.4545171379536 71.4251610119098 25.8447 18.52825934210618 0.091830046185853 19.462646918972943 g
2458214.6797454 51.258443656678175 61.8424981548075 22.9817 18.707286460731453 1.309879806269282 16.756057427208734 r
2458214.6806597 1670.481608158505 499.449157653978 26.275 18.21789575384978 0.32460815361067535 17.781346776644597 r
2458214.6922454 1987.5799305039804 157.402849648148 26.275 18.0291884929318 0.08598007619228779 19.0350435125702 r
2458217.6806597 1945.1595498913646 64.4747403214597 26.275 18.052611925697175 0.03598688116402496 20.00410098503863 r
2458217.6955556 1853.1924540234354 62.3644473091544 26.275 18.105198692150317 0.03653645378090488 20.04023229451017 r
2458217.6965162 1991.8162663469361 45.7998593436935 26.275 18.026876813113937 0.024964605485748612 20.375414628558115 r
2458217.7203704 1991.9199397404254 39.8771968991127 26.275 18.026820302365746 0.021735146985379615 20.525763432389965 r
2458221.706713 1301.3112984753477 51.6842629210663 25.8485 18.06254699872259 0.043120815379952465 19.81767917141261 r
2458221.707662 1882.89820216714 77.0251246304877 26.275 18.087932898089193 0.04441354169602485 19.810993964910832 r
2458224.6741319 1885.7581179823383 100.610403182257 26.275 18.086285035044433 0.05792509319904171 19.52096776571366 r
2458224.6750926 1763.870887702047 79.4790767229151 26.275 18.158833019114113 0.04892106003885989 19.776942955561488 r
2458227.6610648 1856.0494545944175 31.266879098659 26.1997 18.028226140374628 0.018289626148367922 20.71456365332739 r
2458227.6628935 2025.9713995643313 34.2612361488782 26.275 18.008416724560597 0.018360290818930643 20.690567418407028 r
2458227.6730903 1072.0200994518784 28.210323678076 26.2438 18.668292679800267 0.028570311725449105 20.870354816239114 g
2458233.7277431 1103.936638119452 59.6369301738859 26.1885 18.58113963197171 0.05865174943381294 20.00228678931583 g
2458233.7351852 1112.4655027308884 67.3042885640016 26.2115 18.595783618746022 0.06568497262572026 19.893968144337695 g
2458236.6515509 1177.5871218530544 58.8835421990903 26.2345 18.55701738111261 0.054288859464556756 20.06209017031125 g
2458236.6524884 1168.1712090695949 52.8501133553741 26.2297 18.56093375413545 0.04911897128129892 20.17466018131148 g
2458236.7073148 934.4399890914154 71.8008587526632 26.1631 18.736721460815374 0.08342343356213136 19.7753508928539 g
2458236.7082523 1095.4690900424134 64.9517868623285 26.187 18.587999680158696 0.06437256481029492 19.908097230977035 g
2458243.6521181 2025.6466992021683 33.8677725702698 26.275 18.008590748336314 0.01815234645509725 20.703108402349883 r
2458243.6530556 1911.5365382784958 37.5497573192354 26.275 18.071543490488175 0.021327225875686785 20.59105715280399 r
2458243.6940162 1055.4330707973195 31.3939241470354 26.1954 18.636823254552606 0.032294215890627274 20.70586097763468 g
2458249.652338 359.5710472323802 76.3445380691466 24.4434 18.0539382126295 0.23051707199357704 17.989030059918587 r
2458249.6720949 112.58700545541654 42.9119030423557 24.1186 18.989879329765696 0.4138084403669001 18.289730551903816 g
2458249.6730324 211.93243997072975 42.0334155653447 24.5691 18.75360640456586 0.21533125974295178 18.762688285445883 g
2458262.6714815 1900.7570072002086 34.065816042409 26.275 18.077683499495137 0.019458171842660875 20.69677799698342 r
2458263.6822454 4349.565507171441 103.107604473934 27.3504 18.254285310063054 0.025736806582813885 20.569748246919225 r
2458263.6881366 4665.346174904132 118.632468437484 27.4083 18.236090313731154 0.027607655713827728 20.475366071533873 r
2458374.0057407 824.2421940928045 41.1867679452281 25.9058 18.61566289277465 0.05425161958294428 20.12148070704908 g
2458377.0244444 1682.8931801475098 98.0163957123211 26.1266 18.06145862382274 0.06323419815364595 19.40092816799485 r
2458380.0262037 1757.1941023917884 97.3076611142519 26.1628 18.050750657528575 0.060122514369894006 19.445007404196538 r
2458381.0227199 1106.3382059951768 77.081881227228 26.1725 18.56278022384297 0.07564395588519185 19.707694225867392 g
2458384.0267824 1716.3564310731415 62.3579041273076 26.0913 18.00478129591803 0.03944517309186625 19.856646214258312 r
2458386.0262731 1821.7091562747441 80.8443098646607 26.2007 18.049502397040307 0.048181493142160255 19.684151344179853 r
2458387.9828009 1624.156612844038 81.5380627542136 26.0506 18.024030238207313 0.054505750265815375 19.524774016842677 r
2458388.0303588 904.6370468747705 118.088931102514 26.1572 18.766014077281586 0.1417244108462292 19.229252010291027 g
2458390.0299769 1819.7484959098329 60.2056915385098 26.1941 18.044071577271115 0.03591997435375207 19.997581116209375 r
2458390.9964931 912.6511149250834 56.921371335554 26.0639 18.663138028289705 0.06771430160810564 19.928286603027008 g
2458391.0019676 1655.4903864455327 48.2146191622574 26.11 18.062683342211493 0.031620003627357285 20.154628137398035 r
2458425.0193171 978.064655580457 33.2821003083469 26.2271 18.751181087382513 0.03694477261661948 20.67414817621724 g
2458425.0419213 1692.2332550591616 42.9725133582428 26.2122 18.141049436571198 0.027570228639321424 20.381798101011714 r
2458425.9985764 1878.9537855706787 47.9668746073394 26.2543 18.069509754004226 0.027716294121290105 20.304521434344267 r
2458426.0406481 1042.923096818818 34.6623636123276 26.3197 18.77406928612105 0.03608408739694626 20.722629554785318 g
2458427.9159259 477.3791562181758 44.3152426504914 25.5785 18.881341368732937 0.10078583934579977 19.714692160035916 g
2458427.9628125 1560.8242090965762 44.7464233242531 26.1192 18.135815018638667 0.03112534487869135 20.2448791717407 r
2458428.0069097 995.3532068531462 32.2728020036624 26.2253 18.73035694997644 0.035202158283241296 20.705783305282942 g
2458428.0510301 1081.83691160634 46.2038236316652 26.2697 18.684295511955092 0.04636881102754651 20.36058019564736 g
2458429.0196065 1799.920360230586 24.7929230974294 26.2488 18.110666775960567 0.014954926452096307 21.015555655878533 r
2458429.0415046 1036.1902953489198 22.1275359851193 26.3017 18.763101198758005 0.023184801022436127 21.19194234991849 g
2458430.8908333 891.4890449810989 22.6651081185812 26.1126 18.737309973155078 0.02760270361467575 20.976780501410975 g
2458430.9151042 948.0439634704076 22.5159727644081 26.1797 18.73762880683971 0.025785293269346286 21.05104820250834 g
2458430.9975463 1714.298719249049 22.4621254783688 26.2146 18.12938374830476 0.014225717699041287 21.0885478667092 r
