jd flux fluxerr zpdiff mag mag_error limitingmag filter
2458202.8758912 204.79102282111086 32.0078358248698 26.2243 20.446022712315536 0.16968960297354818 20.713734212194733 g
2458205.8903588 289.1446291640632 74.8627274832721 26.0457 19.89291217566773 0.2810996817183501 19.612610874728098 g
2458205.902037 254.22658883426826 66.3706878307766 26.0801 20.06704757446164 0.2834426411033254 19.777734192999596 g
2458208.8883218 226.37532079824405 140.578609960302 25.783 19.895927303088325 0.6742174734229412 18.665776877402617 g
2458208.9086574 235.36518557766692 143.666138122585 25.7611 19.831744440282893 0.6627077227962421 18.620288944945916 g
2458211.8645486 127.78308852957919 97.5684413330579 26.2445 20.978316547843722 0.8289833809329185 19.52380157130583 g
2458211.8897569 295.7678889599847 110.740649651844 26.2372 20.0598224460683 0.4065049919711651 19.379007321810214 g
2458214.8672454 150.08456684738837 81.2354064924952 24.1013 18.66045990959195 0.5876505671538125 17.579511594233594 i
2458217.8486574 401.532375497163 26.2654705927231 25.8717 19.362398579681162 0.071018984178328 20.575812023238466 r
2458217.881956 479.62796583820517 23.7254598490668 26.1155 19.41323875568066 0.053705650197263775 20.930038392367706 r
2458218.8206944 511.34186746913963 24.3380996347036 26.1028 19.331021617017925 0.051675554955398655 20.889658327471487 r
2458219.9178241 485.1158454245473 37.4760262966039 26.0989 19.38428634926222 0.0838721763759647 20.417091151613413 r
2458222.8424306 477.03598656248914 31.4047043402732 26.1296 19.433222143720485 0.07147487498360505 20.63968821642987 r
2458222.8585648 518.9813582277067 29.4705101078632 26.1444 19.356520604243222 0.061651795997783324 20.723505856261234 r
2458226.8357407 507.19894379157853 21.2590033725939 26.1398 19.37685414878765 0.04550660099779259 21.073517737084092 r
2458226.8756481 527.1353081063872 26.6415601756513 26.1443 19.339494733214217 0.054871569856722605 20.83297585347025 r
2458227.8771644 426.08370457803886 25.1616651540107 25.4839 18.910162687305515 0.06411420940109204 20.234626542768517 i
2458229.8145718 238.92119483425085 21.0453818204667 26.2645 20.318863305080452 0.09563392255062152 21.209182965563357 g
2458229.8569792 556.2539901824927 23.2943098115003 26.1749 19.311717151676866 0.04546597886704357 21.00935037106579 r
2458231.8103009 550.4712658776434 33.3290160889501 26.1519 19.30006336473909 0.06573515278782281 20.59741875672232 r
2458232.79125 260.8845325064519 35.9401936135833 26.2313 20.19017917218263 0.14956911332143613 20.59492395823728 g
2458232.8342824 444.28293120912 25.3737509185354 25.4919 18.87275092871465 0.062006166424807246 20.23351330841239 i
2458232.8586343 536.1830241027867 41.9377076008285 26.0894 19.26611735044082 0.08491833403045419 20.285463270732215 r
2458234.811956 156.36543092000886 58.5634575021272 25.9123 20.426948134905707 0.40662661456537685 19.745808216841116 g
2458234.8124074 262.8174603688416 62.6038853413445 25.9076 19.858464464124374 0.2586169055119438 19.668671770752738 g
2458235.7980671 232.75508160423865 67.6011089351222 26.2456 20.32835207137043 0.3153294160754667 19.923290438638176 g
2458235.8356829 334.00260740453547 76.8246846594776 26.2518 19.942425357095473 0.2497242784508341 19.79062302342628 g
2458236.7924074 100.91484622695943 102.158368864098 26.2055 21.19561234307606 1.0990785322736851 19.434890114048592 g
2458242.8341782 579.3693228006199 33.8053344574366 26.1605 19.253111260279404 0.06334897305750074 20.590611896555295 r
2458242.89625 278.6139006025135 44.7251437334353 26.2525 20.139993048886687 0.17428451504530798 20.378695626819532 g
2458243.8552894 415.5380242103269 23.1194882596398 25.4978 18.951273073808284 0.06040561137862563 20.340429446846926 i
2458245.7921412 87.96207342136933 32.9798915629117 24.6057 19.744961355257246 0.40706485053312236 19.062651930757298 g
2458245.8363426 213.31712684571966 49.6196174255504 25.3977 19.57513568608359 0.25254427263068613 19.411141460470873 r
2458248.7948495 601.3184539121922 33.2736249511333 26.1593 19.211538669626 0.06007661061192148 20.60662469644714 r
2458248.8152778 268.4663823533115 32.7825351271421 26.2395 20.16727522344481 0.13257525234834736 20.702968651067888 g
2458254.8809028 411.3950309489953 20.4058520059847 25.4679 18.932252395631338 0.053852457750381326 20.446088157672833 i
2458255.7723958 495.2615864115598 26.6882845098737 26.1553 19.41821338888926 0.05850538642076596 20.842073342237065 r
2458255.8374769 270.62459827587827 20.747951121892 26.2356 20.154681827458006 0.08323726178828281 21.19573694863486 g
2458258.7511227 513.5043426692189 28.5332796657058 26.0909 19.314539698135096 0.0603277891906984 20.70509575640201 r
