jd flux fluxerr zpdiff mag mag_error limitingmag filter
2458202.7575231 754.908557255377 34.7888505425256 26.2747 19.079964129153993 0.050032887653759635 20.67367479047906 g
2458205.708831 903.9169091991009 90.3452749613169 26.3304 18.94007872341015 0.10851424951482624 19.693211379205543 g
2458205.7569676 683.506277246041 77.5339312115658 26.3011 19.21424373141341 0.12315700955310366 19.82994547763659 g
2458214.6844329 101.26231260960012 55.5769176746721 22.8926 17.878980396251094 0.5958767676185881 16.78293884689255 r
2458217.6927546 1501.130670304756 167.616003821579 26.275 18.333953754198163 0.12122908348288097 18.966786283382795 r
2458217.7222685 1009.6198565070641 29.7309838230452 25.9541 18.443705291528957 0.031971369153093045 20.523651787636823 r
2458218.7627431 1013.2604318416581 38.8213178003838 25.9543 18.439997290905108 0.04159671434052721 20.23419930528739 r
2458219.7120486 1187.0855267982406 34.4781867527165 26.1437 18.45749497498413 0.03153350496858218 20.5524139448859 r
2458222.7560417 1366.127937172539 40.5942740744952 26.275 18.436271568242567 0.032261402584224504 20.50641304026762 r
2458223.6846296 1306.0071846449132 22.012833678555 26.275 18.485136084752174 0.018299542150914807 21.170885108611813 r
2458224.7296528 977.3031596060566 35.7299622148203 25.8787 18.403626742900165 0.03969292393597414 20.24869359684191 r
2458227.658206 1376.5132971688056 34.2798429880583 26.275 18.428048972374512 0.027037606980392866 20.689977929017466 r
2458233.7258912 648.5366017109063 53.0363792935895 26.2436 19.21376377110664 0.08878696568111027 20.184740319563705 g
2458236.653912 789.3631239628135 45.828810240839 26.2371 18.993907915124694 0.06303352382195004 20.336828532418565 g
2458236.705463 713.9940330136353 62.5994614016459 26.2037 19.069463544229315 0.09518880004767354 19.964848497639448 g
2458243.6539699 1343.9023461616516 27.0381818644828 26.275 18.454080719693508 0.02184336840702112 20.94763127697428 r
2458246.7858912 998.9397462028923 30.0587180908731 25.4341 17.935251766624173 0.032669388074015586 19.99174885075589 i
2458249.6666319 1272.496348377672 139.208546211968 26.275 18.513358638159154 0.1187734006584955 19.168410244027342 r
2458249.6739352 78.73706302328924 41.4329099163449 24.506 19.765551972231492 0.5713155732373476 18.715211399805593 g
2458254.6718519 1426.3075858499358 29.8400152171317 26.275 18.38946701995405 0.02271410798248988 20.840577388479197 r
2458257.671088 1098.24020832413 26.0630067430092 25.4592 17.85745665030629 0.025765407427637863 20.171713698192406 i
2458258.6639699 709.2837386284428 34.5052850400298 26.1986 19.071549992190636 0.052817209711309855 20.60646094075689 g
2458258.6933565 1398.5712487756014 49.8012380815117 26.275 18.410788510106546 0.038660314397591745 20.284474640027476 r
2458261.6900463 1018.5073027677711 37.4636724054727 25.42 17.90008963182799 0.03993521599706765 19.73854912121363 i
2458261.7695602 910.315249794565 40.538828050397 25.314 17.916020454535982 0.0483491907053613 19.546897015699805 i
2458376.0133333 1137.45038354236 44.5786900981251 26.0521 18.41226884628972 0.042550501138172936 20.181856731643396 r
2458379.0240509 1253.559044982002 81.0883387587363 26.0938 18.34843801284849 0.07023012577091971 19.573978981155797 r
2458384.0286111 1241.3692192405247 74.9355876035758 26.0999 18.365147568755084 0.06553857321432312 19.665754696269897 r
2458387.9864699 1126.8879013447477 66.1818631013184 26.0475 18.41779820954926 0.06376290728062337 19.748227516852836 r
2458390.9914699 739.9429834788937 55.2123917778562 26.0837 18.910704359167454 0.08101177400370382 19.981183586649866 g
2458398.0225694 1282.1120242864276 24.8222195264844 26.0846 18.314785066910567 0.021019601430618453 20.850073458722193 r
2458425.0165162 963.090900847602 30.0621049121618 26.3125 18.85333180068967 0.03388924895293837 20.870026523937575 g
2458425.0174306 967.5538067312106 31.093794814193 26.3306 18.866412185109365 0.03489060018669077 20.85149066826785 g
2458425.0378588 1338.046134984843 33.1479178727194 26.1648 18.34862228027714 0.026896452591165045 20.61623435374746 r
2458425.0387847 1361.1103166715766 32.3892187174367 26.1744 18.33966668555862 0.02583550674093231 20.65097380860644 r
2458425.9967245 1319.199911612252 41.2045982983958 26.157 18.356223466154283 0.03391133669641829 20.372210777706663 r
2458426.0077431 898.0487698409135 35.8544750729755 26.3171 18.933850194251384 0.043346424931493786 20.683316567657506 g
2458426.9712384 984.08416372791 25.315676338774 26.3019 18.819319392439134 0.027929755212081984 21.046001152715363 g
2458427.0176852 1353.3686929309813 21.509577980082 26.1714 18.34285968534842 0.017255422661211193 21.092395265227513 r
2458427.0495255 1375.914884236528 52.2499950931057 26.2172 18.370721078132327 0.0412291634624348 20.174559354165726 r
2458427.0508912 1298.9098450206143 38.9490789688197 26.1568 18.372852478685463 0.03255577375023779 20.43313200830336 r
2458427.9637269 1322.5700349085128 31.2348503537095 26.1313 18.32775330301648 0.02564074199017235 20.647276415208804 r
2458427.9646412 1256.7754466662523 32.7028293191963 26.1338 18.3856557814923 0.02825123763042469 20.599911669851796 r
2458428.0186227 881.1342322439452 22.3230466616458 26.3048 18.942194815002303 0.02750560683453164 21.18549132151079 g
2458428.0195486 882.2340342457662 21.4026093919316 26.2953 18.93134048076712 0.02633860417398837 21.2217081754795 g
2458428.0487384 954.9850236982516 32.1333301747172 26.3074 18.857408597679925 0.036531626889380234 20.79258564792685 g
2458429.0177546 1340.9273001463039 23.8565634007372 26.1528 18.334286918162142 0.01931579055878302 20.961355282650437 r
2458429.0386921 828.1890410311325 15.065458276855 26.2946 18.999276301437504 0.019749800155308517 21.60221912157558 g
2458429.9633218 816.065121483506 16.6256417064248 26.2614 18.982087958591844 0.02211889557030926 21.462028946826475 g
2458430.0187731 1261.709505239827 19.3603307546036 26.1502 18.397801562796587 0.016659548820849787 21.185493057701102 r
2458430.9094792 863.503614681856 22.96565174888 26.2168 18.876139600269973 0.028875163554405593 21.066678051915773 g
2458430.9649306 1321.627253003176 26.3563134281053 26.1806 18.3778275360859 0.02165137668270008 20.880963330367848 r
2458430.9658449 1297.2175605352363 26.8807524698287 26.1705 18.38796795220254 0.022497716531413147 20.849471434890713 r
2458431.0078704 918.8137099105886 19.4766937459648 26.3282 18.920131332957617 0.023014291332300346 21.356986900635917 g
2458431.0087963 932.586048604947 19.0350131732537 26.3213 18.89707771458857 0.022160221926026267 21.374992034895833 g
2458431.9721759 814.3466601926357 29.2656282662614 26.2098 18.93277670104558 0.03901740396548548 20.796480359505352 g
2458432.0197222 1314.9455999343168 44.5800243089427 26.1273 18.330030534545898 0.03680801121706993 20.257024236760557 r
2458432.9970486 940.2859011287454 19.0126448087427 26.2877 18.854550189394455 0.021952927768110406 21.342668652026923 g
2458433.0203819 1379.49276390236 27.1897981573782 26.1506 18.3013014331514 0.021399143679419058 20.817160030090267 r
2458434.9953472 1214.1689319257734 41.8837240476747 26.1451 18.43440221004835 0.0374520859518586 20.342561765247787 r
2458434.9962731 1334.766059596259 43.5196985934378 26.1483 18.334787112769853 0.035398964802257134 20.304160291946367 r
2458435.006713 830.6133999060783 31.0251825771101 26.2842 18.98570266723846 0.04055321131079425 20.807489124369766 g
2458435.0185417 899.8017143930459 30.7717145754424 26.2893 18.90393295926996 0.03712912520631669 20.821495750498737 g
2458436.0150694 1283.5549525538786 65.1651051557733 26.1549 18.38386383310263 0.05512016024468051 19.872437238139224 r
2458436.8858449 190.6200290415403 78.9034586850021 23.7351 18.0346786715578 0.4494044278822263 17.24493488750874 r
2458437.9893519 858.4347515600952 25.9202674844261 26.3053 18.971031773430944 0.03278249669727094 21.02377629184153 g
2458437.9902662 877.9459951971244 28.8145412699189 26.289 18.930330494714326 0.03563311140764051 20.89254571424668 g
2458438.0343171 1291.563830058862 24.9072335763273 26.1678 18.39001031449837 0.02093724124543356 20.929561255350276 r
2458438.0352315 1267.6532369610477 23.058857324358 26.1714 18.413898825658983 0.019749092785872606 21.016880533803764 r
2458438.9971991 878.7823248351061 16.5781435814374 26.2937 18.933996716838358 0.02048162551487808 21.497435247429664 g
2458439.0133218 1304.760849185018 21.1880419843663 26.1522 18.363372708165166 0.017630707724557496 21.089547927099254 r
2458439.8656597 359.97527844533425 35.7605289787989 24.7741 18.383418309216736 0.10785520183486144 19.143165153246628 r
2458439.8661111 704.5726132107901 32.1811991510957 25.5389 18.419085604712755 0.04958910872099383 20.022469431781573 r
2458439.9636806 703.531306487085 15.10029846706 26.0204 18.902191430249438 0.023303005700696565 21.325511160444222 g
2458440.9625 864.2610060012278 14.1358332808071 26.2657 18.924087702980906 0.01775768441061712 21.642471453100733 g
2458440.9634491 848.7038650596651 17.4564105478876 26.2303 18.90840955002478 0.02233102229422413 21.37798762090586 g
2458441.0077894 1251.4392040727432 24.8936386389895 26.1549 18.411375609799936 0.02159675306830158 20.91725403677675 r
2458441.0087153 1270.24790843619 22.4200100532293 26.1317 18.371978778793366 0.0191627199329601 21.007685481663657 r
2458441.9981019 786.2063006820937 19.3988566082026 26.211 18.972158700130763 0.02678856503853156 21.244134657038273 g
2458442.0241782 1041.3448192651392 32.0318890661817 25.9571 18.413113598155498 0.03339625964019783 20.445718609810225 r
2458442.8707176 981.2608899138951 64.1405109937399 25.8207 18.341238776181644 0.07096721524488155 19.555443950316196 r
2458442.9875 196.49059060366184 20.349769429574 24.8085 19.075145604910325 0.11244174391156188 19.789676256980563 g
2458443.9645949 1348.825506337879 39.2587861288639 26.1766 18.351710575294298 0.03160028031782376 20.444332821153203 r
2458443.9655093 1255.0377249910678 30.5748327620784 26.1919 18.44525804898483 0.026449480576390464 20.731064763622193 r
2458444.0382639 826.7266743813066 15.2096055651329 26.2947 19.00129512402746 0.01997403649086634 21.59198011035675 g
2458444.0391898 812.4951262004203 15.0540286167076 26.3232 19.04864808870537 0.0201160085052963 21.63164314600001 g
2458447.9421181 1290.3809090321765 54.0734448637945 26.1731 18.396305177212867 0.04549628615681711 20.09321489388373 r
2458447.9430671 1348.6611298476378 53.1640057642161 26.181 18.356242898105087 0.04279812013617553 20.11953074811108 r
2458448.0143519 1240.14622660915 63.2079040459028 26.1578 18.42411775954335 0.055336072432581596 19.90844651541263 r
2458448.0153588 1263.6285639154537 53.3352380323845 26.1566 18.402551413923682 0.045825228698798404 20.09163939499819 r
2458448.9305787 1409.9968412048183 69.0350601222117 26.2477 18.374654650717673 0.053157115380939854 19.902600720631483 r
2458448.9848843 1183.4774612314936 61.4982310011145 26.1629 18.48000002147286 0.056417322327737815 19.943318430514257 r
2458449.0354514 1298.4264599467597 51.8559171610938 26.1444 18.360856607084685 0.043360152460315736 20.109979189382525 r
