jd flux fluxerr zpdiff mag mag_error limitingmag filter
2458202.7595255 195.24818666980445 33.7824879103932 26.2706 20.544132477147205 0.18785140978718332 20.7014459141151 g
2458205.6472106 161.85035114483549 84.7790410258621 26.3512 20.828415885075838 0.5687019162498466 19.783053739764036 g
2458214.6889236 151.1928648301674 55.513084098214 24.8977 19.448871759487886 0.39863359605714155 18.789286599733693 r
2458214.7092245 71.39432221219165 53.7398379028565 24.9975 20.363340812645077 0.8172266393638788 18.924334108852 r
2458217.6892477 33.20945954994899 43.6903334195106 24.254 20.450845480108583 1.4283458880810218 18.405611591639804 r
2458217.7271528 428.3718109296304 26.4604441844759 26.1552 19.57564778928129 0.06706347971109779 20.851282163411852 r
2458221.6961921 334.66160721461074 49.021840801809 25.8274 19.51588526893541 0.1590353103288402 19.854000951008025 r
2458224.6519676 69.73701516359336 42.2910097212288 24.2321 19.623441612349993 0.6584071478629687 18.419054853431327 r
2458224.6580556 176.7369800170361 43.3119328234891 25.1135 19.4951814256527 0.26606636291923397 19.27455607706198 r
2458224.6677778 221.38820080773024 34.9981380899538 25.5368 19.673913822923335 0.17163280782638746 19.92926263819625 r
2458227.6548148 536.3139976790346 30.1718367018371 26.2267 19.40315216974303 0.06107907540908304 20.780270617833082 r
2458227.6903588 202.8343605694934 22.1443685459516 26.2185 20.450646181757822 0.11853090799230014 21.107916737296282 g
2458231.6757986 447.81619334366644 32.8942464388446 26.2429 19.615150515209557 0.07974987034746693 20.702675134739174 r
2458234.6739583 205.14867240643767 60.0430471324822 25.8878 20.107628222923804 0.31776338353574585 19.69421817866447 g
2458234.7225463 215.53308444609792 44.1596892465149 26.2085 20.37471513986552 0.22244461790241518 20.34850996769896 g
2458237.6644097 171.66465034111368 62.2317305883741 26.234 20.647297816878766 0.39358708834660966 20.001545293281982 g
2458237.7008333 213.90074157980283 70.7261142189678 26.2335 20.40796927438864 0.3589858625099028 19.862125494018095 g
2458245.6596181 531.3065959383326 37.2809082593845 26.1657 19.352336981203262 0.07618177979840417 20.489558778289734 r
2458245.7159491 180.3562991568112 35.7555880243558 25.964 20.323671712082238 0.21523973434546415 20.333215177419028 g
2458248.6876157 260.06029444777386 23.450317780982 26.2519 20.21421487516728 0.09790041216739882 21.079103158356098 g
2458254.6732523 510.2051591129138 26.1372218711286 26.2332 19.463837885469324 0.05561915883959957 20.942626427965003 r
2458257.701331 438.66684081351707 38.317328054472 25.6092 19.00386298257657 0.09483534928600958 19.90328694610668 i
2458257.7239005 447.48731567144904 35.5059417230986 26.1066 19.479648176356037 0.08614501367692662 20.483422399365175 r
2458260.6730093 475.9086486527586 33.7747261667751 26.1985 19.504691006819876 0.07705096409378981 20.629595397644295 r
2458261.6650463 370.8975321312546 62.1148082684685 25.6252 19.20206514089891 0.1818239311261069 19.394787116632212 i
2458261.6914236 376.0835643937845 43.7680035160607 25.5915 19.15328911425744 0.12635202895394715 19.74118314751484 i
2458266.7402431 474.3413565829597 58.4244421393628 26.1132 19.422972521741798 0.1337252507090058 19.949288553506268 r
2458266.7411574 479.1598683839498 63.5431511270324 26.103 19.40179890762602 0.14397866710185023 19.847903119559895 r
2458270.7424884 228.4767463818927 74.3663828463806 25.9723 20.075194986052377 0.353382053687693 19.54643334396823 g
2458274.7174769 283.0432104939378 24.4358110318059 26.1189 19.989268145760363 0.09373113027842753 20.901408094245216 g
2458277.7008912 200.90678495209198 28.1565681435859 26.0134 20.255913490415388 0.15215805698538656 20.642025689612108 g
2458280.6823148 486.1350195183711 45.2565004383411 26.1903 19.47340773174185 0.10107270727911451 20.303672568884643 r
2458280.7222801 211.44051990196982 29.7526123804038 26.0824 20.269429455017683 0.15277304121452584 20.651162228487255 g
2458284.6786111 479.10656268595386 51.2164962404561 26.1196 19.418519700600534 0.11606134062645226 20.098650327329693 r
2458294.6830903 159.43236043009696 77.5150229900425 26.1084 20.60195881008124 0.527860593879799 19.637510288720065 g
2458367.0054745 488.962654269928 30.6262695006865 26.1771 19.45391077480783 0.06800302744294949 20.714439739547586 r
2458371.0061343 445.25536733235737 23.9700486658692 26.1944 19.572877091572096 0.058447991300930396 20.997802699726947 r
2458374.0071991 189.40396926720484 22.7269488399672 26.1427 20.449227309731267 0.13027524423599704 21.003922153357326 g
2458376.9932639 190.49049730291264 20.9993312065356 26.1293 20.42961671101873 0.11968562323968011 21.076361330650904 g
2458377.0171412 445.3075101195758 30.4750609929291 26.2105 19.588849951055916 0.07430095600933956 20.75321353043423 r
2458379.9853819 186.89277368176397 21.7804232652942 26.1457 20.466718726365745 0.1265271260803021 21.05310920097839 g
2458380.0180208 505.1845305686386 30.1580985367156 26.2325 19.47387489148901 0.06481324268670068 20.786565099501534 r
2458383.9920602 186.99640393880344 20.8613292396399 26.1103 20.430716862863978 0.12112075247655145 21.064520045922073 g
2458387.9883102 423.4141758296656 57.0086461521943 26.1974 19.630486514932162 0.14617906215860066 20.060123170530208 r
2458387.9896991 466.22378145742283 73.5521988346254 26.1328 19.46131394366069 0.17128174376931798 19.718885838055453 r
2458388.9712731 246.194587958189 56.3889419204592 26.1422 20.164003745751078 0.24867108067152047 20.016790125202686 g
2458389.0279051 421.4976866380255 51.224232276326 26.2189 19.65691201157258 0.13194413811852673 20.197786343836746 r
2458389.9490856 276.2762862407438 54.0313693915074 26.0975 19.994140976242623 0.21233041223538948 20.018460052653314 g
2458390.0148843 452.97810171537463 32.8967362042519 26.2309 19.590706981358924 0.07884704881252332 20.690592958479243 r
2458390.9766319 229.1739202574525 47.5778049271349 26.1495 20.249087015329607 0.22539747433460677 20.208563985807608 g
2458390.9887037 215.59761169875821 45.4434803431637 26.1418 20.307690135983602 0.2288429181558369 20.25069602681552 g
2458391.0070602 503.577155879592 35.7718851019836 26.2056 19.450434948299147 0.07712330712735876 20.574320421299596 r
2458391.009375 512.3646294360348 31.5959389758554 26.2051 19.431152147410902 0.0669517546202295 20.708596823255945 r
2458397.9884606 192.2490569191515 18.6820536983106 26.1667 20.45703945489972 0.10550431833216058 21.240713449036832 g
2458398.0125231 400.1260157428324 23.4235466635061 26.0031 19.497608025912424 0.06355733846837258 20.83154335371828 r
2458422.973912 215.75456699739908 41.4423613311782 26.2354 20.400500006404105 0.2085423837067726 20.444363756735214 g
2458422.992662 192.3559081208995 40.8470226515659 26.2447 20.53443617500586 0.2305497810076712 20.4693739736547 g
2458423.0279167 526.0497209476111 39.3080264251688 26.2594 19.456833013604882 0.08112678819205364 20.525771890813964 r
2458423.0303356 480.5684933986881 33.3587776591009 26.2365 19.532111763562007 0.07536412686638422 20.681049667341718 r
2458423.0451968 516.1632360738453 41.615175422744 26.2401 19.458132328707684 0.0875335413272425 20.44454566496419 r
2458423.9735532 204.5470058535662 33.1731463882562 26.214 20.43701718323718 0.17607730254195667 20.664608326169734 g
2458424.0256713 542.7278475788219 31.1132218862479 26.2396 19.40314473507132 0.06224044915438661 20.759812523669797 r
2458425.0341319 507.46719098586397 26.5249457282469 26.2885 19.524980076809754 0.056748759503468804 20.981938729210672 r
2458425.9703588 469.99818312739603 30.4045457440198 26.263 19.582759552284493 0.07023477217428875 20.808228690996856 r
2458425.9713194 535.3635698279276 31.6827324400465 26.2775 19.45587796203315 0.06425155641653842 20.778018414784498 r
2458426.0346181 264.8819791573712 30.454516973473 26.3162 20.25856896815588 0.12482717466579878 20.859645699843718 g
2458426.0355208 216.53848061175313 30.6282943773864 26.3126 20.47376228716411 0.15356688156111284 20.849867957730698 g
2458426.9284606 474.64690506895886 24.987986033551 26.2269 19.53597336648682 0.05715713332774145 20.98514685282162 r
2458426.9726042 221.06514805885604 22.1148896446358 26.3299 20.468599301386664 0.10861113069161253 21.220763047807413 g
2458427.9121991 135.13926282509306 34.8241411434302 25.7719 20.444946136123942 0.2797748725946266 20.169773953251863 g
2458427.9712269 502.7875223537445 33.2391561187194 26.2553 19.50183877177783 0.07177535279545684 20.703750015883063 r
2458428.0153704 224.12775771538946 25.3797747567016 26.2859 20.40966088436405 0.1229424759085024 21.027255580535073 g
2458429.0074074 527.19707466093 24.9128970598665 26.2492 19.444267520608996 0.05130516392810621 21.010714405369292 r
2458429.0083333 529.9420693488236 22.271636148449 26.2613 19.45072900683395 0.04562822384734073 21.144494681853043 r
2458429.0308449 236.74885752736589 19.1262332911063 26.286 20.350280270207268 0.0877104612078385 21.33450136727515 g
2458429.0317593 242.4873604396858 16.2187805778637 26.2867 20.32497723476109 0.07261710483159993 21.514229493358233 g
2458429.9651736 230.89729478657839 17.4869372964028 26.2728 20.364252888215326 0.08222516353105457 21.418590607222114 g
2458430.0140741 512.3342141467435 19.4970639578806 26.2719 19.498016601432642 0.041316706467329566 21.29955194830427 r
2458430.8862037 196.66998863246477 19.5415550029271 26.2072 20.4728547682968 0.10787749780332136 21.23237719071324 g
2458430.9724306 503.08519776390347 21.3629827285847 26.2714 19.517296151746397 0.04610310629594234 21.199820265725396 r
2458431.0106366 243.28198021124913 19.0110653639022 26.3186 20.35332514469559 0.08484111173242675 21.37365885155979 g
2458431.9646528 208.32328294251613 41.8487536858149 26.1976 20.400755472653692 0.21809944253435387 20.39596866759202 g
2458431.9655787 202.24179844400712 33.2632855624103 26.1937 20.429022703494823 0.17856817637580205 20.6413621286686 g
2458432.011956 474.34469122141644 44.3629682386512 26.228 19.53776488900026 0.10153982010988931 20.36302349857011 r
2458432.0128704 481.9822578170764 46.1744956244316 26.2191 19.511522370554115 0.10401140101400067 20.310669588582694 r
