jd flux fluxerr zpdiff mag mag_error limitingmag filter
2458198.8956597 6321.521971812266 25.2814930371036 26.2871 16.785045870597862 0.004342010850041308 21.032668193434287 r
2458198.9163194 6302.200716505993 26.0700423622153 26.2894 16.790669423135594 0.004491168445099814 21.00162064698315 r
2458202.8556134 3315.0846132995425 36.5423981060585 26.2235 17.42226345576482 0.01196774328612374 20.569082377509897 g
2458205.8684259 3199.2476250514055 62.2215646819062 26.1766 17.413980359440124 0.021115574876471185 19.944322668942576 g
2458205.9011111 2861.874231670887 72.293688597823 26.056 17.41437363930879 0.027425823553689496 19.660824029007415 g
2458208.8376273 1513.1849413651007 183.96740627685 25.4104 17.460669973223844 0.13199537448118476 18.001122775766383 g
2458208.8594444 1516.8496010512802 195.06579116343 25.3279 17.375543695811007 0.1396202559036545 17.855022205366055 g
2458214.8494792 3634.7398372733196 67.0932720877894 25.6931 16.791916672658935 0.02004081963686234 19.378977557651123 r
2458214.8925926 1105.1849098635348 69.1104802728079 23.6949 16.08631263387248 0.06789203124520805 17.34861521155212 i
2458217.8688426 2216.9090749445913 44.5468840749931 24.9442 16.57983029705096 0.02181620914760738 19.07473165966221 r
2458217.8810301 5893.681859183184 27.5302997841025 26.1873 16.761333277649854 0.005071472670182871 20.840347637767746 r
2458218.8216204 5770.138852240648 27.5019298209705 26.1872 16.784234339711908 0.00517471866297168 20.841367065384972 r
2458219.8208912 4437.402142115576 43.7930870776727 25.8166 16.698778028283154 0.010714862687103935 19.965661087384095 r
2458222.8068171 5958.872433095472 36.9225914899852 26.2076 16.769689779513936 0.006727255538822284 20.541944550914565 r
2458222.8581019 6031.153793522014 39.7114232914914 26.2246 16.773598992358362 0.007148664043997877 20.479886357085512 r
2458225.8957176 6362.494385183116 49.6140448939983 26.2604 16.751331469785335 0.008466171485645038 20.273963400931866 r
2458226.7933333 5919.819753311653 30.5186447068894 26.2212 16.79042879118842 0.005597145511015605 20.762361881007607 r
2458226.8343634 6066.564888405953 26.6049018714731 26.2277 16.770342881990775 0.004761334048707116 20.9178708355896 r
2458229.7904282 3430.4256999073523 29.1712339346488 26.2666 17.428229956708734 0.009232442691792908 20.856787989060898 g
2458229.8574306 6148.616575508082 24.3666051813599 26.2567 16.784756471215417 0.004302565125101559 21.042287423246037 r
2458232.791713 3434.656483675633 46.6036363477765 26.2344 17.394691730720925 0.014731478453016486 20.315925477254694 g
2458232.8590856 5973.4299542357385 50.925100619812 26.1875 16.74694056143644 0.009255885172592404 20.172745249737133 r
2458235.8131944 3405.541559536317 63.8121011985341 26.2549 17.424434538587654 0.020343548026082944 19.995217376001378 g
2458236.7881134 3334.344863719517 118.028408574887 26.1915 17.38397371023163 0.038431370607180895 19.264108610674356 g
2458243.7533102 3296.4946232210336 23.7773189171053 26.2497 17.454569070699634 0.00783105634890347 21.061867781993094 g
2458243.7948032 6030.303823158958 37.1692039567942 26.2457 16.79485201591936 0.006691968749719117 20.572816839102483 r
2458243.8548264 7237.5376226496355 26.4091139180323 25.7149 16.065922914200417 0.0039616201636145446 20.413090414291524 i
2458246.7523495 6207.312309344801 38.7356020953538 26.2287 16.74644100836954 0.006775113140612167 20.51099921189235 r
2458246.7932407 3305.615616712329 28.0576339448754 26.2283 17.43016912104799 0.009215279907301512 20.860747376955985 g
2458247.6514583 6891.26013050225 60.679033206327 25.6634 16.067653390193172 0.009559822892262202 19.4583783576744 i
2458249.7726157 4982.5607346428 48.6500065192564 26.0135 16.769868496967852 0.01060083657600278 20.048367732156894 r
2458249.8372685 3266.6953701270627 32.8858969917792 26.2101 17.424828407491624 0.010929766727096417 20.670150758857474 g
2458255.711713 3408.850032059517 23.5167077311007 26.2258 17.3942802614347 0.0074899421633489605 21.04993368483934 g
2458255.7719444 6227.984135931411 33.8677570323517 26.2407 16.754831255869227 0.005904032991651986 20.668808900466026 r
2458256.7734028 6153.426992122308 26.52198052602 26.2624 16.7896073694031 0.004679492304688675 20.955960109567382 r
2458258.7739815 3175.7932797400113 25.4693296098204 26.1669 17.412269436574306 0.008707131957797256 20.904431204547084 g
2458261.7089815 6908.345020602974 44.1163928470862 25.6411 16.042664951935507 0.006933233295563014 19.782175000741887 i
2458261.7536921 7044.82350647004 44.5603441424222 25.6454 16.025724706928187 0.006867335369153798 19.7756036485024 i
2458261.7966204 5842.318008728841 63.7398323727804 26.2273 16.810837018064987 0.01184501355519067 19.96884769665267 r
2458267.7512269 6607.304944589823 91.7473871082166 25.6323 16.082239122226795 0.015075759181503088 18.978390727303093 i
2458267.8140162 6203.151504826299 93.4024068640094 26.2576 16.776069028908267 0.016347657001986222 19.584279820150833 r
2458270.7711111 3140.0145513775583 51.8382666760827 26.1976 17.45527084831351 0.017923740546212437 20.163548810321405 g
2458270.7985417 5888.400451245424 47.0410231166048 26.2208 16.79580665672549 0.008673397677444945 20.292183092062466 r
2458273.7346528 3370.6526980058547 21.0687858406887 26.267 17.44771498395265 0.006786335714969585 21.210476217520167 g
2458273.8161806 6131.059418227392 33.067800716668 26.2392 16.77036118738407 0.0058557108631751495 20.693261709947723 r
2458274.8671181 4672.685008544243 44.3132490519336 25.2414 16.067483735788173 0.010296198953644657 19.377641004873297 i
2458276.7321296 3344.999602267518 20.1507363300007 26.2405 17.429509823838327 0.00654040569052722 21.232347688250822 g
2458276.776169 6017.34147713506 24.344408410432 26.2481 16.799588355254823 0.004392425510773914 21.034676925936136 r
2458278.6864468 7014.924897554495 31.8447548915249 25.6723 16.05724243552072 0.004928613048698716 20.16728021296459 i
2458279.7110648 3275.5840551616966 21.1733087570567 26.2404 17.452178129013532 0.007017942733391918 21.178503162646184 g
2458279.7337847 5881.786091340354 24.8183822069217 26.2434 16.8196269348834 0.004581145445211955 21.009041317960047 r
2458282.713125 5854.540228892933 24.8672812731915 26.2503 16.83156801360332 0.0046115333096633775 21.01380422246607 r
2458282.7523727 3128.978133696298 21.6421392463559 26.1984 17.45989367958116 0.007509439048719551 21.112724521713982 g
2458283.6695486 7156.7608903299615 42.8559559265756 25.7214 16.084608731152993 0.006501364522650404 19.893947022327588 i
