jd flux fluxerr zpdiff mag mag_error limitingmag filter
2458206.6675231 333.3175036798995 70.4060276979656 26.2689 19.961754698506997 0.22933036347557076 19.90245038377972 g
2458206.6886343 295.4742455114591 53.0708228348445 26.2897 20.11340091910322 0.19500512558058494 20.230135436194356 g
2458206.7520255 297.9757571131892 65.502055418587 26.2951 20.109647670180586 0.2386623068162754 20.007037668839097 g
2458206.7524884 335.50752716224787 65.4328632478443 26.2687 19.954444329807828 0.2117402856175866 19.98178517712213 g
2458210.6946759 199.06465730360975 49.7561468060076 25.9674 20.21991459855666 0.27137036437810136 19.97785813781092 g
2458210.6956481 167.29281228001045 56.1364268031257 25.7065 20.147806795146124 0.36431522520012105 19.58596307551545 g
2458210.7113079 166.80449501692607 57.3409062059974 25.4755 19.91998062563144 0.3732214881951125 19.33191360870659 g
2458210.7542245 338.99704277794035 64.6610217469528 26.0365 19.71101022581106 0.20708874253116336 19.762468581977235 g
2458214.675 39.96735114308656 44.1822899705158 24.95 20.94573658469507 1.200197432380667 19.089454435095902 r
2458214.6759606 575.2658719505899 254.951110255031 26.275 19.37532847508391 0.48116954942124884 18.511432720252724 r
2458217.6825231 309.6916664312878 240.560780298445 26.275 20.04767620255573 0.8433447440794144 18.574512929659186 r
2458217.6937037 286.27663851058685 40.6396631057605 25.1147 18.97273522739536 0.15412533297680342 19.344899741457233 r
2458217.6941551 456.8590222253938 115.236678805205 26.275 19.625544485138093 0.2738535436366762 19.37359815630002 r
2458217.7232176 390.28583696095353 32.0753522170259 26.0046 19.52614302124159 0.08922744974091654 20.49174640408962 r
2458221.6996296 135.3575240718621 74.1321371749087 25.2545 19.92579399561344 0.5946123932354754 18.832058687429374 r
2458223.6626505 578.1846853272849 32.4688741013513 26.275 19.36983353973127 0.06096919808915867 20.748906916197356 r
2458223.6831481 524.1770133178245 34.1684294247848 26.275 19.476305070110868 0.07077125261880955 20.69351244762292 r
2458224.6490856 107.23723113148418 48.8389980991554 23.8123 18.736436020102275 0.4944598035288637 17.84295812393399 r
2458224.6712037 159.4474279272247 41.5759608787248 25.0887 19.582156205101207 0.28309657492019225 19.294169251255735 r
2458227.6591782 542.9426052612564 38.1939124441498 26.275 19.438115193687928 0.0763747960443444 20.572589618699652 r
2458227.6884028 304.476378796505 27.5209478647817 26.2065 19.997615985461604 0.09813402673434735 20.85991652014269 g
2458229.6495255 428.15790022548174 38.6662871806392 26.2981 19.719090095281615 0.09804791169312063 20.58234380867822 g
2458229.6851968 441.74757665727907 38.0195865879099 26.1521 19.539164560677833 0.09344219943625945 20.45465651369947 r
2458232.6520718 30.806117044523006 133.417750475467 25.2856 21.564007597149093 4.702041853631391 18.225140954550668 g
2458232.6525347 285.55410089608563 107.480790073607 25.4479 19.308678996174464 0.40865073699424753 18.622147863659556 g
2458232.6945139 1334.0453634815567 525.794883580095 26.275 18.462073505556255 0.42791311354893163 17.72553409979563 r
