jd flux fluxerr zpdiff mag mag_error limitingmag filter
2458198.9579514 1206.472274700767 21.3756159234244 26.2146 18.510806634828974 0.019235838812639 21.142378395479234 r
2458198.9603704 1216.8923896323101 22.2393336778031 26.2161 18.50296956234432 0.01984172534868628 21.100870561604818 r
2458203.9186227 787.4954075258629 28.9992739776767 26.2307 18.990079925566512 0.03998056554574839 20.827307176432882 g
2458206.9188773 820.0547946125713 52.5491648535685 26.3121 19.027492819641857 0.06957172698255293 20.26326044335724 g
2458207.0081713 800.7170962115325 37.9437051698472 26.2383 18.97960224679419 0.05144823421132516 20.543025646404377 g
2458210.9100116 706.5106815773217 84.0259856643208 26.2304 19.107603169411092 0.12912333106144136 19.67194095003527 g
2458210.9475926 866.9634842664611 76.5982474707148 26.3013 18.956297985593064 0.09592412920288002 19.843327905891265 g
2458216.869294 1092.469446422523 31.155728708203 26.1247 18.528676750735162 0.030962673390330733 20.643430205362716 r
2458216.9075926 1139.1835522498325 49.6140343498605 26.125 18.483515735222014 0.047284704020928756 20.13856363167607 r
2458218.9285301 1117.1783265859676 26.6795164291556 26.1652 18.544893745655784 0.025927777417283512 20.852330105026613 r
2458219.9224653 1176.7792338952038 34.8211676787446 26.1795 18.50276251004083 0.03212611223914554 20.577466662963953 r
2458219.9442593 1065.5907016035799 45.2450579039444 25.9637 18.394723944580164 0.04609890016156219 20.077347118277213 r
2458219.9719676 1157.392892182304 42.6171874937193 26.1201 18.461397972668095 0.03997733248101114 20.298713026128734 r
2458222.9340278 1207.8372135821382 27.3424289679508 26.1678 18.46277898466575 0.02457754637519738 20.828282257790317 r
2458222.9531366 1218.1146969624906 27.6054230877621 26.1763 18.46207954216287 0.024604586022252236 20.826388970071772 r
2458223.0114236 1160.367469828464 42.1766068095607 26.1495 18.48801113717779 0.039462621284884286 20.339395896737166 r
2458226.9169444 1188.5967791384503 26.7930263530609 26.1674 18.47981362732033 0.02447355505422403 20.84992056103686 r
2458226.9593519 1194.3626786999935 27.2458813517404 26.1613 18.46845943963065 0.024767061053667466 20.825622836518292 r
2458229.0087963 712.4218675486032 39.2556669476135 25.5196 18.387756896204408 0.059823932344575795 19.78741908827682 i
2458229.9182523 1255.718596212878 24.1202462952186 26.1818 18.43456918534388 0.020854474467207285 20.978420643828365 r
2458229.9659606 881.2135010188542 26.5296999923057 26.3021 18.939397144176894 0.03268594415353838 20.995344142042693 g
2458232.8379745 742.6556650370878 22.5784021082439 25.5166 18.339631254417487 0.03300772124009344 20.384941980897022 i
2458232.8976389 1240.822463788784 37.9532653758588 26.1901 18.455825881693414 0.03320850598783491 20.49455212134081 r
2458232.9624074 846.699607751487 24.0834877509398 26.2749 18.955576603557176 0.030881604776731894 21.073176535882517 g
